Date,'',PS4 player count,
2016-08-01,,200,
2016-08-02,,3100,
2016-08-03,,6800,
2016-08-04,,9100,
2016-08-05,,12200,
2016-08-06,,14600,
2016-08-07,,17800,
2016-08-08,,20200,
2016-08-09,,22600,
2016-08-10,,24200,
2016-08-11,,25600,
2016-08-12,,27200,
2016-08-13,,28600,
2016-08-14,,30100,
2016-08-15,,31200,
2016-08-16,,32700,
2016-08-17,,33300,
2016-08-18,,34500,
2016-08-19,,35500,
2016-08-20,,37100,
2016-08-21,,38100,
2016-08-22,,38700,
2016-08-23,,39500,
2016-08-24,,40200,
2016-08-25,,41000,
2016-08-26,,41500,
2016-08-27,,42500,
2016-08-28,,43500,
2016-08-29,,44400,
2016-08-30,,45200,
2016-08-31,,45600,
2016-09-01,,45900,
2016-09-02,,46400,
2016-09-03,,47100,
2016-09-04,,47900,
2016-09-05,,48400,
2016-09-06,,49100,
2016-09-07,,49500,
2016-09-08,,50100,
2016-09-09,,50200,
2016-09-10,,51200,
2016-09-11,,51700,
2016-09-12,,52100,
2016-09-13,,52900,
2016-09-14,,53400,
2016-09-15,,53900,
2016-09-16,,54500,
2016-09-17,,55200,
2016-09-18,,56400,
2016-09-19,,56700,
2016-09-20,,57100,
2016-09-21,,57400,
2016-09-22,,57700,
2016-09-23,,58000,
2016-09-24,,58800,
2016-09-25,,59500,
2016-09-26,,59900,
2016-09-27,,60200,
2016-09-28,,60400,
2016-09-29,,60500,
2016-09-30,,61000,
2016-10-01,,61700,
2016-10-02,,62500,
2016-10-03,,62800,
2016-10-04,,63200,
2016-10-05,,63400,
2016-10-06,,63600,
2016-10-07,,64100,
2016-10-08,,64700,
2016-10-09,,65100,
2016-10-10,,65500,
2016-10-11,,65900,
2016-10-12,,66200,
2016-10-13,,66700,
2016-10-14,,66900,
2016-10-15,,67100,
2016-10-16,,67400,
2016-10-17,,67600,
2016-10-18,,67900,
2016-10-19,,68200,
2016-10-20,,68200,
2016-10-21,,68600,
2016-10-22,,69000,
2016-10-23,,69300,
2016-10-24,,69600,
2016-10-25,,69700,
2016-10-26,,70000,
2016-10-27,,70200,
2016-10-28,,70500,
2016-10-29,,70800,
2016-10-30,,71200,
2016-10-31,,71500,
2016-11-01,,71600,
2016-11-02,,71800,
2016-11-03,,71900,
2016-11-04,,72200,
2016-11-05,,72300,
2016-11-06,,72600,
2016-11-07,,72800,
2016-11-08,,72900,
2016-11-09,,73200,
2016-11-10,,73500,
2016-11-11,,73700,
2016-11-12,,74100,
2016-11-13,,74400,
2016-11-14,,74600,
2016-11-15,,74600,
2016-11-16,,74800,
2016-11-17,,74900,
2016-11-18,,75000,
2016-11-19,,75500,
2016-11-20,,75600,
2016-11-21,,75800,
2016-11-22,,75800,
2016-11-23,,75900,
2016-11-24,,76100,
2016-11-25,,76600,
2016-11-26,,76800,
2016-11-27,,77100,
2016-11-28,,77500,
2016-11-29,,77900,
2016-11-30,,78100,
2016-12-01,,78300,
2016-12-02,,78800,
2016-12-03,,79100,
2016-12-04,,79700,
2016-12-05,,79900,
2016-12-06,,80300,
2016-12-07,,80500,
2016-12-08,,80600,
2016-12-09,,80700,
2016-12-10,,81100,
2016-12-11,,81400,
2016-12-12,,81600,
2016-12-13,,81800,
2016-12-14,,81900,
2016-12-15,,82100,
2016-12-16,,82200,
2016-12-17,,82400,
2016-12-18,,82700,
2016-12-19,,82900,
2016-12-20,,83200,
2016-12-21,,83600,
2016-12-22,,83700,
2016-12-23,,84000,
2016-12-24,,84100,
2016-12-25,,84300,
2016-12-26,,84700,
2016-12-27,,85000,
2016-12-28,,85600,
2016-12-29,,86100,
2016-12-30,,86600,
2016-12-31,,87000,
2017-01-01,,87900,
2017-01-02,,88500,
2017-01-03,,89200,
2017-01-04,,89600,
2017-01-05,,89900,
2017-01-06,,90300,
2017-01-07,,90800,
2017-01-08,,91400,
2017-01-09,,91800,
2017-01-10,,92100,
2017-01-11,,92300,
2017-01-12,,92700,
2017-01-13,,93000,
2017-01-14,,93200,
2017-01-15,,93400,
2017-01-16,,93800,
2017-01-17,,94000,
2017-01-18,,94300,
2017-01-19,,94400,
2017-01-20,,95000,
2017-01-21,,95500,
2017-01-22,,96000,
2017-01-23,,96500,
2017-01-24,,97000,
2017-01-25,,97500,
2017-01-26,,97900,
2017-01-27,,98300,
2017-01-28,,98700,
2017-01-29,,99600,
2017-01-30,,99800,
2017-01-31,,100300,
2017-02-01,,100700,
2017-02-02,,101000,
2017-02-03,,101700,
2017-02-04,,102300,
2017-02-05,,102900,
2017-02-06,,103100,
2017-02-07,,103700,
2017-02-08,,104200,
2017-02-09,,104700,
2017-02-10,,104900,
2017-02-11,,105200,
2017-02-12,,105600,
2017-02-13,,105900,
2017-02-14,,106100,
2017-02-15,,106300,
2017-02-16,,106500,
2017-02-17,,106800,
2017-02-18,,107200,
2017-02-19,,107700,
2017-02-20,,108000,
2017-02-21,,108300,
2017-02-22,,108600,
2017-02-23,,108600,
2017-02-24,,109100,
2017-02-25,,109600,
2017-02-26,,109900,
2017-02-27,,110100,
2017-02-28,,110100,
2017-03-01,,110600,
2017-03-02,,110600,
2017-03-03,,110800,
2017-03-04,,111200,
2017-03-05,,112100,
2017-03-06,,112200,
2017-03-07,,112800,
2017-03-08,,113100,
2017-03-09,,113500,
2017-03-10,,113900,
2017-03-11,,114300,
2017-03-12,,114700,
2017-03-13,,115100,
2017-03-14,,115600,
2017-03-15,,116100,
2017-03-16,,116500,
2017-03-17,,116800,
2017-03-18,,117300,
2017-03-19,,118000,
2017-03-20,,118200,
2017-03-21,,118700,
2017-03-22,,119100,
2017-03-23,,119400,
2017-03-24,,119700,
2017-03-25,,120400,
2017-03-26,,120900,
2017-03-27,,121000,
2017-03-28,,121300,
2017-03-29,,121600,
2017-03-30,,121800,
2017-03-31,,121900,
2017-04-01,,122600,
2017-04-02,,122800,
2017-04-03,,122900,
2017-04-04,,123300,
2017-04-05,,123700,
2017-04-06,,124000,
2017-04-07,,124300,
2017-04-08,,125000,
2017-04-09,,125200,
2017-04-10,,125500,
2017-04-11,,125700,
2017-04-12,,126000,
2017-04-13,,126200,
2017-04-14,,126400,
2017-04-15,,126500,
2017-04-16,,126800,
2017-04-17,,127100,
2017-04-18,,127300,
2017-04-19,,127500,
2017-04-20,,127700,
2017-04-21,,127900,
2017-04-22,,128300,
2017-04-23,,128600,
2017-04-24,,128700,
2017-04-25,,128900,
2017-04-26,,129200,
2017-04-27,,129400,
2017-04-28,,129500,
2017-04-29,,129600,
2017-04-30,,129800,
2017-05-01,,130200,
2017-05-02,,133100,
2017-05-03,,143900,
2017-05-04,,154900,
2017-05-05,,167700,
2017-05-06,,188200,
2017-05-07,,207300,
2017-05-08,,220300,
2017-05-09,,235000,
2017-05-10,,248200,
2017-05-11,,259900,
2017-05-12,,272900,
2017-05-13,,292900,
2017-05-14,,310600,
2017-05-15,,320800,
2017-05-16,,332100,
2017-05-17,,341500,
2017-05-18,,351400,
2017-05-19,,362100,
2017-05-20,,376700,
2017-05-21,,392700,
2017-05-22,,404900,
2017-05-23,,415400,
2017-05-24,,424400,
2017-05-25,,433600,
2017-05-26,,443700,
2017-05-27,,458000,
2017-05-28,,471000,
2017-05-29,,483500,
2017-05-30,,494000,
2017-05-31,,503300,
2017-06-01,,511900,
2017-06-02,,521500,
2017-06-03,,534800,
2017-06-04,,548800,
2017-06-05,,558400,
2017-06-06,,567800,
2017-06-07,,576400,
2017-06-08,,583700,
2017-06-09,,593300,
2017-06-10,,601900,
2017-06-11,,610200,
2017-06-12,,616500,
2017-06-13,,623200,
2017-06-14,,628800,
2017-06-15,,635700,
2017-06-16,,641500,
2017-06-17,,648700,
2017-06-18,,654200,
2017-06-19,,659200,
2017-06-20,,663900,
2017-06-21,,669300,
2017-06-22,,673300,
2017-06-23,,678700,
2017-06-24,,684600,
2017-06-25,,690700,
2017-06-26,,694900,
2017-06-27,,700200,
2017-06-28,,704500,
2017-06-29,,709500,
2017-06-30,,713300,
2017-07-01,,718900,
2017-07-02,,723800,
2017-07-03,,727400,
2017-07-04,,731900,
2017-07-05,,735800,
2017-07-06,,739900,
2017-07-07,,744400,
2017-07-08,,748900,
2017-07-09,,752800,
2017-07-10,,756700,
2017-07-11,,760100,
2017-07-12,,763200,
2017-07-13,,766400,
2017-07-14,,769600,
2017-07-15,,773800,
2017-07-16,,777600,
2017-07-17,,780700,
2017-07-18,,783600,
2017-07-19,,785700,
2017-07-20,,789100,
2017-07-21,,792300,
2017-07-22,,795500,
2017-07-23,,798800,
2017-07-24,,801300,
2017-07-25,,804000,
2017-07-26,,806700,
2017-07-27,,808900,
2017-07-28,,811200,
2017-07-29,,814300,
2017-07-30,,818000,
2017-07-31,,820600,
2017-08-01,,822900,
2017-08-02,,825300,
2017-08-03,,826900,
2017-08-04,,829000,
2017-08-05,,832300,
2017-08-06,,834400,
2017-08-07,,836300,
2017-08-08,,838100,
2017-08-09,,840600,
2017-08-10,,842300,
2017-08-11,,843800,
2017-08-12,,846100,
2017-08-13,,848000,
2017-08-14,,849800,
2017-08-15,,850700,
2017-08-16,,852000,
2017-08-17,,853700,
2017-08-18,,855500,
2017-08-19,,857600,
2017-08-20,,859600,
2017-08-21,,860800,
2017-08-22,,862300,
2017-08-23,,863900,
2017-08-24,,865300,
2017-08-25,,867000,
2017-08-26,,869400,
2017-08-27,,872000,
2017-08-28,,873500,
2017-08-29,,875000,
2017-08-30,,876500,
2017-08-31,,878100,
2017-09-01,,879800,
2017-09-02,,882200,
2017-09-03,,883900,
2017-09-04,,885700,
2017-09-05,,887200,
2017-09-06,,888300,
2017-09-07,,889400,
2017-09-08,,891000,
2017-09-09,,893200,
2017-09-10,,895000,
2017-09-11,,896000,
2017-09-12,,896900,
2017-09-13,,898100,
2017-09-14,,899100,
2017-09-15,,900300,
2017-09-16,,901800,
2017-09-17,,903400,
2017-09-18,,904400,
2017-09-19,,905000,
2017-09-20,,906000,
2017-09-21,,907000,
2017-09-22,,908000,
2017-09-23,,909500,
2017-09-24,,911000,
2017-09-25,,912000,
2017-09-26,,913000,
2017-09-27,,913700,
2017-09-28,,914500,
2017-09-29,,915100,
2017-09-30,,916600,
2017-10-01,,918300,
2017-10-02,,919300,
2017-10-03,,920700,
2017-10-04,,921900,
2017-10-05,,923100,
2017-10-06,,924200,
2017-10-07,,925300,
2017-10-08,,926300,
2017-10-09,,927500,
2017-10-10,,928000,
2017-10-11,,928900,
2017-10-12,,929600,
2017-10-13,,930400,
2017-10-14,,932200,
2017-10-15,,933300,
2017-10-16,,934300,
2017-10-17,,935000,
2017-10-18,,935800,
