Date,'',PS4 player count,
2015-02-03,,2200,
2015-02-04,,28600,
2015-02-05,,60200,
2015-02-06,,92900,
2015-02-07,,134000,
2015-02-08,,175400,
2015-02-09,,199500,
2015-02-10,,222100,
2015-02-11,,246000,
2015-02-12,,264900,
2015-02-13,,286600,
2015-02-14,,316000,
2015-02-15,,343700,
2015-02-16,,366700,
2015-02-17,,385100,
2015-02-18,,403300,
2015-02-19,,419900,
2015-02-20,,438000,
2015-02-21,,461300,
2015-02-22,,484800,
2015-02-23,,501200,
2015-02-24,,517400,
2015-02-25,,530800,
2015-02-26,,544700,
2015-02-27,,558400,
2015-02-28,,577300,
2015-03-01,,597300,
2015-03-02,,609800,
2015-03-03,,622500,
2015-03-04,,634800,
2015-03-05,,646000,
2015-03-06,,656300,
2015-03-07,,669800,
2015-03-08,,682200,
2015-03-09,,690600,
2015-03-10,,698400,
2015-03-11,,705900,
2015-03-12,,711900,
2015-03-13,,719700,
2015-03-14,,728400,
2015-03-15,,737500,
2015-03-16,,742100,
2015-03-17,,747300,
2015-03-18,,752100,
2015-03-19,,756600,
2015-03-20,,761600,
2015-03-21,,769000,
2015-03-22,,775600,
2015-03-23,,779900,
2015-03-24,,784000,
2015-03-25,,788100,
2015-03-26,,793500,
2015-03-27,,798700,
2015-03-28,,804200,
2015-03-29,,810100,
2015-03-30,,814100,
2015-03-31,,817100,
2015-04-01,,821100,
2015-04-02,,825300,
2015-04-03,,830700,
2015-04-04,,834600,
2015-04-05,,838200,
2015-04-06,,841700,
2015-04-07,,844500,
2015-04-08,,847000,
2015-04-09,,850400,
2015-04-10,,854600,
2015-04-11,,859800,
2015-04-12,,863700,
2015-04-13,,866500,
2015-04-14,,869300,
2015-04-15,,872100,
2015-04-16,,875100,
2015-04-17,,877400,
2015-04-18,,881500,
2015-04-19,,885000,
2015-04-20,,888000,
2015-04-21,,890300,
2015-04-22,,892400,
2015-04-23,,894400,
2015-04-24,,896000,
2015-04-25,,898900,
2015-04-26,,902300,
2015-04-27,,904500,
2015-04-28,,906600,
2015-04-29,,908300,
2015-04-30,,910300,
2015-05-01,,912200,
2015-05-02,,915600,
2015-05-03,,918000,
2015-05-04,,919800,
2015-05-05,,920800,
2015-05-06,,922300,
2015-05-07,,924200,
2015-05-08,,926000,
2015-05-09,,928300,
2015-05-10,,931000,
2015-05-11,,932500,
2015-05-12,,933800,
2015-05-13,,935000,
2015-05-14,,936500,
2015-05-15,,937700,
2015-05-16,,940300,
2015-05-17,,941900,
2015-05-18,,943400,
2015-05-19,,945100,
2015-05-20,,946800,
2015-05-21,,948100,
2015-05-22,,949300,
2015-05-23,,951000,
2015-05-24,,952800,
2015-05-25,,954400,
2015-05-26,,955700,
2015-05-27,,957200,
2015-05-28,,958400,
2015-05-29,,959400,
2015-05-30,,961100,
2015-05-31,,962100,
2015-06-01,,962800,
2015-06-02,,964000,
2015-06-03,,965300,
2015-06-04,,966800,
2015-06-05,,968100,
2015-06-06,,969200,
2015-06-07,,971000,
2015-06-08,,972000,
2015-06-09,,973500,
2015-06-10,,974700,
2015-06-11,,976000,
2015-06-12,,977100,
2015-06-13,,978500,
2015-06-14,,979900,
2015-06-15,,981200,
2015-06-16,,981800,
2015-06-17,,982600,
2015-06-18,,984000,
2015-06-19,,985100,
2015-06-20,,986400,
2015-06-21,,987600,
2015-06-22,,988900,
2015-06-23,,990000,
2015-06-24,,991800,
2015-06-25,,992700,
2015-06-26,,994100,
2015-06-27,,995700,
2015-06-28,,997000,
2015-06-29,,998100,
2015-06-30,,999200,
2015-07-01,,1000100,
2015-07-02,,1001300,
2015-07-03,,1002000,
2015-07-04,,1002800,
2015-07-05,,1003800,
2015-07-06,,1005200,
2015-07-07,,1006400,
2015-07-08,,1007400,
2015-07-09,,1008600,
2015-07-10,,1009800,
2015-07-11,,1011100,
2015-07-12,,1012600,
2015-07-13,,1013400,
2015-07-14,,1014900,
2015-07-15,,1015800,
2015-07-16,,1016700,
2015-07-17,,1017600,
2015-07-18,,1018500,
2015-07-19,,1019600,
2015-07-20,,1020600,
2015-07-21,,1021400,
2015-07-22,,1022300,
2015-07-23,,1023300,
2015-07-24,,1024400,
2015-07-25,,1025500,
2015-07-26,,1026400,
2015-07-27,,1027500,
2015-07-28,,1028700,
2015-07-29,,1029800,
2015-07-30,,1030600,
2015-07-31,,1031500,
2015-08-01,,1032700,
2015-08-02,,1033900,
2015-08-03,,1034600,
2015-08-04,,1035600,
2015-08-05,,1036300,
2015-08-06,,1037100,
2015-08-07,,1037400,
2015-08-08,,1038400,
2015-08-09,,1039600,
2015-08-10,,1040300,
2015-08-11,,1041100,
2015-08-12,,1041800,
2015-08-13,,1042600,
2015-08-14,,1043300,
2015-08-15,,1044000,
2015-08-16,,1045200,
2015-08-17,,1045700,
2015-08-18,,1046400,
2015-08-19,,1047100,
2015-08-20,,1047600,
2015-08-21,,1048600,
2015-08-22,,1049200,
2015-08-23,,1049700,
2015-08-24,,1050000,
2015-08-25,,1050900,
2015-08-26,,1051300,
2015-08-27,,1051800,
2015-08-28,,1052400,
2015-08-29,,1053000,
2015-08-30,,1053800,
2015-08-31,,1054400,
2015-09-01,,1055200,
2015-09-02,,1056300,
2015-09-03,,1057300,
2015-09-04,,1057700,
2015-09-05,,1058300,
2015-09-06,,1059400,
2015-09-07,,1059800,
2015-09-08,,1060300,
2015-09-09,,1061000,
2015-09-10,,1061400,
2015-09-11,,1062200,
2015-09-12,,1062600,
2015-09-13,,1063000,
2015-09-14,,1064000,
2015-09-15,,1064300,
2015-09-16,,1064700,
2015-09-17,,1065200,
2015-09-18,,1065400,
2015-09-19,,1066200,
2015-09-20,,1066800,
2015-09-21,,1067400,
2015-09-22,,1067800,
2015-09-23,,1068000,
2015-09-24,,1068800,
2015-09-25,,1069300,
2015-09-26,,1070000,
2015-09-27,,1070600,
2015-09-28,,1070800,
2015-09-29,,1071300,
2015-09-30,,1072000,
2015-10-01,,1072700,
2015-10-02,,1073100,
2015-10-03,,1073800,
2015-10-04,,1074300,
2015-10-05,,1074600,
2015-10-06,,1075300,
2015-10-07,,1075700,
2015-10-08,,1076300,
2015-10-09,,1077500,
2015-10-10,,1078200,
2015-10-11,,1078700,
2015-10-12,,1079200,
2015-10-13,,1079600,
2015-10-14,,1080000,
2015-10-15,,1080400,
2015-10-16,,1080700,
2015-10-17,,1081500,
2015-10-18,,1081800,
2015-10-19,,1082100,
2015-10-20,,1082300,
2015-10-21,,1082700,
2015-10-22,,1082900,
2015-10-23,,1083200,
2015-10-24,,1083800,
2015-10-25,,1084100,
2015-10-26,,1084500,
2015-10-27,,1084500,
2015-10-28,,1085000,
2015-10-29,,1085300,
2015-10-30,,1085800,
2015-10-31,,1086000,
2015-11-01,,1086400,
2015-11-02,,1086700,
2015-11-03,,1087000,
2015-11-04,,1087400,
2015-11-05,,1087900,
2015-11-06,,1088400,
2015-11-07,,1089300,
2015-11-08,,1089900,
2015-11-09,,1090300,
2015-11-10,,1090700,
2015-11-11,,1091100,
2015-11-12,,1091300,
2015-11-13,,1092000,
2015-11-14,,1092700,
2015-11-15,,1093200,
2015-11-16,,1093600,
2015-11-17,,1093800,
2015-11-18,,1094100,
2015-11-19,,1094500,
2015-11-20,,1094900,
2015-11-21,,1095600,
2015-11-22,,1096200,
2015-11-23,,1096400,
2015-11-24,,1097000,
2015-11-25,,1097300,
2015-11-26,,1097600,
2015-11-27,,1098000,
2015-11-28,,1098700,
2015-11-29,,1099300,
2015-11-30,,1099900,
2015-12-01,,1100000,
2015-12-02,,1100400,
2015-12-03,,1100600,
2015-12-04,,1100800,
2015-12-05,,1101300,
2015-12-06,,1101800,
2015-12-07,,1102100,
2015-12-08,,1102500,
2015-12-09,,1102900,
2015-12-10,,1103300,
2015-12-11,,1103500,
2015-12-12,,1104200,
2015-12-13,,1104800,
2015-12-14,,1105300,
2015-12-15,,1105600,
2015-12-16,,1106100,
2015-12-17,,1106400,
2015-12-18,,1106800,
2015-12-19,,1107500,
2015-12-20,,1108000,
2015-12-21,,1108300,
2015-12-22,,1108500,
2015-12-23,,1108800,
2015-12-24,,1109400,
2015-12-25,,1109900,
2015-12-26,,1110300,
2015-12-27,,1111000,
2015-12-28,,1111600,
2015-12-29,,1112200,
2015-12-30,,1112300,
2015-12-31,,1112700,
2016-01-01,,1112900,
