Date,PS3 player count,PS4 player count,
2014-02-19,0,200,
2014-02-20,100,400,
2014-02-21,200,900,
2014-02-22,300,1400,
2014-02-23,600,1800,
2014-02-24,900,2200,
2014-02-25,1100,2500,
2014-02-26,1200,2900,
2014-02-27,1500,3300,
2014-02-28,1700,3700,
2014-03-01,2200,4200,
2014-03-02,2700,4900,
2014-03-03,3000,5400,
2014-03-04,3300,5800,
2014-03-05,3600,6200,
2014-03-06,3900,6600,
2014-03-07,4200,7100,
2014-03-08,4500,7500,
2014-03-09,4800,7800,
2014-03-10,4800,8000,
2014-03-11,5200,8300,
2014-03-12,5500,8500,
2014-03-13,5700,9000,
2014-03-14,5900,9200,
2014-03-15,6000,9400,
2014-03-16,6200,9800,
2014-03-17,6300,10200,
2014-03-18,6500,10400,
2014-03-19,6600,10800,
2014-03-20,6800,11100,
2014-03-21,6900,11300,
2014-03-22,7300,11800,
2014-03-23,7500,12300,
2014-03-24,7700,12500,
2014-03-25,7800,12700,
2014-03-26,8100,13000,
2014-03-27,8200,13200,
2014-03-28,8300,13600,
2014-03-29,8600,14000,
2014-03-30,8700,14300,
2014-03-31,8900,14600,
2014-04-01,9000,14800,
2014-04-02,9100,14800,
2014-04-03,9200,15000,
2014-04-04,9200,15100,
2014-04-05,9200,15300,
2014-04-06,9300,15500,
2014-04-07,9500,15800,
2014-04-08,9500,15900,
2014-04-09,9500,16100,
2014-04-10,9700,16200,
2014-04-11,9800,16300,
2014-04-12,9900,16500,
2014-04-13,10100,16800,
2014-04-14,10200,16900,
2014-04-15,10400,17000,
2014-04-16,10700,17300,
2014-04-17,10800,17600,
2014-04-18,10900,17600,
2014-04-19,11100,17900,
2014-04-20,11100,18200,
2014-04-21,11200,18600,
2014-04-22,11300,18700,
2014-04-23,11400,18800,
2014-04-24,11400,19100,
2014-04-25,11400,19200,
2014-04-26,11400,19600,
2014-04-27,11700,19800,
2014-04-28,11700,20100,
2014-04-29,11700,20500,
2014-04-30,11800,20500,
2014-05-01,11900,21000,
2014-05-02,12000,21200,
2014-05-03,12100,21400,
2014-05-04,12200,21900,
2014-05-05,12300,22100,
2014-05-06,12500,22500,
2014-05-07,12700,22700,
2014-05-08,12800,23100,
2014-05-09,12800,23500,
2014-05-10,12900,23900,
2014-05-11,13200,24300,
2014-05-12,13200,24600,
2014-05-13,13400,25000,
2014-05-14,13500,25300,
2014-05-15,13700,25800,
2014-05-16,13800,26100,
2014-05-17,13900,26200,
2014-05-18,14200,26500,
2014-05-19,14300,26800,
2014-05-20,14600,27100,
2014-05-21,14700,27400,
2014-05-22,14700,27800,
2014-05-23,14800,28000,
2014-05-24,14900,28300,
2014-05-25,15000,28700,
2014-05-26,15200,29100,
2014-05-27,15400,29300,
2014-05-28,15500,29600,
2014-05-29,15600,29700,
2014-05-30,15800,29900,
2014-05-31,15900,30200,
2014-06-01,16100,30600,
2014-06-02,16200,30900,
2014-06-03,16400,31100,
2014-06-04,16600,31400,
2014-06-05,16700,31500,
2014-06-06,16800,31700,
2014-06-07,16800,31800,
2014-06-08,16900,32100,
2014-06-09,17000,32200,
2014-06-10,17100,32300,
2014-06-11,17100,32500,
2014-06-12,17100,32600,
2014-06-13,17400,32800,
2014-06-14,17500,33100,
2014-06-15,17600,33300,
2014-06-16,17700,33600,
2014-06-17,17800,33700,
2014-06-18,18000,33900,
2014-06-19,18100,33900,
2014-06-20,18200,34200,
2014-06-21,18400,34300,
2014-06-22,18500,34500,
2014-06-23,18500,34700,
2014-06-24,18600,34900,
2014-06-25,18700,35000,
2014-06-26,18900,35500,
2014-06-27,19000,35700,
2014-06-28,19000,35800,
2014-06-29,19100,36100,
2014-06-30,19200,36300,
2014-07-01,19300,36400,
2014-07-02,19400,36500,
2014-07-03,19600,36700,
2014-07-04,19800,36900,
2014-07-05,19900,37100,
2014-07-06,20000,37300,
2014-07-07,20200,37500,
2014-07-08,20200,37600,
2014-07-09,20200,37800,
2014-07-10,20200,38000,
2014-07-11,20300,38300,
2014-07-12,20500,38600,
2014-07-13,20800,38800,
2014-07-14,21000,39000,
2014-07-15,21200,39200,
2014-07-16,21200,39400,
2014-07-17,21200,39600,
2014-07-18,21400,39800,
2014-07-19,21600,40100,
2014-07-20,21600,40200,
2014-07-21,21700,40300,
2014-07-22,21800,40800,
2014-07-23,21900,41000,
2014-07-24,22100,41300,
2014-07-25,22200,41500,
2014-07-26,22200,41600,
2014-07-27,22300,41900,
2014-07-28,22400,42200,
2014-07-29,22500,42400,
2014-07-30,22600,42700,
2014-07-31,22700,43000,
2014-08-01,22900,43100,
2014-08-02,23000,43400,
2014-08-03,23100,43600,
2014-08-04,23400,43800,
2014-08-05,23400,44000,
2014-08-06,23500,44400,
2014-08-07,23500,44600,
2014-08-08,23600,44900,
2014-08-09,23700,45200,
2014-08-10,23800,45500,
2014-08-11,23800,45700,
2014-08-12,23900,46000,
2014-08-13,23900,46100,
2014-08-14,24000,46400,
2014-08-15,24200,46700,
2014-08-16,24200,47100,
2014-08-17,24400,47300,
2014-08-18,24600,47600,
2014-08-19,24700,47900,
2014-08-20,24800,48100,
2014-08-21,25000,48300,
2014-08-22,25100,48500,
2014-08-23,25300,48800,
2014-08-24,25400,48900,
2014-08-25,25600,49300,
2014-08-26,25700,49500,
2014-08-27,25700,49700,
2014-08-28,25800,50100,
2014-08-29,25900,50300,
2014-08-30,26100,50500,
2014-08-31,26300,50600,
2014-09-01,26500,51000,
2014-09-02,26600,51100,
2014-09-03,26600,51400,
2014-09-04,26700,51700,
2014-09-05,26900,52000,
2014-09-06,27000,52300,
2014-09-07,27100,52600,
2014-09-08,27200,52800,
2014-09-09,27200,53300,
2014-09-10,27300,53700,
2014-09-11,27400,53900,
2014-09-12,27400,54000,
2014-09-13,27500,54300,
2014-09-14,27600,54500,
2014-09-15,27800,54800,
2014-09-16,27800,54900,
2014-09-17,27900,55100,
2014-09-18,27900,55200,
2014-09-19,28000,55400,
2014-09-20,28000,55900,
2014-09-21,28200,56300,
2014-09-22,28300,56500,
2014-09-23,28300,56900,
2014-09-24,28500,57200,
2014-09-25,28700,57800,
2014-09-26,28700,58100,
2014-09-27,28900,58400,
2014-09-28,29000,58700,
2014-09-29,29000,59000,
2014-09-30,29100,59100,
2014-10-01,29100,59300,
2014-10-02,29100,59700,
2014-10-03,29300,59900,
2014-10-04,29400,60200,
2014-10-05,29600,60600,
2014-10-06,29700,60800,
2014-10-07,29800,61100,
2014-10-08,29900,61300,
2014-10-09,30000,61700,
2014-10-10,30100,62200,
2014-10-11,30400,62900,
2014-10-12,30600,63500,
2014-10-13,30700,63700,
2014-10-14,30700,64200,
2014-10-15,30700,64300,
2014-10-16,30800,64800,
2014-10-17,30900,65200,
2014-10-18,31100,66100,
2014-10-19,31200,66900,
2014-10-20,31300,67200,
2014-10-21,31400,67600,
2014-10-22,31600,67900,
2014-10-23,31700,68200,
2014-10-24,31800,68800,
2014-10-25,32000,69100,
2014-10-26,32200,69700,
2014-10-27,32300,70100,
2014-10-28,32400,70500,
