Date,'',PS4 player count,
2015-06-19,,0,
2015-06-20,,1200,
2015-06-21,,1400,
2015-06-22,,3800,
2015-06-23,,68600,
2015-06-24,,109100,
2015-06-25,,134700,
2015-06-26,,157800,
2015-06-27,,184700,
2015-06-28,,208000,
2015-06-29,,231000,
2015-06-30,,253600,
2015-07-01,,276400,
2015-07-02,,298300,
2015-07-03,,320300,
2015-07-04,,344400,
2015-07-05,,366000,
2015-07-06,,389300,
2015-07-07,,415100,
2015-07-08,,440100,
2015-07-09,,465400,
2015-07-10,,487800,
2015-07-11,,514500,
2015-07-12,,541400,
2015-07-13,,565800,
2015-07-14,,589700,
2015-07-15,,614000,
2015-07-16,,637500,
2015-07-17,,662300,
2015-07-18,,691100,
2015-07-19,,717500,
2015-07-20,,739100,
2015-07-21,,761500,
2015-07-22,,784900,
2015-07-23,,807500,
2015-07-24,,830400,
2015-07-25,,854500,
2015-07-26,,882300,
2015-07-27,,903300,
2015-07-28,,925900,
2015-07-29,,944800,
2015-07-30,,965100,
2015-07-31,,985200,
2015-08-01,,1009500,
2015-08-02,,1032300,
2015-08-03,,1050300,
2015-08-04,,1066500,
2015-08-05,,1082300,
2015-08-06,,1099200,
2015-08-07,,1117200,
2015-08-08,,1134700,
2015-08-09,,1155500,
2015-08-10,,1173400,
2015-08-11,,1189600,
2015-08-12,,1208100,
2015-08-13,,1223500,
2015-08-14,,1240900,
2015-08-15,,1260400,
2015-08-16,,1279300,
2015-08-17,,1296300,
2015-08-18,,1315400,
2015-08-19,,1333000,
2015-08-20,,1350400,
2015-08-21,,1365100,
2015-08-22,,1384400,
2015-08-23,,1405900,
2015-08-24,,1419600,
2015-08-25,,1436500,
2015-08-26,,1451700,
2015-08-27,,1466800,
2015-08-28,,1482000,
2015-08-29,,1500000,
2015-08-30,,1520100,
2015-08-31,,1535300,
2015-09-01,,1551700,
2015-09-02,,1566500,
2015-09-03,,1581200,
2015-09-04,,1594900,
2015-09-05,,1612200,
2015-09-06,,1629100,
2015-09-07,,1644300,
2015-09-08,,1657400,
2015-09-09,,1669400,
2015-09-10,,1680800,
2015-09-11,,1693900,
2015-09-12,,1710500,
2015-09-13,,1727400,
2015-09-14,,1738100,
2015-09-15,,1750300,
2015-09-16,,1759800,
2015-09-17,,1770500,
2015-09-18,,1782300,
2015-09-19,,1796100,
2015-09-20,,1811300,
2015-09-21,,1818400,
2015-09-22,,1827200,
2015-09-23,,1838300,
2015-09-24,,1849800,
