Date,PS3 player count,PS4 player count,
2016-08-01,0,300,
2016-08-02,0,6000,
2016-08-03,0,11000,
2016-08-04,0,14700,
2016-08-05,0,17500,
2016-08-06,0,20000,
2016-08-07,0,22300,
2016-08-08,0,24000,
2016-08-09,0,25800,
2016-08-10,0,27300,
2016-08-11,0,28700,
2016-08-12,0,30200,
2016-08-13,0,32000,
2016-08-14,0,33200,
2016-08-15,0,34100,
2016-08-16,0,35400,
2016-08-17,0,36100,
2016-08-18,0,36900,
2016-08-19,0,37300,
2016-08-20,0,38300,
2016-08-21,0,39400,
2016-08-22,0,39900,
2016-08-23,0,40500,
2016-08-24,0,41200,
2016-08-25,0,41600,
2016-08-26,0,42200,
2016-08-27,0,43100,
2016-08-28,0,43800,
2016-08-29,0,44100,
2016-08-30,0,44600,
2016-08-31,0,44800,
2016-09-01,0,45400,
2016-09-02,0,46100,
2016-09-03,0,47000,
2016-09-04,0,47600,
2016-09-05,0,47900,
2016-09-06,0,48400,
2016-09-07,0,48700,
2016-09-08,0,49200,
2016-09-09,0,49400,
2016-09-10,0,49700,
2016-09-11,0,50100,
2016-09-12,100,50400,
2016-09-13,100,51300,
2016-09-14,100,52600,
2016-09-15,200,53100,
2016-09-16,400,54000,
2016-09-17,400,55000,
2016-09-18,600,56100,
2016-09-19,700,57200,
2016-09-20,700,58300,
2016-09-21,800,59100,
2016-09-22,900,60700,
2016-09-23,1000,61500,
2016-09-24,1100,63500,
2016-09-25,1400,65600,
2016-09-26,1600,66500,
2016-09-27,1800,67400,
2016-09-28,1800,68300,
2016-09-29,1800,69100,
2016-09-30,1900,69900,
2016-10-01,2000,71300,
2016-10-02,2200,72400,
2016-10-03,2300,73400,
2016-10-04,2400,74200,
2016-10-05,2500,74700,
2016-10-06,2500,75500,
2016-10-07,2500,76100,
2016-10-08,2700,77200,
2016-10-09,2700,78500,
2016-10-10,2700,79200,
2016-10-11,2900,79900,
2016-10-12,3000,80400,
2016-10-13,3100,81000,
2016-10-14,3200,81700,
2016-10-15,3400,82600,
2016-10-16,3400,83700,
2016-10-17,3500,84100,
2016-10-18,3500,84500,
2016-10-19,3600,84900,
2016-10-20,3600,85400,
2016-10-21,3600,85900,
2016-10-22,3800,86900,
2016-10-23,3800,87200,
2016-10-24,3900,87600,
2016-10-25,3900,88000,
2016-10-26,3900,88600,
2016-10-27,4000,89000,
2016-10-28,4000,90000,
2016-10-29,4100,90900,
2016-10-30,4100,91900,
2016-10-31,4200,92600,
2016-11-01,4200,93300,
2016-11-02,4300,94100,
2016-11-03,4300,94200,
2016-11-04,4400,94900,
2016-11-05,4500,95800,
2016-11-06,4700,96600,
2016-11-07,4800,97000,
2016-11-08,4900,97800,
2016-11-09,4900,98300,
2016-11-10,4900,98600,
2016-11-11,4900,99200,
2016-11-12,4900,99700,
2016-11-13,5000,100200,
2016-11-14,5000,100800,
2016-11-15,5100,101100,
2016-11-16,5100,101400,
2016-11-17,5100,102100,
2016-11-18,5100,102700,
2016-11-19,5200,103000,
2016-11-20,5200,103400,
2016-11-21,5200,103800,
2016-11-22,5200,104100,
2016-11-23,5300,105100,
2016-11-24,5400,106400,
2016-11-25,5400,107700,
2016-11-26,5500,109300,
2016-11-27,5600,110800,
2016-11-28,5600,111900,
2016-11-29,5700,112300,
2016-11-30,5700,113400,
2016-12-01,5900,113800,
2016-12-02,6000,114200,
2016-12-03,6100,115000,
2016-12-04,6200,116300,
2016-12-05,6200,116700,
2016-12-06,6300,117600,
2016-12-07,6300,118100,
2016-12-08,6500,118700,
2016-12-09,6500,119300,
2016-12-10,6500,119900,
2016-12-11,6600,120800,
2016-12-12,6600,121400,
2016-12-13,6600,124000,
2016-12-14,6700,134300,
2016-12-15,7000,139800,
2016-12-16,7300,144200,
2016-12-17,7600,149100,
2016-12-18,7900,154000,
2016-12-19,8100,156700,
2016-12-20,8300,159900,
2016-12-21,8300,162900,
2016-12-22,8600,165500,
2016-12-23,8700,168600,
2016-12-24,8800,171300,
2016-12-25,9200,176100,
2016-12-26,9500,180200,
2016-12-27,9900,183900,
2016-12-28,10100,188100,
2016-12-29,10400,191300,
2016-12-30,10600,194000,
2016-12-31,11000,196200,
2017-01-01,11100,199000,
2017-01-02,11300,202500,
2017-01-03,11400,204300,
2017-01-04,11500,207000,
2017-01-05,11600,208300,
2017-01-06,12000,210200,
2017-01-07,12200,213100,
2017-01-08,12300,216000,
2017-01-09,12500,217000,
2017-01-10,12600,218700,
2017-01-11,12900,220100,
2017-01-12,12900,221400,
2017-01-13,13100,223200,
2017-01-14,13300,224400,
2017-01-15,13400,226700,
2017-01-16,13500,228300,
2017-01-17,13700,229400,
2017-01-18,13700,230600,
2017-01-19,13900,232600,
2017-01-20,14100,234400,
2017-01-21,14300,236300,
2017-01-22,14300,238400,
2017-01-23,14300,239600,
2017-01-24,14500,241200,
2017-01-25,14600,243000,
2017-01-26,14700,244100,
2017-01-27,14700,245100,
2017-01-28,14800,246700,
2017-01-29,14900,249200,
2017-01-30,15000,250600,
2017-01-31,15100,251900,
2017-02-01,15300,253300,
2017-02-02,15400,254000,
2017-02-03,15500,255500,
2017-02-04,15500,256900,
2017-02-05,15600,258400,
2017-02-06,15700,259900,
2017-02-07,15700,261100,
2017-02-08,15800,262400,
2017-02-09,15800,263100,
2017-02-10,15900,263800,
2017-02-11,16000,265300,
2017-02-12,16100,266900,
2017-02-13,16100,267700,
2017-02-14,16100,268700,
2017-02-15,16300,269600,
2017-02-16,16300,270200,
2017-02-17,16400,270800,
2017-02-18,16400,271700,
2017-02-19,16600,273100,
2017-02-20,16600,274300,
2017-02-21,16600,275400,
