Date,PS3 player count,PS4 player count,
2013-09-28,0,0,
2013-09-29,0,0,
2013-09-30,0,0,
2013-10-01,0,0,
2013-10-02,0,0,
2013-10-03,0,0,
2013-10-04,0,0,
2013-10-05,100,0,
2013-10-06,400,0,
2013-10-07,1000,0,
2013-10-08,4000,0,
2013-10-09,10700,0,
2013-10-10,18500,0,
2013-10-11,26800,0,
2013-10-12,38200,0,
2013-10-13,49200,0,
2013-10-14,58800,0,
2013-10-15,65400,0,
2013-10-16,73200,0,
2013-10-17,80900,0,
2013-10-18,89300,0,
2013-10-19,99700,0,
2013-10-20,111000,0,
2013-10-21,118600,0,
2013-10-22,124600,0,
2013-10-23,130200,0,
2013-10-24,136300,0,
2013-10-25,141700,0,
2013-10-26,148000,0,
2013-10-27,156400,0,
2013-10-28,161900,0,
2013-10-29,166700,0,
2013-10-30,171900,0,
2013-10-31,176900,0,
2013-11-01,182800,0,
2013-11-02,189800,0,
2013-11-03,196300,0,
2013-11-04,200600,0,
2013-11-05,204900,0,
2013-11-06,209300,0,
2013-11-07,213900,0,
2013-11-08,218700,0,
2013-11-09,223900,0,
2013-11-10,229800,0,
2013-11-11,235000,0,
2013-11-12,239200,0,
2013-11-13,242800,0,
2013-11-14,245400,0,
2013-11-15,249200,0,
2013-11-16,254100,0,
2013-11-17,258800,0,
2013-11-18,262900,0,
2013-11-19,265300,0,
2013-11-20,268000,0,
2013-11-21,271300,0,
2013-11-22,274200,0,
2013-11-23,278600,0,
2013-11-24,281700,0,
2013-11-25,284100,0,
2013-11-26,286900,0,
2013-11-27,289400,0,
2013-11-28,292800,0,
2013-11-29,296600,0,
2013-11-30,301500,0,
2013-12-01,306400,0,
2013-12-02,309800,0,
2013-12-03,313000,0,
2013-12-04,315800,0,
2013-12-05,319200,0,
2013-12-06,322600,0,
2013-12-07,326700,0,
2013-12-08,331200,0,
2013-12-09,333700,0,
2013-12-10,337000,0,
2013-12-11,339600,0,
2013-12-12,343100,0,
2013-12-13,346000,0,
2013-12-14,350000,0,
2013-12-15,353000,0,
2013-12-16,355100,0,
2013-12-17,358000,0,
2013-12-18,360300,0,
2013-12-19,363200,0,
2013-12-20,366700,0,
2013-12-21,370900,0,
2013-12-22,375100,0,
2013-12-23,379400,0,
2013-12-24,383400,0,
2013-12-25,388200,0,
2013-12-26,394300,0,
2013-12-27,400200,0,
2013-12-28,405900,0,
2013-12-29,411900,0,
2013-12-30,417300,0,
2013-12-31,422200,0,
2014-01-01,427200,0,
2014-01-02,433300,0,
2014-01-03,438200,0,
2014-01-04,442900,0,
2014-01-05,448400,0,
2014-01-06,453100,0,
2014-01-07,457200,0,
2014-01-08,460700,0,
2014-01-09,464600,0,
2014-01-10,468500,0,
2014-01-11,473700,0,
2014-01-12,479000,0,
2014-01-13,482400,0,
2014-01-14,486000,0,
2014-01-15,489100,0,
2014-01-16,492500,0,
2014-01-17,496200,0,
2014-01-18,501300,0,
2014-01-19,506600,0,
2014-01-20,510100,0,
2014-01-21,512700,0,
2014-01-22,515700,0,
2014-01-23,519500,0,
2014-01-24,522900,0,
2014-01-25,527500,0,
2014-01-26,531800,0,
2014-01-27,535800,0,
2014-01-28,539400,0,
2014-01-29,542700,0,
2014-01-30,546300,0,
2014-01-31,549700,0,
2014-02-01,555100,0,
2014-02-02,560100,0,
2014-02-03,563200,0,
2014-02-04,566300,0,
2014-02-05,569400,0,
2014-02-06,571500,0,
2014-02-07,572900,0,
2014-02-08,575600,0,
2014-02-09,579500,0,
2014-02-10,581800,0,
2014-02-11,583900,0,
2014-02-12,586300,0,
2014-02-13,589200,0,
2014-02-14,592100,0,
2014-02-15,596900,0,
2014-02-16,600900,0,
2014-02-17,603800,0,
2014-02-18,606300,0,
2014-02-19,609000,0,
2014-02-20,611900,0,
2014-02-21,614800,0,
2014-02-22,618500,0,
2014-02-23,622100,0,
2014-02-24,624900,0,
2014-02-25,628100,0,
2014-02-26,630600,0,
2014-02-27,633400,0,
2014-02-28,635900,0,
2014-03-01,639900,0,
2014-03-02,643900,0,
2014-03-03,647200,0,
2014-03-04,649100,0,
2014-03-05,651700,0,
2014-03-06,654700,0,
2014-03-07,657400,0,
2014-03-08,660600,0,
2014-03-09,663800,0,
2014-03-10,666200,0,
2014-03-11,668800,0,
2014-03-12,671100,0,
2014-03-13,673200,0,
2014-03-14,675900,0,
2014-03-15,679800,0,
2014-03-16,683400,0,
2014-03-17,685900,0,
2014-03-18,688000,0,
2014-03-19,690500,0,
2014-03-20,692500,0,
2014-03-21,694700,0,
2014-03-22,698100,0,
2014-03-23,701100,0,
2014-03-24,703200,0,
2014-03-25,705200,0,
2014-03-26,707200,0,
2014-03-27,709300,0,
2014-03-28,711800,0,
2014-03-29,715800,0,
2014-03-30,718600,0,
2014-03-31,720800,0,
2014-04-01,722600,0,
2014-04-02,724800,0,
2014-04-03,726500,0,
2014-04-04,728600,0,
2014-04-05,732200,0,
2014-04-06,735400,0,
2014-04-07,737500,0,
2014-04-08,739500,0,
2014-04-09,741400,0,
2014-04-10,743000,0,
2014-04-11,745600,0,
2014-04-12,748200,0,
2014-04-13,751600,0,
2014-04-14,753600,0,
2014-04-15,755800,0,
2014-04-16,758100,0,
2014-04-17,760200,0,
2014-04-18,762700,0,
2014-04-19,766100,0,
2014-04-20,769000,0,
2014-04-21,772000,0,
2014-04-22,774300,0,
2014-04-23,776600,0,
2014-04-24,778700,0,
2014-04-25,780700,0,
2014-04-26,784200,0,
2014-04-27,787600,0,
2014-04-28,790400,0,
2014-04-29,792600,0,
2014-04-30,794400,0,
2014-05-01,797200,0,
2014-05-02,800400,0,
2014-05-03,802900,0,
2014-05-04,806100,0,
2014-05-05,808400,0,
2014-05-06,810600,0,
2014-05-07,812600,0,
2014-05-08,815100,0,
2014-05-09,817400,0,
2014-05-10,820300,0,
2014-05-11,823400,0,
2014-05-12,825200,0,
2014-05-13,827400,0,
2014-05-14,829600,0,
2014-05-15,831400,0,
2014-05-16,833000,0,
2014-05-17,835200,0,
2014-05-18,838500,0,
2014-05-19,840500,0,
2014-05-20,842600,0,
2014-05-21,844600,0,
2014-05-22,846400,0,
2014-05-23,848500,0,
2014-05-24,850800,0,
2014-05-25,853800,0,
2014-05-26,856000,0,
2014-05-27,858100,0,
2014-05-28,860200,0,
2014-05-29,862600,0,
2014-05-30,865300,0,
2014-05-31,868200,0,
2014-06-01,871000,0,
2014-06-02,873100,0,
2014-06-03,875300,0,
2014-06-04,877800,0,
2014-06-05,880100,0,
2014-06-06,881900,0,
2014-06-07,884500,0,
2014-06-08,887400,0,
2014-06-09,889700,0,
2014-06-10,892000,0,
2014-06-11,894300,0,
2014-06-12,896500,0,
2014-06-13,898500,0,
2014-06-14,901400,0,
2014-06-15,904200,0,
2014-06-16,906400,0,
2014-06-17,908900,0,
2014-06-18,911200,0,
2014-06-19,913200,0,
2014-06-20,915200,0,
2014-06-21,917800,0,
2014-06-22,920100,0,
2014-06-23,921900,0,
2014-06-24,923400,0,
2014-06-25,925400,0,
2014-06-26,927700,0,
2014-06-27,929300,0,
2014-06-28,931400,0,
2014-06-29,933400,0,
2014-06-30,935900,0,
2014-07-01,938000,0,
2014-07-02,939800,0,
2014-07-03,941700,0,
2014-07-04,943700,0,
2014-07-05,946200,0,
2014-07-06,948700,0,
2014-07-07,950800,0,
2014-07-08,952600,0,
2014-07-09,954400,0,
2014-07-10,956300,0,
2014-07-11,958200,0,
2014-07-12,960700,0,
2014-07-13,963500,0,
2014-07-14,965200,0,
2014-07-15,967000,0,
2014-07-16,968900,0,
2014-07-17,970900,0,
2014-07-18,973100,0,
2014-07-19,975800,0,
2014-07-20,978500,0,
2014-07-21,981000,0,
2014-07-22,982800,0,
2014-07-23,984900,0,
2014-07-24,987400,0,
2014-07-25,989500,0,
2014-07-26,991200,0,
2014-07-27,994000,0,
2014-07-28,996400,0,
2014-07-29,998700,0,
2014-07-30,1000700,0,
2014-07-31,1003100,0,
2014-08-01,1005000,0,
2014-08-02,1007500,0,
2014-08-03,1010000,0,
2014-08-04,1011800,0,
2014-08-05,1013300,0,
2014-08-06,1015200,0,
2014-08-07,1017000,0,
2014-08-08,1019300,0,
2014-08-09,1021200,0,
2014-08-10,1024000,0,
2014-08-11,1026800,0,
2014-08-12,1028600,0,
2014-08-13,1031700,0,
2014-08-14,1033700,0,
2014-08-15,1035500,0,
2014-08-16,1038200,0,
2014-08-17,1041100,0,
2014-08-18,1042700,0,
2014-08-19,1045200,0,
2014-08-20,1046800,0,
2014-08-21,1049000,0,
2014-08-22,1051000,0,
2014-08-23,1053700,0,
2014-08-24,1055500,0,
2014-08-25,1058100,0,
2014-08-26,1060300,0,
2014-08-27,1062600,0,
2014-08-28,1065000,0,
2014-08-29,1066900,0,
2014-08-30,1069800,0,
2014-08-31,1072800,0,
2014-09-01,1075600,0,
2014-09-02,1077500,0,
2014-09-03,1079500,0,
2014-09-04,1081100,0,
2014-09-05,1082400,0,
