Date,PS3 player count,PS4 player count,
2008-10-15,100,0,
2008-10-16,300,0,
2008-10-17,600,0,
2008-10-18,1000,0,
2008-10-19,1400,0,
2008-10-20,2000,0,
2008-10-21,2500,0,
2008-10-22,3700,0,
2008-10-23,4700,0,
2008-10-24,5400,0,
2008-10-25,6300,0,
2008-10-26,7600,0,
2008-10-27,8500,0,
2008-10-28,9600,0,
2008-10-29,10400,0,
2008-10-30,11300,0,
2008-10-31,12000,0,
2008-11-01,12800,0,
2008-11-02,14400,0,
2008-11-03,15100,0,
2008-11-04,15800,0,
2008-11-05,16700,0,
2008-11-06,17400,0,
2008-11-07,18300,0,
2008-11-08,19100,0,
2008-11-09,20400,0,
2008-11-10,21300,0,
2008-11-11,22200,0,
2008-11-12,22900,0,
2008-11-13,23600,0,
2008-11-14,24200,0,
2008-11-15,24700,0,
2008-11-16,25900,0,
2008-11-17,26700,0,
2008-11-18,27400,0,
2008-11-19,28300,0,
2008-11-20,28700,0,
2008-11-21,29600,0,
2008-11-22,31100,0,
2008-11-23,32200,0,
2008-11-24,32900,0,
2008-11-25,33500,0,
2008-11-26,34200,0,
2008-11-27,34700,0,
2008-11-28,35900,0,
2008-11-29,36800,0,
2008-11-30,37700,0,
2008-12-01,38500,0,
2008-12-02,38900,0,
2008-12-03,39500,0,
2008-12-04,39900,0,
2008-12-05,40600,0,
2008-12-06,41900,0,
2008-12-07,42500,0,
2008-12-08,42800,0,
2008-12-09,43500,0,
2008-12-10,44200,0,
2008-12-11,45100,0,
2008-12-12,46100,0,
2008-12-13,47200,0,
2008-12-14,48100,0,
2008-12-15,48900,0,
2008-12-16,49300,0,
2008-12-17,49800,0,
2008-12-18,50400,0,
2008-12-19,50900,0,
2008-12-20,51900,0,
2008-12-21,52800,0,
2008-12-22,53600,0,
2008-12-23,54500,0,
2008-12-24,55400,0,
2008-12-25,57100,0,
2008-12-26,58200,0,
2008-12-27,59500,0,
2008-12-28,60700,0,
2008-12-29,62100,0,
2008-12-30,63100,0,
2008-12-31,64200,0,
2009-01-01,65400,0,
2009-01-02,66500,0,
2009-01-03,67700,0,
2009-01-04,69000,0,
2009-01-05,70300,0,
2009-01-06,71500,0,
2009-01-07,72400,0,
2009-01-08,72900,0,
2009-01-09,74200,0,
2009-01-10,75400,0,
2009-01-11,76400,0,
2009-01-12,77400,0,
2009-01-13,78000,0,
2009-01-14,78700,0,
2009-01-15,79500,0,
2009-01-16,80500,0,
2009-01-17,82300,0,
2009-01-18,83000,0,
2009-01-19,84000,0,
2009-01-20,84800,0,
2009-01-21,85300,0,
2009-01-22,86000,0,
2009-01-23,86700,0,
2009-01-24,87700,0,
2009-01-25,88900,0,
2009-01-26,89700,0,
2009-01-27,90600,0,
2009-01-28,91300,0,
2009-01-29,92200,0,
2009-01-30,92900,0,
2009-01-31,94500,0,
2009-02-01,95600,0,
2009-02-02,96800,0,
2009-02-03,97600,0,
2009-02-04,98200,0,
2009-02-05,99000,0,
2009-02-06,99900,0,
2009-02-07,101200,0,
2009-02-08,102300,0,
2009-02-09,103300,0,
2009-02-10,104300,0,
2009-02-11,105000,0,
2009-02-12,105800,0,
2009-02-13,106700,0,
2009-02-14,108100,0,
2009-02-15,109500,0,
2009-02-16,110500,0,
2009-02-17,111400,0,
2009-02-18,112400,0,
2009-02-19,113000,0,
2009-02-20,113900,0,
2009-02-21,115000,0,
2009-02-22,116400,0,
2009-02-23,117100,0,
2009-02-24,117900,0,
2009-02-25,118800,0,
2009-02-26,119600,0,
2009-02-27,120900,0,
2009-02-28,122200,0,
2009-03-01,123500,0,
2009-03-02,124100,0,
2009-03-03,125000,0,
2009-03-04,126400,0,
2009-03-05,127200,0,
2009-03-06,128400,0,
2009-03-07,130400,0,
2009-03-08,131700,0,
2009-03-09,132700,0,
2009-03-10,133300,0,
2009-03-11,134000,0,
2009-03-12,134800,0,
2009-03-13,135800,0,
2009-03-14,136900,0,
2009-03-15,138300,0,
2009-03-16,139200,0,
2009-03-17,139600,0,
2009-03-18,140500,0,
2009-03-19,141400,0,
2009-03-20,142200,0,
2009-03-21,142800,0,
2009-03-22,144500,0,
2009-03-23,145500,0,
2009-03-24,146300,0,
2009-03-25,146800,0,
2009-03-26,147700,0,
2009-03-27,148500,0,
2009-03-28,149800,0,
2009-03-29,150800,0,
2009-03-30,151700,0,
2009-03-31,152600,0,
2009-04-01,153500,0,
2009-04-02,154300,0,
2009-04-03,155000,0,
2009-04-04,155700,0,
2009-04-05,156900,0,
2009-04-06,157800,0,
2009-04-07,158500,0,
2009-04-08,159100,0,
2009-04-09,159900,0,
2009-04-10,160500,0,
2009-04-11,161700,0,
2009-04-12,162700,0,
2009-04-13,163500,0,
2009-04-14,164200,0,
2009-04-15,165100,0,
2009-04-16,165900,0,
2009-04-17,166900,0,
2009-04-18,167900,0,
2009-04-19,168700,0,
2009-04-20,169500,0,
2009-04-21,170700,0,
2009-04-22,171600,0,
2009-04-23,172400,0,
2009-04-24,173400,0,
2009-04-25,174800,0,
2009-04-26,176200,0,
2009-04-27,177300,0,
2009-04-28,178000,0,
2009-04-29,178700,0,
2009-04-30,179600,0,
2009-05-01,180900,0,
2009-05-02,182000,0,
2009-05-03,183300,0,
2009-05-04,184300,0,
2009-05-05,184900,0,
2009-05-06,185600,0,
2009-05-07,186200,0,
2009-05-08,187000,0,
2009-05-09,187900,0,
2009-05-10,189000,0,
2009-05-11,190000,0,
2009-05-12,191100,0,
2009-05-13,191900,0,
2009-05-14,192400,0,
2009-05-15,193500,0,
2009-05-16,194500,0,
2009-05-17,195600,0,
2009-05-18,196700,0,
2009-05-19,197500,0,
2009-05-20,198200,0,
2009-05-21,199000,0,
2009-05-22,199900,0,
2009-05-23,201100,0,
2009-05-24,202300,0,
2009-05-25,203300,0,
2009-05-26,204100,0,
2009-05-27,204800,0,
2009-05-28,206200,0,
2009-05-29,207600,0,
2009-05-30,209100,0,
2009-05-31,209900,0,
2009-06-01,210900,0,
2009-06-02,211800,0,
2009-06-03,212700,0,
2009-06-04,213800,0,
2009-06-05,215000,0,
2009-06-06,216000,0,
2009-06-07,217400,0,
2009-06-08,218100,0,
2009-06-09,219300,0,
2009-06-10,220100,0,
2009-06-11,220900,0,
2009-06-12,221900,0,
2009-06-13,222900,0,
2009-06-14,224500,0,
2009-06-15,225300,0,
2009-06-16,226400,0,
2009-06-17,227300,0,
2009-06-18,228200,0,
2009-06-19,229300,0,
2009-06-20,230500,0,
2009-06-21,231700,0,
2009-06-22,232400,0,
2009-06-23,233500,0,
2009-06-24,233900,0,
2009-06-25,234800,0,
2009-06-26,235500,0,
2009-06-27,236800,0,
2009-06-28,238200,0,
2009-06-29,239100,0,
2009-06-30,240100,0,
2009-07-01,241000,0,
2009-07-02,242000,0,
2009-07-03,242900,0,
2009-07-04,243800,0,
2009-07-05,245000,0,
2009-07-06,246000,0,
2009-07-07,246800,0,
2009-07-08,247900,0,
2009-07-09,248500,0,
2009-07-10,249300,0,
2009-07-11,250300,0,
2009-07-12,251300,0,
2009-07-13,252100,0,
2009-07-14,253000,0,
2009-07-15,253900,0,
2009-07-16,255000,0,
2009-07-17,255800,0,
2009-07-18,256800,0,
2009-07-19,258100,0,
2009-07-20,259200,0,
2009-07-21,259800,0,
2009-07-22,260900,0,
2009-07-23,261700,0,
2009-07-24,262800,0,
2009-07-25,263800,0,
2009-07-26,265000,0,
2009-07-27,266000,0,
2009-07-28,267000,0,
2009-07-29,268400,0,
2009-07-30,269200,0,
2009-07-31,270100,0,
2009-08-01,271100,0,
2009-08-02,272100,0,
2009-08-03,273000,0,
2009-08-04,273800,0,
2009-08-05,274700,0,
2009-08-06,275600,0,
2009-08-07,276500,0,
2009-08-08,277400,0,
2009-08-09,278500,0,
2009-08-10,279600,0,
2009-08-11,280400,0,
2009-08-12,281500,0,
2009-08-13,282300,0,
2009-08-14,283400,0,
2009-08-15,284100,0,
2009-08-16,285600,0,
2009-08-17,286500,0,
2009-08-18,287800,0,
2009-08-19,288900,0,
2009-08-20,290000,0,
2009-08-21,291600,0,
2009-08-22,292500,0,
2009-08-23,293800,0,
2009-08-24,294500,0,
2009-08-25,295700,0,
2009-08-26,296800,0,
2009-08-27,298000,0,
2009-08-28,299100,0,
2009-08-29,300200,0,
2009-08-30,301500,0,
2009-08-31,302500,0,
2009-09-01,304000,0,
2009-09-02,305100,0,
2009-09-03,306200,0,
2009-09-04,307600,0,
2009-09-05,309400,0,
2009-09-06,310600,0,
2009-09-07,312000,0,
2009-09-08,313100,0,
2009-09-09,314000,0,
2009-09-10,315000,0,
2009-09-11,315900,0,
2009-09-12,316700,0,
2009-09-13,318100,0,
2009-09-14,318700,0,
2009-09-15,319500,0,
2009-09-16,320700,0,
2009-09-17,322000,0,
2009-09-18,322800,0,
2009-09-19,324300,0,
2009-09-20,326200,0,
2009-09-21,327500,0,
2009-09-22,328500,0,
2009-09-23,329700,0,
2009-09-24,330700,0,
2009-09-25,332000,0,
2009-09-26,333400,0,
2009-09-27,334800,0,
2009-09-28,335600,0,
2009-09-29,336600,0,
2009-09-30,337300,0,
2009-10-01,337900,0,
2009-10-02,338900,0,
2009-10-03,340400,0,
2009-10-04,341700,0,
2009-10-05,343200,0,
2009-10-06,343900,0,
2009-10-07,344900,0,
2009-10-08,346200,0,
2009-10-09,347300,0,
2009-10-10,348200,0,
2009-10-11,349900,0,
2009-10-12,351000,0,
2009-10-13,352000,0,
2009-10-14,352900,0,
2009-10-15,353600,0,
2009-10-16,354600,0,
2009-10-17,356100,0,
2009-10-18,357300,0,
2009-10-19,358200,0,
2009-10-20,359100,0,
2009-10-21,360000,0,
2009-10-22,360900,0,
2009-10-23,361700,0,
2009-10-24,362800,0,
2009-10-25,363900,0,
2009-10-26,365200,0,
2009-10-27,366200,0,
2009-10-28,367100,0,
2009-10-29,368200,0,
2009-10-30,368600,0,
2009-10-31,369600,0,
2009-11-01,371300,0,
2009-11-02,372300,0,
2009-11-03,373100,0,
2009-11-04,374200,0,
2009-11-05,375200,0,
2009-11-06,376300,0,
2009-11-07,377300,0,
2009-11-08,378800,0,
2009-11-09,379800,0,
2009-11-10,380400,0,
2009-11-11,381400,0,
2009-11-12,381900,0,
2009-11-13,382900,0,
2009-11-14,383900,0,
2009-11-15,384900,0,
2009-11-16,385700,0,
2009-11-17,386200,0,
2009-11-18,386600,0,
2009-11-19,387600,0,
2009-11-20,388400,0,
2009-11-21,389300,0,
2009-11-22,390600,0,
2009-11-23,391200,0,
2009-11-24,392100,0,
2009-11-25,392900,0,
2009-11-26,393500,0,
2009-11-27,394200,0,
2009-11-28,395600,0,
2009-11-29,396100,0,
2009-11-30,396900,0,
2009-12-01,397300,0,
2009-12-02,397800,0,
2009-12-03,398900,0,
2009-12-04,399800,0,
2009-12-05,400800,0,
2009-12-06,401800,0,
2009-12-07,402700,0,
2009-12-08,403400,0,
2009-12-09,404300,0,
2009-12-10,405600,0,
2009-12-11,407200,0,
2009-12-12,408800,0,
2009-12-13,410600,0,
2009-12-14,412000,0,
2009-12-15,412400,0,
2009-12-16,414200,0,
2009-12-17,415300,0,
2009-12-18,416500,0,
2009-12-19,417500,0,
2009-12-20,418500,0,
2009-12-21,419900,0,
2009-12-22,421400,0,
2009-12-23,423100,0,
2009-12-24,424000,0,
2009-12-25,425700,0,
2009-12-26,428000,0,
2009-12-27,429900,0,
2009-12-28,431800,0,
2009-12-29,433200,0,
2009-12-30,434800,0,
2009-12-31,436200,0,
2010-01-01,437600,0,
2010-01-02,439300,0,
2010-01-03,440800,0,
2010-01-04,442500,0,
2010-01-05,444100,0,
2010-01-06,445300,0,
2010-01-07,447200,0,
2010-01-08,448300,0,
2010-01-09,449800,0,
2010-01-10,451800,0,
2010-01-11,453100,0,
2010-01-12,454500,0,
2010-01-13,455800,0,
2010-01-14,457100,0,
2010-01-15,457800,0,
2010-01-16,459200,0,
2010-01-17,460900,0,
2010-01-18,462500,0,
2010-01-19,463500,0,
2010-01-20,464900,0,
2010-01-21,466200,0,
2010-01-22,467900,0,
2010-01-23,469900,0,
2010-01-24,471500,0,
2010-01-25,472600,0,
2010-01-26,474000,0,
2010-01-27,475100,0,
2010-01-28,476400,0,
2010-01-29,477600,0,
2010-01-30,479700,0,
2010-01-31,481800,0,
2010-02-01,482800,0,
2010-02-02,484300,0,
2010-02-03,485500,0,
2010-02-04,487100,0,
2010-02-05,488800,0,
2010-02-06,491300,0,
2010-02-07,493600,0,
2010-02-08,495300,0,
2010-02-09,497200,0,
2010-02-10,499000,0,
2010-02-11,501200,0,
2010-02-12,503300,0,
2010-02-13,505700,0,
2010-02-14,507900,0,
2010-02-15,510100,0,
2010-02-16,512000,0,
2010-02-17,513900,0,
2010-02-18,515700,0,
2010-02-19,517500,0,
2010-02-20,520300,0,
2010-02-21,523100,0,
2010-02-22,524700,0,
2010-02-23,526100,0,
2010-02-24,527400,0,
2010-02-25,528700,0,
2010-02-26,530700,0,
2010-02-27,533400,0,
2010-02-28,536300,0,
2010-03-01,537000,0,
2010-03-02,539600,0,
2010-03-03,541600,0,
2010-03-04,543800,0,
2010-03-05,545800,0,
2010-03-06,548100,0,
2010-03-07,550400,0,
2010-03-08,551800,0,
2010-03-09,553600,0,
2010-03-10,555400,0,
2010-03-11,556800,0,
2010-03-12,558400,0,
2010-03-13,560700,0,
2010-03-14,562700,0,
2010-03-15,564400,0,
2010-03-16,566400,0,
2010-03-17,567400,0,
2010-03-18,569000,0,
2010-03-19,570600,0,
2010-03-20,572300,0,
2010-03-21,574900,0,
2010-03-22,576200,0,
2010-03-23,578100,0,
2010-03-24,579100,0,
2010-03-25,580300,0,
2010-03-26,581900,0,
2010-03-27,583600,0,
2010-03-28,585800,0,
2010-03-29,587300,0,
2010-03-30,588800,0,
2010-03-31,589900,0,
2010-04-01,590900,0,
2010-04-02,592100,0,
2010-04-03,593200,0,
2010-04-04,594300,0,
2010-04-05,595400,0,
2010-04-06,596800,0,
2010-04-07,597900,0,
2010-04-08,599000,0,
2010-04-09,600300,0,
2010-04-10,601600,0,
2010-04-11,603100,0,
2010-04-12,604200,0,
2010-04-13,605600,0,
2010-04-14,607000,0,
2010-04-15,607800,0,
2010-04-16,608900,0,
2010-04-17,610100,0,
2010-04-18,611600,0,
2010-04-19,612500,0,
2010-04-20,613500,0,
2010-04-21,614200,0,
2010-04-22,615400,0,
2010-04-23,616500,0,
2010-04-24,617500,0,
2010-04-25,618600,0,
2010-04-26,619500,0,
2010-04-27,620500,0,
2010-04-28,621500,0,
2010-04-29,622200,0,
2010-04-30,623100,0,
2010-05-01,624300,0,
2010-05-02,625300,0,
2010-05-03,626300,0,
2010-05-04,627300,0,
2010-05-05,628400,0,
2010-05-06,629200,0,
2010-05-07,629900,0,
2010-05-08,631500,0,
2010-05-09,632800,0,
2010-05-10,633700,0,
2010-05-11,634800,0,
2010-05-12,635500,0,
2010-05-13,636300,0,
2010-05-14,637600,0,
2010-05-15,638400,0,
2010-05-16,639300,0,
2010-05-17,640300,0,
2010-05-18,641300,0,
2010-05-19,642200,0,
2010-05-20,642900,0,
2010-05-21,643500,0,
2010-05-22,645000,0,
2010-05-23,646300,0,
2010-05-24,647100,0,
2010-05-25,647900,0,
2010-05-26,649000,0,
2010-05-27,650400,0,
2010-05-28,651400,0,
2010-05-29,652700,0,
2010-05-30,654100,0,
2010-05-31,655200,0,
2010-06-01,655800,0,
2010-06-02,656500,0,
2010-06-03,657200,0,
2010-06-04,658200,0,
2010-06-05,659700,0,
2010-06-06,660900,0,
2010-06-07,662100,0,
2010-06-08,663200,0,
2010-06-09,663900,0,
2010-06-10,664800,0,
2010-06-11,665900,0,
2010-06-12,666800,0,
2010-06-13,668400,0,
2010-06-14,669200,0,
2010-06-15,670200,0,
2010-06-16,671000,0,
2010-06-17,672100,0,
2010-06-18,673300,0,
2010-06-19,674400,0,
2010-06-20,675800,0,
2010-06-21,677000,0,
2010-06-22,678300,0,
2010-06-23,679300,0,
2010-06-24,681000,0,
2010-06-25,682000,0,
2010-06-26,682900,0,
2010-06-27,684200,0,
2010-06-28,685200,0,
2010-06-29,686400,0,
2010-06-30,687300,0,
2010-07-01,688300,0,
2010-07-02,689300,0,
2010-07-03,690100,0,
2010-07-04,691400,0,
2010-07-05,692600,0,
2010-07-06,693500,0,
2010-07-07,694400,0,
2010-07-08,695500,0,
2010-07-09,696600,0,
2010-07-10,697500,0,
2010-07-11,698400,0,
2010-07-12,699600,0,
2010-07-13,700700,0,
2010-07-14,701300,0,
2010-07-15,702400,0,
2010-07-16,703500,0,
2010-07-17,704700,0,
2010-07-18,706500,0,
2010-07-19,707700,0,
