Date,'',PS4 player count,
2015-03-19,,100,
2015-03-20,,100,
2015-03-21,,1400,
2015-03-22,,2600,
2015-03-23,,5500,
2015-03-24,,92900,
2015-03-25,,236000,
2015-03-26,,366600,
2015-03-27,,476400,
2015-03-28,,586300,
2015-03-29,,675000,
2015-03-30,,729400,
2015-03-31,,777100,
2015-04-01,,816600,
2015-04-02,,853800,
2015-04-03,,896200,
2015-04-04,,939900,
2015-04-05,,980400,
2015-04-06,,1008900,
2015-04-07,,1034000,
2015-04-08,,1056600,
2015-04-09,,1077600,
2015-04-10,,1099800,
2015-04-11,,1127800,
2015-04-12,,1152700,
2015-04-13,,1168100,
2015-04-14,,1183500,
2015-04-15,,1198200,
2015-04-16,,1211800,
2015-04-17,,1225800,
2015-04-18,,1245400,
2015-04-19,,1264400,
2015-04-20,,1275400,
2015-04-21,,1287100,
2015-04-22,,1298600,
2015-04-23,,1310200,
2015-04-24,,1322000,
2015-04-25,,1340000,
2015-04-26,,1356000,
2015-04-27,,1367000,
2015-04-28,,1376700,
2015-04-29,,1386500,
2015-04-30,,1396900,
2015-05-01,,1409200,
2015-05-02,,1422400,
2015-05-03,,1436700,
2015-05-04,,1446000,
2015-05-05,,1454700,
2015-05-06,,1464000,
2015-05-07,,1471500,
2015-05-08,,1480700,
2015-05-09,,1491500,
2015-05-10,,1502200,
2015-05-11,,1509600,
2015-05-12,,1516600,
2015-05-13,,1523200,
2015-05-14,,1529500,
2015-05-15,,1536100,
2015-05-16,,1545800,
2015-05-17,,1554900,
2015-05-18,,1563000,
2015-05-19,,1569300,
2015-05-20,,1575700,
2015-05-21,,1581500,
2015-05-22,,1587900,
2015-05-23,,1596100,
2015-05-24,,1604600,
2015-05-25,,1612400,
2015-05-26,,1619300,
2015-05-27,,1626400,
2015-05-28,,1633400,
2015-05-29,,1639700,
2015-05-30,,1647900,
2015-05-31,,1657800,
2015-06-01,,1665600,
2015-06-02,,1673200,
2015-06-03,,1679600,
2015-06-04,,1685200,
2015-06-05,,1691000,
2015-06-06,,1698200,
2015-06-07,,1707600,
2015-06-08,,1713800,
2015-06-09,,1719600,
2015-06-10,,1724300,
2015-06-11,,1729900,
2015-06-12,,1735500,
2015-06-13,,1743000,
2015-06-14,,1749500,
2015-06-15,,1754400,
2015-06-16,,1759200,
2015-06-17,,1763500,
2015-06-18,,1767800,
2015-06-19,,1773600,
2015-06-20,,1780500,
2015-06-21,,1788100,
2015-06-22,,1792600,
2015-06-23,,1799300,
2015-06-24,,1804800,
2015-06-25,,1808800,
2015-06-26,,1813700,
2015-06-27,,1820400,
2015-06-28,,1826600,
2015-06-29,,1831100,
2015-06-30,,1836100,
2015-07-01,,1840500,
2015-07-02,,1845400,
2015-07-03,,1850900,
2015-07-04,,1856200,
2015-07-05,,1861600,
2015-07-06,,1866300,
2015-07-07,,1871700,
2015-07-08,,1876300,
2015-07-09,,1881400,
2015-07-10,,1886000,
2015-07-11,,1891700,
2015-07-12,,1896700,
2015-07-13,,1902100,
2015-07-14,,1907600,
2015-07-15,,1912600,
2015-07-16,,1917300,
2015-07-17,,1921700,
2015-07-18,,1928600,
2015-07-19,,1934600,
2015-07-20,,1940700,
2015-07-21,,1945600,
2015-07-22,,1950200,
2015-07-23,,1954300,
2015-07-24,,1959000,
2015-07-25,,1964700,
2015-07-26,,1970400,
2015-07-27,,1975200,
2015-07-28,,1979000,
2015-07-29,,1983400,
2015-07-30,,1987600,
2015-07-31,,1993200,
2015-08-01,,1998800,
2015-08-02,,2005900,
2015-08-03,,2011100,
2015-08-04,,2016600,
2015-08-05,,2021200,
2015-08-06,,2026500,
2015-08-07,,2031000,
2015-08-08,,2036600,
2015-08-09,,2042700,
2015-08-10,,2047500,
2015-08-11,,2052900,
2015-08-12,,2057000,
2015-08-13,,2061500,
2015-08-14,,2066000,
2015-08-15,,2071200,
2015-08-16,,2076200,
2015-08-17,,2080400,
2015-08-18,,2084600,
2015-08-19,,2089200,
2015-08-20,,2093900,
2015-08-21,,2097900,
2015-08-22,,2102300,
2015-08-23,,2106900,
