Date,PS3 player count,PS4 player count,
2009-10-20,1800,0,
2009-10-21,3100,0,
2009-10-22,4400,0,
2009-10-23,6500,0,
2009-10-24,9700,0,
2009-10-25,11700,0,
2009-10-26,13400,0,
2009-10-27,15500,0,
2009-10-28,17800,0,
2009-10-29,20300,0,
2009-10-30,22200,0,
2009-10-31,25400,0,
2009-11-01,28000,0,
2009-11-02,30600,0,
2009-11-03,32800,0,
2009-11-04,35300,0,
2009-11-05,38600,0,
2009-11-06,41400,0,
2009-11-07,45400,0,
2009-11-08,48900,0,
2009-11-09,52100,0,
2009-11-10,54500,0,
2009-11-11,56500,0,
2009-11-12,58300,0,
2009-11-13,60200,0,
2009-11-14,62300,0,
2009-11-15,64400,0,
2009-11-16,66200,0,
2009-11-17,68100,0,
2009-11-18,69300,0,
2009-11-19,71300,0,
2009-11-20,73000,0,
2009-11-21,74900,0,
2009-11-22,76800,0,
2009-11-23,78600,0,
2009-11-24,80000,0,
2009-11-25,81400,0,
2009-11-26,83300,0,
2009-11-27,85600,0,
2009-11-28,87400,0,
2009-11-29,89500,0,
2009-11-30,90900,0,
2009-12-01,92000,0,
2009-12-02,93300,0,
2009-12-03,94700,0,
2009-12-04,96600,0,
2009-12-05,98600,0,
2009-12-06,100000,0,
2009-12-07,101600,0,
2009-12-08,103300,0,
2009-12-09,105200,0,
2009-12-10,107900,0,
2009-12-11,109600,0,
2009-12-12,112900,0,
2009-12-13,115100,0,
2009-12-14,116700,0,
2009-12-15,118300,0,
2009-12-16,120100,0,
2009-12-17,121900,0,
2009-12-18,123600,0,
2009-12-19,126600,0,
2009-12-20,129000,0,
2009-12-21,131500,0,
2009-12-22,133900,0,
2009-12-23,136500,0,
2009-12-24,138700,0,
2009-12-25,143200,0,
2009-12-26,147200,0,
2009-12-27,151000,0,
2009-12-28,154600,0,
2009-12-29,158400,0,
2009-12-30,161900,0,
2009-12-31,165300,0,
2010-01-01,168300,0,
2010-01-02,172300,0,
2010-01-03,175900,0,
2010-01-04,179300,0,
2010-01-05,182300,0,
2010-01-06,184900,0,
2010-01-07,187600,0,
2010-01-08,191500,0,
2010-01-09,195100,0,
2010-01-10,198400,0,
2010-01-11,200700,0,
2010-01-12,202800,0,
2010-01-13,205500,0,
2010-01-14,207400,0,
2010-01-15,209900,0,
2010-01-16,212800,0,
2010-01-17,215600,0,
2010-01-18,218900,0,
2010-01-19,221000,0,
2010-01-20,223000,0,
2010-01-21,225500,0,
2010-01-22,227200,0,
2010-01-23,229500,0,
2010-01-24,232300,0,
2010-01-25,234600,0,
2010-01-26,237000,0,
2010-01-27,239200,0,
2010-01-28,240800,0,
2010-01-29,243100,0,
2010-01-30,246000,0,
2010-01-31,248900,0,
2010-02-01,250900,0,
2010-02-02,253200,0,
2010-02-03,255200,0,
2010-02-04,257500,0,
2010-02-05,260200,0,
2010-02-06,263800,0,
2010-02-07,266800,0,
2010-02-08,269100,0,
2010-02-09,270700,0,
2010-02-10,272800,0,
2010-02-11,275000,0,
2010-02-12,277900,0,
2010-02-13,280900,0,
2010-02-14,283100,0,
2010-02-15,285400,0,
2010-02-16,288300,0,
2010-02-17,290600,0,
2010-02-18,293200,0,
2010-02-19,295900,0,
2010-02-20,298900,0,
2010-02-21,302200,0,
2010-02-22,304000,0,
2010-02-23,305400,0,
2010-02-24,307700,0,
2010-02-25,309300,0,
2010-02-26,311300,0,
2010-02-27,314600,0,
2010-02-28,317700,0,
2010-03-01,319000,0,
2010-03-02,322500,0,
2010-03-03,324900,0,
2010-03-04,327300,0,
2010-03-05,329900,0,
2010-03-06,333000,0,
2010-03-07,336300,0,
2010-03-08,338000,0,
2010-03-09,339800,0,
2010-03-10,342500,0,
2010-03-11,344700,0,
2010-03-12,347800,0,
2010-03-13,350500,0,
2010-03-14,353700,0,
2010-03-15,355500,0,
2010-03-16,357100,0,
2010-03-17,359000,0,
2010-03-18,360500,0,
2010-03-19,362600,0,
2010-03-20,364900,0,
2010-03-21,367000,0,
2010-03-22,368400,0,
2010-03-23,369800,0,
2010-03-24,371200,0,
2010-03-25,372200,0,
2010-03-26,373800,0,
2010-03-27,376000,0,
2010-03-28,378600,0,
2010-03-29,380400,0,
2010-03-30,381800,0,
2010-03-31,383700,0,
2010-04-01,384700,0,
2010-04-02,386500,0,
2010-04-03,388600,0,
2010-04-04,390700,0,
2010-04-05,393000,0,
2010-04-06,394300,0,
2010-04-07,396200,0,
2010-04-08,397800,0,
2010-04-09,399600,0,
2010-04-10,402100,0,
2010-04-11,403500,0,
2010-04-12,404700,0,
2010-04-13,406100,0,
2010-04-14,407300,0,
2010-04-15,409200,0,
2010-04-16,411000,0,
2010-04-17,412700,0,
2010-04-18,414800,0,
2010-04-19,416300,0,
2010-04-20,418000,0,
2010-04-21,419300,0,
2010-04-22,420700,0,
2010-04-23,422300,0,
2010-04-24,423900,0,
2010-04-25,425900,0,
2010-04-26,427400,0,
2010-04-27,428700,0,
2010-04-28,429900,0,
2010-04-29,431200,0,
2010-04-30,432600,0,
2010-05-01,435300,0,
2010-05-02,437600,0,
2010-05-03,439100,0,
2010-05-04,440300,0,
2010-05-05,441300,0,
2010-05-06,443200,0,
2010-05-07,444500,0,
2010-05-08,446100,0,
2010-05-09,447800,0,
2010-05-10,449400,0,
2010-05-11,451200,0,
2010-05-12,452700,0,
2010-05-13,454000,0,
2010-05-14,455800,0,
2010-05-15,458100,0,
2010-05-16,459800,0,
2010-05-17,461200,0,
2010-05-18,463700,0,
2010-05-19,465400,0,
2010-05-20,466800,0,
2010-05-21,468100,0,
