Date,'',PS4 player count,
2016-03-01,,16300,
2016-03-02,,71300,
2016-03-03,,129100,
2016-03-04,,202800,
2016-03-05,,302800,
2016-03-06,,396700,
2016-03-07,,455000,
2016-03-08,,507200,
2016-03-09,,556200,
2016-03-10,,600800,
2016-03-11,,652900,
2016-03-12,,724800,
2016-03-13,,794800,
2016-03-14,,834300,
2016-03-15,,871500,
2016-03-16,,902200,
2016-03-17,,935300,
2016-03-18,,975500,
2016-03-19,,1030200,
2016-03-20,,1080400,
2016-03-21,,1117900,
2016-03-22,,1153300,
2016-03-23,,1189300,
2016-03-24,,1223500,
2016-03-25,,1264100,
2016-03-26,,1307600,
2016-03-27,,1350700,
2016-03-28,,1385100,
2016-03-29,,1411900,
2016-03-30,,1440500,
2016-03-31,,1465600,
2016-04-01,,1493800,
2016-04-02,,1531800,
2016-04-03,,1566700,
2016-04-04,,1592000,
2016-04-05,,1615000,
2016-04-06,,1636500,
2016-04-07,,1657000,
2016-04-08,,1677400,
2016-04-09,,1705900,
2016-04-10,,1728800,
2016-04-11,,1741000,
2016-04-12,,1752400,
2016-04-13,,1761900,
2016-04-14,,1772200,
2016-04-15,,1785600,
2016-04-16,,1803300,
2016-04-17,,1820000,
2016-04-18,,1829800,
2016-04-19,,1840100,
2016-04-20,,1849500,
2016-04-21,,1858300,
2016-04-22,,1867700,
2016-04-23,,1882900,
2016-04-24,,1897600,
2016-04-25,,1906300,
2016-04-26,,1913700,
2016-04-27,,1920800,
2016-04-28,,1927400,
2016-04-29,,1936200,
2016-04-30,,1948400,
2016-05-01,,1960500,
2016-05-02,,1966400,
2016-05-03,,1972500,
2016-05-04,,1979300,
2016-05-05,,1985700,
2016-05-06,,1993900,
2016-05-07,,2002800,
2016-05-08,,2012300,
2016-05-09,,2016800,
2016-05-10,,2022100,
2016-05-11,,2028600,
2016-05-12,,2034000,
2016-05-13,,2040100,
2016-05-14,,2051500,
2016-05-15,,2060600,
2016-05-16,,2066300,
2016-05-17,,2070600,
2016-05-18,,2075500,
2016-05-19,,2081100,
2016-05-20,,2085900,
2016-05-21,,2094200,
2016-05-22,,2103400,
2016-05-23,,2109300,
2016-05-24,,2114200,
2016-05-25,,2118200,
2016-05-26,,2122900,
2016-05-27,,2129200,
2016-05-28,,2137000,
2016-05-29,,2145300,
2016-05-30,,2151000,
2016-05-31,,2156000,
2016-06-01,,2160900,
2016-06-02,,2165700,
2016-06-03,,2170900,
2016-06-04,,2177400,
2016-06-05,,2184400,
2016-06-06,,2189400,
2016-06-07,,2194200,
2016-06-08,,2198400,
2016-06-09,,2202900,
2016-06-10,,2207800,
2016-06-11,,2214500,
2016-06-12,,2221500,
2016-06-13,,2227000,
2016-06-14,,2232100,
2016-06-15,,2236800,
2016-06-16,,2241600,
2016-06-17,,2246500,
2016-06-18,,2252600,
2016-06-19,,2258500,
2016-06-20,,2262600,
2016-06-21,,2266500,
2016-06-22,,2270400,
2016-06-23,,2274400,
2016-06-24,,2278700,
2016-06-25,,2284100,
2016-06-26,,2288800,
2016-06-27,,2293800,
2016-06-28,,2298100,
2016-06-29,,2302400,
2016-06-30,,2305800,
2016-07-01,,2310200,
2016-07-02,,2315400,
2016-07-03,,2320200,
2016-07-04,,2324800,
2016-07-05,,2330200,
2016-07-06,,2334000,
2016-07-07,,2338700,
2016-07-08,,2342400,
2016-07-09,,2347100,
2016-07-10,,2351300,
2016-07-11,,2354900,
2016-07-12,,2358800,
2016-07-13,,2362800,
2016-07-14,,2366600,
2016-07-15,,2370800,
2016-07-16,,2375500,
2016-07-17,,2379600,
2016-07-18,,2382700,
2016-07-19,,2385700,
2016-07-20,,2389200,
2016-07-21,,2392400,
2016-07-22,,2395900,
2016-07-23,,2400000,
2016-07-24,,2403000,
2016-07-25,,2405800,
2016-07-26,,2409100,
2016-07-27,,2411800,
2016-07-28,,2415000,
2016-07-29,,2417500,
2016-07-30,,2421600,
2016-07-31,,2425800,
2016-08-01,,2429800,
2016-08-02,,2433100,
2016-08-03,,2437000,
2016-08-04,,2439900,
2016-08-05,,2442600,
2016-08-06,,2446100,
2016-08-07,,2448900,
2016-08-08,,2450900,
2016-08-09,,2453300,
2016-08-10,,2456100,
2016-08-11,,2459500,
2016-08-12,,2462500,
2016-08-13,,2465600,
2016-08-14,,2468400,
2016-08-15,,2471200,
2016-08-16,,2473700,
2016-08-17,,2476600,
2016-08-18,,2479100,
2016-08-19,,2482200,
2016-08-20,,2486300,
2016-08-21,,2489300,
2016-08-22,,2491400,
2016-08-23,,2493500,
2016-08-24,,2495700,
2016-08-25,,2497900,
2016-08-26,,2499800,
2016-08-27,,2502800,
2016-08-28,,2505800,
2016-08-29,,2507900,
2016-08-30,,2509800,
2016-08-31,,2512100,
2016-09-01,,2514300,
2016-09-02,,2517200,
2016-09-03,,2520000,
2016-09-04,,2523700,
2016-09-05,,2526600,
2016-09-06,,2528900,
2016-09-07,,2531200,
2016-09-08,,2533600,
2016-09-09,,2536500,
2016-09-10,,2540300,
2016-09-11,,2544200,
2016-09-12,,2545700,
2016-09-13,,2548500,
2016-09-14,,2551600,
2016-09-15,,2554300,
2016-09-16,,2557800,
2016-09-17,,2562000,
2016-09-18,,2565800,
2016-09-19,,2568000,
2016-09-20,,2570200,
2016-09-21,,2571600,
2016-09-22,,2572900,
2016-09-23,,2575300,
2016-09-24,,2578200,
2016-09-25,,2581700,
2016-09-26,,2583400,
2016-09-27,,2585100,
2016-09-28,,2587300,
2016-09-29,,2589400,
2016-09-30,,2591200,
2016-10-01,,2594600,
2016-10-02,,2598500,
2016-10-03,,2600300,
2016-10-04,,2602100,
2016-10-05,,2604200,
2016-10-06,,2606400,
2016-10-07,,2608300,
2016-10-08,,2611400,
2016-10-09,,2614800,
2016-10-10,,2617000,
2016-10-11,,2618500,
2016-10-12,,2620900,
2016-10-13,,2622400,
2016-10-14,,2624400,
2016-10-15,,2628200,
2016-10-16,,2631200,
2016-10-17,,2633100,
2016-10-18,,2634900,
2016-10-19,,2636000,
2016-10-20,,2637600,
2016-10-21,,2639500,
2016-10-22,,2642200,
2016-10-23,,2645500,
2016-10-24,,2647400,
2016-10-25,,2648600,
2016-10-26,,2650000,
2016-10-27,,2651400,
2016-10-28,,2653500,
2016-10-29,,2655900,
2016-10-30,,2658700,
2016-10-31,,2660700,
2016-11-01,,2662400,
2016-11-02,,2663800,
2016-11-03,,2664700,
2016-11-04,,2666900,
2016-11-05,,2669700,
2016-11-06,,2672200,
2016-11-07,,2673600,
2016-11-08,,2674800,
2016-11-09,,2676200,
2016-11-10,,2677600,
2016-11-11,,2680000,
2016-11-12,,2682600,
2016-11-13,,2685800,
2016-11-14,,2686700,
2016-11-15,,2687700,
2016-11-16,,2688900,
2016-11-17,,2690300,
2016-11-18,,2692400,
2016-11-19,,2694300,
2016-11-20,,2696700,
2016-11-21,,2698200,
2016-11-22,,2699900,
2016-11-23,,2701700,
2016-11-24,,2703200,
2016-11-25,,2706200,
2016-11-26,,2709500,
2016-11-27,,2712200,
2016-11-28,,2713500,
2016-11-29,,2715200,
2016-11-30,,2716800,
2016-12-01,,2718200,
2016-12-02,,2719900,
2016-12-03,,2723200,
2016-12-04,,2726000,
2016-12-05,,2727700,
2016-12-06,,2729000,
2016-12-07,,2730800,
2016-12-08,,2732100,
2016-12-09,,2734000,
2016-12-10,,2736600,
2016-12-11,,2738700,
2016-12-12,,2740700,
2016-12-13,,2742700,
2016-12-14,,2744200,
2016-12-15,,2745900,
2016-12-16,,2747900,
2016-12-17,,2750600,
2016-12-18,,2753400,
2016-12-19,,2755700,
2016-12-20,,2757400,
2016-12-21,,2759300,
2016-12-22,,2761700,
2016-12-23,,2764100,
2016-12-24,,2766800,
2016-12-25,,2769400,
2016-12-26,,2771700,
2016-12-27,,2774100,
2016-12-28,,2776900,
2016-12-29,,2779300,
2016-12-30,,2781500,
2016-12-31,,2784500,
2017-01-01,,2787600,
2017-01-02,,2790100,
2017-01-03,,2792000,
2017-01-04,,2794200,
2017-01-05,,2796300,
2017-01-06,,2798600,
2017-01-07,,2801400,
2017-01-08,,2803600,
2017-01-09,,2805300,
2017-01-10,,2806600,
2017-01-11,,2807800,
2017-01-12,,2808600,
2017-01-13,,2810200,
2017-01-14,,2812300,
2017-01-15,,2814100,
2017-01-16,,2815900,
2017-01-17,,2817000,
2017-01-18,,2817800,
2017-01-19,,2818800,
2017-01-20,,2821100,
2017-01-21,,2823800,
2017-01-22,,2826000,
2017-01-23,,2827800,
2017-01-24,,2829600,
2017-01-25,,2830900,
2017-01-26,,2832200,
2017-01-27,,2833800,
2017-01-28,,2836800,
2017-01-29,,2839600,
2017-01-30,,2841100,
2017-01-31,,2842500,
2017-02-01,,2844200,
2017-02-02,,2845600,
2017-02-03,,2847200,
2017-02-04,,2850000,
2017-02-05,,2852400,
2017-02-06,,2853500,
2017-02-07,,2854700,
2017-02-08,,2856000,
2017-02-09,,2857200,
2017-02-10,,2858900,
2017-02-11,,2861300,
2017-02-12,,2863100,
2017-02-13,,2864400,
2017-02-14,,2865400,
2017-02-15,,2866300,
2017-02-16,,2867600,
2017-02-17,,2868900,
2017-02-18,,2871300,
2017-02-19,,2873300,
2017-02-20,,2874800,
2017-02-21,,2876000,
2017-02-22,,2877200,
2017-02-23,,2878600,
2017-02-24,,2880200,
2017-02-25,,2882200,
2017-02-26,,2884200,
2017-02-27,,2885600,
2017-02-28,,2886600,
2017-03-01,,2888100,
2017-03-02,,2889100,
2017-03-03,,2890400,
2017-03-04,,2892600,
2017-03-05,,2894800,
2017-03-06,,2896000,
2017-03-07,,2896700,
2017-03-08,,2897800,
2017-03-09,,2899000,
2017-03-10,,2900700,
2017-03-11,,2902900,
2017-03-12,,2904500,
2017-03-13,,2905800,
2017-03-14,,2907400,
2017-03-15,,2908400,
2017-03-16,,2909600,
2017-03-17,,2911500,
2017-03-18,,2913200,
2017-03-19,,2915200,
2017-03-20,,2916100,
2017-03-21,,2916700,
2017-03-22,,2917800,
2017-03-23,,2918700,
2017-03-24,,2920300,
2017-03-25,,2922100,
2017-03-26,,2924000,
2017-03-27,,2924500,
2017-03-28,,2925800,
2017-03-29,,2926800,
2017-03-30,,2928200,
2017-03-31,,2929200,
2017-04-01,,2931700,
2017-04-02,,2933500,
2017-04-03,,2934400,
2017-04-04,,2935400,
2017-04-05,,2936500,
2017-04-06,,2937700,
2017-04-07,,2938900,
2017-04-08,,2940600,
2017-04-09,,2942100,
2017-04-10,,2943000,
2017-04-11,,2944200,
2017-04-12,,2945100,
2017-04-13,,2946100,
2017-04-14,,2947900,
2017-04-15,,2950300,
2017-04-16,,2952500,
2017-04-17,,2954100,
