Date,'',PS4 player count,PS Vita player count
2015-04-29,,200,0
2015-04-30,,400,0
2015-05-01,,700,0
2015-05-02,,1000,0
2015-05-03,,1300,0
2015-05-04,,1600,0
2015-05-05,,1700,100
2015-05-06,,1700,100
2015-05-07,,2000,100
2015-05-08,,2000,100
2015-05-09,,2100,100
2015-05-10,,2500,100
2015-05-11,,2600,100
2015-05-12,,2700,100
2015-05-13,,2900,100
2015-05-14,,3000,100
2015-05-15,,3000,100
2015-05-16,,3100,100
2015-05-17,,3300,100
2015-05-18,,3400,100
2015-05-19,,3500,200
2015-05-20,,3800,200
2015-05-21,,3900,200
2015-05-22,,3900,200
2015-05-23,,3900,200
2015-05-24,,4000,200
2015-05-25,,4300,200
2015-05-26,,4300,200
2015-05-27,,4400,200
2015-05-28,,4500,200
2015-05-29,,4500,200
2015-05-30,,4600,200
2015-05-31,,4800,200
2015-06-01,,4800,300
2015-06-02,,4800,300
2015-06-03,,4800,300
2015-06-04,,4800,300
2015-06-05,,4800,300
2015-06-06,,4800,300
2015-06-07,,4800,300
2015-06-08,,4800,300
2015-06-09,,4800,300
2015-06-10,,4800,300
2015-06-11,,4900,300
2015-06-12,,4900,300
2015-06-13,,4900,300
2015-06-14,,5000,300
2015-06-15,,5000,400
2015-06-16,,5100,400
2015-06-17,,5200,400
2015-06-18,,5200,400
2015-06-19,,5200,400
2015-06-20,,5200,400
2015-06-21,,5300,400
2015-06-22,,5300,400
2015-06-23,,5300,400
2015-06-24,,5400,400
2015-06-25,,5500,400
2015-06-26,,5600,400
2015-06-27,,5700,400
2015-06-28,,5800,400
2015-06-29,,5800,400
2015-06-30,,5900,400
2015-07-01,,5900,400
2015-07-02,,5900,400
2015-07-03,,6000,400
2015-07-04,,6000,400
2015-07-05,,6000,400
2015-07-06,,6000,500
2015-07-07,,6000,500
2015-07-08,,6000,500
2015-07-09,,6000,500
2015-07-10,,6000,500
2015-07-11,,6000,500
2015-07-12,,6100,500
2015-07-13,,6100,500
2015-07-14,,6100,500
2015-07-15,,6200,500
2015-07-16,,6300,500
2015-07-17,,6300,500
2015-07-18,,6300,500
2015-07-19,,6400,500
2015-07-20,,6500,500
2015-07-21,,6500,500
2015-07-22,,6600,500
2015-07-23,,6600,500
2015-07-24,,6600,500
2015-07-25,,6700,600
2015-07-26,,6700,600
2015-07-27,,6700,600
2015-07-28,,6700,600
2015-07-29,,6700,600
2015-07-30,,6800,600
2015-07-31,,6800,600
2015-08-01,,6800,600
2015-08-02,,6900,600
2015-08-03,,6900,600
2015-08-04,,7000,600
2015-08-05,,7100,600
2015-08-06,,7100,600
2015-08-07,,7100,600
2015-08-08,,7100,600
2015-08-09,,7200,600
2015-08-10,,7200,600
2015-08-11,,7200,600
2015-08-12,,7200,600
2015-08-13,,7200,600
2015-08-14,,7200,600
2015-08-15,,7200,600
2015-08-16,,7300,600
2015-08-17,,7500,600
2015-08-18,,7500,600
2015-08-19,,7500,600
2015-08-20,,7500,600
2015-08-21,,7500,600
2015-08-22,,7600,600
2015-08-23,,7600,600
2015-08-24,,7700,600
2015-08-25,,7700,600
2015-08-26,,7700,600
2015-08-27,,7700,600
2015-08-28,,7700,600
2015-08-29,,7700,600
2015-08-30,,7700,600
2015-08-31,,7700,600
2015-09-01,,7800,600
2015-09-02,,7900,600
2015-09-03,,7900,600
2015-09-04,,7900,600
2015-09-05,,7900,600
2015-09-06,,8000,600
2015-09-07,,8100,600
2015-09-08,,8200,600
2015-09-09,,8200,600
2015-09-10,,8200,600
2015-09-11,,8200,600
2015-09-12,,8300,600
2015-09-13,,8300,600
2015-09-14,,8300,600
2015-09-15,,8300,600
2015-09-16,,8300,600
2015-09-17,,8300,600
2015-09-18,,8300,600
2015-09-19,,8300,600
2015-09-20,,8300,600
2015-09-21,,8300,600
2015-09-22,,8300,600
2015-09-23,,8300,600
2015-09-24,,8300,600
2015-09-25,,8300,600
2015-09-26,,8400,600
2015-09-27,,8400,600
2015-09-28,,8400,600
2015-09-29,,8400,600
2015-09-30,,8400,600
2015-10-01,,8400,600
2015-10-02,,8500,600
2015-10-03,,8500,600
2015-10-04,,8500,600
2015-10-05,,8500,600
2015-10-06,,15200,700
2015-10-07,,30200,1100
2015-10-08,,45800,1600
2015-10-09,,62300,1900
2015-10-10,,81800,2500
2015-10-11,,98800,3100
2015-10-12,,112500,3500
2015-10-13,,127700,3600
2015-10-14,,140300,3900
2015-10-15,,152600,4000
2015-10-16,,164200,4200
2015-10-17,,179800,4500
2015-10-18,,195200,4600
2015-10-19,,205600,4700
2015-10-20,,215000,4800
2015-10-21,,224200,4900
2015-10-22,,233900,5200
2015-10-23,,243100,5300
2015-10-24,,255900,5600
2015-10-25,,268000,6000
2015-10-26,,275200,6300
2015-10-27,,283200,6400
2015-10-28,,291000,6500
2015-10-29,,298900,6800
2015-10-30,,306900,7200
2015-10-31,,317700,7300
2015-11-01,,328800,7400
2015-11-02,,336100,7800
2015-11-03,,344600,8300
2015-11-04,,352500,8400
2015-11-05,,359400,8500
2015-11-06,,366900,8600
2015-11-07,,376900,8800
2015-11-08,,383800,8800
2015-11-09,,388700,8900
2015-11-10,,394800,9100
2015-11-11,,400800,9200
2015-11-12,,406000,9200
2015-11-13,,409800,9200
2015-11-14,,416500,9200
2015-11-15,,422100,9300
2015-11-16,,425100,9300
2015-11-17,,428400,9300
2015-11-18,,432300,9300
2015-11-19,,435800,9400
2015-11-20,,439300,9400
2015-11-21,,443000,9400
2015-11-22,,448100,9400
2015-11-23,,450300,9400
2015-11-24,,453300,9500
2015-11-25,,456400,9500
2015-11-26,,459400,9500
2015-11-27,,462700,9600
2015-11-28,,466100,9700
2015-11-29,,470400,9800
2015-11-30,,473000,9800
2015-12-01,,474900,9800
2015-12-02,,477500,9800
2015-12-03,,480000,9900
2015-12-04,,481800,9900
2015-12-05,,484800,9900
2015-12-06,,488400,9900
2015-12-07,,490300,10000
2015-12-08,,492100,10100
2015-12-09,,494000,10100
2015-12-10,,496100,10100
2015-12-11,,498400,10100
2015-12-12,,501300,10100
2015-12-13,,503600,10200
2015-12-14,,504900,10200
2015-12-15,,506900,10300
2015-12-16,,508500,10300
2015-12-17,,510600,10300
2015-12-18,,512700,10300
2015-12-19,,515000,10400
2015-12-20,,517800,10400
2015-12-21,,520000,10400
2015-12-22,,521700,10400
2015-12-23,,523900,10400
2015-12-24,,526000,10400
2015-12-25,,528800,10400
2015-12-26,,531300,10500
2015-12-27,,533400,10500
2015-12-28,,535400,10500
2015-12-29,,537700,10500
2015-12-30,,539300,10600
2015-12-31,,541000,10600
2016-01-01,,543200,10700
2016-01-02,,545200,10800
2016-01-03,,546900,11000
