Date,PS3 player count,PS4 player count,
2011-02-17,0,0,
2011-02-18,100,0,
2011-02-19,200,0,
2011-02-20,300,0,
2011-02-21,500,0,
2011-02-22,1000,0,
2011-02-23,2000,0,
2011-02-24,3700,0,
2011-02-25,5600,0,
2011-02-26,8200,0,
2011-02-27,11700,0,
2011-02-28,14500,0,
2011-03-01,17000,0,
2011-03-02,19800,0,
2011-03-03,22300,0,
2011-03-04,25800,0,
2011-03-05,28800,0,
2011-03-06,32500,0,
2011-03-07,35400,0,
2011-03-08,38500,0,
2011-03-09,40400,0,
2011-03-10,43800,0,
2011-03-11,46700,0,
2011-03-12,49900,0,
2011-03-13,53800,0,
2011-03-14,57100,0,
2011-03-15,60100,0,
2011-03-16,62500,0,
2011-03-17,64500,0,
2011-03-18,66600,0,
2011-03-19,69500,0,
2011-03-20,71900,0,
2011-03-21,74300,0,
2011-03-22,76900,0,
2011-03-23,79300,0,
2011-03-24,81200,0,
2011-03-25,82800,0,
2011-03-26,85500,0,
2011-03-27,88600,0,
2011-03-28,90900,0,
2011-03-29,92700,0,
2011-03-30,94000,0,
2011-03-31,95500,0,
2011-04-01,97300,0,
2011-04-02,99200,0,
2011-04-03,101600,0,
2011-04-04,103300,0,
2011-04-05,104800,0,
2011-04-06,105500,0,
2011-04-07,107000,0,
2011-04-08,108400,0,
2011-04-09,110500,0,
2011-04-10,113000,0,
2011-04-11,114300,0,
2011-04-12,116100,0,
2011-04-13,117700,0,
2011-04-14,119500,0,
2011-04-15,120900,0,
2011-04-16,122200,0,
2011-04-17,124100,0,
2011-04-18,125700,0,
2011-04-19,127400,0,
2011-04-20,129000,0,
2011-04-21,129300,0,
2011-04-22,129300,0,
2011-04-23,129300,0,
2011-04-24,129300,0,
2011-04-25,129300,0,
2011-04-26,129300,0,
2011-04-27,129300,0,
2011-04-28,129300,0,
2011-04-29,129400,0,
2011-04-30,129400,0,
2011-05-01,129400,0,
2011-05-02,129400,0,
2011-05-03,129400,0,
2011-05-04,129400,0,
2011-05-05,129400,0,
2011-05-06,129400,0,
2011-05-07,129400,0,
2011-05-08,129400,0,
2011-05-09,129400,0,
2011-05-10,129500,0,
2011-05-11,129500,0,
2011-05-12,129500,0,
2011-05-13,129500,0,
2011-05-14,129500,0,
2011-05-15,134000,0,
2011-05-16,138900,0,
2011-05-17,142200,0,
2011-05-18,144500,0,
2011-05-19,146300,0,
2011-05-20,148500,0,
2011-05-21,150800,0,
2011-05-22,152600,0,
2011-05-23,154300,0,
2011-05-24,155500,0,
2011-05-25,156500,0,
2011-05-26,158500,0,
2011-05-27,159900,0,
2011-05-28,162000,0,
2011-05-29,164000,0,
2011-05-30,166000,0,
2011-05-31,167400,0,
2011-06-01,169000,0,
2011-06-02,170500,0,
2011-06-03,171700,0,
2011-06-04,173600,0,
2011-06-05,174700,0,
2011-06-06,176600,0,
2011-06-07,178000,0,
2011-06-08,179700,0,
2011-06-09,181500,0,
2011-06-10,182600,0,
2011-06-11,184500,0,
2011-06-12,186500,0,
2011-06-13,187800,0,
2011-06-14,189500,0,
2011-06-15,190300,0,
2011-06-16,191400,0,
2011-06-17,192700,0,
2011-06-18,194200,0,
2011-06-19,195500,0,
2011-06-20,197000,0,
2011-06-21,198200,0,
2011-06-22,199100,0,
2011-06-23,199800,0,
2011-06-24,200900,0,
2011-06-25,202000,0,
2011-06-26,203100,0,
2011-06-27,203900,0,
2011-06-28,205100,0,
2011-06-29,206500,0,
2011-06-30,207600,0,
2011-07-01,209000,0,
2011-07-02,210000,0,
2011-07-03,211100,0,
2011-07-04,212300,0,
2011-07-05,213300,0,
2011-07-06,214000,0,
2011-07-07,215000,0,
2011-07-08,216000,0,
2011-07-09,217200,0,
2011-07-10,218500,0,
2011-07-11,219900,0,
2011-07-12,220400,0,
2011-07-13,221400,0,
2011-07-14,222300,0,
2011-07-15,223200,0,
2011-07-16,224200,0,
2011-07-17,225600,0,
2011-07-18,226700,0,
2011-07-19,227600,0,
2011-07-20,228400,0,
2011-07-21,229300,0,
