Date,PS3 player count,PS4 player count,
2015-10-27,0,0,
2015-10-28,0,300,
2015-10-29,0,900,
2015-10-30,0,2300,
2015-10-31,0,3800,
2015-11-01,0,4600,
2015-11-02,0,5900,
2015-11-03,0,8600,
2015-11-04,800,23100,
2015-11-05,2600,156200,
2015-11-06,34000,1521800,
2015-11-07,74100,2736300,
2015-11-08,107400,3388200,
2015-11-09,137100,3751600,
2015-11-10,164600,4053800,
2015-11-11,195100,4339400,
2015-11-12,216800,4560700,
2015-11-13,242600,4796500,
2015-11-14,275200,5121300,
2015-11-15,302300,5378100,
2015-11-16,324000,5519200,
2015-11-17,341100,5645700,
2015-11-18,356900,5763000,
2015-11-19,372100,5883100,
2015-11-20,390300,6030400,
2015-11-21,415200,6227300,
2015-11-22,437800,6400300,
2015-11-23,457600,6499800,
2015-11-24,472400,6590900,
2015-11-25,490800,6695800,
2015-11-26,506200,6814600,
2015-11-27,529100,6990400,
2015-11-28,552700,7196400,
2015-11-29,574700,7360500,
2015-11-30,588700,7456800,
2015-12-01,601000,7543200,
2015-12-02,614200,7628700,
2015-12-03,624900,7714900,
2015-12-04,638300,7812700,
2015-12-05,658700,7961000,
2015-12-06,675800,8095300,
2015-12-07,688600,8181200,
2015-12-08,699200,8252400,
2015-12-09,710900,8321000,
2015-12-10,720400,8389000,
2015-12-11,731300,8481200,
2015-12-12,749800,8613400,
2015-12-13,767000,8733400,
2015-12-14,780800,8807800,
2015-12-15,793000,8876400,
2015-12-16,805200,8944600,
2015-12-17,816600,9019200,
2015-12-18,829900,9110300,
2015-12-19,848500,9244400,
2015-12-20,867000,9373200,
2015-12-21,885000,9486400,
2015-12-22,899900,9599400,
2015-12-23,917900,9720200,
2015-12-24,942300,9893900,
2015-12-25,1003400,10511300,
2015-12-26,1052000,11010700,
2015-12-27,1095200,11405900,
2015-12-28,1135500,11714200,
2015-12-29,1168600,11953500,
2015-12-30,1202100,12162600,
2015-12-31,1231300,12352000,
2016-01-01,1256100,12523500,
2016-01-02,1280400,12699900,
