Date,PS3 player count,PS4 player count,
2009-11-05,200,0,
2009-11-06,1100,0,
2009-11-07,4600,0,
2009-11-08,8200,0,
2009-11-09,15300,0,
2009-11-10,57900,0,
2009-11-11,119500,0,
2009-11-12,160700,0,
2009-11-13,201600,0,
2009-11-14,248500,0,
2009-11-15,287600,0,
2009-11-16,322000,0,
2009-11-17,354600,0,
2009-11-18,381600,0,
2009-11-19,405300,0,
2009-11-20,433700,0,
2009-11-21,468000,0,
2009-11-22,500300,0,
2009-11-23,527200,0,
2009-11-24,551800,0,
2009-11-25,577900,0,
2009-11-26,608500,0,
2009-11-27,640100,0,
2009-11-28,673300,0,
2009-11-29,703700,0,
2009-11-30,726700,0,
2009-12-01,749900,0,
2009-12-02,773400,0,
2009-12-03,796000,0,
2009-12-04,819800,0,
2009-12-05,850000,0,
2009-12-06,877900,0,
2009-12-07,901200,0,
2009-12-08,924200,0,
2009-12-09,954400,0,
2009-12-10,980000,0,
2009-12-11,1006000,0,
2009-12-12,1041200,0,
2009-12-13,1075900,0,
2009-12-14,1105200,0,
2009-12-15,1134200,0,
2009-12-16,1162400,0,
2009-12-17,1188200,0,
2009-12-18,1217300,0,
2009-12-19,1253400,0,
2009-12-20,1286000,0,
2009-12-21,1317300,0,
2009-12-22,1348100,0,
2009-12-23,1380900,0,
2009-12-24,1416200,0,
2009-12-25,1467500,0,
2009-12-26,1516100,0,
2009-12-27,1560900,0,
2009-12-28,1606600,0,
2009-12-29,1650500,0,
2009-12-30,1695600,0,
2009-12-31,1736400,0,
2010-01-01,1776700,0,
2010-01-02,1823900,0,
2010-01-03,1867300,0,
2010-01-04,1902700,0,
2010-01-05,1936800,0,
2010-01-06,1970400,0,
2010-01-07,2004300,0,
2010-01-08,2037100,0,
2010-01-09,2080300,0,
2010-01-10,2122800,0,
2010-01-11,2153000,0,
2010-01-12,2181200,0,
2010-01-13,2209300,0,
2010-01-14,2238100,0,
2010-01-15,2267200,0,
2010-01-16,2304000,0,
2010-01-17,2340900,0,
2010-01-18,2375300,0,
2010-01-19,2402400,0,
2010-01-20,2430600,0,
2010-01-21,2458200,0,
2010-01-22,2487200,0,
2010-01-23,2528500,0,
2010-01-24,2567200,0,
2010-01-25,2593600,0,
2010-01-26,2620900,0,
2010-01-27,2647300,0,
2010-01-28,2673700,0,
2010-01-29,2706600,0,
2010-01-30,2744500,0,
2010-01-31,2781500,0,
2010-02-01,2808400,0,
2010-02-02,2835500,0,
2010-02-03,2861900,0,
2010-02-04,2888000,0,
2010-02-05,2917100,0,
2010-02-06,2954800,0,
2010-02-07,2992300,0,
2010-02-08,3019700,0,
2010-02-09,3047300,0,
2010-02-10,3076200,0,
2010-02-11,3103800,0,
2010-02-12,3132700,0,
2010-02-13,3166300,0,
2010-02-14,3202400,0,
2010-02-15,3236200,0,
2010-02-16,3267600,0,
2010-02-17,3295800,0,
2010-02-18,3324100,0,
2010-02-19,3354800,0,
2010-02-20,3392000,0,
2010-02-21,3430000,0,
2010-02-22,3456900,0,
2010-02-23,3484500,0,
2010-02-24,3508600,0,
2010-02-25,3531800,0,
2010-02-26,3560400,0,
2010-02-27,3598900,0,
2010-02-28,3635000,0,
2010-03-01,3648800,0,
2010-03-02,3676400,0,
