Date,'',PS4 player count,
2016-10-03,,100,
2016-10-04,,3100,
2016-10-05,,15900,
2016-10-06,,27900,
2016-10-07,,41400,
2016-10-08,,56300,
2016-10-09,,69300,
2016-10-10,,81800,
2016-10-11,,91700,
2016-10-12,,101600,
2016-10-13,,113300,
2016-10-14,,133700,
2016-10-15,,147800,
2016-10-16,,159000,
2016-10-17,,166300,
2016-10-18,,174900,
2016-10-19,,183300,
2016-10-20,,192400,
2016-10-21,,199700,
2016-10-22,,208600,
2016-10-23,,218300,
2016-10-24,,225600,
2016-10-25,,234500,
2016-10-26,,242000,
2016-10-27,,249800,
2016-10-28,,258700,
2016-10-29,,269700,
2016-10-30,,290800,
2016-10-31,,330300,
2016-11-01,,365000,
2016-11-02,,393600,
2016-11-03,,459100,
2016-11-04,,680500,
2016-11-05,,912100,
2016-11-06,,1069500,
2016-11-07,,1161700,
2016-11-08,,1242900,
2016-11-09,,1306400,
2016-11-10,,1365500,
2016-11-11,,1443400,
2016-11-12,,1522900,
2016-11-13,,1610100,
2016-11-14,,1654900,
2016-11-15,,1696300,
2016-11-16,,1731500,
2016-11-17,,1765300,
2016-11-18,,1803800,
2016-11-19,,1855600,
2016-11-20,,1902900,
2016-11-21,,1933200,
2016-11-22,,1966800,
2016-11-23,,2000800,
2016-11-24,,2041800,
2016-11-25,,2099800,
2016-11-26,,2171900,
2016-11-27,,2233100,
2016-11-28,,2272100,
2016-11-29,,2304100,
2016-11-30,,2333300,
2016-12-01,,2364300,
2016-12-02,,2399700,
2016-12-03,,2444500,
2016-12-04,,2485700,
2016-12-05,,2510400,
2016-12-06,,2533200,
2016-12-07,,2554500,
2016-12-08,,2577300,
2016-12-09,,2602300,
2016-12-10,,2637200,
2016-12-11,,2671500,
2016-12-12,,2693900,
2016-12-13,,2714600,
2016-12-14,,2736600,
2016-12-15,,2763700,
2016-12-16,,2796200,
2016-12-17,,2835200,
2016-12-18,,2874600,
2016-12-19,,2906600,
2016-12-20,,2934300,
2016-12-21,,2963700,
2016-12-22,,2998500,
2016-12-23,,3033900,
2016-12-24,,3075900,
2016-12-25,,3165000,
2016-12-26,,3273600,
2016-12-27,,3365600,
2016-12-28,,3440400,
2016-12-29,,3509900,
2016-12-30,,3571900,
2016-12-31,,3626600,
2017-01-01,,3686000,
2017-01-02,,3737400,
2017-01-03,,3778000,
2017-01-04,,3812800,
2017-01-05,,3847000,
2017-01-06,,3882100,
2017-01-07,,3929400,
2017-01-08,,3970700,
2017-01-09,,3996900,
2017-01-10,,4021200,
2017-01-11,,4044600,
2017-01-12,,4064300,
2017-01-13,,4089500,
2017-01-14,,4125900,
2017-01-15,,4158600,
2017-01-16,,4184600,
2017-01-17,,4204400,
2017-01-18,,4223000,
2017-01-19,,4242000,
2017-01-20,,4262400,
2017-01-21,,4292600,
2017-01-22,,4323400,
2017-01-23,,4340800,
2017-01-24,,4357700,
2017-01-25,,4372600,
2017-01-26,,4389300,
