Date,'',PS4 player count,
2017-10-27,,0,
2017-10-28,,0,
2017-10-29,,400,
2017-10-30,,2500,
2017-10-31,,5800,
2017-11-01,,16900,
2017-11-02,,202500,
2017-11-03,,1800300,
2017-11-04,,2952100,
2017-11-05,,3672600,
2017-11-06,,4152500,
2017-11-07,,4542300,
2017-11-08,,4866800,
2017-11-09,,5152500,
2017-11-10,,5482400,
2017-11-11,,5902700,
2017-11-12,,6257600,
2017-11-13,,6482400,
2017-11-14,,6669800,
2017-11-15,,6845900,
2017-11-16,,7008000,
2017-11-17,,7190100,
2017-11-18,,7446600,
2017-11-19,,7683100,
2017-11-20,,7834200,
2017-11-21,,7971600,
2017-11-22,,8116100,
2017-11-23,,8292700,
2017-11-24,,8611900,
2017-11-25,,8966900,
2017-11-26,,9241200,
2017-11-27,,9404400,
2017-11-28,,9551500,
2017-11-29,,9673200,
2017-11-30,,9800600,
2017-12-01,,9947100,
2017-12-02,,10145900,
2017-12-03,,10328500,
2017-12-04,,10445600,
2017-12-05,,10549700,
2017-12-06,,10657000,
2017-12-07,,10749100,
2017-12-08,,10862800,
2017-12-09,,11028300,
2017-12-10,,11183100,
2017-12-11,,11277900,
2017-12-12,,11367800,
2017-12-13,,11450400,
2017-12-14,,11532100,
2017-12-15,,11625300,
2017-12-16,,11764400,
2017-12-17,,11905600,
2017-12-18,,12013000,
2017-12-19,,12113300,
2017-12-20,,12213000,
2017-12-21,,12319300,
2017-12-22,,12448900,
2017-12-23,,12620700,
2017-12-24,,12854100,
2017-12-25,,13600700,
2017-12-26,,14283600,
2017-12-27,,14739800,
2017-12-28,,15088800,
2017-12-29,,15376300,
2017-12-30,,15636400,
2017-12-31,,15872000,
2018-01-01,,16076600,
2018-01-02,,16247400,
2018-01-03,,16408000,
2018-01-04,,16558300,
2018-01-05,,16704200,
2018-01-06,,16901500,
2018-01-07,,17077600,
2018-01-08,,17188100,
2018-01-09,,17281400,
2018-01-10,,17370900,
2018-01-11,,17453200,
2018-01-12,,17550600,
2018-01-13,,17686200,
2018-01-14,,17815100,
2018-01-15,,17909700,
2018-01-16,,17988200,
2018-01-17,,18064700,
2018-01-18,,18132100,
2018-01-19,,18206400,
2018-01-20,,18316700,
2018-01-21,,18424900,
2018-01-22,,18488400,
2018-01-23,,18545500,
2018-01-24,,18604000,
2018-01-25,,18674600,
2018-01-26,,18744800,
2018-01-27,,18848800,
2018-01-28,,18955600,
2018-01-29,,19015900,
2018-01-30,,19076600,
2018-01-31,,19139300,
2018-02-01,,19195400,
2018-02-02,,19271700,
2018-02-03,,19374400,
2018-02-04,,19476800,
2018-02-05,,19529700,
2018-02-06,,19582200,
2018-02-07,,19634400,
2018-02-08,,19687200,
2018-02-09,,19746600,
2018-02-10,,19834900,
2018-02-11,,19925600,
2018-02-12,,19983400,
2018-02-13,,20028300,
2018-02-14,,20073600,
2018-02-15,,20126200,
2018-02-16,,20183800,
2018-02-17,,20263900,
2018-02-18,,20339700,
2018-02-19,,20398300,
2018-02-20,,20442000,
2018-02-21,,20485300,
2018-02-22,,20533000,
2018-02-23,,20581500,
2018-02-24,,20655400,
2018-02-25,,20730300,
2018-02-26,,20776900,
2018-02-27,,20822000,
2018-02-28,,20865500,
2018-03-01,,20915800,
2018-03-02,,20974300,
2018-03-03,,21048800,
2018-03-04,,21123800,
2018-03-05,,21169600,
2018-03-06,,21213400,
2018-03-07,,21254200,
2018-03-08,,21295300,
2018-03-09,,21338000,
