Date,'',PS4 player count,
2017-08-02,,0,
2017-08-03,,0,
2017-08-04,,0,
2017-08-05,,0,
2017-08-06,,0,
2017-08-07,,0,
2017-08-08,,0,
2017-08-09,,0,
2017-08-10,,0,
2017-08-11,,0,
2017-08-12,,0,
2017-08-13,,100,
2017-08-14,,1400,
2017-08-15,,6000,
2017-08-16,,9000,
2017-08-17,,11200,
2017-08-18,,13700,
2017-08-19,,17200,
2017-08-20,,19600,
2017-08-21,,21900,
2017-08-22,,24300,
2017-08-23,,25800,
2017-08-24,,27300,
2017-08-25,,29400,
2017-08-26,,31100,
2017-08-27,,33300,
2017-08-28,,35600,
2017-08-29,,37100,
2017-08-30,,38200,
2017-08-31,,39900,
2017-09-01,,40500,
2017-09-02,,42300,
2017-09-03,,43600,
2017-09-04,,44700,
2017-09-05,,45700,
2017-09-06,,46300,
2017-09-07,,47100,
2017-09-08,,48000,
2017-09-09,,49500,
2017-09-10,,50700,
2017-09-11,,51700,
2017-09-12,,52700,
2017-09-13,,53600,
2017-09-14,,53800,
2017-09-15,,54400,
2017-09-16,,55300,
2017-09-17,,56300,
2017-09-18,,56900,
2017-09-19,,57600,
2017-09-20,,58100,
2017-09-21,,58900,
2017-09-22,,59600,
2017-09-23,,60400,
2017-09-24,,61200,
2017-09-25,,61900,
2017-09-26,,62400,
2017-09-27,,62700,
2017-09-28,,63300,
2017-09-29,,64000,
2017-09-30,,65200,
2017-10-01,,66400,
2017-10-02,,67200,
2017-10-03,,67900,
2017-10-04,,68100,
2017-10-05,,68300,
2017-10-06,,68900,
2017-10-07,,69600,
2017-10-08,,70200,
2017-10-09,,70700,
2017-10-10,,70800,
2017-10-11,,71000,
2017-10-12,,71300,
2017-10-13,,71900,
2017-10-14,,72500,
2017-10-15,,72900,
2017-10-16,,73200,
2017-10-17,,73700,
2017-10-18,,73900,
2017-10-19,,74300,
2017-10-20,,74600,
2017-10-21,,75200,
2017-10-22,,75800,
2017-10-23,,76400,
2017-10-24,,76500,
2017-10-25,,76900,
2017-10-26,,77500,
2017-10-27,,78000,
2017-10-28,,78500,
2017-10-29,,78900,
2017-10-30,,79400,
2017-10-31,,79700,
2017-11-01,,80200,
2017-11-02,,80800,
2017-11-03,,81300,
2017-11-04,,81700,
2017-11-05,,82100,
2017-11-06,,82700,
2017-11-07,,83600,
2017-11-08,,84000,
2017-11-09,,84600,
2017-11-10,,85300,
2017-11-11,,85900,
2017-11-12,,86500,
2017-11-13,,86800,
2017-11-14,,87400,
2017-11-15,,87900,
2017-11-16,,88600,
2017-11-17,,89300,
2017-11-18,,90600,
2017-11-19,,91700,
2017-11-20,,92500,
2017-11-21,,93200,
2017-11-22,,93600,
2017-11-23,,94400,
2017-11-24,,95100,
2017-11-25,,96100,
2017-11-26,,96900,
2017-11-27,,97200,
2017-11-28,,97800,
2017-11-29,,98300,
2017-11-30,,99000,
2017-12-01,,99300,
2017-12-02,,99800,
2017-12-03,,100500,
2017-12-04,,100900,
2017-12-05,,101400,
2017-12-06,,102100,
2017-12-07,,102500,
2017-12-08,,103100,
2017-12-09,,103600,
2017-12-10,,104200,
2017-12-11,,104700,
2017-12-12,,105100,
2017-12-13,,105600,
2017-12-14,,106100,
2017-12-15,,106500,
2017-12-16,,107200,
2017-12-17,,107700,
2017-12-18,,108300,
2017-12-19,,108600,
2017-12-20,,108900,
2017-12-21,,109500,
2017-12-22,,110400,
2017-12-23,,111400,
2017-12-24,,112700,
2017-12-25,,114600,
2017-12-26,,116000,
2017-12-27,,117700,
2017-12-28,,119100,
2017-12-29,,120500,
2017-12-30,,121800,
2017-12-31,,122900,
2018-01-01,,124000,
2018-01-02,,125000,
2018-01-03,,125600,
2018-01-04,,126400,
2018-01-05,,127200,
2018-01-06,,128500,
2018-01-07,,129500,
2018-01-08,,130200,
2018-01-09,,131000,
2018-01-10,,131400,
2018-01-11,,131700,
2018-01-12,,132600,
2018-01-13,,133700,
2018-01-14,,134800,
2018-01-15,,135700,
2018-01-16,,136000,
2018-01-17,,136600,
2018-01-18,,137000,
2018-01-19,,137600,
2018-01-20,,138500,
2018-01-21,,139200,
2018-01-22,,139500,
2018-01-23,,139900,
2018-01-24,,140600,
2018-01-25,,141100,
2018-01-26,,141800,
2018-01-27,,142700,
2018-01-28,,143600,
2018-01-29,,144100,
2018-01-30,,144800,
2018-01-31,,145300,
2018-02-01,,145800,
2018-02-02,,146600,
2018-02-03,,147500,
2018-02-04,,148600,
2018-02-05,,149000,
2018-02-06,,149400,
2018-02-07,,149700,
2018-02-08,,150000,
2018-02-09,,150400,
2018-02-10,,150700,
2018-02-11,,151400,
2018-02-12,,151900,
2018-02-13,,152100,
2018-02-14,,152500,
2018-02-15,,152800,
2018-02-16,,153100,
2018-02-17,,153400,
2018-02-18,,153800,
2018-02-19,,154300,
2018-02-20,,154800,
2018-02-21,,155300,
2018-02-22,,155600,
2018-02-23,,156200,
2018-02-24,,156600,
2018-02-25,,157700,
2018-02-26,,158200,
2018-02-27,,158800,
2018-02-28,,159400,
2018-03-01,,160100,
2018-03-02,,160800,
2018-03-03,,161800,
2018-03-04,,162800,
2018-03-05,,163400,
2018-03-06,,163600,
2018-03-07,,164200,
2018-03-08,,164700,
2018-03-09,,165300,
2018-03-10,,165600,
2018-03-11,,166100,
2018-03-12,,166900,
2018-03-13,,167100,
2018-03-14,,167600,
2018-03-15,,167800,
2018-03-16,,168400,
2018-03-17,,168800,
2018-03-18,,169300,
2018-03-19,,169800,
2018-03-20,,170100,
2018-03-21,,170500,
2018-03-22,,170700,
2018-03-23,,171300,
2018-03-24,,171900,
2018-03-25,,172400,
2018-03-26,,172800,
2018-03-27,,173300,
2018-03-28,,173900,
2018-03-29,,174300,
2018-03-30,,174800,
2018-03-31,,175500,
2018-04-01,,176200,
2018-04-02,,177100,
2018-04-03,,177700,
2018-04-04,,178400,
2018-04-05,,179200,
2018-04-06,,179300,
2018-04-07,,179600,
2018-04-08,,180100,
2018-04-09,,180300,
2018-04-10,,180700,
2018-04-11,,181900,
2018-04-12,,185300,
2018-04-13,,187900,
2018-04-14,,190500,
2018-04-15,,193200,
2018-04-16,,194700,
2018-04-17,,196800,
2018-04-18,,198300,
2018-04-19,,199800,
2018-04-20,,201000,
2018-04-21,,202500,
2018-04-22,,204200,
2018-04-23,,205000,
2018-04-24,,206100,
2018-04-25,,207100,
2018-04-26,,208100,
2018-04-27,,209500,
2018-04-28,,211700,
2018-04-29,,213500,
2018-04-30,,215100,
2018-05-01,,215900,
2018-05-02,,217100,
2018-05-03,,217900,
2018-05-04,,219300,
2018-05-05,,220600,
2018-05-06,,221300,
2018-05-07,,221900,
2018-05-08,,222300,
2018-05-09,,222800,
2018-05-10,,223400,
2018-05-11,,224000,
2018-05-12,,224700,
2018-05-13,,225700,
2018-05-14,,226300,
2018-05-15,,226900,
2018-05-16,,227600,
2018-05-17,,227900,
2018-05-18,,228400,
2018-05-19,,229300,
2018-05-20,,230200,
2018-05-21,,230900,
2018-05-22,,231500,
2018-05-23,,232400,
2018-05-24,,233100,
2018-05-25,,233900,
2018-05-26,,235200,
2018-05-27,,236500,
2018-05-28,,237000,
2018-05-29,,238100,
2018-05-30,,239800,
2018-05-31,,240900,
2018-06-01,,242600,
2018-06-02,,244000,
2018-06-03,,245800,
2018-06-04,,247200,
2018-06-05,,248700,
2018-06-06,,249500,
2018-06-07,,250400,
2018-06-08,,251000,
2018-06-09,,251700,
2018-06-10,,252500,
2018-06-11,,252800,
2018-06-12,,253500,
2018-06-13,,253800,
2018-06-14,,254300,
2018-06-15,,254700,
2018-06-16,,255300,
2018-06-17,,256400,
2018-06-18,,256900,
2018-06-19,,257500,
2018-06-20,,257800,
2018-06-21,,258100,
2018-06-22,,258600,
2018-06-23,,259700,
2018-06-24,,260300,
2018-06-25,,260700,
2018-06-26,,261400,
2018-06-27,,261900,
2018-06-28,,262100,
2018-06-29,,262400,
2018-06-30,,263000,
2018-07-01,,263600,
2018-07-02,,264200,
2018-07-03,,264500,
2018-07-04,,265000,
2018-07-05,,265500,
2018-07-06,,266100,
2018-07-07,,266700,
2018-07-08,,267700,
2018-07-09,,268300,
2018-07-10,,268800,
2018-07-11,,269700,
2018-07-12,,270300,
2018-07-13,,271200,
2018-07-14,,271900,
2018-07-15,,272800,
2018-07-16,,273900,
2018-07-17,,274300,
2018-07-18,,274500,
2018-07-19,,274900,
2018-07-20,,275500,
2018-07-21,,276400,
2018-07-22,,277500,
2018-07-23,,278100,
2018-07-24,,278400,
2018-07-25,,279100,
2018-07-26,,279900,
2018-07-27,,280900,
2018-07-28,,281900,
2018-07-29,,282600,
2018-07-30,,283500,
2018-07-31,,284200,
2018-08-01,,285000,
2018-08-02,,285800,
2018-08-03,,286400,
2018-08-04,,287300,
2018-08-05,,288400,
2018-08-06,,289200,
2018-08-07,,289700,
2018-08-08,,290400,
2018-08-09,,290900,
2018-08-10,,291900,
2018-08-11,,292800,
2018-08-12,,293700,
2018-08-13,,294500,
2018-08-14,,295600,
2018-08-15,,296700,
2018-08-16,,297500,
2018-08-17,,298400,
2018-08-18,,299400,
2018-08-19,,300300,
2018-08-20,,300800,
2018-08-21,,301700,
2018-08-22,,302800,
2018-08-23,,303400,
2018-08-24,,303900,
2018-08-25,,304600,
2018-08-26,,305300,
2018-08-27,,306000,
2018-08-28,,306500,
2018-08-29,,307100,
2018-08-30,,307700,
2018-08-31,,308200,
2018-09-01,,309400,
2018-09-02,,310900,
2018-09-03,,311700,
2018-09-04,,311900,
2018-09-05,,312300,
2018-09-06,,312600,
2018-09-07,,313000,
2018-09-08,,313700,
2018-09-09,,314300,
2018-09-10,,314600,
2018-09-11,,315000,
2018-09-12,,315300,
2018-09-13,,315600,
2018-09-14,,316100,
2018-09-15,,317000,
2018-09-16,,317800,
2018-09-17,,318200,
2018-09-18,,318500,
2018-09-19,,319000,
2018-09-20,,319500,
2018-09-21,,319900,
2018-09-22,,320700,
2018-09-23,,321600,
2018-09-24,,322200,
