Date,'',PS4 player count,
2018-05-02,,100,
2018-05-03,,300,
2018-05-04,,1000,
2018-05-05,,1700,
2018-05-06,,1800,
2018-05-07,,6000,
2018-05-08,,34900,
2018-05-09,,54600,
2018-05-10,,67600,
2018-05-11,,80400,
2018-05-12,,95500,
2018-05-13,,106600,
2018-05-14,,116000,
2018-05-15,,124300,
2018-05-16,,131400,
2018-05-17,,137100,
2018-05-18,,143800,
2018-05-19,,152100,
2018-05-20,,159800,
2018-05-21,,165100,
2018-05-22,,169800,
2018-05-23,,173000,
2018-05-24,,176100,
2018-05-25,,180300,
2018-05-26,,184200,
2018-05-27,,188700,
2018-05-28,,192500,
2018-05-29,,195700,
2018-05-30,,198600,
2018-05-31,,201300,
2018-06-01,,204700,
2018-06-02,,208400,
2018-06-03,,211800,
2018-06-04,,213600,
2018-06-05,,216000,
2018-06-06,,218400,
2018-06-07,,219700,
2018-06-08,,222300,
2018-06-09,,224800,
2018-06-10,,227200,
2018-06-11,,229200,
2018-06-12,,230800,
2018-06-13,,232300,
2018-06-14,,233800,
2018-06-15,,235300,
2018-06-16,,237400,
2018-06-17,,239200,
2018-06-18,,240800,
2018-06-19,,242500,
2018-06-20,,244000,
2018-06-21,,246300,
2018-06-22,,248900,
2018-06-23,,252000,
2018-06-24,,255000,
2018-06-25,,257700,
2018-06-26,,260500,
2018-06-27,,264000,
2018-06-28,,266800,
2018-06-29,,269600,
2018-06-30,,272600,
2018-07-01,,275700,
2018-07-02,,278500,
2018-07-03,,280600,
2018-07-04,,282900,
2018-07-05,,284200,
2018-07-06,,285400,
2018-07-07,,287500,
2018-07-08,,288700,
2018-07-09,,290000,
2018-07-10,,291700,
2018-07-11,,292500,
2018-07-12,,293600,
2018-07-13,,294800,
2018-07-14,,295700,
2018-07-15,,296700,
2018-07-16,,297500,
2018-07-17,,298400,
2018-07-18,,299100,
2018-07-19,,300300,
2018-07-20,,300900,
2018-07-21,,301800,
2018-07-22,,302500,
2018-07-23,,303500,
2018-07-24,,304300,
2018-07-25,,304800,
2018-07-26,,305400,
2018-07-27,,306000,
2018-07-28,,307100,
2018-07-29,,307900,
2018-07-30,,309000,
2018-07-31,,309700,
2018-08-01,,310700,
2018-08-02,,312000,
2018-08-03,,312800,
2018-08-04,,314000,
2018-08-05,,315400,
2018-08-06,,316800,
2018-08-07,,318200,
2018-08-08,,318900,
2018-08-09,,320100,
2018-08-10,,320600,
2018-08-11,,321900,
2018-08-12,,323400,
2018-08-13,,324700,
2018-08-14,,325900,
2018-08-15,,326600,
2018-08-16,,327700,
2018-08-17,,328600,
2018-08-18,,329800,
2018-08-19,,330700,
2018-08-20,,331400,
2018-08-21,,332500,
2018-08-22,,333700,
2018-08-23,,345500,
2018-08-24,,352200,
2018-08-25,,358600,
2018-08-26,,364900,
2018-08-27,,368200,
2018-08-28,,372300,
2018-08-29,,375000,
2018-08-30,,379000,
2018-08-31,,383500,
2018-09-01,,389100,
2018-09-02,,394500,
2018-09-03,,398000,
2018-09-04,,400900,
2018-09-05,,403300,
2018-09-06,,405200,
2018-09-07,,407300,
2018-09-08,,409700,
2018-09-09,,412100,
2018-09-10,,413900,
2018-09-11,,415300,
2018-09-12,,417600,
2018-09-13,,418600,
2018-09-14,,420400,
2018-09-15,,422700,
2018-09-16,,425300,
2018-09-17,,427100,
2018-09-18,,428300,
2018-09-19,,429300,
2018-09-20,,430400,
2018-09-21,,431500,
2018-09-22,,433500,
2018-09-23,,435200,
2018-09-24,,436300,
2018-09-25,,436900,
2018-09-26,,437900,
2018-09-27,,438800,
2018-09-28,,439700,
2018-09-29,,440800,
2018-09-30,,442100,
2018-10-01,,443000,
2018-10-02,,443900,
2018-10-03,,444500,
2018-10-04,,445400,
2018-10-05,,446300,
2018-10-06,,447700,
2018-10-07,,449100,
2018-10-08,,450400,
2018-10-09,,451300,
2018-10-10,,451800,
2018-10-11,,452600,
2018-10-12,,453200,
2018-10-13,,454700,
2018-10-14,,456400,
2018-10-15,,458000,
2018-10-16,,459000,
2018-10-17,,460100,
2018-10-18,,460600,
2018-10-19,,461000,
2018-10-20,,462000,
2018-10-21,,462600,
2018-10-22,,463200,
2018-10-23,,463600,
2018-10-24,,464100,
2018-10-25,,464400,
2018-10-26,,464800,
2018-10-27,,465700,
2018-10-28,,466200,
2018-10-29,,466900,
2018-10-30,,467500,
2018-10-31,,467800,
2018-11-01,,468300,
2018-11-02,,469100,
2018-11-03,,470200,
2018-11-04,,471000,
2018-11-05,,471400,
2018-11-06,,472100,
2018-11-07,,472500,
2018-11-08,,472900,
2018-11-09,,473500,
2018-11-10,,474100,
2018-11-11,,475200,
2018-11-12,,476000,
2018-11-13,,476400,
2018-11-14,,476600,
2018-11-15,,477000,
2018-11-16,,477500,
2018-11-17,,478700,
2018-11-18,,479900,
2018-11-19,,480500,
2018-11-20,,481000,
2018-11-21,,481600,
2018-11-22,,481900,
2018-11-23,,482800,
2018-11-24,,484500,
2018-11-25,,485700,
2018-11-26,,486500,
2018-11-27,,487100,
2018-11-28,,487400,
2018-11-29,,487600,
2018-11-30,,487900,
2018-12-01,,488500,
2018-12-02,,489200,
2018-12-03,,489500,
2018-12-04,,489900,
2018-12-05,,490200,
2018-12-06,,490600,
2018-12-07,,490700,
2018-12-08,,491200,
2018-12-09,,491700,
2018-12-10,,492100,
2018-12-11,,492300,
2018-12-12,,492700,
2018-12-13,,493100,
2018-12-14,,493700,
2018-12-15,,494100,
2018-12-16,,495200,
2018-12-17,,495900,
2018-12-18,,496400,
2018-12-19,,497200,
2018-12-20,,497900,
2018-12-21,,498500,
2018-12-22,,499700,
2018-12-23,,500900,
2018-12-24,,501800,
2018-12-25,,503600,
2018-12-26,,505700,
2018-12-27,,507300,
2018-12-28,,508900,
2018-12-29,,510600,
2018-12-30,,512000,
2018-12-31,,513600,
2019-01-01,,514400,
2019-01-02,,516300,
2019-01-03,,517600,
2019-01-04,,519000,
2019-01-05,,520800,
2019-01-06,,522500,
2019-01-07,,523900,
2019-01-08,,524900,
2019-01-09,,525400,
2019-01-10,,526400,
2019-01-11,,527300,
2019-01-12,,528500,
2019-01-13,,529900,
2019-01-14,,531000,
2019-01-15,,531800,
2019-01-16,,532500,
2019-01-17,,533300,
2019-01-18,,533900,
2019-01-19,,534600,
2019-01-20,,535000,
2019-01-21,,535500,
2019-01-22,,535900,
2019-01-23,,536300,
2019-01-24,,536700,
2019-01-25,,536900,
2019-01-26,,537400,
2019-01-27,,538100,
2019-01-28,,538700,
2019-01-29,,539100,
2019-01-30,,539400,
2019-01-31,,539800,
2019-02-01,,540200,
2019-02-02,,541200,
2019-02-03,,542000,
2019-02-04,,542300,
2019-02-05,,543000,
2019-02-06,,543600,
2019-02-07,,544200,
2019-02-08,,544500,
2019-02-09,,545200,
2019-02-10,,546000,
2019-02-11,,546400,
2019-02-12,,546700,
2019-02-13,,547000,
2019-02-14,,547400,
2019-02-15,,548000,
2019-02-16,,548300,
2019-02-17,,548800,
2019-02-18,,549200,
2019-02-19,,549500,
2019-02-20,,549900,
2019-02-21,,550300,
2019-02-22,,550500,
2019-02-23,,551500,
2019-02-24,,552300,
2019-02-25,,552700,
2019-02-26,,552900,
2019-02-27,,553100,
2019-02-28,,553500,
2019-03-01,,553900,
2019-03-02,,554300,
2019-03-03,,555000,
2019-03-04,,555500,
2019-03-05,,555900,
2019-03-06,,556500,
2019-03-07,,557000,
2019-03-08,,557600,
2019-03-09,,558300,
2019-03-10,,559500,
2019-03-11,,560200,
2019-03-12,,560800,
2019-03-13,,561400,
2019-03-14,,561600,
2019-03-15,,562300,
2019-03-16,,563000,
2019-03-17,,563700,
2019-03-18,,563900,
2019-03-19,,564200,
2019-03-20,,564600,
2019-03-21,,565200,
2019-03-22,,565900,
2019-03-23,,567100,
2019-03-24,,567900,
2019-03-25,,568900,
2019-03-26,,569400,
2019-03-27,,570000,
2019-03-28,,570600,
2019-03-29,,571500,
2019-03-30,,572400,
2019-03-31,,573300,
2019-04-01,,574100,
2019-04-02,,621100,
2019-04-03,,802700,
2019-04-04,,985300,
2019-04-05,,1156400,
2019-04-06,,1355800,
2019-04-07,,1551000,
2019-04-08,,1675200,
2019-04-09,,1780500,
2019-04-10,,1862100,
2019-04-11,,1945000,
2019-04-12,,2025500,
2019-04-13,,2131800,
2019-04-14,,2238700,
2019-04-15,,2305700,
2019-04-16,,2368700,
2019-04-17,,2429100,
2019-04-18,,2485300,
2019-04-19,,2551000,
2019-04-20,,2613400,
2019-04-21,,2671900,
2019-04-22,,2725700,
2019-04-23,,2766400,
2019-04-24,,2807700,
2019-04-25,,2842500,
2019-04-26,,2879500,
2019-04-27,,2922900,
2019-04-28,,2968800,
2019-04-29,,2996600,
2019-04-30,,3026700,
2019-05-01,,3060700,
2019-05-02,,3086500,
2019-05-03,,3115100,
2019-05-04,,3153900,
2019-05-05,,3192500,
