Date,PS3 player count,PS4 player count,
2012-08-02,0,0,
2012-08-03,0,0,
2012-08-04,0,0,
2012-08-05,0,0,
2012-08-06,200,0,
2012-08-07,200,0,
2012-08-08,200,0,
2012-08-09,200,0,
2012-08-10,200,0,
2012-08-11,300,0,
2012-08-12,400,0,
2012-08-13,400,0,
2012-08-14,4500,0,
2012-08-15,8700,0,
2012-08-16,11800,0,
2012-08-17,15700,0,
2012-08-18,18700,0,
2012-08-19,21400,0,
2012-08-20,24700,0,
2012-08-21,30400,0,
2012-08-22,34900,0,
2012-08-23,38400,0,
2012-08-24,42600,0,
2012-08-25,47400,0,
2012-08-26,50900,0,
2012-08-27,54700,0,
2012-08-28,58500,0,
2012-08-29,62400,0,
2012-08-30,66300,0,
2012-08-31,70500,0,
2012-09-01,74600,0,
2012-09-02,79900,0,
2012-09-03,83600,0,
2012-09-04,87300,0,
2012-09-05,90800,0,
2012-09-06,93500,0,
2012-09-07,96300,0,
2012-09-08,100700,0,
2012-09-09,104600,0,
2012-09-10,107800,0,
2012-09-11,111200,0,
2012-09-12,113500,0,
2012-09-13,115800,0,
2012-09-14,118000,0,
2012-09-15,121300,0,
2012-09-16,124400,0,
2012-09-17,127400,0,
2012-09-18,129800,0,
2012-09-19,131600,0,
2012-09-20,133900,0,
2012-09-21,136300,0,
2012-09-22,139600,0,
2012-09-23,142600,0,
2012-09-24,144500,0,
2012-09-25,146600,0,
2012-09-26,149900,0,
2012-09-27,152600,0,
2012-09-28,155200,0,
2012-09-29,157900,0,
2012-09-30,161400,0,
2012-10-01,164100,0,
2012-10-02,165900,0,
2012-10-03,168200,0,
2012-10-04,170400,0,
2012-10-05,172100,0,
2012-10-06,174300,0,
2012-10-07,176900,0,
2012-10-08,178900,0,
2012-10-09,180400,0,
2012-10-10,182300,0,
2012-10-11,184600,0,
2012-10-12,186500,0,
2012-10-13,189100,0,
2012-10-14,191800,0,
2012-10-15,192600,0,
2012-10-16,193900,0,
2012-10-17,195000,0,
2012-10-18,196600,0,
2012-10-19,198500,0,
2012-10-20,200300,0,
2012-10-21,202600,0,
2012-10-22,204300,0,
2012-10-23,206000,0,
2012-10-24,207600,0,
2012-10-25,209200,0,
2012-10-26,211600,0,
2012-10-27,214000,0,
2012-10-28,216600,0,
2012-10-29,218400,0,
2012-10-30,220100,0,
2012-10-31,222700,0,
2012-11-01,224600,0,
2012-11-02,226600,0,
2012-11-03,228600,0,
2012-11-04,230600,0,
2012-11-05,232100,0,
2012-11-06,233900,0,
2012-11-07,235300,0,
2012-11-08,236500,0,
2012-11-09,237400,0,
2012-11-10,239000,0,
2012-11-11,241300,0,
2012-11-12,242800,0,
2012-11-13,244000,0,
2012-11-14,245300,0,
2012-11-15,246500,0,
2012-11-16,247800,0,
2012-11-17,249300,0,
2012-11-18,251000,0,
2012-11-19,252300,0,
2012-11-20,253000,0,
2012-11-21,254800,0,
2012-11-22,256000,0,
2012-11-23,257100,0,
2012-11-24,258900,0,
2012-11-25,260300,0,
2012-11-26,261500,0,
2012-11-27,262700,0,
2012-11-28,263600,0,
2012-11-29,265300,0,
2012-11-30,266500,0,
2012-12-01,268400,0,
2012-12-02,269800,0,
2012-12-03,270800,0,
2012-12-04,272100,0,
2012-12-05,273000,0,
2012-12-06,274100,0,
2012-12-07,275300,0,
2012-12-08,276800,0,
2012-12-09,278400,0,
2012-12-10,279600,0,
2012-12-11,280500,0,
2012-12-12,281300,0,
2012-12-13,282700,0,
2012-12-14,284000,0,
2012-12-15,285300,0,
2012-12-16,287300,0,
2012-12-17,288400,0,
2012-12-18,289900,0,
2012-12-19,291200,0,
2012-12-20,292500,0,
2012-12-21,293700,0,
2012-12-22,295800,0,
2012-12-23,297200,0,
2012-12-24,299400,0,
2012-12-25,302300,0,
2012-12-26,304200,0,
2012-12-27,306800,0,
2012-12-28,308100,0,
2012-12-29,310300,0,
2012-12-30,312300,0,
2012-12-31,313700,0,
2013-01-01,316100,0,
2013-01-02,317900,0,
2013-01-03,319700,0,
2013-01-04,321600,0,
2013-01-05,323800,0,
2013-01-06,326100,0,
2013-01-07,327000,0,
2013-01-08,328700,0,
2013-01-09,330100,0,
2013-01-10,331800,0,
2013-01-11,333400,0,
2013-01-12,335100,0,
2013-01-13,337100,0,
2013-01-14,338400,0,
2013-01-15,339600,0,
2013-01-16,341400,0,
2013-01-17,342400,0,
2013-01-18,343100,0,
2013-01-19,345300,0,
2013-01-20,347500,0,
2013-01-21,349000,0,
2013-01-22,350600,0,
2013-01-23,351800,0,
2013-01-24,353700,0,
2013-01-25,354700,0,
2013-01-26,356900,0,
2013-01-27,358600,0,
2013-01-28,360000,0,
2013-01-29,361300,0,
2013-01-30,362600,0,
