Date,'',PS4 player count,
2018-11-20,,100,
2018-11-21,,100,
2018-11-22,,200,
2018-11-23,,600,
2018-11-24,,1300,
2018-11-25,,3300,
2018-11-26,,11300,
2018-11-27,,28300,
2018-11-28,,41100,
2018-11-29,,48900,
2018-11-30,,55900,
2018-12-01,,63500,
2018-12-02,,69000,
2018-12-03,,73200,
2018-12-04,,76200,
2018-12-05,,78700,
2018-12-06,,81700,
2018-12-07,,84600,
2018-12-08,,88700,
2018-12-09,,90900,
2018-12-10,,92800,
2018-12-11,,94700,
2018-12-12,,96000,
2018-12-13,,97300,
2018-12-14,,99200,
2018-12-15,,101700,
2018-12-16,,103900,
2018-12-17,,105000,
2018-12-18,,106200,
2018-12-19,,107500,
2018-12-20,,108900,
2018-12-21,,110700,
2018-12-22,,113300,
2018-12-23,,115400,
2018-12-24,,117900,
2018-12-25,,125100,
2018-12-26,,130500,
2018-12-27,,134600,
2018-12-28,,138300,
2018-12-29,,141200,
2018-12-30,,143700,
2018-12-31,,145600,
2019-01-01,,147200,
2019-01-02,,148500,
2019-01-03,,149600,
2019-01-04,,151400,
2019-01-05,,153100,
2019-01-06,,154600,
2019-01-07,,155800,
2019-01-08,,156900,
2019-01-09,,158200,
2019-01-10,,159100,
2019-01-11,,160000,
2019-01-12,,161600,
2019-01-13,,162900,
2019-01-14,,163700,
2019-01-15,,164700,
2019-01-16,,165600,
2019-01-17,,166700,
2019-01-18,,167500,
2019-01-19,,168700,
2019-01-20,,170300,
2019-01-21,,171400,
2019-01-22,,172100,
2019-01-23,,172900,
2019-01-24,,173500,
2019-01-25,,174200,
2019-01-26,,174900,
2019-01-27,,176000,
2019-01-28,,176700,
2019-01-29,,177000,
2019-01-30,,177500,
2019-01-31,,178100,
2019-02-01,,178700,
2019-02-02,,179800,
2019-02-03,,181400,
2019-02-04,,181800,
2019-02-05,,182400,
2019-02-06,,182800,
2019-02-07,,183200,
2019-02-08,,183900,
2019-02-09,,185300,
2019-02-10,,186500,
2019-02-11,,187400,
2019-02-12,,187900,
2019-02-13,,188500,
2019-02-14,,189000,
2019-02-15,,189800,
2019-02-16,,190700,
2019-02-17,,191700,
2019-02-18,,192100,
2019-02-19,,192500,
2019-02-20,,192900,
2019-02-21,,193500,
2019-02-22,,194400,
2019-02-23,,195100,
2019-02-24,,196200,
2019-02-25,,196600,
2019-02-26,,197100,
2019-02-27,,197800,
2019-02-28,,198800,
2019-03-01,,199400,
2019-03-02,,200600,
2019-03-03,,201500,
2019-03-04,,202300,
2019-03-05,,203100,
2019-03-06,,203700,
2019-03-07,,204000,
2019-03-08,,204300,
2019-03-09,,204800,
2019-03-10,,205400,
2019-03-11,,205700,
2019-03-12,,206200,
2019-03-13,,206500,
2019-03-14,,206900,
2019-03-15,,207300,
2019-03-16,,207900,
2019-03-17,,208400,
2019-03-18,,209100,
2019-03-19,,209500,
2019-03-20,,209900,
2019-03-21,,210300,
2019-03-22,,210500,
2019-03-23,,211400,
2019-03-24,,212100,
2019-03-25,,212600,
2019-03-26,,212800,
2019-03-27,,213200,
2019-03-28,,213700,
2019-03-29,,214000,
2019-03-30,,214500,
2019-03-31,,215000,
2019-04-01,,215500,
2019-04-02,,215800,
2019-04-03,,216100,
2019-04-04,,216500,
2019-04-05,,217000,
2019-04-06,,217600,
2019-04-07,,218300,
2019-04-08,,218600,
2019-04-09,,218900,
2019-04-10,,219300,
2019-04-11,,219600,
2019-04-12,,220300,
2019-04-13,,220600,
2019-04-14,,221200,
2019-04-15,,221600,
2019-04-16,,221900,
2019-04-17,,222100,
2019-04-18,,222500,
2019-04-19,,223300,
2019-04-20,,224000,
2019-04-21,,224500,
2019-04-22,,225100,
2019-04-23,,225700,
2019-04-24,,226100,
2019-04-25,,226500,
2019-04-26,,226900,
2019-04-27,,227400,
2019-04-28,,227900,
2019-04-29,,228300,
2019-04-30,,228600,
2019-05-01,,229000,
2019-05-02,,229300,
2019-05-03,,229700,
2019-05-04,,230100,
2019-05-05,,230600,
2019-05-06,,231000,
2019-05-07,,231400,
2019-05-08,,231700,
2019-05-09,,231900,
2019-05-10,,232600,
2019-05-11,,233300,
2019-05-12,,234200,
2019-05-13,,234700,
2019-05-14,,235000,
2019-05-15,,235200,
2019-05-16,,235600,
2019-05-17,,235900,
2019-05-18,,236400,
2019-05-19,,236800,
2019-05-20,,237100,
2019-05-21,,237600,
2019-05-22,,237900,
2019-05-23,,238300,
2019-05-24,,238700,
2019-05-25,,239200,
2019-05-26,,239900,
2019-05-27,,240300,
2019-05-28,,240600,
2019-05-29,,241000,
2019-05-30,,241500,
2019-05-31,,242000,
2019-06-01,,242700,
2019-06-02,,243100,
2019-06-03,,243700,
2019-06-04,,244400,
2019-06-05,,244900,
2019-06-06,,245200,
2019-06-07,,245700,
2019-06-08,,246100,
2019-06-09,,246400,
2019-06-10,,246900,
2019-06-11,,247200,
2019-06-12,,247600,
2019-06-13,,247800,
2019-06-14,,248200,
2019-06-15,,248800,
2019-06-16,,249500,
2019-06-17,,249800,
2019-06-18,,250200,
2019-06-19,,250400,
2019-06-20,,250800,
2019-06-21,,251300,
2019-06-22,,251800,
2019-06-23,,252300,
2019-06-24,,252700,
2019-06-25,,253400,
2019-06-26,,253800,
2019-06-27,,254000,
2019-06-28,,254600,
2019-06-29,,255400,
2019-06-30,,255900,
2019-07-01,,256600,
2019-07-02,,257200,
2019-07-03,,257500,
2019-07-04,,258000,
2019-07-05,,258600,
2019-07-06,,259000,
2019-07-07,,259600,
2019-07-08,,260000,
2019-07-09,,260700,
2019-07-10,,261200,
2019-07-11,,261400,
2019-07-12,,262200,
2019-07-13,,263000,
2019-07-14,,263700,
2019-07-15,,264100,
2019-07-16,,264500,
2019-07-17,,264700,
2019-07-18,,265300,
2019-07-19,,265600,
2019-07-20,,266100,
2019-07-21,,266300,
2019-07-22,,266500,
2019-07-23,,266900,
2019-07-24,,267200,
2019-07-25,,267500,
2019-07-26,,267900,
2019-07-27,,268400,
