Date,'',PS4 player count,
2017-06-16,,100,
2017-06-17,,200,
2017-06-18,,400,
2017-06-19,,500,
2017-06-20,,3200,
2017-06-21,,9200,
2017-06-22,,15200,
2017-06-23,,26600,
2017-06-24,,35200,
2017-06-25,,43200,
2017-06-26,,49000,
2017-06-27,,53200,
2017-06-28,,58000,
2017-06-29,,63200,
2017-06-30,,68800,
2017-07-01,,75300,
2017-07-02,,79900,
2017-07-03,,84700,
2017-07-04,,88800,
2017-07-05,,91900,
2017-07-06,,95900,
2017-07-07,,99300,
2017-07-08,,103100,
2017-07-09,,107800,
2017-07-10,,111200,
2017-07-11,,115300,
2017-07-12,,118300,
2017-07-13,,121200,
2017-07-14,,123600,
2017-07-15,,126600,
2017-07-16,,129600,
2017-07-17,,132300,
2017-07-18,,134300,
2017-07-19,,136500,
2017-07-20,,138700,
2017-07-21,,141200,
2017-07-22,,143200,
2017-07-23,,145800,
2017-07-24,,148400,
2017-07-25,,150600,
2017-07-26,,153300,
2017-07-27,,155400,
2017-07-28,,157100,
2017-07-29,,159600,
2017-07-30,,162500,
2017-07-31,,164800,
2017-08-01,,167300,
2017-08-02,,169600,
2017-08-03,,172000,
2017-08-04,,174300,
2017-08-05,,176900,
2017-08-06,,179700,
2017-08-07,,181900,
2017-08-08,,184100,
2017-08-09,,185900,
2017-08-10,,187900,
2017-08-11,,190200,
2017-08-12,,192400,
2017-08-13,,194400,
2017-08-14,,195900,
2017-08-15,,197900,
2017-08-16,,199400,
2017-08-17,,200800,
2017-08-18,,202700,
2017-08-19,,204700,
2017-08-20,,206800,
2017-08-21,,209500,
2017-08-22,,211300,
2017-08-23,,213300,
2017-08-24,,216100,
2017-08-25,,218800,
2017-08-26,,221000,
2017-08-27,,223400,
2017-08-28,,225300,
2017-08-29,,227100,
2017-08-30,,229400,
2017-08-31,,231100,
2017-09-01,,232600,
2017-09-02,,235900,
2017-09-03,,238700,
2017-09-04,,240600,
2017-09-05,,242400,
2017-09-06,,243700,
2017-09-07,,244600,
2017-09-08,,245900,
2017-09-09,,248100,
2017-09-10,,250000,
2017-09-11,,251400,
2017-09-12,,252600,
2017-09-13,,253900,
2017-09-14,,254900,
2017-09-15,,256500,
2017-09-16,,259700,
2017-09-17,,265300,
2017-09-18,,270800,
2017-09-19,,275500,
2017-09-20,,279300,
2017-09-21,,283200,
2017-09-22,,287400,
2017-09-23,,291300,
2017-09-24,,294700,
2017-09-25,,297300,
2017-09-26,,298900,
2017-09-27,,300600,
2017-09-28,,302300,
2017-09-29,,304400,
2017-09-30,,306600,
2017-10-01,,308900,
2017-10-02,,310700,
2017-10-03,,312700,
2017-10-04,,313800,
2017-10-05,,315200,
2017-10-06,,317100,
2017-10-07,,320200,
2017-10-08,,322700,
2017-10-09,,324400,
2017-10-10,,326100,
2017-10-11,,327500,
2017-10-12,,328700,
2017-10-13,,330300,
2017-10-14,,331900,
2017-10-15,,334400,
2017-10-16,,335800,
2017-10-17,,337100,
2017-10-18,,338500,
2017-10-19,,340100,
2017-10-20,,341900,
2017-10-21,,345600,
2017-10-22,,348700,
2017-10-23,,351200,
2017-10-24,,353200,
2017-10-25,,356000,
2017-10-26,,359500,
2017-10-27,,364200,
2017-10-28,,369300,
2017-10-29,,375100,
2017-10-30,,379500,
2017-10-31,,383100,
2017-11-01,,387500,
2017-11-02,,390100,
2017-11-03,,392200,
2017-11-04,,395600,
2017-11-05,,398600,
2017-11-06,,399800,
2017-11-07,,401000,
2017-11-08,,402200,
2017-11-09,,403500,
2017-11-10,,405100,
2017-11-11,,407200,
2017-11-12,,409100,
2017-11-13,,410800,
2017-11-14,,412500,
2017-11-15,,414100,
2017-11-16,,415100,
2017-11-17,,416200,
2017-11-18,,417900,
2017-11-19,,419900,
2017-11-20,,421500,
2017-11-21,,422900,
2017-11-22,,423800,
2017-11-23,,425200,
2017-11-24,,427000,
2017-11-25,,429400,
2017-11-26,,431400,
2017-11-27,,432900,
2017-11-28,,433800,
2017-11-29,,435000,
2017-11-30,,436000,
2017-12-01,,437500,
2017-12-02,,440200,
2017-12-03,,442400,
2017-12-04,,444000,
2017-12-05,,445900,
2017-12-06,,447700,
2017-12-07,,449000,
2017-12-08,,450600,
2017-12-09,,453200,
2017-12-10,,455300,
2017-12-11,,457100,
2017-12-12,,458700,
2017-12-13,,459900,
2017-12-14,,460900,
2017-12-15,,462100,
2017-12-16,,463700,
2017-12-17,,466200,
2017-12-18,,467700,
2017-12-19,,469500,
2017-12-20,,471100,
2017-12-21,,473500,
2017-12-22,,475500,
2017-12-23,,477800,
2017-12-24,,480500,
2017-12-25,,486200,
2017-12-26,,491600,
2017-12-27,,496500,
2017-12-28,,501200,
2017-12-29,,504600,
2017-12-30,,508200,
2017-12-31,,511500,
2018-01-01,,514200,
2018-01-02,,516700,
2018-01-03,,519500,
2018-01-04,,522600,
2018-01-05,,524900,
2018-01-06,,529100,
2018-01-07,,532100,
2018-01-08,,534500,
2018-01-09,,536500,
2018-01-10,,538800,
2018-01-11,,541000,
2018-01-12,,543500,
2018-01-13,,547300,
2018-01-14,,550900,
2018-01-15,,553800,
2018-01-16,,556300,
2018-01-17,,558800,
2018-01-18,,560300,
2018-01-19,,561800,
2018-01-20,,564000,
2018-01-21,,565900,
2018-01-22,,567200,
2018-01-23,,568700,
2018-01-24,,570200,
2018-01-25,,571700,
2018-01-26,,573400,
2018-01-27,,576400,
2018-01-28,,579100,
2018-01-29,,581400,
2018-01-30,,583300,
2018-01-31,,584700,
2018-02-01,,585900,
2018-02-02,,587900,
2018-02-03,,590200,
2018-02-04,,592900,
2018-02-05,,594700,
2018-02-06,,596000,
2018-02-07,,598100,
2018-02-08,,598900,
2018-02-09,,600800,
2018-02-10,,602800,
2018-02-11,,606300,
2018-02-12,,608500,
2018-02-13,,609700,
2018-02-14,,611400,
2018-02-15,,612900,
2018-02-16,,614300,
2018-02-17,,616600,
2018-02-18,,618500,
2018-02-19,,621000,
2018-02-20,,622600,
2018-02-21,,625000,
2018-02-22,,626600,
2018-02-23,,628600,
2018-02-24,,630300,
2018-02-25,,633100,
2018-02-26,,635100,
2018-02-27,,637200,
2018-02-28,,638700,
2018-03-01,,640600,
2018-03-02,,642400,
2018-03-03,,644600,
2018-03-04,,647200,
2018-03-05,,648500,
2018-03-06,,650400,
2018-03-07,,651400,
2018-03-08,,652700,
2018-03-09,,654000,
2018-03-10,,656200,
2018-03-11,,658800,
2018-03-12,,660400,
2018-03-13,,661400,
2018-03-14,,662500,
2018-03-15,,663600,
2018-03-16,,665100,
2018-03-17,,667400,
2018-03-18,,669100,
2018-03-19,,670600,
2018-03-20,,672100,
2018-03-21,,673100,
2018-03-22,,674500,
2018-03-23,,675800,
2018-03-24,,677800,
2018-03-25,,680100,
2018-03-26,,681500,
2018-03-27,,682600,
2018-03-28,,683500,
2018-03-29,,684900,
2018-03-30,,688000,
2018-03-31,,690200,
2018-04-01,,692700,
2018-04-02,,695400,
2018-04-03,,697100,
2018-04-04,,703600,
2018-04-05,,710100,
2018-04-06,,715800,
2018-04-07,,722800,
2018-04-08,,730700,
2018-04-09,,735600,
2018-04-10,,738500,
2018-04-11,,743400,
2018-04-12,,747300,
2018-04-13,,751200,
2018-04-14,,756300,
2018-04-15,,762600,
2018-04-16,,766500,
2018-04-17,,770300,
2018-04-18,,773800,
2018-04-19,,776900,
2018-04-20,,780200,
2018-04-21,,784500,
2018-04-22,,788500,
2018-04-23,,791000,
2018-04-24,,793500,
2018-04-25,,795800,
2018-04-26,,797800,
2018-04-27,,800400,
2018-04-28,,803800,
2018-04-29,,807000,
2018-04-30,,810500,
2018-05-01,,813100,
2018-05-02,,815200,
2018-05-03,,817800,
2018-05-04,,820800,
2018-05-05,,824000,
2018-05-06,,826900,
2018-05-07,,829300,
2018-05-08,,831100,
2018-05-09,,833400,
2018-05-10,,835400,
2018-05-11,,837100,
2018-05-12,,840600,
2018-05-13,,844000,
2018-05-14,,846200,
2018-05-15,,848400,
2018-05-16,,850300,
2018-05-17,,851500,
2018-05-18,,853500,
2018-05-19,,856300,
2018-05-20,,858700,
2018-05-21,,860900,
2018-05-22,,862500,
2018-05-23,,863700,
2018-05-24,,865700,
2018-05-25,,867900,
2018-05-26,,871200,
2018-05-27,,874300,
2018-05-28,,876900,
2018-05-29,,878900,
2018-05-30,,881400,
2018-05-31,,884400,
2018-06-01,,887100,
2018-06-02,,890600,
2018-06-03,,895200,
2018-06-04,,898000,
2018-06-05,,900500,
2018-06-06,,903100,
2018-06-07,,905600,
2018-06-08,,908500,
2018-06-09,,911200,
2018-06-10,,914200,
2018-06-11,,916400,
2018-06-12,,918000,
2018-06-13,,919900,
2018-06-14,,921600,
2018-06-15,,923900,
2018-06-16,,926300,
2018-06-17,,928200,
2018-06-18,,929600,
2018-06-19,,931500,
2018-06-20,,933700,
2018-06-21,,935500,
2018-06-22,,937500,
2018-06-23,,943300,
2018-06-24,,949900,
2018-06-25,,955500,
2018-06-26,,959600,
2018-06-27,,962900,
2018-06-28,,966800,
2018-06-29,,970400,
2018-06-30,,974000,
2018-07-01,,978100,
2018-07-02,,980900,
2018-07-03,,983100,
2018-07-04,,986800,
2018-07-05,,988500,
2018-07-06,,993200,
2018-07-07,,997300,
2018-07-08,,1002000,
2018-07-09,,1005100,
2018-07-10,,1009100,
2018-07-11,,1013000,
2018-07-12,,1015200,
2018-07-13,,1017600,
2018-07-14,,1020600,
2018-07-15,,1024200,
2018-07-16,,1027900,
2018-07-17,,1031000,
2018-07-18,,1033800,
2018-07-19,,1037300,
2018-07-20,,1040400,
2018-07-21,,1044400,
2018-07-22,,1047800,
2018-07-23,,1051400,
