Date,PS3 player count,PS4 player count,PS Vita player count
2010-11-18,0,0,0
2010-11-19,0,0,0
2010-11-20,0,0,0
2010-11-21,0,0,0
2010-11-22,0,0,0
2010-11-23,0,0,0
2010-11-24,0,0,0
2010-11-25,0,0,0
2010-11-26,0,0,0
2010-11-27,0,0,0
2010-11-28,0,0,0
2010-11-29,0,0,0
2010-11-30,0,0,0
2010-12-01,400,0,0
2010-12-02,1300,0,0
2010-12-03,2900,0,0
2010-12-04,4300,0,0
2010-12-05,5900,0,0
2010-12-06,7700,0,0
2010-12-07,9300,0,0
2010-12-08,10200,0,0
2010-12-09,11500,0,0
2010-12-10,12500,0,0
2010-12-11,13900,0,0
2010-12-12,16000,0,0
2010-12-13,17500,0,0
2010-12-14,18700,0,0
2010-12-15,19300,0,0
2010-12-16,20500,0,0
2010-12-17,21600,0,0
2010-12-18,23200,0,0
2010-12-19,24700,0,0
2010-12-20,25700,0,0
2010-12-21,26800,0,0
2010-12-22,28200,0,0
2010-12-23,29300,0,0
2010-12-24,30700,0,0
2010-12-25,31600,0,0
2010-12-26,33300,0,0
2010-12-27,34600,0,0
2010-12-28,35800,0,0
2010-12-29,36600,0,0
2010-12-30,38100,0,0
2010-12-31,39000,0,0
2011-01-01,40100,0,0
2011-01-02,41200,0,0
2011-01-03,42600,0,0
2011-01-04,43400,0,0
2011-01-05,44600,0,0
2011-01-06,45400,0,0
2011-01-07,46300,0,0
2011-01-08,47200,0,0
2011-01-09,48400,0,0
2011-01-10,49700,0,0
2011-01-11,50400,0,0
2011-01-12,51200,0,0
2011-01-13,51700,0,0
2011-01-14,52600,0,0
2011-01-15,54200,0,0
2011-01-16,55400,0,0
2011-01-17,56600,0,0
2011-01-18,57500,0,0
2011-01-19,58100,0,0
2011-01-20,58900,0,0
2011-01-21,59700,0,0
2011-01-22,61200,0,0
2011-01-23,62300,0,0
2011-01-24,63000,0,0
2011-01-25,63600,0,0
2011-01-26,64600,0,0
2011-01-27,65000,0,0
2011-01-28,66000,0,0
2011-01-29,66900,0,0
2011-01-30,67700,0,0
2011-01-31,68400,0,0
2011-02-01,69100,0,0
2011-02-02,69700,0,0
2011-02-03,70700,0,0
2011-02-04,71700,0,0
2011-02-05,72700,0,0
2011-02-06,73700,0,0
2011-02-07,74000,0,0
2011-02-08,74600,0,0
2011-02-09,75400,0,0
2011-02-10,76300,0,0
2011-02-11,77100,0,0
2011-02-12,77800,0,0
2011-02-13,78900,0,0
2011-02-14,79400,0,0
2011-02-15,79900,0,0
2011-02-16,80400,0,0
2011-02-17,81300,0,0
2011-02-18,82000,0,0
2011-02-19,82800,0,0
2011-02-20,83600,0,0
2011-02-21,84500,0,0
2011-02-22,84900,0,0
2011-02-23,85600,0,0
2011-02-24,86500,0,0
2011-02-25,87200,0,0
2011-02-26,88100,0,0
2011-02-27,88900,0,0
2011-02-28,89600,0,0
2011-03-01,89900,0,0
2011-03-02,90500,0,0
2011-03-03,91300,0,0
2011-03-04,92000,0,0
2011-03-05,93000,0,0
2011-03-06,93900,0,0
2011-03-07,94600,0,0
2011-03-08,95000,0,0
2011-03-09,95700,0,0
2011-03-10,96900,0,0
2011-03-11,98100,0,0
2011-03-12,99400,0,0
2011-03-13,100300,0,0
2011-03-14,100900,0,0
2011-03-15,101300,0,0
2011-03-16,101900,0,0
2011-03-17,102400,0,0
2011-03-18,103300,0,0
2011-03-19,104200,0,0
2011-03-20,105100,0,0
2011-03-21,106100,0,0
2011-03-22,106800,0,0
2011-03-23,107200,0,0
2011-03-24,107800,0,0
2011-03-25,108100,0,0
2011-03-26,109100,0,0
2011-03-27,110100,0,0
2011-03-28,110600,0,0
2011-03-29,111300,0,0
2011-03-30,111900,0,0
2011-03-31,112500,0,0
2011-04-01,113000,0,0
2011-04-02,114100,0,0
2011-04-03,115300,0,0
2011-04-04,116000,0,0
2011-04-05,116400,0,0
2011-04-06,116700,0,0
2011-04-07,117300,0,0
2011-04-08,117800,0,0
2011-04-09,118300,0,0
2011-04-10,119300,0,0
2011-04-11,119700,0,0
2011-04-12,120500,0,0
2011-04-13,120900,0,0
2011-04-14,121700,0,0
2011-04-15,122500,0,0
2011-04-16,123200,0,0
2011-04-17,124400,0,0
2011-04-18,125100,0,0
2011-04-19,125700,0,0
2011-04-20,126400,0,0
2011-04-21,126500,0,0
2011-04-22,126500,0,0
2011-04-23,126500,0,0
2011-04-24,126500,0,0
2011-04-25,126500,0,0
2011-04-26,126500,0,0
2011-04-27,126500,0,0
2011-04-28,126500,0,0
2011-04-29,126500,0,0
2011-04-30,126500,0,0
2011-05-01,126500,0,0
2011-05-02,126500,0,0
2011-05-03,126500,0,0
2011-05-04,126500,0,0
2011-05-05,126500,0,0
2011-05-06,126500,0,0
2011-05-07,126500,0,0
2011-05-08,126500,0,0
2011-05-09,126500,0,0
2011-05-10,126500,0,0
2011-05-11,126500,0,0
2011-05-12,126500,0,0
2011-05-13,126500,0,0
2011-05-14,126500,0,0
2011-05-15,128300,0,0
2011-05-16,130000,0,0
2011-05-17,131000,0,0
2011-05-18,131600,0,0
2011-05-19,131900,0,0
2011-05-20,132500,0,0
2011-05-21,133000,0,0
2011-05-22,133600,0,0
2011-05-23,133800,0,0
2011-05-24,134000,0,0
2011-05-25,134500,0,0
2011-05-26,134700,0,0
2011-05-27,135100,0,0
2011-05-28,135800,0,0
2011-05-29,135900,0,0
2011-05-30,136500,0,0
2011-05-31,136900,0,0
2011-06-01,137200,0,0
2011-06-02,137600,0,0
2011-06-03,141700,0,0
2011-06-04,176700,0,0
2011-06-05,228300,0,0
2011-06-06,278200,0,0
2011-06-07,325300,0,0
2011-06-08,375600,0,0
2011-06-09,423100,0,0
2011-06-10,469400,0,0
2011-06-11,521000,0,0
2011-06-12,568400,0,0
2011-06-13,608800,0,0
2011-06-14,645700,0,0
2011-06-15,679300,0,0
2011-06-16,711200,0,0
2011-06-17,745600,0,0
2011-06-18,781800,0,0
2011-06-19,816700,0,0
2011-06-20,844100,0,0
2011-06-21,873000,0,0
2011-06-22,901500,0,0
2011-06-23,924300,0,0
2011-06-24,950400,0,0
2011-06-25,978800,0,0
2011-06-26,1004600,0,0
2011-06-27,1027700,0,0
2011-06-28,1048300,0,0
2011-06-29,1069400,0,0
2011-06-30,1091200,0,0
2011-07-01,1109900,0,0
2011-07-02,1130400,0,0
2011-07-03,1151800,0,0
2011-07-04,1172100,0,0
2011-07-05,1189100,0,0
2011-07-06,1206800,0,0
2011-07-07,1223800,0,0
2011-07-08,1239500,0,0
2011-07-09,1257000,0,0
2011-07-10,1275800,0,0
2011-07-11,1290200,0,0
2011-07-12,1304500,0,0
2011-07-13,1317000,0,0
2011-07-14,1331400,0,0
2011-07-15,1346500,0,0
2011-07-16,1361500,0,0
2011-07-17,1376000,0,0
2011-07-18,1389700,0,0
2011-07-19,1401000,0,0
2011-07-20,1411800,0,0
2011-07-21,1423600,0,0
2011-07-22,1434600,0,0
2011-07-23,1447300,0,0
2011-07-24,1458300,0,0
2011-07-25,1469400,0,0
2011-07-26,1479800,0,0
2011-07-27,1489000,0,0
2011-07-28,1498400,0,0
2011-07-29,1509300,0,0
2011-07-30,1518600,0,0
2011-07-31,1528900,0,0
2011-08-01,1538600,0,0
2011-08-02,1548800,0,0
2011-08-03,1557600,0,0
2011-08-04,1565900,0,0
2011-08-05,1575000,0,0
2011-08-06,1584200,0,0
2011-08-07,1593700,0,0
2011-08-08,1602500,0,0
2011-08-09,1611200,0,0
2011-08-10,1618600,0,0
2011-08-11,1627300,0,0
2011-08-12,1635000,0,0
2011-08-13,1644000,0,0
2011-08-14,1653600,0,0
2011-08-15,1661500,0,0
2011-08-16,1669900,0,0
2011-08-17,1678300,0,0
2011-08-18,1685700,0,0
2011-08-19,1693100,0,0
2011-08-20,1701900,0,0
2011-08-21,1711000,0,0
2011-08-22,1718500,0,0
2011-08-23,1724500,0,0
2011-08-24,1732700,0,0
2011-08-25,1739800,0,0
2011-08-26,1746900,0,0
2011-08-27,1754900,0,0
2011-08-28,1762700,0,0
2011-08-29,1768400,0,0
2011-08-30,1774900,0,0
2011-08-31,1780800,0,0
2011-09-01,1788300,0,0
2011-09-02,1794600,0,0
2011-09-03,1802100,0,0
2011-09-04,1810500,0,0
2011-09-05,1818600,0,0
2011-09-06,1825500,0,0
2011-09-07,1831700,0,0
2011-09-08,1837200,0,0
2011-09-09,1843800,0,0
2011-09-10,1851600,0,0
2011-09-11,1859600,0,0
2011-09-12,1865000,0,0
2011-09-13,1869600,0,0
