Date,'',PS4 player count,
2016-04-05,,10700,
2016-04-06,,33200,
2016-04-07,,57900,
2016-04-08,,80400,
2016-04-09,,104000,
2016-04-10,,129100,
2016-04-11,,145200,
2016-04-12,,161400,
2016-04-13,,174500,
2016-04-14,,187400,
2016-04-15,,201600,
2016-04-16,,219400,
2016-04-17,,236000,
2016-04-18,,248200,
2016-04-19,,260500,
2016-04-20,,270400,
2016-04-21,,281100,
2016-04-22,,291400,
2016-04-23,,307100,
2016-04-24,,321800,
2016-04-25,,331500,
2016-04-26,,339800,
2016-04-27,,347700,
2016-04-28,,356300,
2016-04-29,,365600,
2016-04-30,,378000,
2016-05-01,,391200,
2016-05-02,,400500,
2016-05-03,,409700,
2016-05-04,,417900,
2016-05-05,,426700,
2016-05-06,,434800,
2016-05-07,,443800,
2016-05-08,,450300,
2016-05-09,,455600,
2016-05-10,,461100,
2016-05-11,,467200,
2016-05-12,,472700,
2016-05-13,,478400,
2016-05-14,,485200,
2016-05-15,,492000,
2016-05-16,,497200,
2016-05-17,,501200,
2016-05-18,,505600,
2016-05-19,,508700,
2016-05-20,,512400,
2016-05-21,,517300,
2016-05-22,,523000,
2016-05-23,,527000,
2016-05-24,,530400,
2016-05-25,,533600,
2016-05-26,,537100,
2016-05-27,,540700,
2016-05-28,,545400,
2016-05-29,,549800,
2016-05-30,,553400,
2016-05-31,,556200,
2016-06-01,,558600,
2016-06-02,,561200,
2016-06-03,,564600,
2016-06-04,,567200,
2016-06-05,,569900,
2016-06-06,,571900,
2016-06-07,,574900,
2016-06-08,,577800,
2016-06-09,,580600,
2016-06-10,,583100,
2016-06-11,,586500,
2016-06-12,,590000,
2016-06-13,,592500,
2016-06-14,,594400,
2016-06-15,,596500,
2016-06-16,,597800,
2016-06-17,,599100,
2016-06-18,,602100,
2016-06-19,,604400,
2016-06-20,,606200,
2016-06-21,,608700,
2016-06-22,,610500,
2016-06-23,,612300,
2016-06-24,,614400,
2016-06-25,,616600,
2016-06-26,,618100,
2016-06-27,,619900,
2016-06-28,,621500,
2016-06-29,,623000,
2016-06-30,,624300,
2016-07-01,,625700,
2016-07-02,,627500,
2016-07-03,,629200,
2016-07-04,,630600,
2016-07-05,,631900,
2016-07-06,,634200,
2016-07-07,,635800,
2016-07-08,,637200,
2016-07-09,,638900,
2016-07-10,,640200,
2016-07-11,,641300,
2016-07-12,,642900,
2016-07-13,,644500,
2016-07-14,,645800,
2016-07-15,,646400,
2016-07-16,,647900,
2016-07-17,,649100,
2016-07-18,,650100,
2016-07-19,,651100,
2016-07-20,,651900,
2016-07-21,,652800,
2016-07-22,,653500,
2016-07-23,,654500,
2016-07-24,,655800,
2016-07-25,,656700,
2016-07-26,,657700,
2016-07-27,,658500,
2016-07-28,,659300,
2016-07-29,,660200,
2016-07-30,,661300,
2016-07-31,,662300,
2016-08-01,,663300,
2016-08-02,,664300,
2016-08-03,,665700,
2016-08-04,,667200,
2016-08-05,,668700,
2016-08-06,,670800,
2016-08-07,,672600,
2016-08-08,,674400,
2016-08-09,,676400,
2016-08-10,,678100,
2016-08-11,,679700,
2016-08-12,,681300,
2016-08-13,,683400,
2016-08-14,,685400,
2016-08-15,,687200,
2016-08-16,,688700,
2016-08-17,,690600,
2016-08-18,,691600,
2016-08-19,,692600,
2016-08-20,,694100,
2016-08-21,,695400,
2016-08-22,,696400,
2016-08-23,,697400,
2016-08-24,,698600,
2016-08-25,,699300,
2016-08-26,,700400,
2016-08-27,,701700,
2016-08-28,,703000,
2016-08-29,,704400,
2016-08-30,,705400,
2016-08-31,,706700,
2016-09-01,,707600,
2016-09-02,,708700,
