Date,'',PS4 player count,
2017-09-05,,17300,
2017-09-06,,553800,
2017-09-07,,1039400,
2017-09-08,,1399700,
2017-09-09,,1711300,
2017-09-10,,1948900,
2017-09-11,,2087400,
2017-09-12,,2160400,
2017-09-13,,2255500,
2017-09-14,,2333000,
2017-09-15,,2415800,
2017-09-16,,2521100,
2017-09-17,,2614400,
2017-09-18,,2664800,
2017-09-19,,2717800,
2017-09-20,,2762400,
2017-09-21,,2805900,
2017-09-22,,2847200,
2017-09-23,,2904000,
2017-09-24,,2959900,
2017-09-25,,2985100,
2017-09-26,,3018800,
2017-09-27,,3047200,
2017-09-28,,3076200,
2017-09-29,,3106400,
2017-09-30,,3148600,
2017-10-01,,3187200,
2017-10-02,,3215000,
2017-10-03,,3233200,
2017-10-04,,3253300,
2017-10-05,,3273300,
2017-10-06,,3294100,
2017-10-07,,3322400,
2017-10-08,,3348000,
2017-10-09,,3368400,
2017-10-10,,3382500,
2017-10-11,,3394800,
2017-10-12,,3409400,
2017-10-13,,3424300,
2017-10-14,,3444800,
2017-10-15,,3467300,
2017-10-16,,3480300,
2017-10-17,,3492100,
2017-10-18,,3502800,
2017-10-19,,3511200,
2017-10-20,,3522900,
2017-10-21,,3540600,
2017-10-22,,3559100,
2017-10-23,,3571700,
2017-10-24,,3582000,
2017-10-25,,3592400,
2017-10-26,,3602000,
2017-10-27,,3611000,
2017-10-28,,3625800,
2017-10-29,,3639800,
2017-10-30,,3649300,
2017-10-31,,3658300,
2017-11-01,,3665500,
2017-11-02,,3672900,
2017-11-03,,3682000,
2017-11-04,,3694000,
2017-11-05,,3706600,
2017-11-06,,3714200,
2017-11-07,,3721400,
2017-11-08,,3726600,
2017-11-09,,3732300,
2017-11-10,,3740000,
2017-11-11,,3749800,
2017-11-12,,3759400,
2017-11-13,,3765200,
2017-11-14,,3770600,
2017-11-15,,3776100,
2017-11-16,,3779700,
2017-11-17,,3784600,
2017-11-18,,3793700,
2017-11-19,,3804000,
2017-11-20,,3812000,
2017-11-21,,3819400,
2017-11-22,,3827200,
2017-11-23,,3835600,
2017-11-24,,3850100,
2017-11-25,,3874300,
2017-11-26,,3895900,
2017-11-27,,3909600,
2017-11-28,,3921500,
2017-11-29,,3932900,
2017-11-30,,3941100,
2017-12-01,,3948200,
2017-12-02,,3964800,
2017-12-03,,3979900,
2017-12-04,,3989000,
2017-12-05,,3996200,
2017-12-06,,4003900,
2017-12-07,,4012400,
2017-12-08,,4022500,
2017-12-09,,4038700,
2017-12-10,,4054100,
2017-12-11,,4063100,
2017-12-12,,4068900,
2017-12-13,,4076400,
2017-12-14,,4083300,
2017-12-15,,4090400,
2017-12-16,,4100000,
2017-12-17,,4111100,
2017-12-18,,4119000,
2017-12-19,,4126400,
2017-12-20,,4135800,
2017-12-21,,4144500,
2017-12-22,,4154200,
2017-12-23,,4168600,
2017-12-24,,4184400,
2017-12-25,,4216300,
2017-12-26,,4263400,
2017-12-27,,4306700,
2017-12-28,,4343600,
2017-12-29,,4373900,
2017-12-30,,4402800,
2017-12-31,,4425800,
2018-01-01,,4447500,
2018-01-02,,4467400,
2018-01-03,,4479800,
2018-01-04,,4495500,
2018-01-05,,4509600,
2018-01-06,,4525300,
2018-01-07,,4540500,
2018-01-08,,4550800,
2018-01-09,,4559700,
2018-01-10,,4567400,
2018-01-11,,4574800,
2018-01-12,,4583400,
2018-01-13,,4594400,
2018-01-14,,4605600,
2018-01-15,,4613700,
2018-01-16,,4620600,
2018-01-17,,4628000,
2018-01-18,,4634300,
2018-01-19,,4640200,
2018-01-20,,4649300,
2018-01-21,,4659000,
2018-01-22,,4664800,
2018-01-23,,4670400,
2018-01-24,,4675400,
2018-01-25,,4681200,
2018-01-26,,4686200,
2018-01-27,,4693800,
2018-01-28,,4702000,
2018-01-29,,4707900,
2018-01-30,,4711400,
2018-01-31,,4715600,
2018-02-01,,4720200,
2018-02-02,,4725400,
2018-02-03,,4731900,
2018-02-04,,4738600,
2018-02-05,,4742200,
2018-02-06,,4746700,
2018-02-07,,4750400,
2018-02-08,,4754300,
2018-02-09,,4758100,
2018-02-10,,4764300,
2018-02-11,,4770900,
2018-02-12,,4776400,
2018-02-13,,4780100,
2018-02-14,,4784100,
2018-02-15,,4787700,
2018-02-16,,4792000,
2018-02-17,,4798200,
2018-02-18,,4803800,
2018-02-19,,4808700,
2018-02-20,,4812200,
2018-02-21,,4816000,
2018-02-22,,4819900,
2018-02-23,,4823700,
2018-02-24,,4830000,
2018-02-25,,4836400,
2018-02-26,,4840700,
2018-02-27,,4844600,
2018-02-28,,4848800,
2018-03-01,,4853600,
2018-03-02,,4860100,
2018-03-03,,4867000,
2018-03-04,,4875400,
2018-03-05,,4880500,
2018-03-06,,4885400,
2018-03-07,,4889100,
2018-03-08,,4892800,
2018-03-09,,4895800,
2018-03-10,,4902300,
2018-03-11,,4907700,
2018-03-12,,4911100,
2018-03-13,,4914900,
2018-03-14,,4918500,
2018-03-15,,4922100,
2018-03-16,,4925800,
2018-03-17,,4930800,
2018-03-18,,4936300,
2018-03-19,,4939000,
2018-03-20,,4942100,
2018-03-21,,4945600,
2018-03-22,,4948800,
2018-03-23,,4952500,
2018-03-24,,4956500,
2018-03-25,,4961900,
2018-03-26,,4965000,
2018-03-27,,4967600,
2018-03-28,,4970500,
2018-03-29,,4973600,
2018-03-30,,4978000,
2018-03-31,,4983000,
2018-04-01,,4988300,
2018-04-02,,4993000,
2018-04-03,,4995500,
2018-04-04,,4999400,
2018-04-05,,5002700,
2018-04-06,,5006400,
2018-04-07,,5011500,
2018-04-08,,5016500,
2018-04-09,,5019700,
2018-04-10,,5022600,
2018-04-11,,5025900,
2018-04-12,,5029400,
2018-04-13,,5032800,
2018-04-14,,5037800,
2018-04-15,,5043800,
2018-04-16,,5047100,
2018-04-17,,5049800,
2018-04-18,,5052800,
2018-04-19,,5055700,
2018-04-20,,5059300,
2018-04-21,,5064600,
2018-04-22,,5071300,
2018-04-23,,5074800,
2018-04-24,,5079100,
2018-04-25,,5082700,
2018-04-26,,5086300,
2018-04-27,,5089200,
2018-04-28,,5094400,
2018-04-29,,5099800,
2018-04-30,,5103500,
2018-05-01,,5107000,
2018-05-02,,5109700,
2018-05-03,,5112500,
2018-05-04,,5116400,
2018-05-05,,5121400,
2018-05-06,,5127200,
2018-05-07,,5131100,
2018-05-08,,5134200,
2018-05-09,,5137800,
2018-05-10,,5142900,
2018-05-11,,5147300,
2018-05-12,,5152500,
2018-05-13,,5159600,
2018-05-14,,5164800,
2018-05-15,,5168500,
2018-05-16,,5173000,
2018-05-17,,5176900,
2018-05-18,,5181300,
2018-05-19,,5186400,
2018-05-20,,5192800,
2018-05-21,,5197300,
2018-05-22,,5201500,
2018-05-23,,5205200,
2018-05-24,,5209700,
2018-05-25,,5214700,
2018-05-26,,5219900,
2018-05-27,,5225300,
2018-05-28,,5231800,
2018-05-29,,5235600,
2018-05-30,,5240800,
2018-05-31,,5244500,
2018-06-01,,5248900,
2018-06-02,,5254100,
2018-06-03,,5260300,
2018-06-04,,5264400,
2018-06-05,,5268600,
2018-06-06,,5273700,
2018-06-07,,5278900,
2018-06-08,,5284200,
2018-06-09,,5293000,
2018-06-10,,5302600,
2018-06-11,,5310100,
2018-06-12,,5317300,
2018-06-13,,5322700,
2018-06-14,,5329600,
2018-06-15,,5337800,
2018-06-16,,5345700,
2018-06-17,,5354100,
2018-06-18,,5361800,
2018-06-19,,5368800,
2018-06-20,,5373600,
2018-06-21,,5378200,
2018-06-22,,5383900,
2018-06-23,,5390100,
2018-06-24,,5396700,
2018-06-25,,5401600,
2018-06-26,,5406800,
2018-06-27,,5412600,
2018-06-28,,5418000,
2018-06-29,,5424300,
2018-06-30,,5431800,
2018-07-01,,5440000,
2018-07-02,,5449200,
2018-07-03,,5457700,
2018-07-04,,5465000,
2018-07-05,,5473900,
2018-07-06,,5481900,
2018-07-07,,5490100,
2018-07-08,,5499300,
2018-07-09,,5507100,
2018-07-10,,5513700,
2018-07-11,,5519400,
2018-07-12,,5524400,
2018-07-13,,5530400,
2018-07-14,,5536100,
2018-07-15,,5541600,
2018-07-16,,5546200,
2018-07-17,,5550500,
2018-07-18,,5554800,
2018-07-19,,5558600,
2018-07-20,,5564900,
2018-07-21,,5570400,
2018-07-22,,5576000,
2018-07-23,,5580200,
2018-07-24,,5584900,
2018-07-25,,5590400,
2018-07-26,,5596400,
2018-07-27,,5603200,
2018-07-28,,5610600,
2018-07-29,,5620500,
2018-07-30,,5628200,
2018-07-31,,5635500,
2018-08-01,,5642600,
2018-08-02,,5649600,
2018-08-03,,5655300,
2018-08-04,,5662200,
2018-08-05,,5668200,
2018-08-06,,5673800,
2018-08-07,,5679900,
2018-08-08,,5684800,
2018-08-09,,5690000,
2018-08-10,,5694100,
2018-08-11,,5699700,
2018-08-12,,5705200,
2018-08-13,,5710100,
2018-08-14,,5714500,
2018-08-15,,5718800,
2018-08-16,,5722700,
2018-08-17,,5727200,
2018-08-18,,5732100,
2018-08-19,,5737700,
