Date,'',PS4 player count,
2018-05-20,,100,
2018-05-21,,200,
2018-05-22,,300,
2018-05-23,,900,
2018-05-24,,25500,
2018-05-25,,190000,
2018-05-26,,314400,
2018-05-27,,392000,
2018-05-28,,455400,
2018-05-29,,505000,
2018-05-30,,548800,
2018-05-31,,591800,
2018-06-01,,633200,
2018-06-02,,686000,
2018-06-03,,729400,
2018-06-04,,759100,
2018-06-05,,787500,
2018-06-06,,809800,
2018-06-07,,833600,
2018-06-08,,859300,
2018-06-09,,890700,
2018-06-10,,919800,
2018-06-11,,941800,
2018-06-12,,961800,
2018-06-13,,980400,
2018-06-14,,997900,
2018-06-15,,1016800,
2018-06-16,,1039800,
2018-06-17,,1062800,
2018-06-18,,1079800,
2018-06-19,,1094400,
2018-06-20,,1108700,
2018-06-21,,1120300,
2018-06-22,,1135400,
2018-06-23,,1153400,
2018-06-24,,1169600,
2018-06-25,,1183800,
2018-06-26,,1197600,
2018-06-27,,1209600,
2018-06-28,,1222300,
2018-06-29,,1236800,
2018-06-30,,1254500,
2018-07-01,,1269700,
2018-07-02,,1281800,
2018-07-03,,1293000,
2018-07-04,,1304800,
2018-07-05,,1314900,
2018-07-06,,1324700,
2018-07-07,,1340200,
2018-07-08,,1354900,
2018-07-09,,1366600,
2018-07-10,,1377300,
2018-07-11,,1384700,
2018-07-12,,1393800,
2018-07-13,,1405100,
2018-07-14,,1417700,
2018-07-15,,1429900,
2018-07-16,,1440200,
2018-07-17,,1448500,
2018-07-18,,1458100,
2018-07-19,,1465800,
2018-07-20,,1476700,
2018-07-21,,1488200,
2018-07-22,,1500500,
2018-07-23,,1511200,
2018-07-24,,1520100,
2018-07-25,,1527900,
2018-07-26,,1535400,
2018-07-27,,1544400,
2018-07-28,,1555700,
2018-07-29,,1567500,
2018-07-30,,1576600,
2018-07-31,,1586100,
2018-08-01,,1595200,
2018-08-02,,1605600,
2018-08-03,,1618500,
2018-08-04,,1634200,
2018-08-05,,1648700,
2018-08-06,,1660700,
2018-08-07,,1671000,
2018-08-08,,1681300,
2018-08-09,,1688900,
2018-08-10,,1697100,
2018-08-11,,1707800,
2018-08-12,,1717800,
2018-08-13,,1725800,
2018-08-14,,1734100,
2018-08-15,,1742100,
2018-08-16,,1750700,
2018-08-17,,1758800,
2018-08-18,,1767700,
2018-08-19,,1776500,
2018-08-20,,1782600,
2018-08-21,,1787800,
2018-08-22,,1794400,
2018-08-23,,1800100,
2018-08-24,,1806100,
2018-08-25,,1814300,
2018-08-26,,1823100,
2018-08-27,,1830100,
2018-08-28,,1835800,
2018-08-29,,1843600,
2018-08-30,,1852100,
2018-08-31,,1862200,
2018-09-01,,1875400,
2018-09-02,,1889200,
2018-09-03,,1899500,
2018-09-04,,1908300,
2018-09-05,,1916800,
2018-09-06,,1923600,
2018-09-07,,1930300,
2018-09-08,,1940800,
2018-09-09,,1949500,
2018-09-10,,1955500,
2018-09-11,,1961600,
2018-09-12,,1967300,
2018-09-13,,1972800,
2018-09-14,,1979600,
2018-09-15,,1989900,
2018-09-16,,1999700,
2018-09-17,,2006400,
2018-09-18,,2011600,
2018-09-19,,2017200,
2018-09-20,,2022100,
2018-09-21,,2027500,
2018-09-22,,2035500,
2018-09-23,,2042300,
2018-09-24,,2047200,
2018-09-25,,2051300,
2018-09-26,,2055700,
2018-09-27,,2060000,
2018-09-28,,2065100,
2018-09-29,,2072500,
2018-09-30,,2079000,
2018-10-01,,2083600,
2018-10-02,,2088500,
2018-10-03,,2093400,
2018-10-04,,2099300,
2018-10-05,,2105600,
2018-10-06,,2113100,
2018-10-07,,2120700,
2018-10-08,,2126000,
2018-10-09,,2130700,
2018-10-10,,2134800,
2018-10-11,,2139100,
2018-10-12,,2144400,
2018-10-13,,2151700,
2018-10-14,,2158500,
2018-10-15,,2164200,
2018-10-16,,2169000,
2018-10-17,,2172800,
2018-10-18,,2176000,
2018-10-19,,2181100,
2018-10-20,,2187000,
2018-10-21,,2192300,
2018-10-22,,2195300,
2018-10-23,,2198300,
2018-10-24,,2201400,
2018-10-25,,2204200,
2018-10-26,,2208300,
2018-10-27,,2213700,
2018-10-28,,2218500,
2018-10-29,,2222400,
2018-10-30,,2225200,
2018-10-31,,2227900,
2018-11-01,,2231100,
2018-11-02,,2234600,
2018-11-03,,2239600,
2018-11-04,,2244200,
2018-11-05,,2246800,
2018-11-06,,2250000,
2018-11-07,,2252600,
2018-11-08,,2255200,
2018-11-09,,2258500,
2018-11-10,,2263900,
2018-11-11,,2268900,
2018-11-12,,2273100,
2018-11-13,,2275900,
2018-11-14,,2278900,
2018-11-15,,2281300,
2018-11-16,,2286900,
2018-11-17,,2297000,
2018-11-18,,2306000,
2018-11-19,,2315700,
2018-11-20,,2323300,
2018-11-21,,2332500,
2018-11-22,,2342600,
2018-11-23,,2360100,
2018-11-24,,2382600,
2018-11-25,,2399800,
2018-11-26,,2410700,
2018-11-27,,2420500,
2018-11-28,,2429100,
2018-11-29,,2435400,
2018-11-30,,2442900,
2018-12-01,,2452300,
2018-12-02,,2460000,
2018-12-03,,2465200,
2018-12-04,,2470000,
2018-12-05,,2475100,
2018-12-06,,2479400,
2018-12-07,,2486200,
2018-12-08,,2495200,
2018-12-09,,2506000,
2018-12-10,,2513000,
2018-12-11,,2518300,
2018-12-12,,2524000,
2018-12-13,,2528800,
2018-12-14,,2535500,
2018-12-15,,2543900,
2018-12-16,,2553200,
2018-12-17,,2559400,
2018-12-18,,2566100,
2018-12-19,,2572400,
2018-12-20,,2579200,
2018-12-21,,2586900,
2018-12-22,,2598300,
2018-12-23,,2608500,
2018-12-24,,2622800,
2018-12-25,,2661400,
2018-12-26,,2685600,
2018-12-27,,2704000,
2018-12-28,,2718900,
2018-12-29,,2736600,
2018-12-30,,2752100,
2018-12-31,,2765900,
2019-01-01,,2779900,
2019-01-02,,2792100,
2019-01-03,,2804200,
2019-01-04,,2816900,
2019-01-05,,2831700,
2019-01-06,,2847400,
2019-01-07,,2858500,
2019-01-08,,2867500,
2019-01-09,,2875300,
2019-01-10,,2882700,
2019-01-11,,2891300,
2019-01-12,,2901900,
2019-01-13,,2912200,
2019-01-14,,2919900,
2019-01-15,,2926500,
2019-01-16,,2932800,
2019-01-17,,2938200,
2019-01-18,,2945100,
