Date,'',PS4 player count,
2016-08-17,,100,
2016-08-18,,100,
2016-08-19,,300,
2016-08-20,,700,
2016-08-21,,1200,
2016-08-22,,2000,
2016-08-23,,9800,
2016-08-24,,16400,
2016-08-25,,21500,
2016-08-26,,27300,
2016-08-27,,34500,
2016-08-28,,42000,
2016-08-29,,50000,
2016-08-30,,55600,
2016-08-31,,61500,
2016-09-01,,67000,
2016-09-02,,73200,
2016-09-03,,79000,
2016-09-04,,86500,
2016-09-05,,93200,
2016-09-06,,97600,
2016-09-07,,102700,
2016-09-08,,108200,
2016-09-09,,113200,
2016-09-10,,119200,
2016-09-11,,125500,
2016-09-12,,129200,
2016-09-13,,133700,
2016-09-14,,137600,
2016-09-15,,140600,
2016-09-16,,144400,
2016-09-17,,149400,
2016-09-18,,154300,
2016-09-19,,158000,
2016-09-20,,160100,
2016-09-21,,163100,
2016-09-22,,166400,
2016-09-23,,168700,
2016-09-24,,172000,
2016-09-25,,176300,
2016-09-26,,178700,
2016-09-27,,182100,
2016-09-28,,185000,
2016-09-29,,187800,
2016-09-30,,190500,
2016-10-01,,193900,
2016-10-02,,197600,
2016-10-03,,199900,
2016-10-04,,202300,
2016-10-05,,204900,
2016-10-06,,207300,
2016-10-07,,210500,
2016-10-08,,213700,
2016-10-09,,216700,
2016-10-10,,218900,
2016-10-11,,221400,
2016-10-12,,223400,
2016-10-13,,225100,
2016-10-14,,227500,
2016-10-15,,230100,
2016-10-16,,232900,
2016-10-17,,234700,
2016-10-18,,236700,
2016-10-19,,238300,
2016-10-20,,239600,
2016-10-21,,241500,
2016-10-22,,244000,
2016-10-23,,246500,
2016-10-24,,248400,
2016-10-25,,250500,
2016-10-26,,251900,
2016-10-27,,253400,
2016-10-28,,254500,
2016-10-29,,256200,
2016-10-30,,258300,
2016-10-31,,259500,
2016-11-01,,260900,
2016-11-02,,262300,
2016-11-03,,263300,
2016-11-04,,265000,
2016-11-05,,266900,
2016-11-06,,268600,
2016-11-07,,269900,
2016-11-08,,271100,
2016-11-09,,272800,
2016-11-10,,274600,
2016-11-11,,276300,
2016-11-12,,278300,
2016-11-13,,280600,
2016-11-14,,281800,
2016-11-15,,282900,
2016-11-16,,284100,
2016-11-17,,285500,
2016-11-18,,286800,
2016-11-19,,288400,
2016-11-20,,289800,
2016-11-21,,291200,
2016-11-22,,292300,
2016-11-23,,294200,
2016-11-24,,295200,
2016-11-25,,297000,
2016-11-26,,298700,
2016-11-27,,301000,
2016-11-28,,302900,
2016-11-29,,304200,
2016-11-30,,305600,
2016-12-01,,306700,
2016-12-02,,308000,
2016-12-03,,310000,
2016-12-04,,312000,
2016-12-05,,313600,
2016-12-06,,315200,
2016-12-07,,316500,
2016-12-08,,317100,
2016-12-09,,318200,
2016-12-10,,319900,
2016-12-11,,321400,
2016-12-12,,322600,
2016-12-13,,324000,
2016-12-14,,325200,
2016-12-15,,326700,
2016-12-16,,328200,
2016-12-17,,329800,
2016-12-18,,331800,
2016-12-19,,333800,
2016-12-20,,335600,
2016-12-21,,337200,
2016-12-22,,338900,
2016-12-23,,340800,
2016-12-24,,342700,
2016-12-25,,345300,
2016-12-26,,348500,
2016-12-27,,351200,
2016-12-28,,354000,
2016-12-29,,356700,
2016-12-30,,359100,
2016-12-31,,361500,
2017-01-01,,363500,
2017-01-02,,365600,
2017-01-03,,367700,
2017-01-04,,370300,
2017-01-05,,372600,
2017-01-06,,374300,
2017-01-07,,377300,
2017-01-08,,379400,
2017-01-09,,381200,
2017-01-10,,382800,
2017-01-11,,384600,
2017-01-12,,386000,
2017-01-13,,387000,
2017-01-14,,389300,
2017-01-15,,392000,
2017-01-16,,393100,
2017-01-17,,394500,
2017-01-18,,395700,
2017-01-19,,397700,
2017-01-20,,399100,
2017-01-21,,401100,
2017-01-22,,403200,
2017-01-23,,404500,
2017-01-24,,405700,
2017-01-25,,407300,
2017-01-26,,408600,
2017-01-27,,409500,
2017-01-28,,411600,
2017-01-29,,413300,
2017-01-30,,415000,
2017-01-31,,416700,
2017-02-01,,417900,
2017-02-02,,418900,
2017-02-03,,420200,
2017-02-04,,421900,
2017-02-05,,423900,
2017-02-06,,425500,
2017-02-07,,426500,
2017-02-08,,427900,
2017-02-09,,429100,
2017-02-10,,430100,
2017-02-11,,432000,
2017-02-12,,433500,
2017-02-13,,434900,
2017-02-14,,435900,
2017-02-15,,437000,
2017-02-16,,438100,
2017-02-17,,438800,
2017-02-18,,440300,
2017-02-19,,442200,
2017-02-20,,443100,
2017-02-21,,444200,
2017-02-22,,445900,
2017-02-23,,447500,
2017-02-24,,449100,
2017-02-25,,451700,
2017-02-26,,454200,
2017-02-27,,455500,
2017-02-28,,457000,
2017-03-01,,458400,
2017-03-02,,459400,
2017-03-03,,460300,
2017-03-04,,462000,
2017-03-05,,464400,
2017-03-06,,465800,
2017-03-07,,467100,
2017-03-08,,468500,
2017-03-09,,469600,
2017-03-10,,471500,
2017-03-11,,473500,
2017-03-12,,475200,
2017-03-13,,476700,
2017-03-14,,478300,
2017-03-15,,479200,
2017-03-16,,480400,
2017-03-17,,482200,
2017-03-18,,484100,
2017-03-19,,485500,
2017-03-20,,486500,
2017-03-21,,487900,
2017-03-22,,489700,
2017-03-23,,491400,
2017-03-24,,492700,
2017-03-25,,494100,
2017-03-26,,495100,
2017-03-27,,496400,
2017-03-28,,497900,
2017-03-29,,499200,
2017-03-30,,500300,
2017-03-31,,501900,
2017-04-01,,503200,
2017-04-02,,505200,
2017-04-03,,506200,
2017-04-04,,507400,
2017-04-05,,508700,
2017-04-06,,509900,
2017-04-07,,510800,
2017-04-08,,512300,
2017-04-09,,513900,
2017-04-10,,515400,
2017-04-11,,516400,
2017-04-12,,517800,
2017-04-13,,519000,
2017-04-14,,520500,
2017-04-15,,521900,
2017-04-16,,523300,
2017-04-17,,525000,
2017-04-18,,525900,
2017-04-19,,526700,
2017-04-20,,527600,
2017-04-21,,528500,
2017-04-22,,529700,
2017-04-23,,531100,
2017-04-24,,532300,
2017-04-25,,533400,
2017-04-26,,534300,
2017-04-27,,535100,
2017-04-28,,536400,
2017-04-29,,537700,
2017-04-30,,539200,
2017-05-01,,540000,
2017-05-02,,541100,
2017-05-03,,541900,
2017-05-04,,543200,
2017-05-05,,544000,
2017-05-06,,545100,
2017-05-07,,546400,
2017-05-08,,547500,
2017-05-09,,548500,
2017-05-10,,549900,
2017-05-11,,550900,
2017-05-12,,552900,
2017-05-13,,554400,
2017-05-14,,556000,
2017-05-15,,557600,
2017-05-16,,559100,
2017-05-17,,560300,
2017-05-18,,562100,
2017-05-19,,563600,
2017-05-20,,566100,
2017-05-21,,568000,
2017-05-22,,568900,
2017-05-23,,570200,
2017-05-24,,571600,
2017-05-25,,572800,
2017-05-26,,574000,
2017-05-27,,575600,
2017-05-28,,578000,
2017-05-29,,579400,
2017-05-30,,580900,
2017-05-31,,582200,
2017-06-01,,583700,
2017-06-02,,585200,
2017-06-03,,586900,
2017-06-04,,588900,
2017-06-05,,590000,
2017-06-06,,591200,
2017-06-07,,592200,
2017-06-08,,593800,
2017-06-09,,595600,
2017-06-10,,597500,
2017-06-11,,599100,
2017-06-12,,600800,
2017-06-13,,602200,
2017-06-14,,603600,
2017-06-15,,604900,
2017-06-16,,606400,
2017-06-17,,607800,
2017-06-18,,609400,
2017-06-19,,610800,
2017-06-20,,612400,
2017-06-21,,613900,
2017-06-22,,615700,
2017-06-23,,617100,
2017-06-24,,618700,
2017-06-25,,620100,
2017-06-26,,621800,
2017-06-27,,623100,
2017-06-28,,624400,
2017-06-29,,626300,
2017-06-30,,627800,
2017-07-01,,629600,
2017-07-02,,631400,
2017-07-03,,632600,
2017-07-04,,634400,
2017-07-05,,635500,
2017-07-06,,636700,
2017-07-07,,638200,
2017-07-08,,640300,
2017-07-09,,642100,
2017-07-10,,643500,
2017-07-11,,644700,
2017-07-12,,645500,
2017-07-13,,647300,
2017-07-14,,649200,
2017-07-15,,651000,
2017-07-16,,653200,
2017-07-17,,654600,
2017-07-18,,656000,
2017-07-19,,657400,
2017-07-20,,658900,
2017-07-21,,660300,
2017-07-22,,661900,
2017-07-23,,664100,
2017-07-24,,665700,
2017-07-25,,667100,
2017-07-26,,668500,
2017-07-27,,669400,
2017-07-28,,670600,
2017-07-29,,672100,
2017-07-30,,673900,
2017-07-31,,675500,
2017-08-01,,676900,
2017-08-02,,677800,
2017-08-03,,678800,
2017-08-04,,680200,
2017-08-05,,681700,
2017-08-06,,683700,
2017-08-07,,684800,
2017-08-08,,685600,
2017-08-09,,686900,
2017-08-10,,688100,
2017-08-11,,689400,
2017-08-12,,691000,
2017-08-13,,692500,
2017-08-14,,694800,
2017-08-15,,696500,
2017-08-16,,697800,
2017-08-17,,699400,
2017-08-18,,700900,
2017-08-19,,703100,
2017-08-20,,705200,
2017-08-21,,706900,
2017-08-22,,708200,
2017-08-23,,709500,
2017-08-24,,710900,
2017-08-25,,712100,
2017-08-26,,713700,
2017-08-27,,715600,
2017-08-28,,716500,
2017-08-29,,717900,
2017-08-30,,719100,
2017-08-31,,720700,
2017-09-01,,722100,
2017-09-02,,723500,
2017-09-03,,725700,
2017-09-04,,727000,
2017-09-05,,728600,
2017-09-06,,730200,
2017-09-07,,731400,
2017-09-08,,732500,
2017-09-09,,734400,
2017-09-10,,736100,
2017-09-11,,737400,
2017-09-12,,738400,
2017-09-13,,739700,
2017-09-14,,740800,
2017-09-15,,741900,
2017-09-16,,743200,
2017-09-17,,745400,
2017-09-18,,746600,
2017-09-19,,747500,
2017-09-20,,748500,
2017-09-21,,749400,
2017-09-22,,750200,
2017-09-23,,751300,
2017-09-24,,752800,
2017-09-25,,753900,
2017-09-26,,754900,
2017-09-27,,755900,
2017-09-28,,756900,
2017-09-29,,757900,
2017-09-30,,759500,
2017-10-01,,760600,
2017-10-02,,761600,
2017-10-03,,762400,
2017-10-04,,763500,
2017-10-05,,764300,
2017-10-06,,764800,
2017-10-07,,765900,
2017-10-08,,767000,
2017-10-09,,768100,
2017-10-10,,769000,
2017-10-11,,769600,
2017-10-12,,770600,
2017-10-13,,770900,
2017-10-14,,772100,
2017-10-15,,773600,
2017-10-16,,774800,
2017-10-17,,775800,
2017-10-18,,776200,
2017-10-19,,777300,
2017-10-20,,778500,
2017-10-21,,779300,
2017-10-22,,780700,
2017-10-23,,781500,
2017-10-24,,782700,
2017-10-25,,783300,
2017-10-26,,783800,
2017-10-27,,785000,
2017-10-28,,785900,
2017-10-29,,787300,
2017-10-30,,788100,
2017-10-31,,789000,
2017-11-01,,790100,
2017-11-02,,791600,
2017-11-03,,793200,
2017-11-04,,795100,
2017-11-05,,797500,
2017-11-06,,798700,
2017-11-07,,800000,
2017-11-08,,801700,
2017-11-09,,803400,
2017-11-10,,804700,
2017-11-11,,806700,
2017-11-12,,809300,
2017-11-13,,810800,
2017-11-14,,811700,
2017-11-15,,812800,
2017-11-16,,814100,
2017-11-17,,815200,
2017-11-18,,816700,
2017-11-19,,818100,
2017-11-20,,818900,
2017-11-21,,819800,
2017-11-22,,821300,
2017-11-23,,822800,
2017-11-24,,824100,
2017-11-25,,825400,
2017-11-26,,827000,
2017-11-27,,827800,
2017-11-28,,828800,
2017-11-29,,829700,
2017-11-30,,830500,
