Date,'',PS4 player count,
2019-02-20,,100,
2019-02-21,,700,
2019-02-22,,4100,
2019-02-23,,6700,
2019-02-24,,8600,
2019-02-25,,9700,
2019-02-26,,14200,
2019-02-27,,17700,
2019-02-28,,20900,
2019-03-01,,23700,
2019-03-02,,27400,
2019-03-03,,30900,
2019-03-04,,32900,
2019-03-05,,34400,
2019-03-06,,35700,
2019-03-07,,36900,
2019-03-08,,38200,
2019-03-09,,40100,
2019-03-10,,41400,
2019-03-11,,42400,
2019-03-12,,43700,
2019-03-13,,44700,
2019-03-14,,45800,
2019-03-15,,46800,
2019-03-16,,48400,
2019-03-17,,50100,
2019-03-18,,50800,
2019-03-19,,51600,
2019-03-20,,52000,
2019-03-21,,52600,
2019-03-22,,53200,
2019-03-23,,54100,
2019-03-24,,55200,
2019-03-25,,55700,
2019-03-26,,56300,
2019-03-27,,57200,
2019-03-28,,57900,
2019-03-29,,58900,
2019-03-30,,60700,
2019-03-31,,62200,
2019-04-01,,63000,
2019-04-02,,64300,
2019-04-03,,65100,
2019-04-04,,65600,
2019-04-05,,66200,
2019-04-06,,67300,
2019-04-07,,68100,
2019-04-08,,68400,
2019-04-09,,69000,
2019-04-10,,69400,
2019-04-11,,69800,
2019-04-12,,70200,
2019-04-13,,71000,
2019-04-14,,71900,
2019-04-15,,72500,
2019-04-16,,72900,
2019-04-17,,73600,
2019-04-18,,74500,
2019-04-19,,75300,
2019-04-20,,76400,
2019-04-21,,77400,
2019-04-22,,78000,
2019-04-23,,78500,
2019-04-24,,79000,
2019-04-25,,79800,
2019-04-26,,80700,
2019-04-27,,81600,
2019-04-28,,82500,
2019-04-29,,83000,
2019-04-30,,83800,
2019-05-01,,84600,
2019-05-02,,85000,
2019-05-03,,85500,
2019-05-04,,86600,
2019-05-05,,87600,
2019-05-06,,87900,
2019-05-07,,88300,
2019-05-08,,89100,
2019-05-09,,89400,
2019-05-10,,89800,
2019-05-11,,90500,
2019-05-12,,91400,
2019-05-13,,91800,
2019-05-14,,92100,
2019-05-15,,92900,
2019-05-16,,93100,
2019-05-17,,93700,
2019-05-18,,94100,
2019-05-19,,94800,
2019-05-20,,95300,
2019-05-21,,95800,
2019-05-22,,96300,
2019-05-23,,96500,
2019-05-24,,97100,
2019-05-25,,97700,
2019-05-26,,98300,
2019-05-27,,98800,
2019-05-28,,99500,
2019-05-29,,100200,
2019-05-30,,100900,
2019-05-31,,101500,
2019-06-01,,102800,
2019-06-02,,103900,
2019-06-03,,104500,
2019-06-04,,105500,
2019-06-05,,106100,
2019-06-06,,106800,
2019-06-07,,107500,
2019-06-08,,108400,
2019-06-09,,109600,
2019-06-10,,110300,
2019-06-11,,110900,
2019-06-12,,111800,
2019-06-13,,112300,
2019-06-14,,112800,
2019-06-15,,113700,
2019-06-16,,114100,
2019-06-17,,114600,
2019-06-18,,115100,
2019-06-19,,115500,
2019-06-20,,116000,
2019-06-21,,116400,
2019-06-22,,117100,
2019-06-23,,117300,
2019-06-24,,117800,
2019-06-25,,118000,
2019-06-26,,118300,
2019-06-27,,118600,
2019-06-28,,119100,
2019-06-29,,119700,
2019-06-30,,120300,
2019-07-01,,120700,
2019-07-02,,121000,
2019-07-03,,121400,
2019-07-04,,121600,
2019-07-05,,122100,
2019-07-06,,122600,
2019-07-07,,123200,
2019-07-08,,123600,
2019-07-09,,123900,
2019-07-10,,124400,
2019-07-11,,125000,
2019-07-12,,125800,
2019-07-13,,126600,
2019-07-14,,127300,
2019-07-15,,127800,
2019-07-16,,128100,
2019-07-17,,128700,
2019-07-18,,129600,
2019-07-19,,130100,
2019-07-20,,130800,
2019-07-21,,131500,
2019-07-22,,132100,
2019-07-23,,132400,
2019-07-24,,132800,
2019-07-25,,133600,
2019-07-26,,133800,
2019-07-27,,134200,
2019-07-28,,134900,
2019-07-29,,135200,
2019-07-30,,135700,
2019-07-31,,136000,
2019-08-01,,136400,
2019-08-02,,136700,
2019-08-03,,137600,
2019-08-04,,138100,
2019-08-05,,138400,
2019-08-06,,138700,
2019-08-07,,139100,
2019-08-08,,139600,
2019-08-09,,140100,
2019-08-10,,140400,
2019-08-11,,141100,
2019-08-12,,141400,
2019-08-13,,142100,
2019-08-14,,142500,
2019-08-15,,143000,
2019-08-16,,143400,
2019-08-17,,143900,
2019-08-18,,144700,
2019-08-19,,145000,
2019-08-20,,145300,
2019-08-21,,145900,
2019-08-22,,146600,
2019-08-23,,147100,
2019-08-24,,148000,
2019-08-25,,148800,
2019-08-26,,149500,
2019-08-27,,150200,
2019-08-28,,150700,
2019-08-29,,151300,
2019-08-30,,151800,
2019-08-31,,152700,
2019-09-01,,153800,
2019-09-02,,154400,
2019-09-03,,154800,
2019-09-04,,155600,
2019-09-05,,156200,
2019-09-06,,156600,
2019-09-07,,157500,
2019-09-08,,157700,
2019-09-09,,158100,
2019-09-10,,158900,
2019-09-11,,159500,
2019-09-12,,160000,
2019-09-13,,160400,
2019-09-14,,160600,
2019-09-15,,161000,
2019-09-16,,161300,
2019-09-17,,161700,
2019-09-18,,162000,
2019-09-19,,162400,
2019-09-20,,162500,
2019-09-21,,163100,
2019-09-22,,163500,
2019-09-23,,163900,
2019-09-24,,164200,
2019-09-25,,164600,
2019-09-26,,164900,
2019-09-27,,165300,
2019-09-28,,166000,
2019-09-29,,166500,
2019-09-30,,167200,
2019-10-01,,167600,
2019-10-02,,167800,
2019-10-03,,168100,
2019-10-04,,168500,
2019-10-05,,169100,
2019-10-06,,169600,
2019-10-07,,170000,
2019-10-08,,170400,
2019-10-09,,170600,
2019-10-10,,170900,
2019-10-11,,171400,
2019-10-12,,172300,
2019-10-13,,173000,
2019-10-14,,174000,
2019-10-15,,174600,
2019-10-16,,175400,
2019-10-17,,175700,
2019-10-18,,176500,
2019-10-19,,177000,
2019-10-20,,177700,
2019-10-21,,178000,
2019-10-22,,178400,
2019-10-23,,178700,
2019-10-24,,179200,
2019-10-25,,179900,
2019-10-26,,180500,
2019-10-27,,181100,
2019-10-28,,181300,
2019-10-29,,181700,
2019-10-30,,182000,
2019-10-31,,182300,
2019-11-01,,182800,
2019-11-02,,183800,
2019-11-03,,184700,
2019-11-04,,185300,
2019-11-05,,185600,
2019-11-06,,186300,
2019-11-07,,186600,
2019-11-08,,187500,
2019-11-09,,188500,
2019-11-10,,189300,
2019-11-11,,190100,
2019-11-12,,190500,
2019-11-13,,191000,
2019-11-14,,191600,
2019-11-15,,192200,
2019-11-16,,193200,
2019-11-17,,194400,
2019-11-18,,194600,
2019-11-19,,195100,
2019-11-20,,195700,
2019-11-21,,196000,
2019-11-22,,196300,
2019-11-23,,197100,
2019-11-24,,197400,
2019-11-25,,197800,
2019-11-26,,198000,
2019-11-27,,198300,
2019-11-28,,198900,
2019-11-29,,199400,
2019-11-30,,200200,
2019-12-01,,201100,
2019-12-02,,201800,
2019-12-03,,202400,
2019-12-04,,202800,
2019-12-05,,203200,
2019-12-06,,203800,
2019-12-07,,204600,
2019-12-08,,205200,
2019-12-09,,205500,
2019-12-10,,205900,
2019-12-11,,206400,
2019-12-12,,206700,
2019-12-13,,207100,
2019-12-14,,207600,
2019-12-15,,208100,
2019-12-16,,208200,
2019-12-17,,208500,
2019-12-18,,208900,
2019-12-19,,209400,
2019-12-20,,209700,
2019-12-21,,210500,
2019-12-22,,212200,
2019-12-23,,213500,
2019-12-24,,215200,
2019-12-25,,218400,
2019-12-26,,221100,
2019-12-27,,223100,
2019-12-28,,225300,
2019-12-29,,227200,
2019-12-30,,228400,
2019-12-31,,230100,
2020-01-01,,231100,
2020-01-02,,232700,
2020-01-03,,234000,
2020-01-04,,235500,
2020-01-05,,236900,
2020-01-06,,238400,
2020-01-07,,239300,
2020-01-08,,240300,
2020-01-09,,241000,
2020-01-10,,241700,
2020-01-11,,242900,
2020-01-12,,243900,
2020-01-13,,244800,
2020-01-14,,245400,
2020-01-15,,246300,
2020-01-16,,247200,
2020-01-17,,248200,
2020-01-18,,249200,
2020-01-19,,250400,
2020-01-20,,250600,
2020-01-21,,251200,
2020-01-22,,251500,
2020-01-23,,251900,
2020-01-24,,252400,
2020-01-25,,252900,
2020-01-26,,253500,
2020-01-27,,253900,
2020-01-28,,254600,
2020-01-29,,255000,
2020-01-30,,255700,
2020-01-31,,255900,
2020-02-01,,256200,
2020-02-02,,257000,
