Date,PS3 player count,PS4 player count,PS Vita player count
2013-12-04,0,0,0
2013-12-05,0,0,0
2013-12-06,0,0,0
2013-12-07,0,0,0
2013-12-08,0,0,0
2013-12-09,0,0,0
2013-12-10,0,100,0
2013-12-11,100,300,0
2013-12-12,100,500,0
2013-12-13,300,700,0
2013-12-14,300,1100,0
2013-12-15,400,1400,200
2013-12-16,400,1700,200
2013-12-17,500,1800,200
2013-12-18,500,1900,200
2013-12-19,600,2000,200
2013-12-20,700,2100,200
2013-12-21,700,2200,200
2013-12-22,800,2300,200
2013-12-23,800,2400,200
2013-12-24,800,2600,300
2013-12-25,900,2700,300
2013-12-26,900,2800,300
2013-12-27,900,3200,300
2013-12-28,900,3400,400
2013-12-29,900,3500,400
2013-12-30,1100,3900,400
2013-12-31,1200,4100,400
2014-01-01,1200,4200,400
2014-01-02,1400,4300,400
2014-01-03,1400,4400,400
2014-01-04,1600,4700,500
2014-01-05,1700,4900,500
2014-01-06,1900,5200,500
2014-01-07,2100,5300,600
2014-01-08,2500,5400,600
2014-01-09,2500,5500,600
2014-01-10,2500,5500,600
2014-01-11,2600,5500,600
2014-01-12,2700,5700,600
2014-01-13,2700,5800,600
2014-01-14,2700,5900,600
2014-01-15,2700,6000,700
2014-01-16,2800,6100,700
2014-01-17,2900,6100,700
2014-01-18,2900,6200,700
2014-01-19,3100,6300,700
2014-01-20,3100,6300,700
2014-01-21,3200,6400,700
2014-01-22,3200,6400,800
2014-01-23,3200,6400,800
2014-01-24,3300,6400,800
2014-01-25,3300,6500,800
2014-01-26,3300,6500,800
2014-01-27,3300,6600,800
2014-01-28,3400,6600,800
2014-01-29,3500,6600,800
2014-01-30,3500,6700,800
2014-01-31,3500,6900,800
2014-02-01,3600,7000,800
2014-02-02,3700,7100,1000
2014-02-03,3700,7100,1000
2014-02-04,3800,7100,1000
2014-02-05,4000,7100,1000
2014-02-06,4000,7200,1000
2014-02-07,4000,7200,1000
2014-02-08,4100,7200,1000
2014-02-09,4100,7300,1000
2014-02-10,4200,7300,1100
2014-02-11,4200,7400,1100
2014-02-12,4200,7400,1100
2014-02-13,4200,7500,1200
2014-02-14,4200,7500,1200
2014-02-15,4300,7600,1200
2014-02-16,4300,7700,1200
2014-02-17,4300,7800,1200
2014-02-18,4300,7900,1200
2014-02-19,4300,7900,1200
2014-02-20,4300,7900,1200
2014-02-21,4300,8100,1200
2014-02-22,4300,8100,1200
2014-02-23,4400,8200,1200
2014-02-24,4400,8300,1300
2014-02-25,4400,8300,1400
2014-02-26,4400,8300,1400
2014-02-27,4400,8400,1400
2014-02-28,4500,8500,1400
2014-03-01,4500,8600,1400
2014-03-02,4500,8600,1500
2014-03-03,4500,8800,1500
2014-03-04,4500,8800,1500
2014-03-05,4500,8900,1500
2014-03-06,4500,9000,1500
2014-03-07,4500,9000,1600
2014-03-08,4500,9300,1600
2014-03-09,4700,9400,1700
2014-03-10,4800,9400,1700
2014-03-11,4800,9500,1700
2014-03-12,4800,9600,1700
2014-03-13,4800,9600,1700
2014-03-14,4900,9600,1700
2014-03-15,4900,9600,1700
2014-03-16,4900,9700,1700
2014-03-17,5000,9700,1800
2014-03-18,5000,9800,1800
2014-03-19,5000,10000,1800
2014-03-20,5000,10200,1900
2014-03-21,5000,10400,1900
2014-03-22,5000,10500,1900
2014-03-23,5200,10600,1900
2014-03-24,5200,10600,1900
2014-03-25,5200,10600,1900
2014-03-26,5300,10600,2000
2014-03-27,5400,10700,2000
2014-03-28,5400,10700,2000
2014-03-29,5400,10800,2000
2014-03-30,5500,10900,2100
2014-03-31,5500,11000,2100
2014-04-01,5500,11000,2100
2014-04-02,5500,11100,2100
2014-04-03,5500,11200,2100
2014-04-04,5500,11200,2100
2014-04-05,5600,11300,2100
2014-04-06,5600,11300,2100
2014-04-07,5600,11400,2100
2014-04-08,5600,11500,2100
2014-04-09,5600,11500,2100
2014-04-10,5600,11500,2100
2014-04-11,5600,11600,2100
2014-04-12,5600,11600,2100
2014-04-13,5600,11600,2100
2014-04-14,5600,11800,2100
2014-04-15,5600,11900,2100
2014-04-16,5700,12000,2100
2014-04-17,5700,12000,2100
2014-04-18,5800,12000,2100
2014-04-19,5900,12100,2100
2014-04-20,5900,12100,2200
2014-04-21,5900,12100,2200
2014-04-22,6000,12100,2200
2014-04-23,6000,12200,2200
2014-04-24,6000,12200,2200
2014-04-25,6000,12200,2200
2014-04-26,6000,12200,2200
2014-04-27,6000,12200,2200
2014-04-28,6100,12200,2200
2014-04-29,6100,12200,2200
2014-04-30,6200,12300,2200
2014-05-01,6200,12300,2200
2014-05-02,6200,12300,2200
2014-05-03,6300,12400,2200
2014-05-04,6300,12500,2400
2014-05-05,6300,12500,2400
2014-05-06,6300,12500,2400
2014-05-07,6300,12500,2400
2014-05-08,6300,12600,2400
2014-05-09,6300,12600,2400
2014-05-10,6300,12700,2500
2014-05-11,6300,12700,2500
2014-05-12,6300,12700,2500
2014-05-13,6300,12800,2500
2014-05-14,6300,12800,2500
2014-05-15,6300,12900,2500
2014-05-16,6300,12900,2500
2014-05-17,6300,13000,2600
2014-05-18,6300,13100,2600
2014-05-19,6300,13100,2600
2014-05-20,6400,13200,2600
2014-05-21,6400,13200,2600
2014-05-22,6400,13300,2600
2014-05-23,6400,13300,2600
2014-05-24,6400,13400,2600
2014-05-25,6500,13400,2600
2014-05-26,6600,13400,2600
2014-05-27,6600,13400,2600
2014-05-28,6600,13400,2600
2014-05-29,6600,13400,2600
2014-05-30,6600,13500,2600
2014-05-31,6700,13500,2600
2014-06-01,6700,13600,2600
2014-06-02,6700,13600,2600
2014-06-03,6700,13700,2600
2014-06-04,6700,13700,2600
2014-06-05,6700,13700,2600
2014-06-06,6700,13800,2600
2014-06-07,6700,13900,2600
2014-06-08,6800,13900,2600
2014-06-09,6800,14000,2600
2014-06-10,6900,14000,2600
2014-06-11,6900,14100,2600
2014-06-12,6900,14100,2600
2014-06-13,6900,14100,2700
2014-06-14,6900,14300,2700
2014-06-15,6900,14300,2700
2014-06-16,6900,14300,2700
2014-06-17,6900,14300,2700
2014-06-18,7000,14300,2700
2014-06-19,7000,14300,2700
2014-06-20,7000,14300,2700
2014-06-21,7000,14300,2700
2014-06-22,7000,14300,2700
2014-06-23,7000,14300,2700
2014-06-24,7000,14300,2700
2014-06-25,7000,14400,2700
2014-06-26,7000,14400,2700
2014-06-27,7000,14400,2700
2014-06-28,7100,14400,2700
2014-06-29,7100,14500,2700
2014-06-30,7100,14500,2800
2014-07-01,7200,14600,2800
2014-07-02,9300,18000,4100
2014-07-03,11600,25300,6200
