Date,PS3 player count,PS4 player count,PS Vita player count
2014-01-07,0,900,0
2014-01-08,0,18800,0
2014-01-09,0,39000,0
2014-01-10,0,62300,0
2014-01-11,0,92400,0
2014-01-12,0,123500,0
2014-01-13,0,141300,0
2014-01-14,0,160900,0
2014-01-15,0,178200,0
2014-01-16,0,193900,0
2014-01-17,0,209500,0
2014-01-18,0,230400,0
2014-01-19,0,250800,0
2014-01-20,0,266400,0
2014-01-21,0,279600,0
2014-01-22,0,292200,0
2014-01-23,0,305300,0
2014-01-24,0,318700,0
2014-01-25,0,335400,0
2014-01-26,0,354000,0
2014-01-27,0,365300,0
2014-01-28,0,375700,0
2014-01-29,0,386500,0
2014-01-30,0,399700,0
2014-01-31,0,413100,0
2014-02-01,0,429400,0
2014-02-02,0,444800,0
2014-02-03,0,453000,0
2014-02-04,0,462700,0
2014-02-05,0,473900,0
2014-02-06,0,481200,0
2014-02-07,0,489000,0
2014-02-08,0,498000,0
2014-02-09,0,506800,0
2014-02-10,0,512700,0
2014-02-11,0,517700,0
2014-02-12,0,522700,0
2014-02-13,0,526500,0
2014-02-14,0,531900,0
2014-02-15,0,539200,0
2014-02-16,0,545800,0
2014-02-17,0,551500,0
2014-02-18,0,556500,0
2014-02-19,0,560300,0
2014-02-20,0,564200,0
2014-02-21,0,568300,0
2014-02-22,0,574100,0
2014-02-23,0,578900,0
2014-02-24,0,582500,0
2014-02-25,0,585800,0
2014-02-26,0,588600,0
2014-02-27,0,591800,0
2014-02-28,0,595600,0
2014-03-01,0,599600,0
2014-03-02,0,604600,0
2014-03-03,0,607400,0
2014-03-04,0,609800,0
2014-03-05,0,612700,0
2014-03-06,0,615400,0
2014-03-07,0,617900,0
2014-03-08,0,620700,0
2014-03-09,0,624100,0
2014-03-10,0,625700,0
2014-03-11,0,627500,0
2014-03-12,0,628400,0
2014-03-13,0,630100,0
2014-03-14,0,632300,0
2014-03-15,0,634600,0
2014-03-16,0,636800,0
2014-03-17,0,638100,0
