Date,'',PS4 player count,PS Vita player count
2016-05-24,,0,0
2016-05-25,,100,0
2016-05-26,,200,100
2016-05-27,,200,100
2016-05-28,,400,100
2016-05-29,,600,100
2016-05-30,,700,100
2016-05-31,,800,100
2016-06-01,,800,200
2016-06-02,,1000,200
2016-06-03,,1200,200
2016-06-04,,1200,200
2016-06-05,,1300,300
2016-06-06,,1300,300
2016-06-07,,1400,300
2016-06-08,,1500,400
2016-06-09,,1500,400
2016-06-10,,1700,400
2016-06-11,,1800,600
2016-06-12,,2000,600
2016-06-13,,2000,600
2016-06-14,,2100,600
2016-06-15,,2100,600
2016-06-16,,2100,600
2016-06-17,,2200,600
2016-06-18,,2300,700
2016-06-19,,2400,700
2016-06-20,,2400,700
2016-06-21,,2400,700
2016-06-22,,2400,700
2016-06-23,,2400,700
2016-06-24,,2400,700
2016-06-25,,2400,700
2016-06-26,,2400,700
2016-06-27,,2400,700
2016-06-28,,2400,700
2016-06-29,,2400,700
2016-06-30,,2500,800
2016-07-01,,2500,800
2016-07-02,,2500,800
2016-07-03,,2600,800
2016-07-04,,2700,800
2016-07-05,,2700,800
2016-07-06,,2700,800
2016-07-07,,2700,900
2016-07-08,,2900,900
2016-07-09,,3000,1000
2016-07-10,,3000,1000
2016-07-11,,3000,1000
2016-07-12,,3000,1000
2016-07-13,,3100,1000
2016-07-14,,3300,1000
2016-07-15,,3300,1000
2016-07-16,,3300,1000
2016-07-17,,3400,1000
2016-07-18,,3400,1100
2016-07-19,,3400,1100
2016-07-20,,3400,1100
2016-07-21,,3500,1100
2016-07-22,,3500,1100
2016-07-23,,3500,1100
2016-07-24,,3500,1100
2016-07-25,,3600,1200
2016-07-26,,3600,1200
2016-07-27,,3600,1200
2016-07-28,,3600,1200
2016-07-29,,3600,1200
2016-07-30,,3700,1200
2016-07-31,,3800,1200
2016-08-01,,3800,1200
2016-08-02,,3900,1200
2016-08-03,,3900,1200
2016-08-04,,3900,1200
2016-08-05,,3900,1200
2016-08-06,,4000,1200
2016-08-07,,4000,1200
2016-08-08,,4000,1200
2016-08-09,,4000,1200
2016-08-10,,4000,1200
2016-08-11,,4200,1200
2016-08-12,,4200,1200
2016-08-13,,4200,1200
2016-08-14,,4200,1200
2016-08-15,,4300,1200
2016-08-16,,4300,1200
2016-08-17,,4300,1200
2016-08-18,,4400,1400
2016-08-19,,4400,1400
2016-08-20,,4400,1400
