Date,PS3 player count,PS4 player count,PS Vita player count
2015-11-03,200,5500,0
2015-11-04,2500,16900,600
2015-11-05,5000,27700,1800
2015-11-06,7200,40200,2700
2015-11-07,8900,53900,4300
2015-11-08,11400,66700,5100
2015-11-09,13700,75000,5700
2015-11-10,15300,84200,6400
2015-11-11,16300,91700,6800
2015-11-12,17800,98900,7300
2015-11-13,19200,105400,7400
2015-11-14,20200,114600,7900
2015-11-15,21500,122200,8200
2015-11-16,22900,127200,8600
2015-11-17,23800,132200,8800
2015-11-18,24200,137100,9500
2015-11-19,25100,144300,10100
2015-11-20,25600,150900,10200
2015-11-21,26100,158700,10800
2015-11-22,27200,165300,11400
2015-11-23,27800,171600,11800
2015-11-24,28600,176900,11800
2015-11-25,29200,181100,11800
2015-11-26,29700,185800,12100
2015-11-27,30400,191300,12300
2015-11-28,31700,199300,12700
2015-11-29,32800,206500,13100
2015-11-30,33200,211600,13500
2015-12-01,33800,216900,13600
2015-12-02,34800,222000,14500
2015-12-03,35500,227100,14900
2015-12-04,36200,231700,15400
2015-12-05,36900,236500,15800
2015-12-06,37500,242600,16000
2015-12-07,37900,246000,16300
2015-12-08,38100,249700,16600
2015-12-09,38800,253100,16600
2015-12-10,39200,255900,16900
2015-12-11,39500,258500,17200
2015-12-12,39700,261800,17200
2015-12-13,40300,265000,17600
2015-12-14,40500,268100,17600
2015-12-15,40600,271400,17900
2015-12-16,40800,274700,18000
2015-12-17,40800,277000,18000
2015-12-18,40800,278600,18300
2015-12-19,40900,282000,18500
2015-12-20,41000,285200,18800
2015-12-21,41000,288200,18800
2015-12-22,41100,290000,18900
2015-12-23,41300,291800,19200
2015-12-24,41800,294200,19200
2015-12-25,41900,297000,19400
2015-12-26,41900,299400,19400
2015-12-27,42200,302100,19700
2015-12-28,42400,304800,19800
2015-12-29,42400,306600,19800
2015-12-30,42400,308200,19800
2015-12-31,42500,310700,19900
2016-01-01,42700,313300,20100
2016-01-02,43000,315500,20300
2016-01-03,43000,317000,20400
2016-01-04,43100,318200,20700
2016-01-05,43200,320000,20800
2016-01-06,43200,320800,20800
2016-01-07,43500,322500,20800
2016-01-08,43500,324800,20900
2016-01-09,43600,327000,21000
2016-01-10,43800,328400,21200
2016-01-11,43800,330200,21500
2016-01-12,43900,331300,21500
2016-01-13,43900,332300,21500
2016-01-14,44000,333300,21600
2016-01-15,44200,335000,21700
2016-01-16,44500,336800,21700
2016-01-17,44600,338900,21700
2016-01-18,44700,340300,22000
2016-01-19,44800,340900,22000
2016-01-20,44800,342000,22000
2016-01-21,44900,342400,22000
2016-01-22,44900,343200,22000
2016-01-23,45100,344800,22000
2016-01-24,45300,345600,22000
2016-01-25,45400,346600,22000
2016-01-26,45400,347900,22000
2016-01-27,45400,349500,22000
2016-01-28,45700,350000,22000
2016-01-29,46000,351300,22000
2016-01-30,46000,352400,22000
2016-01-31,46200,353600,22000
2016-02-01,46400,354700,22000
2016-02-02,46600,356000,22100
2016-02-03,46600,356700,22200
2016-02-04,46700,357400,22200
2016-02-05,46800,358100,22300
2016-02-06,46800,359500,22300
2016-02-07,46800,360500,22300
2016-02-08,46900,361100,22400
2016-02-09,47000,362200,22400
2016-02-10,47000,363000,22500
2016-02-11,47100,364000,22500
2016-02-12,47200,364900,22600
2016-02-13,47200,366200,22600
2016-02-14,47400,367100,22600
2016-02-15,47400,367400,22700
2016-02-16,47500,367800,22800
2016-02-17,47500,368600,22800
2016-02-18,47600,369200,22800
2016-02-19,47600,369700,22900
2016-02-20,47700,370900,22900
2016-02-21,47900,371600,22900
2016-02-22,48000,372400,22900
2016-02-23,48000,373300,22900
2016-02-24,48100,374300,22900
2016-02-25,48100,375000,22900
2016-02-26,48100,375600,22900
2016-02-27,48200,376700,22900
2016-02-28,48300,377300,22900
2016-02-29,48300,378200,22900
2016-03-01,48300,378600,22900
2016-03-02,48500,379700,22900
2016-03-03,48500,380400,22900
2016-03-04,48600,381300,22900
2016-03-05,48700,381700,22900
2016-03-06,48800,382200,22900
2016-03-07,48900,382800,22900
2016-03-08,48900,383200,22900
2016-03-09,48900,383700,22900
2016-03-10,49000,384100,22900
2016-03-11,49200,384800,22900
2016-03-12,49200,385300,22900
2016-03-13,49300,386400,22900
2016-03-14,49300,387100,22900
2016-03-15,49300,387800,22900
2016-03-16,49500,388300,22900
2016-03-17,49500,388700,22900
2016-03-18,49500,389400,22900
2016-03-19,49500,390100,22900
2016-03-20,49500,391200,22900
2016-03-21,49500,391800,22900
2016-03-22,49500,392400,23000
2016-03-23,49500,392900,23000
2016-03-24,49500,393300,23000
2016-03-25,49600,393800,23000
2016-03-26,49600,394800,23000
2016-03-27,49600,395200,23000
2016-03-28,49600,395600,23000
2016-03-29,49600,396100,23000
2016-03-30,49600,396500,23000
2016-03-31,49600,397600,23000
2016-04-01,49600,398300,23000
2016-04-02,49700,399100,23100
