Date,'',PS4 player count,
2015-11-26,,200,
2015-11-27,,300,
2015-11-28,,400,
2015-11-29,,500,
2015-11-30,,600,
2015-12-01,,600,
2015-12-02,,600,
2015-12-03,,700,
2015-12-04,,800,
2015-12-05,,800,
2015-12-06,,800,
2015-12-07,,800,
2015-12-08,,1000,
2015-12-09,,1000,
2015-12-10,,1000,
2015-12-11,,1300,
2015-12-12,,1600,
2015-12-13,,1700,
2015-12-14,,1900,
2015-12-15,,2100,
2015-12-16,,2200,
2015-12-17,,2400,
2015-12-18,,2600,
2015-12-19,,3200,
2015-12-20,,3400,
2015-12-21,,3600,
2015-12-22,,3900,
2015-12-23,,4100,
2015-12-24,,4300,
2015-12-25,,4600,
2015-12-26,,4800,
2015-12-27,,4900,
2015-12-28,,5000,
2015-12-29,,5200,
2015-12-30,,5300,
2015-12-31,,5300,
2016-01-01,,5300,
2016-01-02,,5300,
2016-01-03,,5400,
2016-01-04,,5400,
2016-01-05,,5500,
2016-01-06,,5500,
2016-01-07,,5600,
2016-01-08,,5600,
2016-01-09,,5600,
2016-01-10,,5600,
2016-01-11,,5600,
2016-01-12,,5700,
2016-01-13,,5700,
2016-01-14,,5800,
2016-01-15,,5900,
2016-01-16,,5900,
2016-01-17,,5900,
2016-01-18,,5900,
2016-01-19,,6000,
2016-01-20,,6000,
2016-01-21,,6100,
2016-01-22,,6100,
2016-01-23,,6100,
2016-01-24,,6200,
2016-01-25,,6400,
2016-01-26,,6500,
2016-01-27,,6500,
2016-01-28,,6600,
2016-01-29,,6700,
2016-01-30,,6800,
2016-01-31,,6800,
2016-02-01,,7100,
2016-02-02,,7500,
2016-02-03,,7800,
2016-02-04,,7900,
2016-02-05,,7900,
2016-02-06,,8200,
2016-02-07,,8400,
2016-02-08,,8600,
2016-02-09,,8800,
2016-02-10,,8900,
2016-02-11,,9000,
2016-02-12,,9200,
2016-02-13,,9300,
2016-02-14,,9500,
2016-02-15,,9600,
2016-02-16,,9600,
2016-02-17,,9800,
2016-02-18,,9900,
2016-02-19,,10000,
2016-02-20,,10100,
2016-02-21,,10200,
2016-02-22,,10600,
2016-02-23,,10800,
2016-02-24,,10800,
2016-02-25,,10800,
2016-02-26,,11000,
2016-02-27,,11100,
2016-02-28,,11400,
2016-02-29,,11500,
2016-03-01,,11800,
2016-03-02,,11900,
2016-03-03,,12100,
2016-03-04,,12200,
2016-03-05,,12300,
2016-03-06,,12500,
2016-03-07,,12600,
2016-03-08,,12700,
2016-03-09,,12800,
2016-03-10,,12900,
2016-03-11,,13400,
2016-03-12,,13600,
2016-03-13,,13700,
2016-03-14,,13900,
2016-03-15,,14000,
2016-03-16,,14100,
2016-03-17,,14400,
2016-03-18,,14900,
2016-03-19,,15400,
2016-03-20,,15600,
2016-03-21,,15600,
2016-03-22,,15700,
2016-03-23,,15900,
2016-03-24,,16100,
2016-03-25,,16400,
2016-03-26,,16400,
2016-03-27,,16500,
2016-03-28,,16500,
2016-03-29,,16600,
2016-03-30,,16800,
2016-03-31,,17600,
2016-04-01,,17800,
2016-04-02,,18600,
2016-04-03,,19300,
2016-04-04,,19500,
2016-04-05,,19800,
2016-04-06,,19900,
2016-04-07,,20100,
2016-04-08,,20300,
2016-04-09,,20500,
2016-04-10,,20600,
2016-04-11,,20700,
2016-04-12,,20800,
2016-04-13,,20900,
2016-04-14,,20900,
2016-04-15,,20900,
2016-04-16,,21100,
2016-04-17,,21200,
2016-04-18,,21200,
2016-04-19,,21400,
2016-04-20,,21700,
2016-04-21,,21800,
2016-04-22,,21900,
2016-04-23,,22500,
2016-04-24,,22900,
2016-04-25,,23200,
2016-04-26,,23500,
2016-04-27,,23900,
2016-04-28,,24100,
2016-04-29,,24300,
2016-04-30,,24500,
2016-05-01,,24700,
2016-05-02,,24900,
2016-05-03,,25200,
2016-05-04,,25400,
2016-05-05,,25600,
2016-05-06,,25600,
2016-05-07,,26300,
2016-05-08,,27100,
2016-05-09,,27600,
2016-05-10,,28200,
2016-05-11,,28400,
2016-05-12,,28700,
2016-05-13,,28800,
2016-05-14,,29100,
2016-05-15,,29400,
2016-05-16,,30000,
2016-05-17,,30400,
2016-05-18,,30500,
2016-05-19,,30600,
2016-05-20,,31000,
2016-05-21,,31600,
2016-05-22,,32200,
2016-05-23,,32400,
2016-05-24,,32600,
2016-05-25,,32800,
2016-05-26,,33300,
2016-05-27,,33500,
2016-05-28,,34200,
2016-05-29,,35000,
2016-05-30,,36000,
2016-05-31,,36600,
2016-06-01,,36900,
2016-06-02,,37500,
2016-06-03,,37700,
2016-06-04,,38200,
2016-06-05,,38900,
2016-06-06,,39300,
2016-06-07,,39600,
2016-06-08,,40000,
2016-06-09,,40700,
2016-06-10,,41100,
2016-06-11,,41500,
2016-06-12,,41700,
2016-06-13,,42100,
2016-06-14,,42500,
2016-06-15,,43000,
2016-06-16,,43300,
2016-06-17,,43900,
2016-06-18,,44100,
2016-06-19,,44400,
2016-06-20,,44900,
2016-06-21,,45100,
2016-06-22,,45600,
2016-06-23,,46000,
2016-06-24,,46400,
2016-06-25,,47500,
2016-06-26,,48100,
2016-06-27,,48600,
2016-06-28,,49300,
2016-06-29,,49600,
2016-06-30,,50000,
2016-07-01,,50300,
2016-07-02,,51200,
2016-07-03,,51700,
2016-07-04,,52300,
2016-07-05,,52700,
2016-07-06,,53200,
2016-07-07,,53500,
2016-07-08,,53800,
2016-07-09,,54500,
2016-07-10,,54700,
2016-07-11,,55100,
2016-07-12,,55500,
2016-07-13,,55900,
2016-07-14,,56100,
2016-07-15,,56300,
2016-07-16,,56600,
2016-07-17,,57000,
2016-07-18,,57100,
2016-07-19,,57400,
2016-07-20,,57600,
2016-07-21,,57800,
2016-07-22,,57900,
2016-07-23,,58300,
2016-07-24,,58500,
2016-07-25,,58800,
2016-07-26,,59000,
2016-07-27,,59200,
2016-07-28,,59300,
2016-07-29,,59600,
2016-07-30,,59900,
2016-07-31,,60300,
2016-08-01,,60400,
2016-08-02,,60400,
2016-08-03,,60600,
2016-08-04,,60700,
2016-08-05,,60800,
2016-08-06,,61000,
2016-08-07,,61200,
2016-08-08,,61400,
2016-08-09,,61500,
2016-08-10,,61800,
2016-08-11,,61900,
2016-08-12,,62000,
2016-08-13,,62100,
2016-08-14,,62300,
2016-08-15,,62300,
2016-08-16,,62500,
2016-08-17,,62500,
2016-08-18,,62600,
2016-08-19,,62800,
2016-08-20,,62900,
2016-08-21,,63000,
2016-08-22,,63000,
2016-08-23,,63200,
2016-08-24,,63400,
2016-08-25,,63500,
2016-08-26,,63600,
2016-08-27,,63800,
2016-08-28,,63900,
2016-08-29,,63900,
2016-08-30,,64000,
2016-08-31,,64000,
2016-09-01,,64100,
2016-09-02,,64100,
2016-09-03,,64300,
2016-09-04,,64300,
2016-09-05,,64400,
2016-09-06,,64400,
2016-09-07,,64400,
2016-09-08,,64500,
2016-09-09,,64600,
2016-09-10,,64700,
2016-09-11,,64800,
2016-09-12,,64900,
2016-09-13,,64900,
2016-09-14,,65100,
2016-09-15,,65200,
2016-09-16,,65200,
2016-09-17,,65300,
2016-09-18,,65500,
2016-09-19,,65500,
2016-09-20,,65600,
2016-09-21,,65600,
2016-09-22,,65700,
2016-09-23,,65800,
2016-09-24,,65900,
2016-09-25,,66100,
2016-09-26,,66100,
2016-09-27,,66200,
2016-09-28,,66300,
2016-09-29,,66400,
2016-09-30,,66400,
2016-10-01,,66500,
2016-10-02,,66500,
2016-10-03,,66700,
2016-10-04,,66700,
2016-10-05,,66700,
2016-10-06,,66800,
2016-10-07,,66800,
2016-10-08,,66900,
2016-10-09,,67000,
2016-10-10,,67000,
2016-10-11,,67100,
2016-10-12,,67200,
2016-10-13,,67200,
2016-10-14,,67200,
2016-10-15,,67400,
2016-10-16,,67500,
2016-10-17,,67500,
2016-10-18,,67500,
2016-10-19,,67700,
2016-10-20,,67700,
2016-10-21,,67800,
2016-10-22,,67800,
2016-10-23,,67900,
2016-10-24,,67900,
2016-10-25,,67900,
2016-10-26,,67900,
2016-10-27,,68000,
2016-10-28,,68000,
2016-10-29,,68100,
2016-10-30,,68200,
2016-10-31,,68200,
2016-11-01,,68200,
2016-11-02,,68300,
2016-11-03,,68300,
2016-11-04,,68300,
2016-11-05,,68400,
2016-11-06,,68400,
2016-11-07,,68400,
2016-11-08,,68500,
2016-11-09,,68500,
2016-11-10,,68700,
2016-11-11,,68700,
2016-11-12,,68900,
2016-11-13,,68900,
2016-11-14,,68900,
2016-11-15,,69000,
2016-11-16,,69000,
2016-11-17,,69100,
2016-11-18,,69100,
2016-11-19,,69100,
2016-11-20,,69100,
2016-11-21,,69200,
2016-11-22,,69400,
2016-11-23,,69400,
2016-11-24,,69600,
2016-11-25,,69600,
2016-11-26,,69700,
2016-11-27,,69700,
2016-11-28,,69700,
2016-11-29,,69700,
2016-11-30,,69800,
2016-12-01,,69800,
2016-12-02,,69800,
2016-12-03,,69900,
2016-12-04,,70000,
2016-12-05,,70100,
2016-12-06,,70100,
2016-12-07,,70200,
2016-12-08,,70200,
2016-12-09,,70200,
2016-12-10,,70200,
2016-12-11,,70200,
2016-12-12,,70300,
2016-12-13,,70300,
2016-12-14,,70300,
2016-12-15,,70300,
2016-12-16,,70400,
2016-12-17,,70500,
2016-12-18,,70500,
2016-12-19,,70600,
2016-12-20,,70600,
2016-12-21,,70900,
2016-12-22,,70900,
2016-12-23,,70900,
2016-12-24,,71100,
2016-12-25,,71100,
2016-12-26,,71200,
2016-12-27,,71300,
2016-12-28,,71300,
2016-12-29,,71300,
2016-12-30,,71400,
2016-12-31,,71400,
2017-01-01,,71500,
2017-01-02,,71500,
2017-01-03,,71600,
2017-01-04,,71600,
2017-01-05,,71600,
2017-01-06,,71700,
2017-01-07,,71700,
2017-01-08,,71700,
2017-01-09,,71800,
2017-01-10,,71900,
2017-01-11,,71900,
2017-01-12,,71900,
2017-01-13,,71900,
2017-01-14,,71900,
2017-01-15,,72000,
2017-01-16,,72000,
2017-01-17,,72100,
2017-01-18,,72100,
2017-01-19,,72200,
2017-01-20,,72200,
2017-01-21,,72300,
2017-01-22,,72400,
2017-01-23,,72500,
2017-01-24,,72500,
2017-01-25,,72500,
2017-01-26,,72500,
2017-01-27,,72600,
2017-01-28,,72600,
2017-01-29,,72600,
2017-01-30,,72600,
2017-01-31,,72700,
2017-02-01,,72700,
2017-02-02,,72700,
2017-02-03,,72700,
2017-02-04,,72700,
2017-02-05,,72900,
2017-02-06,,72900,
2017-02-07,,73000,
2017-02-08,,73000,
2017-02-09,,73000,
2017-02-10,,73100,
2017-02-11,,73200,
2017-02-12,,73200,
2017-02-13,,73300,
2017-02-14,,73300,
2017-02-15,,73300,
2017-02-16,,73300,
2017-02-17,,73400,
2017-02-18,,73500,
2017-02-19,,73500,
2017-02-20,,73500,
2017-02-21,,73500,
2017-02-22,,73500,
2017-02-23,,73500,
2017-02-24,,73600,
2017-02-25,,73700,
2017-02-26,,73700,
2017-02-27,,73700,
2017-02-28,,73700,
2017-03-01,,73700,
2017-03-02,,73700,
2017-03-03,,73800,
2017-03-04,,73800,
2017-03-05,,73800,
2017-03-06,,73800,
2017-03-07,,73900,
2017-03-08,,73900,
2017-03-09,,73900,
2017-03-10,,73900,
2017-03-11,,74000,
2017-03-12,,74100,
2017-03-13,,74100,
2017-03-14,,74100,
2017-03-15,,74100,
2017-03-16,,74100,
2017-03-17,,74200,
2017-03-18,,74200,
2017-03-19,,74300,
2017-03-20,,74300,
2017-03-21,,74300,
2017-03-22,,74300,
2017-03-23,,74400,
2017-03-24,,74400,
2017-03-25,,74500,
2017-03-26,,74600,
2017-03-27,,74600,
2017-03-28,,74600,
2017-03-29,,74600,
2017-03-30,,74600,
2017-03-31,,74700,
2017-04-01,,74800,
2017-04-02,,74800,
2017-04-03,,74800,
2017-04-04,,86200,
2017-04-05,,121400,
2017-04-06,,162000,
2017-04-07,,205000,
2017-04-08,,259200,
2017-04-09,,311400,
2017-04-10,,349900,
2017-04-11,,388700,
2017-04-12,,422200,
2017-04-13,,453600,
2017-04-14,,489200,
2017-04-15,,524500,
2017-04-16,,558100,
2017-04-17,,585200,
2017-04-18,,608900,
2017-04-19,,630900,
2017-04-20,,651500,
2017-04-21,,674200,
2017-04-22,,700900,
2017-04-23,,726500,
2017-04-24,,743600,
2017-04-25,,758400,
2017-04-26,,775300,
