Date,'',PS4 player count,
2014-09-29,,100,
2014-09-30,,100,
2014-10-01,,100,
2014-10-02,,100,
2014-10-03,,200,
2014-10-04,,200,
2014-10-05,,400,
2014-10-06,,800,
2014-10-07,,5900,
2014-10-08,,13900,
2014-10-09,,21400,
2014-10-10,,28600,
2014-10-11,,36200,
2014-10-12,,44200,
2014-10-13,,50800,
2014-10-14,,55500,
2014-10-15,,61200,
2014-10-16,,67200,
2014-10-17,,72600,
2014-10-18,,80200,
2014-10-19,,87900,
2014-10-20,,93800,
2014-10-21,,99400,
2014-10-22,,104400,
2014-10-23,,108900,
2014-10-24,,114500,
2014-10-25,,120700,
2014-10-26,,127900,
2014-10-27,,132300,
2014-10-28,,138700,
2014-10-29,,143600,
2014-10-30,,149100,
2014-10-31,,154000,
2014-11-01,,160800,
2014-11-02,,169700,
2014-11-03,,174900,
2014-11-04,,179900,
2014-11-05,,185000,
2014-11-06,,188800,
2014-11-07,,192800,
2014-11-08,,198400,
2014-11-09,,204400,
2014-11-10,,208800,
2014-11-11,,212200,
2014-11-12,,216200,
2014-11-13,,220600,
2014-11-14,,225400,
2014-11-15,,231600,
2014-11-16,,237900,
2014-11-17,,242400,
2014-11-18,,246900,
2014-11-19,,250500,
2014-11-20,,253500,
2014-11-21,,257400,
2014-11-22,,262100,
2014-11-23,,266100,
2014-11-24,,268800,
2014-11-25,,271000,
2014-11-26,,273100,
2014-11-27,,275200,
2014-11-28,,278700,
2014-11-29,,283700,
2014-11-30,,287600,
2014-12-01,,291900,
2014-12-02,,295200,
2014-12-03,,297900,
2014-12-04,,301800,
2014-12-05,,305400,
2014-12-06,,311500,
2014-12-07,,316800,
2014-12-08,,321400,
2014-12-09,,325300,
2014-12-10,,328000,
2014-12-11,,331800,
2014-12-12,,335800,
2014-12-13,,339900,
2014-12-14,,345200,
2014-12-15,,348300,
2014-12-16,,351500,
2014-12-17,,355000,
2014-12-18,,359300,
2014-12-19,,362900,
2014-12-20,,369500,
2014-12-21,,375500,
2014-12-22,,380900,
2014-12-23,,386200,
2014-12-24,,393600,
2014-12-25,,404900,
2014-12-26,,409300,
2014-12-27,,416600,
2014-12-28,,427700,
2014-12-29,,439700,
2014-12-30,,450800,
2014-12-31,,460300,
2015-01-01,,470400,
2015-01-02,,478800,
2015-01-03,,488500,
2015-01-04,,497100,
2015-01-05,,502900,
2015-01-06,,508100,
2015-01-07,,514900,
2015-01-08,,520200,
2015-01-09,,526300,
2015-01-10,,535000,
2015-01-11,,541900,
2015-01-12,,547000,
2015-01-13,,552000,
2015-01-14,,556900,
2015-01-15,,561100,
2015-01-16,,566500,
2015-01-17,,574400,
2015-01-18,,582000,
2015-01-19,,586600,
2015-01-20,,591500,
2015-01-21,,595600,
2015-01-22,,599200,
2015-01-23,,603800,
2015-01-24,,610500,
2015-01-25,,617100,
2015-01-26,,621500,
2015-01-27,,626400,
2015-01-28,,630200,
2015-01-29,,634400,
2015-01-30,,638500,
2015-01-31,,644900,
2015-02-01,,651100,
2015-02-02,,655300,
2015-02-03,,659400,
2015-02-04,,663700,
2015-02-05,,668200,
2015-02-06,,672600,
2015-02-07,,678200,
2015-02-08,,684100,
2015-02-09,,687300,
2015-02-10,,691100,
2015-02-11,,694500,
2015-02-12,,697700,
2015-02-13,,702300,
2015-02-14,,708200,
2015-02-15,,714000,
2015-02-16,,717900,
2015-02-17,,721500,
2015-02-18,,724700,
2015-02-19,,728900,
2015-02-20,,733200,
2015-02-21,,738700,
2015-02-22,,743600,
2015-02-23,,747700,
2015-02-24,,750900,
2015-02-25,,754300,
2015-02-26,,758300,
2015-02-27,,761500,
2015-02-28,,766400,
2015-03-01,,770500,
2015-03-02,,773800,
2015-03-03,,777300,
2015-03-04,,780800,
2015-03-05,,783900,
2015-03-06,,787300,
2015-03-07,,792200,
