Date,'',PS4 player count,
2014-10-07,,1500,
2014-10-08,,16500,
2014-10-09,,33100,
2014-10-10,,50200,
2014-10-11,,71400,
2014-10-12,,94300,
2014-10-13,,111300,
2014-10-14,,125400,
2014-10-15,,139200,
2014-10-16,,156000,
2014-10-17,,170200,
2014-10-18,,189200,
2014-10-19,,208100,
2014-10-20,,221000,
2014-10-21,,234700,
2014-10-22,,245600,
2014-10-23,,258100,
2014-10-24,,270900,
2014-10-25,,285400,
2014-10-26,,300200,
2014-10-27,,311900,
2014-10-28,,329600,
2014-10-29,,346100,
2014-10-30,,361000,
2014-10-31,,373000,
2014-11-01,,389000,
2014-11-02,,408800,
2014-11-03,,423700,
2014-11-04,,436600,
2014-11-05,,449100,
2014-11-06,,460700,
2014-11-07,,472100,
2014-11-08,,485000,
2014-11-09,,497700,
2014-11-10,,505900,
2014-11-11,,515000,
2014-11-12,,522300,
2014-11-13,,529600,
2014-11-14,,537300,
2014-11-15,,546900,
2014-11-16,,556600,
2014-11-17,,564200,
2014-11-18,,571900,
2014-11-19,,578800,
2014-11-20,,584800,
2014-11-21,,590400,
2014-11-22,,597800,
2014-11-23,,603000,
2014-11-24,,607300,
2014-11-25,,611100,
2014-11-26,,615500,
2014-11-27,,620100,
2014-11-28,,625000,
2014-11-29,,630700,
2014-11-30,,635000,
2014-12-01,,638700,
2014-12-02,,642500,
2014-12-03,,646800,
2014-12-04,,651600,
2014-12-05,,654900,
2014-12-06,,659000,
2014-12-07,,663100,
2014-12-08,,666000,
2014-12-09,,669000,
2014-12-10,,671500,
2014-12-11,,673900,
2014-12-12,,677000,
2014-12-13,,679800,
2014-12-14,,683400,
2014-12-15,,685800,
2014-12-16,,687900,
2014-12-17,,690400,
2014-12-18,,692700,
2014-12-19,,695500,
2014-12-20,,698000,
2014-12-21,,701000,
2014-12-22,,703500,
2014-12-23,,706100,
2014-12-24,,709100,
2014-12-25,,711000,
2014-12-26,,711700,
2014-12-27,,713300,
2014-12-28,,717000,
2014-12-29,,719900,
2014-12-30,,723200,
2014-12-31,,726200,
2015-01-01,,728900,
2015-01-02,,731700,
2015-01-03,,734600,
2015-01-04,,737100,
2015-01-05,,739300,
2015-01-06,,741700,
2015-01-07,,743700,
2015-01-08,,746200,
2015-01-09,,747500,
2015-01-10,,749900,
2015-01-11,,751600,
2015-01-12,,752500,
2015-01-13,,753900,
2015-01-14,,755500,
2015-01-15,,756800,
2015-01-16,,757600,
2015-01-17,,759800,
2015-01-18,,762100,
2015-01-19,,763300,
2015-01-20,,765100,
2015-01-21,,766600,
2015-01-22,,767900,
2015-01-23,,769200,
2015-01-24,,771400,
2015-01-25,,772900,
2015-01-26,,774400,
2015-01-27,,775400,
2015-01-28,,776900,
2015-01-29,,778100,
2015-01-30,,779300,
2015-01-31,,781100,
2015-02-01,,782500,
2015-02-02,,783300,
2015-02-03,,784800,
2015-02-04,,785500,
2015-02-05,,786800,
2015-02-06,,788100,
2015-02-07,,789700,
2015-02-08,,791000,
2015-02-09,,792100,
2015-02-10,,793100,
2015-02-11,,793900,
2015-02-12,,794600,
2015-02-13,,795500,
2015-02-14,,797000,
2015-02-15,,798200,
2015-02-16,,799100,
2015-02-17,,800100,
2015-02-18,,801200,
2015-02-19,,802200,
2015-02-20,,803300,
2015-02-21,,804600,
2015-02-22,,806100,
2015-02-23,,807600,
2015-02-24,,808600,
2015-02-25,,809700,
2015-02-26,,810500,
2015-02-27,,811400,
2015-02-28,,812500,
2015-03-01,,813700,
2015-03-02,,814700,
2015-03-03,,815300,
2015-03-04,,816200,
2015-03-05,,817100,
2015-03-06,,818000,
2015-03-07,,819100,
2015-03-08,,820000,
2015-03-09,,821000,
2015-03-10,,821800,
2015-03-11,,822600,
2015-03-12,,823400,
2015-03-13,,824400,
2015-03-14,,825100,
2015-03-15,,826000,
2015-03-16,,826300,
2015-03-17,,826900,
2015-03-18,,827600,
2015-03-19,,828600,
2015-03-20,,829600,
2015-03-21,,830400,
2015-03-22,,831700,
2015-03-23,,832600,
2015-03-24,,833600,
2015-03-25,,834400,
2015-03-26,,835200,
2015-03-27,,836200,
2015-03-28,,837700,
2015-03-29,,838900,
2015-03-30,,839400,
2015-03-31,,840300,
2015-04-01,,841200,
2015-04-02,,842100,
2015-04-03,,843200,
2015-04-04,,844300,
2015-04-05,,845600,
2015-04-06,,846400,
2015-04-07,,847000,
2015-04-08,,847600,
2015-04-09,,848000,
2015-04-10,,848500,
2015-04-11,,849300,
2015-04-12,,849800,
2015-04-13,,850200,
2015-04-14,,850700,
2015-04-15,,851300,
2015-04-16,,852100,
2015-04-17,,852500,
2015-04-18,,852900,
