Date,'',PS4 player count,
2019-08-19,,300,
2019-08-20,,2000,
2019-08-21,,3900,
2019-08-22,,6000,
2019-08-23,,8500,
2019-08-24,,11600,
2019-08-25,,14500,
2019-08-26,,16800,
2019-08-27,,18000,
2019-08-28,,19800,
2019-08-29,,21200,
2019-08-30,,22600,
2019-08-31,,24000,
2019-09-01,,26400,
2019-09-02,,27400,
2019-09-03,,28300,
2019-09-04,,29400,
2019-09-05,,30300,
2019-09-06,,31300,
2019-09-07,,32600,
2019-09-08,,34000,
2019-09-09,,34400,
2019-09-10,,34900,
2019-09-11,,35500,
2019-09-12,,35900,
2019-09-13,,36600,
2019-09-14,,37600,
2019-09-15,,38500,
2019-09-16,,39000,
2019-09-17,,39300,
2019-09-18,,39700,
2019-09-19,,40300,
2019-09-20,,40700,
2019-09-21,,41200,
2019-09-22,,41600,
2019-09-23,,42100,
2019-09-24,,42300,
2019-09-25,,42500,
2019-09-26,,42600,
2019-09-27,,43000,
2019-09-28,,43100,
2019-09-29,,43600,
2019-09-30,,43900,
2019-10-01,,44000,
2019-10-02,,44200,
2019-10-03,,44400,
2019-10-04,,44600,
2019-10-05,,45100,
2019-10-06,,45400,
2019-10-07,,45600,
2019-10-08,,45700,
2019-10-09,,45800,
2019-10-10,,45900,
2019-10-11,,46200,
2019-10-12,,46700,
2019-10-13,,47300,
2019-10-14,,47800,
2019-10-15,,48400,
2019-10-16,,48700,
2019-10-17,,48800,
2019-10-18,,49300,
2019-10-19,,49700,
2019-10-20,,49900,
2019-10-21,,50100,
2019-10-22,,50200,
2019-10-23,,50300,
2019-10-24,,50600,
2019-10-25,,51000,
2019-10-26,,51200,
2019-10-27,,51400,
2019-10-28,,51500,
2019-10-29,,51600,
2019-10-30,,51700,
2019-10-31,,51800,
2019-11-01,,52000,
2019-11-02,,52200,
2019-11-03,,52300,
2019-11-04,,52700,
2019-11-05,,52800,
2019-11-06,,53000,
2019-11-07,,53400,
2019-11-08,,53700,
2019-11-09,,54000,
2019-11-10,,54200,
2019-11-11,,54700,
2019-11-12,,54900,
2019-11-13,,55100,
2019-11-14,,55100,
2019-11-15,,55400,
2019-11-16,,55700,
2019-11-17,,56200,
2019-11-18,,56300,
2019-11-19,,56400,
2019-11-20,,56700,
2019-11-21,,56800,
2019-11-22,,57000,
2019-11-23,,57200,
2019-11-24,,57400,
2019-11-25,,57600,
2019-11-26,,57800,
2019-11-27,,57800,
2019-11-28,,58000,
2019-11-29,,58100,
2019-11-30,,58300,
2019-12-01,,58400,
2019-12-02,,58500,
2019-12-03,,58600,
2019-12-04,,58800,
2019-12-05,,58800,
2019-12-06,,59000,
2019-12-07,,59100,
2019-12-08,,59200,
2019-12-09,,59200,
2019-12-10,,59300,
2019-12-11,,59400,
2019-12-12,,59400,
2019-12-13,,59600,
2019-12-14,,59800,
2019-12-15,,60000,
2019-12-16,,60100,
2019-12-17,,60300,
2019-12-18,,60400,
2019-12-19,,60400,
2019-12-20,,60400,
2019-12-21,,60800,
2019-12-22,,61200,
2019-12-23,,61600,
2019-12-24,,61800,
2019-12-25,,62300,
2019-12-26,,63000,
2019-12-27,,63600,
2019-12-28,,64100,
2019-12-29,,64900,
2019-12-30,,65400,
2019-12-31,,65900,
2020-01-01,,66200,
2020-01-02,,66900,
2020-01-03,,67200,
2020-01-04,,67700,
2020-01-05,,68300,
2020-01-06,,68500,
2020-01-07,,68800,
2020-01-08,,69000,
2020-01-09,,69300,
2020-01-10,,69400,
2020-01-11,,69800,
2020-01-12,,70100,
2020-01-13,,70300,
2020-01-14,,70500,
2020-01-15,,70800,
2020-01-16,,71000,
2020-01-17,,71200,
2020-01-18,,71300,
2020-01-19,,71500,
2020-01-20,,71700,
2020-01-21,,71800,
2020-01-22,,71800,
2020-01-23,,72000,
2020-01-24,,72100,
2020-01-25,,72400,
2020-01-26,,72700,
2020-01-27,,72800,
2020-01-28,,72900,
2020-01-29,,73100,
2020-01-30,,73300,
2020-01-31,,73400,
2020-02-01,,73700,
2020-02-02,,74000,
2020-02-03,,74100,
2020-02-04,,74200,
2020-02-05,,74300,
2020-02-06,,74400,
2020-02-07,,74700,
2020-02-08,,74800,
2020-02-09,,74900,
2020-02-10,,75000,
2020-02-11,,75000,
2020-02-12,,75100,
2020-02-13,,75100,
2020-02-14,,75200,
2020-02-15,,75300,
2020-02-16,,75500,
2020-02-17,,75700,
2020-02-18,,75700,
2020-02-19,,75800,
2020-02-20,,76000,
2020-02-21,,76300,
2020-02-22,,76700,
2020-02-23,,77600,
2020-02-24,,77700,
2020-02-25,,78100,
2020-02-26,,78500,
2020-02-27,,79000,
2020-02-28,,79200,
2020-02-29,,79600,
2020-03-01,,80700,
2020-03-02,,81100,
2020-03-03,,81400,
2020-03-04,,81600,
2020-03-05,,81700,
2020-03-06,,82000,
2020-03-07,,82400,
2020-03-08,,82900,
2020-03-09,,83200,
2020-03-10,,83400,
2020-03-11,,83700,
2020-03-12,,83800,
2020-03-13,,84100,
2020-03-14,,84300,
2020-03-15,,84600,
2020-03-16,,84700,
2020-03-17,,84900,
2020-03-18,,85100,
2020-03-19,,85100,
2020-03-20,,85400,
2020-03-21,,85700,
2020-03-22,,86100,
2020-03-23,,86300,
2020-03-24,,86400,
2020-03-25,,86700,
2020-03-26,,86800,
2020-03-27,,87000,
2020-03-28,,87200,
2020-03-29,,87400,
2020-03-30,,87600,
2020-03-31,,87800,
2020-04-01,,88100,
2020-04-02,,88900,
2020-04-03,,89800,
2020-04-04,,90900,
2020-04-05,,92000,
2020-04-06,,92700,
2020-04-07,,93400,
2020-04-08,,94300,
2020-04-09,,94800,
2020-04-10,,95500,
