Date,'',PS4 player count,PS Vita player count
2012-02-15,,0,100
2012-02-16,,0,400
2012-02-17,,0,700
2012-02-18,,0,1300
2012-02-19,,0,1600
2012-02-20,,0,2000
2012-02-21,,0,2000
2012-02-22,,0,2700
2012-02-23,,0,4500
2012-02-24,,0,6600
2012-02-25,,0,8800
2012-02-26,,0,10800
2012-02-27,,0,12400
2012-02-28,,0,13800
2012-02-29,,0,15500
2012-03-01,,0,17000
2012-03-02,,0,18300
2012-03-03,,0,20100
2012-03-04,,0,21900
2012-03-05,,0,23200
2012-03-06,,0,24200
2012-03-07,,0,25200
2012-03-08,,0,26400
2012-03-09,,0,27800
2012-03-10,,0,28900
2012-03-11,,0,30000
2012-03-12,,0,30900
2012-03-13,,0,31600
2012-03-14,,0,32200
2012-03-15,,0,32900
2012-03-16,,0,33500
2012-03-17,,0,34200
2012-03-18,,0,34800
2012-03-19,,0,35600
2012-03-20,,0,36300
2012-03-21,,0,36800
2012-03-22,,0,37300
2012-03-23,,0,38000
2012-03-24,,0,38800
2012-03-25,,0,39700
2012-03-26,,0,40000
2012-03-27,,0,40500
2012-03-28,,0,41000
2012-03-29,,0,41600
2012-03-30,,0,42300
2012-03-31,,0,42900
2012-04-01,,0,43600
2012-04-02,,0,44100
2012-04-03,,0,44900
2012-04-04,,0,45600
2012-04-05,,0,46000
2012-04-06,,0,46800
2012-04-07,,0,47400
2012-04-08,,0,48000
2012-04-09,,0,48400
2012-04-10,,0,48500
2012-04-11,,0,49300
2012-04-12,,0,50000
2012-04-13,,0,50400
2012-04-14,,0,51100
2012-04-15,,0,52000
2012-04-16,,0,52700
2012-04-17,,0,53200
2012-04-18,,0,53400
2012-04-19,,0,53700
2012-04-20,,0,54200
2012-04-21,,0,54600
2012-04-22,,0,55200
2012-04-23,,0,55500
2012-04-24,,0,55900
2012-04-25,,0,56300
2012-04-26,,0,56800
2012-04-27,,0,57100
2012-04-28,,0,57700
2012-04-29,,0,58300
2012-04-30,,0,58800
2012-05-01,,0,59400
2012-05-02,,0,60200
2012-05-03,,0,60500
2012-05-04,,0,60900
2012-05-05,,0,61300
2012-05-06,,0,61800
2012-05-07,,0,62100
2012-05-08,,0,62400
2012-05-09,,0,62700
2012-05-10,,0,63100
2012-05-11,,0,63300
2012-05-12,,0,63900
2012-05-13,,0,64300
2012-05-14,,0,64700
2012-05-15,,0,64900
2012-05-16,,0,65200
2012-05-17,,0,65400
2012-05-18,,0,65600
2012-05-19,,0,66100
2012-05-20,,0,66700
2012-05-21,,0,66900
2012-05-22,,0,67000
2012-05-23,,0,67200
2012-05-24,,0,67400
2012-05-25,,0,67700
2012-05-26,,0,68000
2012-05-27,,0,68400
2012-05-28,,0,68800
2012-05-29,,0,68900
2012-05-30,,0,69400
2012-05-31,,0,69600
2012-06-01,,0,69700
2012-06-02,,0,70200
2012-06-03,,0,70700
2012-06-04,,0,70900
2012-06-05,,0,71200
2012-06-06,,0,71500
2012-06-07,,0,71900
2012-06-08,,0,72100
2012-06-09,,0,72400
2012-06-10,,0,72700
2012-06-11,,0,73400
2012-06-12,,0,73900
2012-06-13,,0,74300
2012-06-14,,0,74900
2012-06-15,,0,75500
2012-06-16,,0,76100
2012-06-17,,0,76900
2012-06-18,,0,77300
2012-06-19,,0,77900
2012-06-20,,0,78500
2012-06-21,,0,79200
2012-06-22,,0,79500
2012-06-23,,0,80000
2012-06-24,,0,80300
2012-06-25,,0,80700
2012-06-26,,0,81100
2012-06-27,,0,81400
2012-06-28,,0,81600
2012-06-29,,0,82100
2012-06-30,,0,82600
2012-07-01,,0,83000
2012-07-02,,0,83200
2012-07-03,,0,83600
2012-07-04,,0,84000
2012-07-05,,0,84500
2012-07-06,,0,84800
2012-07-07,,0,85400
2012-07-08,,0,86000
2012-07-09,,0,86300
2012-07-10,,0,86500
2012-07-11,,0,86900
2012-07-12,,0,87100
2012-07-13,,0,87300
2012-07-14,,0,87500
2012-07-15,,0,87800
2012-07-16,,0,88000
2012-07-17,,0,88500
2012-07-18,,0,89000
2012-07-19,,0,89200
2012-07-20,,0,89400
2012-07-21,,0,89600
2012-07-22,,0,89800
2012-07-23,,0,90100
2012-07-24,,0,90400
2012-07-25,,0,90700
2012-07-26,,0,91000
2012-07-27,,0,91500
2012-07-28,,0,91700
2012-07-29,,0,92000
2012-07-30,,0,92100
2012-07-31,,0,92300
2012-08-01,,0,92700
2012-08-02,,0,93000
2012-08-03,,0,93400
2012-08-04,,0,93700
2012-08-05,,0,94000
2012-08-06,,0,94200
2012-08-07,,0,94300
2012-08-08,,0,94400
2012-08-09,,0,94700
2012-08-10,,0,95200
2012-08-11,,0,95400
2012-08-12,,0,95600
2012-08-13,,0,96000
2012-08-14,,0,96200
2012-08-15,,0,96500
2012-08-16,,0,96600
2012-08-17,,0,96800
