Date,'',PS4 player count,
2015-05-05,,1400,
2015-05-06,,17900,
2015-05-07,,44100,
2015-05-08,,71900,
2015-05-09,,108300,
2015-05-10,,142000,
2015-05-11,,164400,
2015-05-12,,185500,
2015-05-13,,204400,
2015-05-14,,224400,
2015-05-15,,244000,
2015-05-16,,265500,
2015-05-17,,287700,
2015-05-18,,303800,
2015-05-19,,319400,
2015-05-20,,333300,
2015-05-21,,344900,
2015-05-22,,357200,
2015-05-23,,372400,
2015-05-24,,387200,
2015-05-25,,402100,
2015-05-26,,414800,
2015-05-27,,426000,
2015-05-28,,436600,
2015-05-29,,447200,
2015-05-30,,460300,
2015-05-31,,475000,
2015-06-01,,484700,
2015-06-02,,496700,
2015-06-03,,507600,
2015-06-04,,517100,
2015-06-05,,527700,
2015-06-06,,538100,
2015-06-07,,549100,
2015-06-08,,557300,
2015-06-09,,565600,
2015-06-10,,573900,
2015-06-11,,581200,
2015-06-12,,586800,
2015-06-13,,594000,
2015-06-14,,602200,
2015-06-15,,607000,
2015-06-16,,611500,
2015-06-17,,616200,
2015-06-18,,621800,
2015-06-19,,627600,
2015-06-20,,633100,
2015-06-21,,639200,
2015-06-22,,643800,
2015-06-23,,649300,
2015-06-24,,654400,
2015-06-25,,658900,
2015-06-26,,663600,
2015-06-27,,669800,
2015-06-28,,675100,
2015-06-29,,679300,
2015-06-30,,683800,
2015-07-01,,688400,
2015-07-02,,692500,
2015-07-03,,696300,
2015-07-04,,700400,
2015-07-05,,705100,
2015-07-06,,709900,
2015-07-07,,715100,
2015-07-08,,719400,
2015-07-09,,723700,
2015-07-10,,727900,
2015-07-11,,732600,
2015-07-12,,736800,
2015-07-13,,740000,
2015-07-14,,743900,
2015-07-15,,746700,
2015-07-16,,749600,
2015-07-17,,752400,
2015-07-18,,755700,
2015-07-19,,759000,
2015-07-20,,761500,
2015-07-21,,764700,
2015-07-22,,767300,
2015-07-23,,770000,
2015-07-24,,772200,
2015-07-25,,775300,
2015-07-26,,778600,
2015-07-27,,781600,
2015-07-28,,783400,
2015-07-29,,785800,
2015-07-30,,788200,
2015-07-31,,790100,
2015-08-01,,792900,
2015-08-02,,795700,
2015-08-03,,797300,
2015-08-04,,799900,
2015-08-05,,801600,
2015-08-06,,803200,
2015-08-07,,805100,
2015-08-08,,807900,
2015-08-09,,810200,
2015-08-10,,812200,
2015-08-11,,814400,
2015-08-12,,816200,
2015-08-13,,817800,
2015-08-14,,819600,
2015-08-15,,821400,
2015-08-16,,824000,
2015-08-17,,825400,
2015-08-18,,827000,
2015-08-19,,828600,
2015-08-20,,829900,
2015-08-21,,831400,
2015-08-22,,833500,
2015-08-23,,835600,
2015-08-24,,836900,
2015-08-25,,838000,
2015-08-26,,839500,
2015-08-27,,840400,
