Date,'',PS4 player count,
2015-08-11,,3800,
2015-08-12,,8400,
2015-08-13,,13400,
2015-08-14,,17800,
2015-08-15,,21300,
2015-08-16,,26400,
2015-08-17,,30100,
2015-08-18,,32600,
2015-08-19,,34800,
2015-08-20,,36500,
2015-08-21,,38600,
2015-08-22,,40800,
2015-08-23,,43600,
2015-08-24,,45800,
2015-08-25,,47800,
2015-08-26,,48900,
2015-08-27,,50700,
2015-08-28,,52800,
2015-08-29,,54700,
2015-08-30,,56500,
2015-08-31,,57600,
2015-09-01,,58400,
2015-09-02,,59300,
2015-09-03,,60300,
2015-09-04,,60900,
2015-09-05,,62000,
2015-09-06,,63300,
2015-09-07,,64100,
2015-09-08,,64900,
2015-09-09,,65600,
2015-09-10,,66000,
2015-09-11,,66400,
2015-09-12,,66900,
2015-09-13,,67600,
2015-09-14,,68400,
2015-09-15,,68900,
2015-09-16,,69400,
2015-09-17,,69800,
2015-09-18,,70200,
2015-09-19,,70700,
2015-09-20,,71000,
2015-09-21,,71500,
2015-09-22,,71800,
2015-09-23,,72500,
2015-09-24,,72800,
2015-09-25,,73200,
2015-09-26,,73600,
2015-09-27,,74000,
2015-09-28,,74100,
2015-09-29,,74400,
2015-09-30,,74700,
2015-10-01,,75000,
2015-10-02,,75500,
2015-10-03,,75900,
2015-10-04,,76300,
2015-10-05,,76700,
2015-10-06,,77000,
2015-10-07,,77200,
2015-10-08,,77500,
2015-10-09,,77800,
2015-10-10,,78400,
2015-10-11,,78800,
2015-10-12,,79000,
2015-10-13,,79300,
2015-10-14,,79700,
2015-10-15,,79900,
2015-10-16,,80200,
2015-10-17,,80700,
2015-10-18,,81700,
2015-10-19,,82600,
2015-10-20,,83800,
2015-10-21,,84200,
2015-10-22,,84600,
2015-10-23,,85200,
2015-10-24,,85900,
2015-10-25,,86800,
2015-10-26,,87400,
2015-10-27,,87900,
2015-10-28,,88200,
2015-10-29,,88500,
2015-10-30,,88800,
2015-10-31,,89500,
2015-11-01,,90400,
2015-11-02,,90800,
2015-11-03,,91200,
2015-11-04,,91800,
2015-11-05,,91900,
2015-11-06,,92400,
2015-11-07,,92800,
2015-11-08,,93100,
2015-11-09,,93700,
2015-11-10,,94000,
2015-11-11,,94200,
2015-11-12,,94500,
2015-11-13,,95000,
2015-11-14,,95700,
2015-11-15,,96000,
2015-11-16,,96200,
2015-11-17,,96300,
2015-11-18,,96600,
2015-11-19,,96700,
2015-11-20,,96800,
2015-11-21,,97000,
2015-11-22,,97400,
2015-11-23,,97500,
2015-11-24,,97800,
2015-11-25,,98100,
2015-11-26,,98400,
2015-11-27,,98400,
2015-11-28,,98900,
2015-11-29,,99100,
2015-11-30,,99400,
2015-12-01,,99600,
2015-12-02,,99700,
2015-12-03,,99900,
2015-12-04,,100100,
2015-12-05,,100400,
2015-12-06,,100600,
2015-12-07,,100900,
2015-12-08,,100900,
2015-12-09,,101100,
2015-12-10,,101200,
2015-12-11,,101400,
2015-12-12,,101500,
2015-12-13,,101700,
2015-12-14,,101700,
2015-12-15,,101900,
2015-12-16,,101900,
2015-12-17,,101900,
2015-12-18,,102100,
2015-12-19,,102200,
2015-12-20,,102400,
2015-12-21,,102600,
2015-12-22,,102700,
2015-12-23,,102900,
2015-12-24,,102900,
2015-12-25,,103100,
2015-12-26,,103200,
2015-12-27,,103500,
2015-12-28,,103900,
2015-12-29,,104200,
2015-12-30,,104500,
2015-12-31,,104900,
2016-01-01,,105500,
2016-01-02,,105900,
2016-01-03,,106400,
2016-01-04,,106800,
2016-01-05,,107000,
2016-01-06,,107200,
2016-01-07,,107400,
2016-01-08,,107800,
2016-01-09,,108200,
2016-01-10,,108400,
2016-01-11,,108600,
2016-01-12,,108700,
2016-01-13,,108900,
2016-01-14,,109200,
2016-01-15,,109400,
2016-01-16,,109700,
2016-01-17,,110200,
2016-01-18,,110500,
2016-01-19,,110800,
2016-01-20,,111100,
2016-01-21,,111200,
2016-01-22,,111400,
2016-01-23,,112100,
2016-01-24,,112800,
2016-01-25,,113200,
2016-01-26,,113600,
2016-01-27,,113900,
2016-01-28,,114400,
2016-01-29,,114600,
2016-01-30,,115400,
2016-01-31,,116200,
2016-02-01,,116600,
2016-02-02,,116900,
2016-02-03,,117400,
2016-02-04,,117900,
2016-02-05,,118100,
2016-02-06,,118500,
2016-02-07,,119400,
2016-02-08,,119500,
