Date,'',PS4 player count,
2018-11-15,,100,
2018-11-16,,600,
2018-11-17,,1700,
2018-11-18,,2500,
2018-11-19,,5800,
2018-11-20,,54700,
2018-11-21,,90800,
2018-11-22,,111100,
2018-11-23,,130100,
2018-11-24,,148800,
2018-11-25,,162900,
2018-11-26,,170100,
2018-11-27,,177600,
2018-11-28,,183800,
2018-11-29,,189700,
2018-11-30,,196500,
2018-12-01,,206100,
2018-12-02,,214200,
2018-12-03,,220500,
2018-12-04,,225400,
2018-12-05,,230100,
2018-12-06,,234700,
2018-12-07,,240300,
2018-12-08,,248000,
2018-12-09,,254700,
2018-12-10,,258200,
2018-12-11,,260800,
2018-12-12,,264400,
2018-12-13,,267800,
2018-12-14,,270800,
2018-12-15,,275800,
2018-12-16,,281200,
2018-12-17,,284300,
2018-12-18,,287500,
2018-12-19,,290400,
2018-12-20,,292700,
2018-12-21,,296200,
2018-12-22,,301300,
2018-12-23,,306300,
2018-12-24,,319200,
2018-12-25,,356800,
2018-12-26,,383100,
2018-12-27,,400500,
2018-12-28,,413200,
2018-12-29,,423500,
2018-12-30,,433000,
2018-12-31,,440100,
2019-01-01,,445600,
2019-01-02,,451100,
2019-01-03,,455900,
2019-01-04,,460900,
2019-01-05,,465900,
2019-01-06,,471400,
2019-01-07,,475300,
2019-01-08,,478100,
2019-01-09,,481500,
2019-01-10,,483800,
2019-01-11,,486800,
2019-01-12,,491400,
2019-01-13,,495000,
2019-01-14,,496900,
2019-01-15,,499400,
2019-01-16,,502300,
2019-01-17,,504900,
2019-01-18,,507600,
2019-01-19,,511000,
2019-01-20,,514800,
2019-01-21,,517000,
2019-01-22,,519100,
2019-01-23,,521000,
2019-01-24,,522900,
2019-01-25,,525100,
2019-01-26,,528000,
2019-01-27,,531100,
2019-01-28,,533300,
2019-01-29,,535400,
2019-01-30,,538300,
2019-01-31,,540300,
2019-02-01,,542700,
2019-02-02,,546100,
2019-02-03,,549000,
2019-02-04,,551100,
2019-02-05,,552400,
2019-02-06,,554400,
2019-02-07,,556600,
2019-02-08,,558800,
2019-02-09,,562200,
2019-02-10,,564800,
2019-02-11,,566800,
2019-02-12,,568500,
2019-02-13,,570400,
2019-02-14,,571900,
2019-02-15,,573800,
2019-02-16,,577100,
2019-02-17,,579900,
2019-02-18,,581900,
2019-02-19,,583600,
2019-02-20,,585600,
2019-02-21,,586800,
2019-02-22,,588500,
2019-02-23,,591000,
2019-02-24,,592800,
2019-02-25,,594500,
2019-02-26,,595900,
2019-02-27,,597700,
2019-02-28,,599200,
2019-03-01,,601500,
2019-03-02,,605200,
2019-03-03,,608100,
2019-03-04,,610900,
2019-03-05,,612700,
2019-03-06,,614500,
2019-03-07,,615300,
2019-03-08,,617500,
2019-03-09,,619900,
2019-03-10,,622100,
2019-03-11,,623400,
2019-03-12,,625000,
2019-03-13,,626400,
2019-03-14,,628400,
2019-03-15,,630400,
2019-03-16,,632500,
2019-03-17,,635400,
2019-03-18,,637100,
2019-03-19,,638400,
2019-03-20,,640100,
2019-03-21,,641400,
2019-03-22,,642800,
2019-03-23,,645600,
2019-03-24,,647900,
2019-03-25,,649700,
2019-03-26,,651100,
2019-03-27,,653200,
2019-03-28,,653700,
2019-03-29,,655100,
2019-03-30,,657100,
2019-03-31,,659800,
2019-04-01,,660900,
2019-04-02,,662200,
2019-04-03,,663700,
2019-04-04,,664900,
2019-04-05,,666300,
2019-04-06,,668700,
2019-04-07,,671100,
2019-04-08,,672700,
2019-04-09,,674000,
2019-04-10,,675300,
2019-04-11,,676900,
2019-04-12,,678600,
2019-04-13,,680400,
2019-04-14,,682600,
2019-04-15,,684200,
2019-04-16,,685400,
2019-04-17,,687100,
2019-04-18,,688500,
2019-04-19,,690100,
2019-04-20,,691900,
2019-04-21,,694000,
2019-04-22,,695900,
2019-04-23,,697200,
2019-04-24,,697900,
2019-04-25,,699400,
2019-04-26,,701000,
2019-04-27,,703200,
2019-04-28,,705700,
2019-04-29,,707400,
2019-04-30,,708800,
2019-05-01,,710400,
2019-05-02,,711900,
2019-05-03,,713600,
2019-05-04,,715800,
2019-05-05,,718100,
2019-05-06,,719000,
2019-05-07,,720000,
2019-05-08,,721400,
2019-05-09,,722500,
2019-05-10,,724000,
2019-05-11,,726100,
2019-05-12,,728000,
2019-05-13,,729300,
2019-05-14,,730500,
2019-05-15,,732200,
2019-05-16,,733400,
2019-05-17,,734900,
2019-05-18,,737300,
2019-05-19,,739900,
2019-05-20,,741400,
2019-05-21,,742800,
2019-05-22,,744100,
2019-05-23,,745400,
2019-05-24,,746800,
2019-05-25,,749600,
2019-05-26,,752300,
2019-05-27,,753900,
2019-05-28,,754900,
2019-05-29,,756300,
2019-05-30,,758300,
2019-05-31,,760300,
2019-06-01,,762000,
2019-06-02,,763600,
2019-06-03,,765100,
2019-06-04,,766200,
2019-06-05,,767400,
2019-06-06,,768300,
2019-06-07,,769700,
2019-06-08,,771500,
2019-06-09,,773400,
2019-06-10,,775300,
2019-06-11,,776900,
2019-06-12,,778400,
2019-06-13,,779700,
2019-06-14,,781100,
2019-06-15,,782900,
2019-06-16,,785100,
2019-06-17,,786300,
2019-06-18,,788100,
2019-06-19,,789500,
2019-06-20,,791000,
2019-06-21,,792600,
2019-06-22,,794300,
2019-06-23,,795900,
2019-06-24,,797100,
2019-06-25,,798900,
2019-06-26,,800200,
2019-06-27,,801400,
2019-06-28,,803100,
2019-06-29,,804900,
2019-06-30,,806700,
2019-07-01,,808300,
2019-07-02,,810100,
2019-07-03,,811600,
2019-07-04,,813600,
2019-07-05,,815000,
2019-07-06,,817000,
2019-07-07,,819100,
2019-07-08,,820600,
2019-07-09,,822300,
2019-07-10,,824300,
2019-07-11,,826500,
2019-07-12,,828300,
2019-07-13,,830800,
2019-07-14,,833200,
2019-07-15,,835200,
2019-07-16,,837500,
2019-07-17,,839600,
2019-07-18,,841800,
2019-07-19,,843900,
2019-07-20,,846500,
