Date,PS3 player count,PS4 player count,PS Vita player count
2014-03-25,200,100,0
2014-03-26,300,500,100
2014-03-27,800,1100,200
2014-03-28,1000,1600,300
2014-03-29,1400,2200,400
2014-03-30,1900,3100,600
2014-03-31,2100,3800,700
2014-04-01,2400,4900,700
2014-04-02,3000,5500,900
2014-04-03,3100,6100,1100
2014-04-04,3300,6600,1100
2014-04-05,3700,7100,1100
2014-04-06,4300,7300,1300
2014-04-07,4500,7400,1500
2014-04-08,4700,7800,1500
2014-04-09,4900,8100,1500
2014-04-10,4900,8200,1500
2014-04-11,5100,8600,1700
2014-04-12,5200,9500,2000
2014-04-13,5600,10100,2000
2014-04-14,5700,10200,2100
2014-04-15,5700,10500,2200
2014-04-16,6100,10800,2200
2014-04-17,6300,10900,2400
2014-04-18,6600,11200,2400
2014-04-19,6800,11700,2400
2014-04-20,7000,11900,2400
2014-04-21,7200,12200,2500
2014-04-22,7600,12600,2600
2014-04-23,7800,12700,2700
2014-04-24,7900,12900,2700
2014-04-25,8000,12900,2800
2014-04-26,8100,13200,2800
2014-04-27,8200,13500,2800
2014-04-28,8200,13900,2800
2014-04-29,8200,14100,2900
2014-04-30,8400,14200,2900
2014-05-01,8600,14400,2900
2014-05-02,8700,14700,2900
2014-05-03,8800,15000,2900
2014-05-04,8900,15200,3000
2014-05-05,8900,15300,3000
2014-05-06,9000,15500,3000
2014-05-07,9100,15600,3100
2014-05-08,9200,15800,3100
2014-05-09,9300,16000,3100
2014-05-10,9600,16200,3200
2014-05-11,9800,16300,3200
2014-05-12,9900,16300,3300
2014-05-13,10200,16300,3300
2014-05-14,10200,16300,3300
2014-05-15,10200,16400,3300
2014-05-16,10300,16500,3300
2014-05-17,10400,16600,3400
2014-05-18,10500,16700,3400
2014-05-19,10500,16700,3400
2014-05-20,10500,16800,3500
2014-05-21,10500,16900,3500
2014-05-22,10700,17000,3500
2014-05-23,11100,17000,3600
2014-05-24,11100,17100,3700
2014-05-25,11200,17200,3700
2014-05-26,11200,17200,3700
2014-05-27,11200,17300,3700
2014-05-28,11200,17600,3700
2014-05-29,11300,17600,3700
