Date,'',PS4 player count,
2017-02-10,,0,
2017-02-11,,400,
2017-02-12,,500,
2017-02-13,,22800,
2017-02-14,,277400,
2017-02-15,,469500,
2017-02-16,,597500,
2017-02-17,,699600,
2017-02-18,,808000,
2017-02-19,,889700,
2017-02-20,,948900,
2017-02-21,,996300,
2017-02-22,,1033700,
2017-02-23,,1075000,
2017-02-24,,1116100,
2017-02-25,,1166900,
2017-02-26,,1212100,
2017-02-27,,1241900,
2017-02-28,,1269100,
2017-03-01,,1294000,
2017-03-02,,1317500,
2017-03-03,,1340600,
2017-03-04,,1371000,
2017-03-05,,1397400,
2017-03-06,,1413600,
2017-03-07,,1426600,
2017-03-08,,1440700,
2017-03-09,,1455500,
2017-03-10,,1471300,
2017-03-11,,1491600,
2017-03-12,,1510200,
2017-03-13,,1523600,
2017-03-14,,1536000,
2017-03-15,,1546400,
2017-03-16,,1556600,
2017-03-17,,1568200,
2017-03-18,,1584000,
2017-03-19,,1599600,
2017-03-20,,1610100,
2017-03-21,,1619100,
2017-03-22,,1628300,
2017-03-23,,1636100,
2017-03-24,,1645100,
2017-03-25,,1656400,
2017-03-26,,1668200,
2017-03-27,,1676000,
2017-03-28,,1683600,
2017-03-29,,1690600,
2017-03-30,,1697500,
2017-03-31,,1704800,
2017-04-01,,1716100,
2017-04-02,,1725900,
2017-04-03,,1733300,
2017-04-04,,1740100,
2017-04-05,,1746800,
2017-04-06,,1754000,
2017-04-07,,1759800,
2017-04-08,,1769500,
2017-04-09,,1779200,
2017-04-10,,1785700,
2017-04-11,,1793300,
2017-04-12,,1800100,
2017-04-13,,1807100,
2017-04-14,,1814700,
2017-04-15,,1823500,
2017-04-16,,1831200,
2017-04-17,,1838100,
2017-04-18,,1843500,
2017-04-19,,1848800,
2017-04-20,,1853500,
2017-04-21,,1858800,
2017-04-22,,1866700,
2017-04-23,,1872700,
2017-04-24,,1877800,
2017-04-25,,1882800,
2017-04-26,,1886500,
2017-04-27,,1890300,
2017-04-28,,1895000,
2017-04-29,,1902800,
2017-04-30,,1909700,
2017-05-01,,1915000,
2017-05-02,,1918800,
2017-05-03,,1922600,
2017-05-04,,1926600,
2017-05-05,,1930600,
2017-05-06,,1935800,
2017-05-07,,1941200,
2017-05-08,,1945700,
2017-05-09,,1949500,
2017-05-10,,1954100,
2017-05-11,,1958500,
2017-05-12,,1963500,
2017-05-13,,1970500,
2017-05-14,,1977000,
2017-05-15,,1982100,
2017-05-16,,1984700,
2017-05-17,,1988400,
2017-05-18,,1992600,
2017-05-19,,1997100,
2017-05-20,,2003300,
2017-05-21,,2009300,
2017-05-22,,2013500,
2017-05-23,,2017500,
2017-05-24,,2021100,
2017-05-25,,2024600,
2017-05-26,,2029500,
2017-05-27,,2034900,
2017-05-28,,2040600,
2017-05-29,,2045100,
2017-05-30,,2049700,
2017-05-31,,2053900,
2017-06-01,,2057600,
2017-06-02,,2062300,
2017-06-03,,2066800,
2017-06-04,,2071700,
2017-06-05,,2075700,
2017-06-06,,2080100,
2017-06-07,,2083900,
2017-06-08,,2087100,
2017-06-09,,2090800,
2017-06-10,,2097600,
2017-06-11,,2102000,
2017-06-12,,2106900,
2017-06-13,,2111800,
2017-06-14,,2115700,
2017-06-15,,2121000,
2017-06-16,,2126000,
2017-06-17,,2131800,
2017-06-18,,2137500,
2017-06-19,,2142500,
2017-06-20,,2146900,
2017-06-21,,2151300,
2017-06-22,,2155500,
2017-06-23,,2160400,
2017-06-24,,2165700,
2017-06-25,,2171200,
2017-06-26,,2175600,
2017-06-27,,2180500,
2017-06-28,,2185100,
2017-06-29,,2189100,
2017-06-30,,2193500,
2017-07-01,,2198100,
2017-07-02,,2203200,
2017-07-03,,2207500,
2017-07-04,,2212400,
2017-07-05,,2216400,
2017-07-06,,2220700,
2017-07-07,,2224800,
2017-07-08,,2229400,
2017-07-09,,2234500,
2017-07-10,,2238700,
2017-07-11,,2242700,
2017-07-12,,2247300,
2017-07-13,,2251200,
2017-07-14,,2255500,
2017-07-15,,2261000,
2017-07-16,,2265500,
2017-07-17,,2269400,
2017-07-18,,2272700,
2017-07-19,,2275800,
2017-07-20,,2279700,
2017-07-21,,2283500,
2017-07-22,,2288400,
2017-07-23,,2292600,
2017-07-24,,2296400,
2017-07-25,,2299700,
2017-07-26,,2303700,
2017-07-27,,2309000,
2017-07-28,,2314700,
2017-07-29,,2321300,
2017-07-30,,2326600,
2017-07-31,,2331800,
2017-08-01,,2337600,
2017-08-02,,2343000,
2017-08-03,,2347000,
2017-08-04,,2352000,
2017-08-05,,2357600,
2017-08-06,,2364100,
2017-08-07,,2369600,
2017-08-08,,2375300,
2017-08-09,,2379500,
2017-08-10,,2384300,
2017-08-11,,2389200,
2017-08-12,,2396700,
2017-08-13,,2406800,
2017-08-14,,2415600,
2017-08-15,,2423100,
2017-08-16,,2430200,
2017-08-17,,2436300,
2017-08-18,,2443600,
2017-08-19,,2451200,
2017-08-20,,2457700,
2017-08-21,,2463000,
2017-08-22,,2467700,
2017-08-23,,2472000,
2017-08-24,,2475900,
2017-08-25,,2479200,
2017-08-26,,2484100,
2017-08-27,,2488800,
2017-08-28,,2492500,
2017-08-29,,2495900,
2017-08-30,,2499200,
2017-08-31,,2502500,
2017-09-01,,2505400,
2017-09-02,,2510100,
2017-09-03,,2514100,
2017-09-04,,2518000,
2017-09-05,,2521500,
2017-09-06,,2524400,
2017-09-07,,2527100,
2017-09-08,,2530900,
2017-09-09,,2534700,
2017-09-10,,2539500,
2017-09-11,,2542600,
2017-09-12,,2545900,
2017-09-13,,2548300,
2017-09-14,,2552200,
2017-09-15,,2555200,
2017-09-16,,2559300,
2017-09-17,,2563600,
2017-09-18,,2567100,
2017-09-19,,2569800,
2017-09-20,,2572400,
2017-09-21,,2575000,
2017-09-22,,2578400,
2017-09-23,,2581900,
2017-09-24,,2585300,
2017-09-25,,2588000,
2017-09-26,,2590000,
2017-09-27,,2591700,
2017-09-28,,2594200,
2017-09-29,,2596500,
2017-09-30,,2600300,
2017-10-01,,2604800,
2017-10-02,,2608100,
2017-10-03,,2610200,
2017-10-04,,2613100,
2017-10-05,,2614700,
2017-10-06,,2617700,
2017-10-07,,2620900,
2017-10-08,,2624800,
2017-10-09,,2626800,
2017-10-10,,2629100,
2017-10-11,,2631000,
2017-10-12,,2633200,
2017-10-13,,2636000,
2017-10-14,,2639900,
2017-10-15,,2644000,
2017-10-16,,2647600,
2017-10-17,,2650200,
2017-10-18,,2651600,
2017-10-19,,2653900,
2017-10-20,,2656100,
2017-10-21,,2659700,
2017-10-22,,2663400,
2017-10-23,,2665700,
2017-10-24,,2667700,
2017-10-25,,2669900,
2017-10-26,,2671700,
2017-10-27,,2673900,
2017-10-28,,2676700,
2017-10-29,,2680100,
2017-10-30,,2682200,
2017-10-31,,2684400,
2017-11-01,,2686700,
2017-11-02,,2688800,
2017-11-03,,2690700,
2017-11-04,,2693100,
2017-11-05,,2695900,
2017-11-06,,2698000,
2017-11-07,,2699800,
2017-11-08,,2701600,
2017-11-09,,2703700,
2017-11-10,,2707900,
2017-11-11,,2713600,
2017-11-12,,2721700,
2017-11-13,,2728100,
2017-11-14,,2732300,
2017-11-15,,2736400,
2017-11-16,,2739300,
2017-11-17,,2742500,
2017-11-18,,2745800,
2017-11-19,,2749600,
2017-11-20,,2751900,
2017-11-21,,2754500,
2017-11-22,,2758000,
2017-11-23,,2762700,
2017-11-24,,2769100,
2017-11-25,,2778200,
2017-11-26,,2786600,
2017-11-27,,2792100,
2017-11-28,,2795900,
2017-11-29,,2799500,
2017-11-30,,2803400,
2017-12-01,,2806700,
2017-12-02,,2810600,
2017-12-03,,2815700,
2017-12-04,,2818200,
2017-12-05,,2820400,
2017-12-06,,2822900,
2017-12-07,,2825500,
2017-12-08,,2828000,
2017-12-09,,2831600,
2017-12-10,,2835500,
2017-12-11,,2837800,
2017-12-12,,2840200,
2017-12-13,,2842700,
2017-12-14,,2844800,
2017-12-15,,2847700,
2017-12-16,,2850800,
2017-12-17,,2854200,
2017-12-18,,2856400,
2017-12-19,,2859100,
2017-12-20,,2862900,
2017-12-21,,2867200,
2017-12-22,,2871700,
2017-12-23,,2876500,
2017-12-24,,2882300,
2017-12-25,,2894200,
2017-12-26,,2907100,
2017-12-27,,2917000,
2017-12-28,,2925000,
2017-12-29,,2931000,
2017-12-30,,2936900,
2017-12-31,,2942900,
2018-01-01,,2947500,
2018-01-02,,2952500,
2018-01-03,,2957200,
2018-01-04,,2960800,
2018-01-05,,2965500,
2018-01-06,,2970800,
2018-01-07,,2976000,
2018-01-08,,2979300,
2018-01-09,,2982600,
2018-01-10,,2986200,
2018-01-11,,2988600,
2018-01-12,,2992200,
2018-01-13,,2997300,
2018-01-14,,3002300,
2018-01-15,,3006600,
2018-01-16,,3009900,
2018-01-17,,3012600,
2018-01-18,,3014900,
2018-01-19,,3017100,
2018-01-20,,3020500,
2018-01-21,,3024700,
2018-01-22,,3026700,
2018-01-23,,3028800,
2018-01-24,,3031100,
2018-01-25,,3033600,
2018-01-26,,3036700,
2018-01-27,,3040500,
2018-01-28,,3044600,
2018-01-29,,3047400,
2018-01-30,,3049900,
2018-01-31,,3052500,
2018-02-01,,3055500,
2018-02-02,,3059000,
2018-02-03,,3062500,
2018-02-04,,3066400,
2018-02-05,,3068700,
2018-02-06,,3071000,
2018-02-07,,3074200,
2018-02-08,,3077100,
2018-02-09,,3080600,
2018-02-10,,3085400,
2018-02-11,,3090900,
2018-02-12,,3094900,
2018-02-13,,3098800,
2018-02-14,,3102500,
2018-02-15,,3105000,
2018-02-16,,3107900,
2018-02-17,,3112200,
2018-02-18,,3117000,
2018-02-19,,3120500,
2018-02-20,,3122900,
2018-02-21,,3126800,
2018-02-22,,3130300,
2018-02-23,,3134000,
2018-02-24,,3137600,
2018-02-25,,3141700,
2018-02-26,,3144700,
2018-02-27,,3147300,
2018-02-28,,3149800,
2018-03-01,,3152600,
2018-03-02,,3156100,
2018-03-03,,3162800,
2018-03-04,,3169800,
2018-03-05,,3175900,
2018-03-06,,3180600,
2018-03-07,,3183500,
2018-03-08,,3186100,
2018-03-09,,3188800,
2018-03-10,,3192500,
2018-03-11,,3196500,
2018-03-12,,3199300,
2018-03-13,,3201900,
2018-03-14,,3204900,
2018-03-15,,3207500,
2018-03-16,,3210600,
2018-03-17,,3215000,
2018-03-18,,3219200,
2018-03-19,,3221700,
2018-03-20,,3224600,
2018-03-21,,3227600,
2018-03-22,,3230600,
2018-03-23,,3234100,
2018-03-24,,3239000,
2018-03-25,,3245000,
2018-03-26,,3250200,
2018-03-27,,3254500,
2018-03-28,,3258000,
2018-03-29,,3261900,
2018-03-30,,3266800,
2018-03-31,,3271500,
2018-04-01,,3275900,
2018-04-02,,3279500,
2018-04-03,,3283200,
2018-04-04,,3287200,
2018-04-05,,3289900,
2018-04-06,,3293300,
2018-04-07,,3297000,
2018-04-08,,3301300,
2018-04-09,,3304100,
2018-04-10,,3306700,
2018-04-11,,3309900,
2018-04-12,,3312800,
2018-04-13,,3315000,
2018-04-14,,3317900,
2018-04-15,,3321200,
2018-04-16,,3323300,
2018-04-17,,3324700,
2018-04-18,,3327000,
2018-04-19,,3328300,
2018-04-20,,3330100,
2018-04-21,,3332400,
2018-04-22,,3335200,
2018-04-23,,3336700,
2018-04-24,,3338600,
2018-04-25,,3340200,
2018-04-26,,3342100,
2018-04-27,,3343500,
2018-04-28,,3346600,
2018-04-29,,3350100,
2018-04-30,,3352600,
2018-05-01,,3355500,
2018-05-02,,3356900,
2018-05-03,,3359100,
2018-05-04,,3362000,
2018-05-05,,3366600,
2018-05-06,,3373100,
2018-05-07,,3378200,
2018-05-08,,3383600,
2018-05-09,,3387000,
2018-05-10,,3390200,
2018-05-11,,3393700,
2018-05-12,,3398600,
2018-05-13,,3403300,
2018-05-14,,3406400,
2018-05-15,,3408900,
2018-05-16,,3411200,
2018-05-17,,3413300,
2018-05-18,,3415300,
2018-05-19,,3418500,
2018-05-20,,3421900,
2018-05-21,,3424500,
2018-05-22,,3427000,
2018-05-23,,3428900,
2018-05-24,,3430700,
2018-05-25,,3432900,
2018-05-26,,3435100,
2018-05-27,,3437100,
2018-05-28,,3439600,
2018-05-29,,3441900,
2018-05-30,,3444400,
2018-05-31,,3446600,
2018-06-01,,3448600,
2018-06-02,,3452200,
2018-06-03,,3455300,
2018-06-04,,3457200,
2018-06-05,,3459600,
2018-06-06,,3461900,
2018-06-07,,3463900,
2018-06-08,,3466600,
2018-06-09,,3470000,
2018-06-10,,3474000,
2018-06-11,,3477000,
2018-06-12,,3480900,
2018-06-13,,3485100,
2018-06-14,,3490600,
2018-06-15,,3496100,
2018-06-16,,3503800,
2018-06-17,,3511900,
2018-06-18,,3518300,
2018-06-19,,3523600,
2018-06-20,,3526900,
2018-06-21,,3529800,
2018-06-22,,3533400,
2018-06-23,,3537400,
2018-06-24,,3540700,
2018-06-25,,3543800,
2018-06-26,,3546700,
2018-06-27,,3549400,
2018-06-28,,3551500,
2018-06-29,,3554100,
2018-06-30,,3557200,
2018-07-01,,3560400,
2018-07-02,,3562900,
2018-07-03,,3565800,
2018-07-04,,3569000,
2018-07-05,,3572400,
2018-07-06,,3576100,
2018-07-07,,3579900,
2018-07-08,,3584800,
2018-07-09,,3588400,
2018-07-10,,3592100,
2018-07-11,,3596000,
2018-07-12,,3599200,
2018-07-13,,3602200,
2018-07-14,,3605600,
2018-07-15,,3609400,
2018-07-16,,3611600,
2018-07-17,,3615000,
2018-07-18,,3618200,
2018-07-19,,3620800,
2018-07-20,,3623800,
2018-07-21,,3627000,
2018-07-22,,3630200,
2018-07-23,,3633200,
2018-07-24,,3635500,
2018-07-25,,3638000,
2018-07-26,,3641000,
2018-07-27,,3643700,
2018-07-28,,3647000,
2018-07-29,,3651200,
2018-07-30,,3655000,
2018-07-31,,3658500,
2018-08-01,,3662100,
2018-08-02,,3665300,
2018-08-03,,3669700,
2018-08-04,,3673800,
2018-08-05,,3677600,
2018-08-06,,3681600,
2018-08-07,,3686200,
2018-08-08,,3690200,
2018-08-09,,3693200,
2018-08-10,,3696900,
2018-08-11,,3700900,
2018-08-12,,3704900,
2018-08-13,,3707800,
2018-08-14,,3710900,
2018-08-15,,3715200,
2018-08-16,,3718900,
2018-08-17,,3723300,
2018-08-18,,3727300,
2018-08-19,,3732600,
2018-08-20,,3736300,
2018-08-21,,3740600,
2018-08-22,,3744800,
