Date,'',PS4 player count,PS Vita player count
2015-09-03,,100,0
2015-09-04,,100,0
2015-09-05,,200,0
2015-09-06,,300,0
2015-09-07,,400,0
2015-09-08,,400,0
2015-09-09,,500,0
2015-09-10,,500,0
2015-09-11,,600,0
2015-09-12,,700,0
2015-09-13,,800,0
2015-09-14,,800,0
2015-09-15,,900,0
2015-09-16,,900,0
2015-09-17,,1000,0
2015-09-18,,1000,0
2015-09-19,,1000,0
2015-09-20,,1000,0
2015-09-21,,1000,0
2015-09-22,,1100,0
2015-09-23,,1100,0
2015-09-24,,1100,0
2015-09-25,,1100,0
2015-09-26,,1200,0
2015-09-27,,1200,0
2015-09-28,,1300,0
2015-09-29,,1300,0
2015-09-30,,1300,0
2015-10-01,,1300,0
2015-10-02,,1300,0
2015-10-03,,1400,0
2015-10-04,,1400,0
2015-10-05,,1500,0
2015-10-06,,1500,0
2015-10-07,,1500,0
2015-10-08,,1500,0
2015-10-09,,1500,0
2015-10-10,,1500,0
2015-10-11,,1500,0
2015-10-12,,1500,0
2015-10-13,,1600,0
2015-10-14,,1600,0
2015-10-15,,1600,0
2015-10-16,,1600,0
2015-10-17,,1600,0
2015-10-18,,1600,0
2015-10-19,,1600,0
2015-10-20,,1600,0
2015-10-21,,1600,0
2015-10-22,,1600,0
2015-10-23,,1600,0
2015-10-24,,1600,0
2015-10-25,,1600,0
2015-10-26,,1600,0
2015-10-27,,1600,0
2015-10-28,,1600,0
2015-10-29,,1600,0
2015-10-30,,1600,0
2015-10-31,,1600,0
2015-11-01,,1600,0
2015-11-02,,1600,0
2015-11-03,,1600,0
2015-11-04,,1600,0
2015-11-05,,1600,0
2015-11-06,,1600,0
2015-11-07,,1700,0
2015-11-08,,1700,0
2015-11-09,,1700,0
2015-11-10,,1700,0
2015-11-11,,1700,0
2015-11-12,,1700,0
2015-11-13,,1700,0
2015-11-14,,1700,0
2015-11-15,,1700,0
2015-11-16,,1700,0
2015-11-17,,1700,0
2015-11-18,,1700,0
2015-11-19,,1700,0
2015-11-20,,1700,0
2015-11-21,,1700,0
2015-11-22,,1700,0
2015-11-23,,1700,0
2015-11-24,,1700,0
2015-11-25,,1700,0
2015-11-26,,1700,0
2015-11-27,,1700,0
2015-11-28,,1700,0
2015-11-29,,1700,0
2015-11-30,,1700,0
2015-12-01,,1700,0
2015-12-02,,1700,0
2015-12-03,,1700,0
2015-12-04,,1700,0
2015-12-05,,1700,0
2015-12-06,,1700,0
2015-12-07,,1700,0
2015-12-08,,1700,0
2015-12-09,,1800,0
2015-12-10,,1800,0
2015-12-11,,1800,0
2015-12-12,,1800,0
2015-12-13,,1800,0
2015-12-14,,1800,0
2015-12-15,,1800,0
2015-12-16,,1800,0
2015-12-17,,1800,0
2015-12-18,,1800,0
2015-12-19,,1800,0
2015-12-20,,1800,0
2015-12-21,,1800,0
2015-12-22,,1800,0
2015-12-23,,1800,0
2015-12-24,,1800,0
2015-12-25,,1900,0
2015-12-26,,1900,0
2015-12-27,,1900,0
2015-12-28,,1900,0
2015-12-29,,1900,0
2015-12-30,,1900,0
2015-12-31,,1900,0
2016-01-01,,1900,0
2016-01-02,,1900,0
2016-01-03,,1900,0
2016-01-04,,1900,0
2016-01-05,,1900,0
2016-01-06,,1900,0
2016-01-07,,1900,0
2016-01-08,,1900,0
2016-01-09,,1900,0
2016-01-10,,1900,0
2016-01-11,,1900,0
2016-01-12,,1900,0
2016-01-13,,1900,0
2016-01-14,,1900,0
2016-01-15,,1900,0
2016-01-16,,1900,0
2016-01-17,,1900,0
2016-01-18,,1900,0
2016-01-19,,1900,0
2016-01-20,,1900,0
2016-01-21,,1900,0
2016-01-22,,1900,0
2016-01-23,,1900,0
2016-01-24,,1900,0
2016-01-25,,1900,0
2016-01-26,,1900,0
2016-01-27,,1900,0
2016-01-28,,1900,0
2016-01-29,,1900,0
2016-01-30,,1900,0
2016-01-31,,1900,0
2016-02-01,,1900,0
2016-02-02,,1900,0
2016-02-03,,1900,0
2016-02-04,,1900,0
2016-02-05,,1900,0
2016-02-06,,1900,0
2016-02-07,,1900,0
2016-02-08,,1900,0
2016-02-09,,1900,0
2016-02-10,,1900,0
2016-02-11,,2000,0
2016-02-12,,2000,0
2016-02-13,,2000,0
2016-02-14,,2000,0
2016-02-15,,2100,0
2016-02-16,,2100,0
2016-02-17,,2100,0
2016-02-18,,2100,0
2016-02-19,,2100,0
2016-02-20,,2100,0
2016-02-21,,2100,0
2016-02-22,,2100,0
2016-02-23,,2100,0
2016-02-24,,2100,0
2016-02-25,,2100,0
2016-02-26,,2200,0
2016-02-27,,2200,100
2016-02-28,,2200,100
2016-02-29,,2300,100
2016-03-01,,2400,100
2016-03-02,,2400,100
2016-03-03,,2400,100
2016-03-04,,2500,100
2016-03-05,,2600,100
2016-03-06,,2800,100
2016-03-07,,2800,100
2016-03-08,,2900,100
2016-03-09,,2900,100
2016-03-10,,2900,100
2016-03-11,,3000,100
2016-03-12,,3100,100
2016-03-13,,3100,100
2016-03-14,,3100,100
2016-03-15,,3300,100
2016-03-16,,3300,100
2016-03-17,,3300,100
2016-03-18,,3300,100
2016-03-19,,3300,100
2016-03-20,,3300,100
2016-03-21,,3300,100
2016-03-22,,3300,100
2016-03-23,,3300,100
2016-03-24,,3300,100
2016-03-25,,3400,100
2016-03-26,,3400,100
2016-03-27,,3400,100
2016-03-28,,3400,100
2016-03-29,,3500,100
2016-03-30,,3500,100
2016-03-31,,3500,100
2016-04-01,,3500,100
2016-04-02,,3500,100
2016-04-03,,3500,100
2016-04-04,,3500,200
2016-04-05,,3500,200
2016-04-06,,3500,200
2016-04-07,,3500,200
2016-04-08,,3500,200
2016-04-09,,3500,200
2016-04-10,,3500,200
2016-04-11,,3600,200
2016-04-12,,3600,200
2016-04-13,,3600,200
2016-04-14,,3700,200
2016-04-15,,3700,200
2016-04-16,,3700,200
2016-04-17,,3700,200
2016-04-18,,3700,200
2016-04-19,,3700,200
2016-04-20,,3700,200
2016-04-21,,3700,200
2016-04-22,,3800,200
2016-04-23,,3900,200
2016-04-24,,3900,200
2016-04-25,,4100,200
2016-04-26,,4200,200
2016-04-27,,4200,200
2016-04-28,,4300,200
2016-04-29,,4300,200
2016-04-30,,4300,200
2016-05-01,,4400,300
2016-05-02,,4400,300
2016-05-03,,4400,300
2016-05-04,,4400,300
2016-05-05,,4400,300
2016-05-06,,4500,300
2016-05-07,,4500,300
2016-05-08,,4700,300
2016-05-09,,4800,300
2016-05-10,,4800,300
2016-05-11,,4900,300
2016-05-12,,4900,300
2016-05-13,,5000,300
2016-05-14,,5100,300
2016-05-15,,5100,300
2016-05-16,,5200,300
2016-05-17,,5200,300
2016-05-18,,5200,300
2016-05-19,,5200,300
2016-05-20,,5300,300
2016-05-21,,5400,300
2016-05-22,,5400,300
2016-05-23,,5500,300
2016-05-24,,5500,300
2016-05-25,,5600,300
2016-05-26,,5600,300
2016-05-27,,5700,300
2016-05-28,,5700,300
2016-05-29,,5700,300
2016-05-30,,5700,300
2016-05-31,,5700,300
2016-06-01,,5900,300
2016-06-02,,5900,300
2016-06-03,,5900,300
2016-06-04,,5900,300
2016-06-05,,5900,300
2016-06-06,,5900,300
2016-06-07,,5900,300
2016-06-08,,5900,300
2016-06-09,,5900,300
2016-06-10,,6000,300
2016-06-11,,6000,300
2016-06-12,,6000,300
2016-06-13,,6000,300
2016-06-14,,6000,300
2016-06-15,,6000,300
2016-06-16,,6000,300
2016-06-17,,6000,300
2016-06-18,,6000,300
2016-06-19,,6000,300
2016-06-20,,6000,300
2016-06-21,,6000,300
2016-06-22,,6000,300
2016-06-23,,6000,300
2016-06-24,,6000,300
2016-06-25,,6000,300
2016-06-26,,6000,300
2016-06-27,,6000,300
2016-06-28,,6000,300
2016-06-29,,6000,300
2016-06-30,,6100,300
2016-07-01,,6100,300
2016-07-02,,6100,300
2016-07-03,,6100,300
2016-07-04,,6100,300
2016-07-05,,6100,300
2016-07-06,,6100,300
2016-07-07,,6100,300
2016-07-08,,6100,300
2016-07-09,,6100,300
2016-07-10,,6100,300
2016-07-11,,6100,300
2016-07-12,,6100,300
2016-07-13,,6200,300
2016-07-14,,6200,300
2016-07-15,,6200,300
2016-07-16,,6200,300
2016-07-17,,6200,300
2016-07-18,,6200,300
2016-07-19,,6200,300
2016-07-20,,6200,300
2016-07-21,,6200,300
2016-07-22,,6200,300
2016-07-23,,6200,300
2016-07-24,,6200,300
2016-07-25,,6200,300
2016-07-26,,6200,300
2016-07-27,,6200,300
2016-07-28,,6200,300
2016-07-29,,6200,300
2016-07-30,,6200,300
2016-07-31,,6200,300
2016-08-01,,6200,300
2016-08-02,,6200,300
2016-08-03,,6200,300
2016-08-04,,6200,300
2016-08-05,,6200,300
2016-08-06,,6200,300
2016-08-07,,6200,300
2016-08-08,,6200,300
2016-08-09,,6200,300
2016-08-10,,6200,300
2016-08-11,,6200,300
2016-08-12,,6200,300
