Date,'',PS4 player count,
2017-05-25,,700,
2017-05-26,,42600,
2017-05-27,,100200,
2017-05-28,,137100,
2017-05-29,,171900,
2017-05-30,,204600,
2017-05-31,,233900,
2017-06-01,,262100,
2017-06-02,,293200,
2017-06-03,,325000,
2017-06-04,,355800,
2017-06-05,,381300,
2017-06-06,,405500,
2017-06-07,,428500,
2017-06-08,,451500,
2017-06-09,,475700,
2017-06-10,,500900,
2017-06-11,,523300,
2017-06-12,,545200,
2017-06-13,,562400,
2017-06-14,,580000,
2017-06-15,,596500,
2017-06-16,,615300,
2017-06-17,,637500,
2017-06-18,,656900,
2017-06-19,,673200,
2017-06-20,,688300,
2017-06-21,,704400,
2017-06-22,,719300,
2017-06-23,,735300,
2017-06-24,,755300,
2017-06-25,,774100,
2017-06-26,,790000,
2017-06-27,,804500,
2017-06-28,,817300,
2017-06-29,,831000,
2017-06-30,,846300,
2017-07-01,,861800,
2017-07-02,,876800,
2017-07-03,,891500,
2017-07-04,,902200,
2017-07-05,,912500,
2017-07-06,,922600,
2017-07-07,,934800,
2017-07-08,,947600,
2017-07-09,,959300,
2017-07-10,,970400,
2017-07-11,,981400,
2017-07-12,,991300,
2017-07-13,,1001400,
2017-07-14,,1011600,
2017-07-15,,1022700,
2017-07-16,,1034600,
2017-07-17,,1044900,
2017-07-18,,1054500,
2017-07-19,,1062500,
2017-07-20,,1071300,
2017-07-21,,1080400,
2017-07-22,,1091400,
2017-07-23,,1101200,
2017-07-24,,1109900,
2017-07-25,,1117600,
2017-07-26,,1126600,
2017-07-27,,1134600,
2017-07-28,,1145300,
2017-07-29,,1155800,
2017-07-30,,1167200,
2017-07-31,,1176700,
2017-08-01,,1185600,
2017-08-02,,1193200,
2017-08-03,,1200000,
2017-08-04,,1207700,
2017-08-05,,1216000,
2017-08-06,,1223600,
2017-08-07,,1229900,
2017-08-08,,1237600,
2017-08-09,,1243600,
2017-08-10,,1249600,
2017-08-11,,1256000,
2017-08-12,,1262800,
2017-08-13,,1269200,
2017-08-14,,1275500,
2017-08-15,,1280100,
2017-08-16,,1285500,
2017-08-17,,1290200,
2017-08-18,,1295400,
2017-08-19,,1301600,
2017-08-20,,1308100,
2017-08-21,,1313400,
2017-08-22,,1318500,
2017-08-23,,1322700,
2017-08-24,,1326900,
2017-08-25,,1331300,
2017-08-26,,1336800,
2017-08-27,,1342300,
2017-08-28,,1345900,
2017-08-29,,1349800,
2017-08-30,,1353700,
2017-08-31,,1357400,
2017-09-01,,1361200,
2017-09-02,,1367500,
2017-09-03,,1371800,
2017-09-04,,1376200,
2017-09-05,,1379900,
2017-09-06,,1382900,
2017-09-07,,1385900,
2017-09-08,,1389200,
2017-09-09,,1393000,
2017-09-10,,1397400,
2017-09-11,,1399700,
2017-09-12,,1402200,
2017-09-13,,1404600,
2017-09-14,,1407100,
2017-09-15,,1409400,
2017-09-16,,1413800,
2017-09-17,,1417300,
2017-09-18,,1419600,
2017-09-19,,1421700,
2017-09-20,,1424000,
2017-09-21,,1426600,
2017-09-22,,1429200,
2017-09-23,,1433800,
2017-09-24,,1437200,
2017-09-25,,1439800,
2017-09-26,,1441900,
2017-09-27,,1444600,
2017-09-28,,1446400,
2017-09-29,,1448500,
2017-09-30,,1452800,
2017-10-01,,1456700,
2017-10-02,,1459300,
2017-10-03,,1461000,
2017-10-04,,1463200,
2017-10-05,,1465300,
2017-10-06,,1467700,
2017-10-07,,1471000,
2017-10-08,,1475000,
2017-10-09,,1476800,
2017-10-10,,1478300,
2017-10-11,,1480400,
2017-10-12,,1483000,
2017-10-13,,1491100,
2017-10-14,,1505700,
2017-10-15,,1515800,
2017-10-16,,1521300,
2017-10-17,,1526800,
2017-10-18,,1530700,
2017-10-19,,1534700,
2017-10-20,,1539500,
2017-10-21,,1546100,
2017-10-22,,1552700,
2017-10-23,,1556900,
2017-10-24,,1560400,
2017-10-25,,1563200,
2017-10-26,,1565700,
2017-10-27,,1569100,
2017-10-28,,1574600,
2017-10-29,,1579600,
2017-10-30,,1583100,
2017-10-31,,1586000,
2017-11-01,,1588700,
2017-11-02,,1592000,
2017-11-03,,1595800,
2017-11-04,,1601100,
2017-11-05,,1606500,
2017-11-06,,1609300,
2017-11-07,,1612000,
2017-11-08,,1614000,
2017-11-09,,1616300,
2017-11-10,,1619600,
2017-11-11,,1623500,
2017-11-12,,1627500,
2017-11-13,,1630000,
2017-11-14,,1632100,
2017-11-15,,1634200,
2017-11-16,,1635900,
2017-11-17,,1638100,
2017-11-18,,1642500,
2017-11-19,,1646500,
2017-11-20,,1648300,
2017-11-21,,1651400,
2017-11-22,,1655500,
2017-11-23,,1659800,
2017-11-24,,1668700,
2017-11-25,,1678300,
2017-11-26,,1685900,
2017-11-27,,1690500,
2017-11-28,,1693800,
2017-11-29,,1696100,
2017-11-30,,1698400,
2017-12-01,,1701200,
2017-12-02,,1705400,
2017-12-03,,1709300,
2017-12-04,,1711600,
2017-12-05,,1713800,
2017-12-06,,1715400,
2017-12-07,,1717700,
2017-12-08,,1719700,
2017-12-09,,1723400,
2017-12-10,,1726600,
2017-12-11,,1728000,
2017-12-12,,1730500,
2017-12-13,,1732400,
2017-12-14,,1734100,
2017-12-15,,1735400,
2017-12-16,,1739100,
2017-12-17,,1743400,
2017-12-18,,1745900,
2017-12-19,,1749000,
2017-12-20,,1752400,
2017-12-21,,1755300,
2017-12-22,,1760200,
2017-12-23,,1768200,
2017-12-24,,1779300,
2017-12-25,,1814500,
2017-12-26,,1838800,
2017-12-27,,1857200,
2017-12-28,,1872200,
2017-12-29,,1883500,
2017-12-30,,1895400,
2017-12-31,,1904500,
2018-01-01,,1913400,
2018-01-02,,1923100,
2018-01-03,,1931100,
2018-01-04,,1938400,
2018-01-05,,1945800,
2018-01-06,,1955200,
2018-01-07,,1964100,
2018-01-08,,1969600,
2018-01-09,,1974500,
2018-01-10,,1978900,
2018-01-11,,1983600,
2018-01-12,,1989400,
2018-01-13,,1997600,
2018-01-14,,2005300,
2018-01-15,,2012400,
2018-01-16,,2017900,
2018-01-17,,2023100,
2018-01-18,,2026900,
2018-01-19,,2033000,
2018-01-20,,2037900,
2018-01-21,,2042400,
2018-01-22,,2045200,
2018-01-23,,2047900,
2018-01-24,,2050100,
2018-01-25,,2052600,
2018-01-26,,2055100,
2018-01-27,,2059500,
2018-01-28,,2064200,
2018-01-29,,2065900,
2018-01-30,,2068400,
2018-01-31,,2070700,
2018-02-01,,2072700,
2018-02-02,,2075500,
2018-02-03,,2078800,
2018-02-04,,2083400,
2018-02-05,,2085700,
2018-02-06,,2087800,
2018-02-07,,2089400,
2018-02-08,,2091500,
2018-02-09,,2093700,
2018-02-10,,2098300,
2018-02-11,,2103200,
2018-02-12,,2106000,
2018-02-13,,2108000,
2018-02-14,,2110300,
2018-02-15,,2112800,
