Date,'',PS4 player count,
2016-07-05,,12500,
2016-07-06,,42800,
2016-07-07,,74800,
2016-07-08,,106000,
2016-07-09,,136200,
2016-07-10,,166400,
2016-07-11,,193800,
2016-07-12,,218500,
2016-07-13,,238500,
2016-07-14,,259400,
2016-07-15,,277100,
2016-07-16,,297000,
2016-07-17,,317100,
2016-07-18,,334000,
2016-07-19,,350900,
2016-07-20,,364800,
2016-07-21,,379600,
2016-07-22,,395000,
2016-07-23,,408600,
2016-07-24,,422800,
2016-07-25,,435000,
2016-07-26,,446800,
2016-07-27,,458600,
2016-07-28,,471700,
2016-07-29,,482400,
2016-07-30,,496100,
2016-07-31,,509200,
2016-08-01,,520700,
2016-08-02,,534400,
2016-08-03,,544900,
2016-08-04,,554400,
2016-08-05,,564600,
2016-08-06,,574800,
2016-08-07,,584400,
2016-08-08,,591800,
2016-08-09,,601100,
2016-08-10,,609500,
2016-08-11,,617100,
2016-08-12,,624000,
2016-08-13,,631600,
2016-08-14,,639600,
2016-08-15,,645400,
2016-08-16,,650900,
2016-08-17,,656800,
2016-08-18,,661700,
2016-08-19,,667500,
2016-08-20,,673300,
2016-08-21,,679300,
2016-08-22,,684000,
2016-08-23,,688200,
2016-08-24,,692600,
2016-08-25,,696900,
2016-08-26,,701600,
2016-08-27,,706500,
2016-08-28,,711500,
2016-08-29,,715400,
2016-08-30,,720000,
2016-08-31,,723700,
2016-09-01,,727100,
2016-09-02,,730500,
2016-09-03,,735900,
2016-09-04,,740100,
2016-09-05,,743700,
2016-09-06,,747300,
2016-09-07,,751400,
2016-09-08,,756100,
2016-09-09,,760200,
2016-09-10,,764700,
2016-09-11,,770000,
2016-09-12,,773300,
2016-09-13,,778800,
2016-09-14,,784700,
2016-09-15,,789000,
2016-09-16,,794400,
2016-09-17,,800500,
2016-09-18,,805400,
2016-09-19,,808700,
2016-09-20,,812600,
2016-09-21,,815300,
2016-09-22,,817800,
2016-09-23,,821100,
2016-09-24,,825000,
2016-09-25,,828200,
2016-09-26,,830800,
2016-09-27,,833200,
2016-09-28,,835700,
2016-09-29,,838000,
2016-09-30,,840400,
2016-10-01,,843700,
2016-10-02,,846500,
2016-10-03,,849000,
2016-10-04,,851200,
2016-10-05,,853400,
2016-10-06,,855800,
2016-10-07,,857500,
2016-10-08,,860400,
2016-10-09,,863200,
2016-10-10,,864800,
2016-10-11,,867100,
2016-10-12,,869400,
2016-10-13,,871500,
2016-10-14,,874100,
2016-10-15,,876400,
2016-10-16,,879000,
2016-10-17,,880600,
2016-10-18,,882500,
2016-10-19,,884200,
2016-10-20,,885700,
2016-10-21,,887400,
2016-10-22,,889500,
2016-10-23,,891900,
2016-10-24,,893200,
2016-10-25,,895000,
2016-10-26,,896200,
2016-10-27,,897700,
2016-10-28,,899400,
2016-10-29,,900900,
2016-10-30,,903000,
2016-10-31,,903800,
2016-11-01,,905200,
2016-11-02,,906900,
2016-11-03,,908100,
2016-11-04,,909600,
2016-11-05,,911400,
2016-11-06,,912600,
2016-11-07,,913500,
2016-11-08,,914600,
2016-11-09,,915300,
2016-11-10,,916600,
2016-11-11,,917600,
2016-11-12,,919600,
2016-11-13,,920700,
2016-11-14,,921900,
2016-11-15,,922800,
2016-11-16,,923800,
2016-11-17,,925000,
2016-11-18,,926000,
2016-11-19,,927900,
2016-11-20,,929600,
2016-11-21,,930400,
2016-11-22,,931300,
2016-11-23,,932400,
2016-11-24,,933500,
2016-11-25,,934800,
2016-11-26,,936900,
2016-11-27,,938400,
2016-11-28,,939800,
2016-11-29,,940700,
2016-11-30,,942200,
2016-12-01,,943700,
2016-12-02,,945400,
2016-12-03,,946800,
2016-12-04,,948800,
2016-12-05,,950100,
2016-12-06,,951200,
2016-12-07,,952000,
2016-12-08,,953000,
2016-12-09,,953800,
2016-12-10,,955800,
2016-12-11,,956900,
2016-12-12,,957900,
2016-12-13,,959000,
2016-12-14,,959900,
2016-12-15,,960900,
2016-12-16,,962000,
2016-12-17,,963400,
2016-12-18,,964600,
2016-12-19,,965600,
2016-12-20,,966800,
2016-12-21,,968000,
2016-12-22,,969000,
2016-12-23,,970200,
2016-12-24,,971700,
2016-12-25,,973600,
2016-12-26,,975000,
2016-12-27,,976100,
2016-12-28,,977400,
2016-12-29,,978700,
2016-12-30,,980200,
2016-12-31,,980900,
2017-01-01,,982000,
2017-01-02,,983400,
2017-01-03,,984900,
2017-01-04,,986100,
2017-01-05,,987000,
2017-01-06,,987700,
2017-01-07,,988800,
2017-01-08,,989900,
2017-01-09,,990800,
2017-01-10,,991700,
2017-01-11,,992700,
2017-01-12,,993700,
2017-01-13,,994300,
2017-01-14,,995300,
2017-01-15,,996300,
2017-01-16,,997100,
2017-01-17,,997800,
2017-01-18,,998300,
2017-01-19,,999200,
2017-01-20,,1000200,
2017-01-21,,1001500,
2017-01-22,,1002700,
2017-01-23,,1003700,
2017-01-24,,1004200,
2017-01-25,,1004800,
2017-01-26,,1005700,
2017-01-27,,1006300,
2017-01-28,,1006900,
2017-01-29,,1008000,
2017-01-30,,1008800,
2017-01-31,,1009800,
2017-02-01,,1010500,
2017-02-02,,1011200,
2017-02-03,,1012100,
2017-02-04,,1013000,
2017-02-05,,1014000,
2017-02-06,,1014400,
2017-02-07,,1015000,
2017-02-08,,1015600,
2017-02-09,,1016400,
2017-02-10,,1017000,
2017-02-11,,1017800,
2017-02-12,,1018600,
2017-02-13,,1019300,
2017-02-14,,1019800,
2017-02-15,,1020400,
2017-02-16,,1020800,
2017-02-17,,1021200,
2017-02-18,,1021800,
2017-02-19,,1023000,
2017-02-20,,1023800,
2017-02-21,,1024600,
2017-02-22,,1025000,
2017-02-23,,1025700,
2017-02-24,,1026400,
2017-02-25,,1027100,
2017-02-26,,1028300,
2017-02-27,,1028900,
2017-02-28,,1029400,
2017-03-01,,1030100,
2017-03-02,,1030900,
2017-03-03,,1031100,
2017-03-04,,1031700,
2017-03-05,,1032400,
2017-03-06,,1032900,
2017-03-07,,1033400,
2017-03-08,,1033800,
2017-03-09,,1034400,
2017-03-10,,1035000,
2017-03-11,,1035900,
2017-03-12,,1036500,
2017-03-13,,1037300,
2017-03-14,,1037700,
2017-03-15,,1038000,
2017-03-16,,1038300,
2017-03-17,,1038700,
2017-03-18,,1039400,
2017-03-19,,1040000,
2017-03-20,,1040600,
2017-03-21,,1041300,
2017-03-22,,1041400,
2017-03-23,,1042100,
2017-03-24,,1042300,
2017-03-25,,1043500,
2017-03-26,,1044500,
2017-03-27,,1044900,
2017-03-28,,1045000,
2017-03-29,,1045600,
2017-03-30,,1046000,
2017-03-31,,1046400,
2017-04-01,,1047300,
2017-04-02,,1047800,
2017-04-03,,1048200,
2017-04-04,,1048500,
2017-04-05,,1049200,
2017-04-06,,1049600,
2017-04-07,,1050300,
2017-04-08,,1050800,
2017-04-09,,1051600,
2017-04-10,,1051900,
2017-04-11,,1052500,
2017-04-12,,1052800,
2017-04-13,,1053100,
2017-04-14,,1053700,
2017-04-15,,1054100,
2017-04-16,,1054600,
2017-04-17,,1055400,
2017-04-18,,1056000,
2017-04-19,,1056200,
2017-04-20,,1056600,
2017-04-21,,1056900,
