Date,'',PS4 player count,
2015-08-04,,500,
2015-08-05,,1400,
2015-08-06,,1900,
2015-08-07,,2800,
2015-08-08,,3200,
2015-08-09,,4300,
2015-08-10,,5100,
2015-08-11,,5600,
2015-08-12,,6200,
2015-08-13,,6700,
2015-08-14,,7000,
2015-08-15,,7600,
2015-08-16,,8100,
2015-08-17,,8700,
2015-08-18,,9300,
2015-08-19,,9600,
2015-08-20,,9700,
2015-08-21,,10000,
2015-08-22,,10600,
2015-08-23,,10700,
2015-08-24,,11100,
2015-08-25,,11200,
2015-08-26,,11500,
2015-08-27,,11800,
2015-08-28,,12100,
2015-08-29,,12400,
2015-08-30,,12700,
2015-08-31,,12900,
2015-09-01,,13200,
2015-09-02,,13300,
2015-09-03,,13400,
2015-09-04,,13600,
2015-09-05,,13800,
2015-09-06,,14200,
2015-09-07,,14300,
2015-09-08,,14400,
2015-09-09,,14500,
2015-09-10,,14500,
2015-09-11,,14500,
2015-09-12,,14700,
2015-09-13,,14800,
2015-09-14,,14800,
2015-09-15,,14900,
2015-09-16,,14900,
2015-09-17,,14900,
2015-09-18,,14900,
2015-09-19,,15100,
2015-09-20,,15100,
2015-09-21,,15200,
2015-09-22,,15300,
2015-09-23,,15300,
2015-09-24,,15300,
2015-09-25,,15300,
2015-09-26,,15400,
2015-09-27,,15500,
2015-09-28,,15500,
2015-09-29,,15500,
2015-09-30,,15500,
2015-10-01,,15700,
2015-10-02,,15700,
2015-10-03,,15800,
2015-10-04,,15900,
2015-10-05,,16000,
2015-10-06,,16100,
2015-10-07,,16100,
2015-10-08,,16200,
2015-10-09,,16200,
2015-10-10,,16300,
2015-10-11,,16300,
2015-10-12,,16300,
2015-10-13,,16300,
2015-10-14,,16400,
2015-10-15,,16400,
2015-10-16,,16500,
2015-10-17,,16500,
2015-10-18,,16600,
2015-10-19,,16600,
2015-10-20,,16600,
2015-10-21,,16600,
2015-10-22,,16600,
2015-10-23,,16700,
2015-10-24,,16700,
2015-10-25,,16700,
2015-10-26,,16700,
2015-10-27,,16700,
2015-10-28,,16700,
2015-10-29,,16700,
2015-10-30,,16800,
2015-10-31,,16800,
2015-11-01,,16800,
2015-11-02,,16800,
2015-11-03,,16800,
2015-11-04,,16900,
2015-11-05,,16900,
2015-11-06,,16900,
2015-11-07,,17000,
2015-11-08,,17100,
2015-11-09,,17100,
2015-11-10,,17100,
2015-11-11,,17100,
2015-11-12,,17100,
2015-11-13,,17200,
2015-11-14,,17200,
2015-11-15,,17200,
2015-11-16,,17200,
2015-11-17,,17200,
2015-11-18,,17300,
2015-11-19,,17300,
2015-11-20,,17400,
2015-11-21,,17400,
2015-11-22,,17400,
2015-11-23,,17400,
2015-11-24,,17400,
2015-11-25,,17400,
2015-11-26,,17500,
2015-11-27,,17500,
2015-11-28,,17600,
2015-11-29,,17600,
2015-11-30,,17600,
2015-12-01,,17600,
2015-12-02,,17600,
2015-12-03,,17800,
2015-12-04,,17800,
2015-12-05,,17800,
2015-12-06,,17800,
2015-12-07,,17800,
2015-12-08,,17800,
2015-12-09,,17900,
2015-12-10,,17900,
2015-12-11,,18000,
2015-12-12,,18000,
2015-12-13,,18000,
2015-12-14,,18000,
2015-12-15,,18000,
2015-12-16,,18000,
2015-12-17,,18200,
2015-12-18,,18200,
2015-12-19,,18200,
2015-12-20,,18300,
2015-12-21,,18300,
2015-12-22,,18400,
2015-12-23,,18400,
2015-12-24,,18500,
2015-12-25,,18600,
2015-12-26,,18600,
2015-12-27,,18700,
2015-12-28,,18700,
2015-12-29,,18700,
2015-12-30,,18700,
2015-12-31,,18700,
2016-01-01,,18800,
2016-01-02,,18800,
2016-01-03,,18800,
2016-01-04,,18800,
2016-01-05,,18900,
2016-01-06,,18900,
2016-01-07,,19000,
2016-01-08,,19100,
2016-01-09,,19200,
2016-01-10,,19200,
2016-01-11,,19200,
2016-01-12,,19200,
2016-01-13,,19300,
2016-01-14,,19300,
2016-01-15,,19300,
2016-01-16,,19400,
2016-01-17,,19400,
2016-01-18,,19500,
2016-01-19,,19500,
2016-01-20,,19500,
2016-01-21,,19500,
2016-01-22,,19500,
2016-01-23,,19600,
2016-01-24,,19600,
2016-01-25,,19600,
2016-01-26,,19600,
2016-01-27,,19600,
2016-01-28,,19600,
2016-01-29,,19600,
2016-01-30,,19700,
2016-01-31,,19700,
2016-02-01,,19700,
2016-02-02,,19700,
2016-02-03,,19700,
2016-02-04,,19800,
2016-02-05,,19800,
2016-02-06,,19800,
2016-02-07,,19800,
2016-02-08,,19800,
2016-02-09,,19800,
2016-02-10,,19800,
2016-02-11,,19800,
2016-02-12,,19800,
2016-02-13,,19800,
2016-02-14,,19800,
2016-02-15,,19800,
2016-02-16,,19900,
2016-02-17,,19900,
2016-02-18,,19900,
2016-02-19,,19900,
2016-02-20,,19900,
2016-02-21,,19900,
2016-02-22,,20000,
2016-02-23,,20000,
2016-02-24,,20000,
2016-02-25,,20100,
2016-02-26,,20100,
2016-02-27,,20100,
2016-02-28,,20100,
2016-02-29,,20100,
2016-03-01,,26100,
2016-03-02,,41100,
2016-03-03,,56600,
2016-03-04,,73400,
2016-03-05,,92900,
2016-03-06,,111300,
2016-03-07,,124000,
2016-03-08,,136800,
2016-03-09,,147300,
2016-03-10,,159000,
2016-03-11,,170300,
2016-03-12,,187000,
2016-03-13,,200300,
2016-03-14,,209500,
2016-03-15,,218400,
2016-03-16,,227100,
2016-03-17,,236600,
2016-03-18,,245900,
2016-03-19,,256000,
2016-03-20,,267400,
2016-03-21,,275600,
2016-03-22,,285200,
2016-03-23,,293800,
2016-03-24,,301600,
2016-03-25,,310700,
2016-03-26,,320500,
2016-03-27,,330200,
2016-03-28,,339000,
2016-03-29,,346500,
2016-03-30,,353300,
2016-03-31,,359700,
2016-04-01,,367400,
2016-04-02,,375700,
2016-04-03,,384500,
2016-04-04,,390100,
2016-04-05,,396500,
2016-04-06,,403000,
2016-04-07,,408700,
2016-04-08,,414900,
2016-04-09,,422300,
2016-04-10,,428400,
2016-04-11,,432200,
2016-04-12,,435600,
2016-04-13,,439200,
2016-04-14,,442500,
2016-04-15,,446100,
2016-04-16,,450600,
2016-04-17,,454500,
2016-04-18,,458000,
2016-04-19,,460800,
2016-04-20,,463500,
2016-04-21,,465300,
2016-04-22,,468000,
2016-04-23,,471300,
2016-04-24,,475100,
2016-04-25,,477500,
2016-04-26,,479300,
2016-04-27,,481500,
2016-04-28,,483400,
2016-04-29,,486300,
2016-04-30,,489200,
2016-05-01,,491600,
2016-05-02,,493600,
2016-05-03,,495200,
2016-05-04,,497300,
2016-05-05,,499100,
2016-05-06,,501300,
2016-05-07,,504200,
2016-05-08,,506300,
2016-05-09,,507500,
2016-05-10,,508700,
2016-05-11,,510500,
2016-05-12,,512300,
2016-05-13,,514000,
2016-05-14,,516700,
2016-05-15,,520200,
2016-05-16,,522300,
2016-05-17,,523600,
2016-05-18,,525300,
2016-05-19,,526800,
2016-05-20,,528000,
2016-05-21,,529900,
2016-05-22,,532100,
2016-05-23,,533400,
2016-05-24,,535100,
2016-05-25,,536200,
2016-05-26,,537400,
2016-05-27,,538600,
2016-05-28,,540000,
2016-05-29,,541600,
2016-05-30,,543600,
2016-05-31,,544900,
2016-06-01,,546300,
2016-06-02,,547400,
2016-06-03,,549000,
2016-06-04,,550100,
2016-06-05,,551200,
2016-06-06,,552100,
2016-06-07,,553200,
2016-06-08,,554300,
2016-06-09,,555200,
2016-06-10,,556600,
2016-06-11,,558200,
2016-06-12,,559900,
2016-06-13,,560700,
2016-06-14,,561700,
2016-06-15,,562800,
2016-06-16,,564000,
2016-06-17,,564700,
2016-06-18,,566000,
2016-06-19,,567200,
2016-06-20,,568100,
2016-06-21,,569200,
2016-06-22,,569900,
2016-06-23,,570800,
2016-06-24,,571700,
2016-06-25,,573100,
2016-06-26,,574600,
2016-06-27,,575400,
2016-06-28,,576300,
2016-06-29,,577000,
2016-06-30,,577900,
2016-07-01,,578700,
2016-07-02,,580100,
2016-07-03,,580900,
2016-07-04,,582000,
2016-07-05,,582500,
2016-07-06,,583400,
2016-07-07,,584300,
2016-07-08,,584900,
2016-07-09,,586100,
2016-07-10,,587000,
2016-07-11,,587600,
2016-07-12,,588300,
2016-07-13,,589000,
2016-07-14,,589500,
2016-07-15,,590000,
2016-07-16,,590800,
2016-07-17,,591800,
2016-07-18,,592700,
2016-07-19,,593300,
2016-07-20,,594000,
2016-07-21,,594700,
2016-07-22,,595200,
2016-07-23,,596100,
2016-07-24,,596800,
2016-07-25,,597600,
2016-07-26,,597900,
