Date,PS3 player count,'',
2012-05-10,100,,
2012-05-11,100,,
2012-05-12,100,,
2012-05-13,100,,
2012-05-14,100,,
2012-05-15,200,,
2012-05-16,600,,
2012-05-17,700,,
2012-05-18,1000,,
2012-05-19,1200,,
2012-05-20,1700,,
2012-05-21,2100,,
2012-05-22,2200,,
2012-05-23,2600,,
2012-05-24,2900,,
2012-05-25,2900,,
2012-05-26,3300,,
2012-05-27,3500,,
2012-05-28,3700,,
2012-05-29,3700,,
2012-05-30,4000,,
2012-05-31,4100,,
2012-06-01,4300,,
2012-06-02,4400,,
2012-06-03,4500,,
2012-06-04,4700,,
2012-06-05,5000,,
2012-06-06,5300,,
2012-06-07,5600,,
2012-06-08,6000,,
2012-06-09,6200,,
2012-06-10,6500,,
2012-06-11,6900,,
2012-06-12,7300,,
2012-06-13,7600,,
2012-06-14,7800,,
2012-06-15,8000,,
2012-06-16,8200,,
2012-06-17,8800,,
2012-06-18,9100,,
2012-06-19,9400,,
2012-06-20,9700,,
2012-06-21,10000,,
2012-06-22,10300,,
2012-06-23,10700,,
2012-06-24,11300,,
2012-06-25,11500,,
2012-06-26,11700,,
2012-06-27,11800,,
2012-06-28,12100,,
2012-06-29,12200,,
2012-06-30,12600,,
2012-07-01,13100,,
2012-07-02,13500,,
2012-07-03,13900,,
2012-07-04,14100,,
2012-07-05,14200,,
2012-07-06,14300,,
2012-07-07,14900,,
2012-07-08,15300,,
2012-07-09,15500,,
2012-07-10,15900,,
2012-07-11,16100,,
2012-07-12,16300,,
2012-07-13,16500,,
2012-07-14,16800,,
2012-07-15,17400,,
2012-07-16,17600,,
2012-07-17,17900,,
2012-07-18,18000,,
2012-07-19,18200,,
2012-07-20,18200,,
2012-07-21,18800,,
2012-07-22,18800,,
2012-07-23,19200,,
2012-07-24,19500,,
2012-07-25,19600,,
2012-07-26,19800,,
2012-07-27,19900,,
2012-07-28,20000,,
2012-07-29,20300,,
2012-07-30,20500,,
2012-07-31,20700,,
2012-08-01,21100,,
2012-08-02,21300,,
2012-08-03,21600,,
2012-08-04,22100,,
2012-08-05,22200,,
2012-08-06,22400,,
2012-08-07,22800,,
2012-08-08,23100,,
2012-08-09,23400,,
2012-08-10,23700,,
2012-08-11,24000,,
2012-08-12,24400,,
2012-08-13,24600,,
2012-08-14,24800,,
2012-08-15,25200,,
2012-08-16,25200,,
2012-08-17,25600,,
2012-08-18,25700,,
2012-08-19,26000,,
2012-08-20,26000,,
2012-08-21,26400,,
2012-08-22,26400,,
2012-08-23,26600,,
2012-08-24,26800,,
2012-08-25,27000,,
2012-08-26,27400,,
2012-08-27,27700,,
2012-08-28,27800,,
2012-08-29,28200,,
2012-08-30,28400,,
2012-08-31,28600,,
2012-09-01,28900,,
2012-09-02,29000,,
2012-09-03,29400,,
2012-09-04,29500,,
2012-09-05,29700,,
2012-09-06,30000,,
2012-09-07,30300,,
2012-09-08,30700,,
2012-09-09,30900,,
2012-09-10,31000,,
2012-09-11,31000,,
2012-09-12,31300,,
2012-09-13,31400,,
2012-09-14,31500,,
2012-09-15,31500,,
2012-09-16,31900,,
2012-09-17,32300,,
2012-09-18,32400,,
2012-09-19,32400,,
2012-09-20,32600,,
2012-09-21,32700,,
2012-09-22,32900,,
2012-09-23,33000,,
2012-09-24,33200,,
2012-09-25,33300,,
2012-09-26,33500,,
2012-09-27,33500,,
2012-09-28,33800,,
2012-09-29,34200,,
2012-09-30,34400,,
2012-10-01,34600,,
2012-10-02,34800,,
2012-10-03,34900,,
2012-10-04,35200,,
2012-10-05,35400,,
2012-10-06,35500,,
2012-10-07,35600,,
2012-10-08,35900,,
2012-10-09,35900,,
2012-10-10,36000,,
2012-10-11,36200,,
2012-10-12,36300,,
2012-10-13,36600,,
2012-10-14,36600,,
2012-10-15,36700,,
2012-10-16,36900,,
2012-10-17,37100,,
2012-10-18,37300,,
2012-10-19,37600,,
2012-10-20,37700,,
2012-10-21,38100,,
2012-10-22,38100,,
2012-10-23,38200,,
2012-10-24,38500,,
2012-10-25,38500,,
2012-10-26,38900,,
2012-10-27,39200,,
2012-10-28,39400,,
2012-10-29,39900,,
2012-10-30,40200,,
2012-10-31,40300,,
2012-11-01,40400,,
2012-11-02,40700,,
2012-11-03,41000,,
2012-11-04,41300,,
2012-11-05,41500,,
2012-11-06,41600,,
2012-11-07,41700,,
2012-11-08,41900,,
2012-11-09,42000,,
2012-11-10,42300,,
2012-11-11,42400,,
2012-11-12,42500,,
2012-11-13,42600,,
2012-11-14,42800,,
2012-11-15,42900,,
2012-11-16,43300,,
2012-11-17,43600,,
2012-11-18,44000,,
2012-11-19,44200,,
2012-11-20,44500,,
2012-11-21,44700,,
2012-11-22,45000,,
2012-11-23,45100,,
2012-11-24,45300,,
2012-11-25,45600,,
2012-11-26,45900,,
2012-11-27,46200,,
2012-11-28,46400,,
2012-11-29,46500,,
2012-11-30,46700,,
2012-12-01,47000,,
2012-12-02,47200,,
2012-12-03,47400,,
2012-12-04,47600,,
2012-12-05,47800,,
2012-12-06,48000,,
2012-12-07,48200,,
2012-12-08,48300,,
2012-12-09,48500,,
2012-12-10,48600,,
2012-12-11,48700,,
2012-12-12,48800,,
2012-12-13,48900,,
2012-12-14,49100,,
2012-12-15,49300,,
2012-12-16,49500,,
2012-12-17,49500,,
2012-12-18,49700,,
2012-12-19,49700,,
2012-12-20,49700,,
2012-12-21,50000,,
2012-12-22,50300,,
2012-12-23,50700,,
2012-12-24,50800,,
2012-12-25,51100,,
2012-12-26,51500,,
2012-12-27,51800,,
2012-12-28,52300,,
2012-12-29,52500,,
2012-12-30,53100,,
2012-12-31,53200,,
2013-01-01,53800,,
2013-01-02,54300,,
2013-01-03,54500,,
2013-01-04,54800,,
2013-01-05,55000,,
2013-01-06,55400,,
2013-01-07,55600,,
2013-01-08,55900,,
2013-01-09,56100,,
2013-01-10,56400,,
2013-01-11,56600,,
2013-01-12,56900,,
2013-01-13,57300,,
2013-01-14,57600,,
2013-01-15,57700,,
2013-01-16,57800,,
2013-01-17,58100,,
2013-01-18,58300,,
2013-01-19,58600,,
2013-01-20,59000,,
2013-01-21,59100,,
2013-01-22,59300,,
2013-01-23,59500,,
2013-01-24,59500,,
2013-01-25,59800,,
2013-01-26,60000,,
2013-01-27,60400,,
2013-01-28,60600,,
2013-01-29,60700,,
2013-01-30,60900,,
2013-01-31,61000,,
2013-02-01,61400,,
2013-02-02,61500,,
2013-02-03,61900,,
2013-02-04,62200,,
2013-02-05,62400,,
2013-02-06,62500,,
2013-02-07,62700,,
2013-02-08,62900,,
2013-02-09,63200,,
2013-02-10,63500,,
2013-02-11,63700,,
2013-02-12,63900,,
2013-02-13,64300,,
2013-02-14,64300,,
2013-02-15,64600,,
2013-02-16,64800,,
2013-02-17,65000,,
2013-02-18,65300,,
2013-02-19,65400,,
2013-02-20,65500,,
2013-02-21,65600,,
2013-02-22,65800,,
2013-02-23,66000,,
2013-02-24,66200,,
2013-02-25,66200,,
2013-02-26,66500,,
2013-02-27,66600,,
2013-02-28,66800,,
2013-03-01,66900,,
2013-03-02,67200,,
2013-03-03,67300,,
2013-03-04,67400,,
2013-03-05,67500,,
2013-03-06,67600,,
2013-03-07,67800,,
2013-03-08,68300,,
2013-03-09,68400,,
2013-03-10,68900,,
2013-03-11,69200,,
2013-03-12,69200,,
2013-03-13,69500,,
2013-03-14,69700,,
2013-03-15,70000,,
2013-03-16,70100,,
2013-03-17,70400,,
