Date,'',PS4 player count,
2015-08-11,,400,
2015-08-12,,1200,
2015-08-13,,1900,
2015-08-14,,2700,
2015-08-15,,3900,
2015-08-16,,4800,
2015-08-17,,5500,
2015-08-18,,6600,
2015-08-19,,7500,
2015-08-20,,8300,
2015-08-21,,9100,
2015-08-22,,9900,
2015-08-23,,11000,
2015-08-24,,11600,
2015-08-25,,12600,
2015-08-26,,13100,
2015-08-27,,14000,
2015-08-28,,14700,
2015-08-29,,15300,
2015-08-30,,16300,
2015-08-31,,17000,
2015-09-01,,17700,
2015-09-02,,18000,
2015-09-03,,18400,
2015-09-04,,18700,
2015-09-05,,19400,
2015-09-06,,19900,
2015-09-07,,20300,
2015-09-08,,20800,
2015-09-09,,21000,
2015-09-10,,21300,
2015-09-11,,21400,
2015-09-12,,21800,
2015-09-13,,22500,
2015-09-14,,22700,
2015-09-15,,22900,
2015-09-16,,23100,
2015-09-17,,23400,
2015-09-18,,23600,
2015-09-19,,24100,
2015-09-20,,24800,
2015-09-21,,24900,
2015-09-22,,25200,
2015-09-23,,25400,
2015-09-24,,25600,
2015-09-25,,26000,
2015-09-26,,26600,
2015-09-27,,26900,
2015-09-28,,27000,
2015-09-29,,27200,
2015-09-30,,27300,
2015-10-01,,27400,
2015-10-02,,27700,
2015-10-03,,28100,
2015-10-04,,28400,
2015-10-05,,28500,
2015-10-06,,28800,
2015-10-07,,29000,
2015-10-08,,29200,
2015-10-09,,29300,
2015-10-10,,29400,
2015-10-11,,29800,
2015-10-12,,30100,
2015-10-13,,30200,
2015-10-14,,30400,
2015-10-15,,30600,
2015-10-16,,30900,
2015-10-17,,31100,
2015-10-18,,31600,
2015-10-19,,32000,
2015-10-20,,32200,
2015-10-21,,32300,
2015-10-22,,32500,
2015-10-23,,32600,
2015-10-24,,32900,
2015-10-25,,33000,
2015-10-26,,33200,
2015-10-27,,33500,
2015-10-28,,33600,
2015-10-29,,33700,
2015-10-30,,33900,
2015-10-31,,34000,
2015-11-01,,34400,
2015-11-02,,34500,
2015-11-03,,34600,
2015-11-04,,34900,
2015-11-05,,34900,
2015-11-06,,35200,
2015-11-07,,35400,
2015-11-08,,35500,
2015-11-09,,35800,
2015-11-10,,36100,
2015-11-11,,36300,
2015-11-12,,36500,
2015-11-13,,36700,
2015-11-14,,37200,
2015-11-15,,37300,
2015-11-16,,37500,
2015-11-17,,37700,
2015-11-18,,37800,
2015-11-19,,37800,
2015-11-20,,38100,
2015-11-21,,38400,
2015-11-22,,38400,
2015-11-23,,38500,
2015-11-24,,38600,
2015-11-25,,38800,
2015-11-26,,38900,
2015-11-27,,39000,
2015-11-28,,39200,
2015-11-29,,39300,
2015-11-30,,39400,
2015-12-01,,44100,
2015-12-02,,60700,
2015-12-03,,83400,
2015-12-04,,110000,
2015-12-05,,147100,
2015-12-06,,187100,
2015-12-07,,214700,
2015-12-08,,242800,
2015-12-09,,269200,
2015-12-10,,291200,
2015-12-11,,314000,
2015-12-12,,342600,
2015-12-13,,373700,
2015-12-14,,395200,
2015-12-15,,418100,
2015-12-16,,440000,
2015-12-17,,459900,
2015-12-18,,482200,
2015-12-19,,509000,
2015-12-20,,536100,
2015-12-21,,558900,
2015-12-22,,583700,
2015-12-23,,608500,
2015-12-24,,633300,
2015-12-25,,662300,
2015-12-26,,692400,
2015-12-27,,721100,
2015-12-28,,751400,
2015-12-29,,778000,
2015-12-30,,803500,
2015-12-31,,828100,
2016-01-01,,853500,
2016-01-02,,882000,
2016-01-03,,909800,
2016-01-04,,926200,
2016-01-05,,944800,
2016-01-06,,961500,
2016-01-07,,976900,
2016-01-08,,992600,
2016-01-09,,1010100,
2016-01-10,,1027700,
2016-01-11,,1040000,
2016-01-12,,1049700,
2016-01-13,,1060700,
2016-01-14,,1068700,
2016-01-15,,1079000,
2016-01-16,,1091700,
2016-01-17,,1104400,
2016-01-18,,1113900,
2016-01-19,,1121200,
2016-01-20,,1128500,
2016-01-21,,1135200,
2016-01-22,,1142800,
2016-01-23,,1153700,
2016-01-24,,1164100,
2016-01-25,,1171000,
2016-01-26,,1177700,
2016-01-27,,1184200,
2016-01-28,,1189900,
2016-01-29,,1196100,
2016-01-30,,1205400,
2016-01-31,,1214800,
2016-02-01,,1221000,
2016-02-02,,1226900,
2016-02-03,,1233500,
2016-02-04,,1238800,
2016-02-05,,1244800,
2016-02-06,,1253800,
2016-02-07,,1260600,
2016-02-08,,1265200,
2016-02-09,,1269500,
2016-02-10,,1274000,
2016-02-11,,1278500,
2016-02-12,,1283500,
2016-02-13,,1289500,
2016-02-14,,1295600,
2016-02-15,,1300600,
2016-02-16,,1304200,
2016-02-17,,1308300,
2016-02-18,,1311800,
2016-02-19,,1316200,
2016-02-20,,1321300,
2016-02-21,,1325700,
2016-02-22,,1329000,
2016-02-23,,1332400,
2016-02-24,,1335800,
2016-02-25,,1339300,
2016-02-26,,1342800,
2016-02-27,,1347500,
2016-02-28,,1352100,
2016-02-29,,1355500,
2016-03-01,,1358700,
2016-03-02,,1362600,
2016-03-03,,1365400,
2016-03-04,,1368400,
2016-03-05,,1373100,
2016-03-06,,1377100,
2016-03-07,,1380000,
2016-03-08,,1382700,
2016-03-09,,1385800,
2016-03-10,,1388600,
2016-03-11,,1390900,
2016-03-12,,1394800,
2016-03-13,,1398800,
2016-03-14,,1401800,
2016-03-15,,1404000,
2016-03-16,,1406500,
