Date,PS3 player count,PS4 player count,
2015-08-11,0,400,
2015-08-12,500,2300,
2015-08-13,1000,4700,
2015-08-14,1700,7300,
2015-08-15,2600,10500,
2015-08-16,3400,13300,
2015-08-17,4500,15800,
2015-08-18,5100,18300,
2015-08-19,5600,20700,
2015-08-20,6300,22800,
2015-08-21,6700,24400,
2015-08-22,7200,27300,
2015-08-23,7900,29900,
2015-08-24,8700,31700,
2015-08-25,9100,33800,
2015-08-26,9400,35800,
2015-08-27,9600,37200,
2015-08-28,10100,39300,
2015-08-29,10600,41800,
2015-08-30,11200,43700,
2015-08-31,11300,45100,
2015-09-01,11800,46400,
2015-09-02,12200,48400,
2015-09-03,12500,49600,
2015-09-04,12800,51000,
2015-09-05,13500,52700,
2015-09-06,14000,54200,
2015-09-07,14400,55600,
2015-09-08,14700,57000,
2015-09-09,15000,57900,
2015-09-10,15300,58600,
2015-09-11,15700,59800,
2015-09-12,16100,61400,
2015-09-13,16800,62700,
2015-09-14,17100,63100,
2015-09-15,17400,63900,
2015-09-16,17700,64400,
2015-09-17,18000,65000,
2015-09-18,18400,66000,
2015-09-19,19000,67400,
2015-09-20,19300,69000,
2015-09-21,19400,69700,
2015-09-22,19700,70300,
2015-09-23,20000,71000,
2015-09-24,20100,72200,
2015-09-25,20400,72800,
2015-09-26,20700,73900,
2015-09-27,21100,74600,
2015-09-28,21200,75200,
2015-09-29,21400,75600,
2015-09-30,21700,76200,
2015-10-01,21900,77100,
2015-10-02,22300,77900,
2015-10-03,22700,78800,
2015-10-04,23100,79700,
2015-10-05,23500,80300,
2015-10-06,23500,80700,
2015-10-07,23800,81600,
2015-10-08,24100,82900,
2015-10-09,24500,84100,
2015-10-10,25300,85200,
2015-10-11,25800,86800,
2015-10-12,26300,87800,
2015-10-13,26500,88700,
2015-10-14,26700,89700,
2015-10-15,27000,90600,
2015-10-16,27100,92000,
2015-10-17,27900,93100,
2015-10-18,28500,95300,
2015-10-19,28900,96400,
2015-10-20,29200,97500,
2015-10-21,29300,98500,
2015-10-22,29700,99700,
2015-10-23,30000,100500,
2015-10-24,30600,102100,
2015-10-25,31000,103600,
2015-10-26,31200,104400,
2015-10-27,31600,105200,
2015-10-28,31800,105700,
2015-10-29,32000,106400,
2015-10-30,32100,107500,
2015-10-31,32800,108800,
2015-11-01,33000,109800,
2015-11-02,33400,110500,
2015-11-03,33800,111400,
2015-11-04,34100,112000,
2015-11-05,34600,112900,
2015-11-06,35000,113500,
2015-11-07,35500,114700,
2015-11-08,35900,115700,
2015-11-09,36000,116100,
2015-11-10,36200,116800,
2015-11-11,36800,117300,
2015-11-12,36900,117700,
2015-11-13,37100,118300,
2015-11-14,37400,119200,
2015-11-15,37600,119900,
2015-11-16,37800,120300,
2015-11-17,38000,121000,
2015-11-18,38200,121200,
2015-11-19,38300,121700,
2015-11-20,38600,122000,
2015-11-21,39200,122700,
2015-11-22,39700,123400,
