Date,PS3 player count,PS4 player count,
2010-03-05,100,0,
2010-03-06,200,0,
2010-03-07,300,0,
2010-03-08,300,0,
2010-03-09,400,0,
2010-03-10,500,0,
2010-03-11,800,0,
2010-03-12,1100,0,
2010-03-13,1900,0,
2010-03-14,2500,0,
2010-03-15,5700,0,
2010-03-16,44100,0,
2010-03-17,81300,0,
2010-03-18,109100,0,
2010-03-19,142200,0,
2010-03-20,179000,0,
2010-03-21,212600,0,
2010-03-22,240700,0,
2010-03-23,267700,0,
2010-03-24,292100,0,
2010-03-25,317100,0,
2010-03-26,345200,0,
2010-03-27,377200,0,
2010-03-28,408000,0,
2010-03-29,432100,0,
2010-03-30,456400,0,
2010-03-31,478600,0,
2010-04-01,496600,0,
2010-04-02,518100,0,
2010-04-03,540500,0,
2010-04-04,563000,0,
2010-04-05,584000,0,
2010-04-06,602200,0,
2010-04-07,619400,0,
2010-04-08,635000,0,
2010-04-09,652900,0,
2010-04-10,673400,0,
2010-04-11,694200,0,
2010-04-12,711400,0,
2010-04-13,724800,0,
2010-04-14,739000,0,
2010-04-15,752800,0,
2010-04-16,769100,0,
2010-04-17,787700,0,
2010-04-18,807200,0,
2010-04-19,822000,0,
2010-04-20,834800,0,
2010-04-21,848000,0,
2010-04-22,858300,0,
2010-04-23,869500,0,
2010-04-24,885400,0,
2010-04-25,900800,0,
2010-04-26,911400,0,
2010-04-27,923000,0,
2010-04-28,934000,0,
2010-04-29,944900,0,
2010-04-30,956300,0,
2010-05-01,974000,0,
2010-05-02,990200,0,
2010-05-03,1001500,0,
2010-05-04,1011700,0,
2010-05-05,1022100,0,
2010-05-06,1032200,0,
2010-05-07,1043300,0,
2010-05-08,1056400,0,
2010-05-09,1069800,0,
2010-05-10,1080300,0,
2010-05-11,1089000,0,
2010-05-12,1099700,0,
2010-05-13,1110700,0,
2010-05-14,1122000,0,
2010-05-15,1135500,0,
2010-05-16,1149200,0,
2010-05-17,1159500,0,
2010-05-18,1169700,0,
2010-05-19,1179600,0,
2010-05-20,1189800,0,
2010-05-21,1200900,0,
2010-05-22,1214000,0,
2010-05-23,1227000,0,
2010-05-24,1235400,0,
2010-05-25,1244800,0,
2010-05-26,1252200,0,
2010-05-27,1262500,0,
2010-05-28,1272900,0,
2010-05-29,1286000,0,
2010-05-30,1298000,0,
2010-05-31,1308900,0,
2010-06-01,1318300,0,
2010-06-02,1326500,0,
2010-06-03,1335300,0,
2010-06-04,1345500,0,
2010-06-05,1356500,0,
2010-06-06,1367800,0,
2010-06-07,1376300,0,
2010-06-08,1384700,0,
2010-06-09,1391100,0,
2010-06-10,1399900,0,
2010-06-11,1407600,0,
2010-06-12,1418000,0,
2010-06-13,1429700,0,
2010-06-14,1437700,0,
2010-06-15,1446000,0,
2010-06-16,1453900,0,
2010-06-17,1463300,0,
2010-06-18,1472900,0,
2010-06-19,1483300,0,
2010-06-20,1493200,0,
2010-06-21,1501300,0,
2010-06-22,1508500,0,
2010-06-23,1516600,0,
2010-06-24,1524400,0,
2010-06-25,1532100,0,
2010-06-26,1541600,0,
2010-06-27,1550300,0,
2010-06-28,1558700,0,
2010-06-29,1566900,0,
2010-06-30,1577400,0,
2010-07-01,1585800,0,
2010-07-02,1594100,0,
2010-07-03,1602500,0,
2010-07-04,1611900,0,
2010-07-05,1619400,0,
2010-07-06,1627700,0,
2010-07-07,1634500,0,
2010-07-08,1641500,0,
2010-07-09,1649600,0,
2010-07-10,1659000,0,
2010-07-11,1668600,0,
2010-07-12,1677400,0,
2010-07-13,1685400,0,
2010-07-14,1694700,0,
2010-07-15,1702700,0,
2010-07-16,1711500,0,
2010-07-17,1720400,0,
2010-07-18,1730300,0,
2010-07-19,1738900,0,
2010-07-20,1745700,0,
2010-07-21,1752700,0,
