Date,'',PS4 player count,
2016-01-13,,400,
2016-01-14,,900,
2016-01-15,,1300,
2016-01-16,,1600,
2016-01-17,,2100,
2016-01-18,,2700,
2016-01-19,,3000,
2016-01-20,,3100,
2016-01-21,,3400,
2016-01-22,,3500,
2016-01-23,,4100,
2016-01-24,,4300,
2016-01-25,,4500,
2016-01-26,,4600,
2016-01-27,,4600,
2016-01-28,,4700,
2016-01-29,,4800,
2016-01-30,,4900,
2016-01-31,,5100,
2016-02-01,,5100,
2016-02-02,,5200,
2016-02-03,,5400,
2016-02-04,,5400,
2016-02-05,,5500,
2016-02-06,,5700,
2016-02-07,,5800,
2016-02-08,,5900,
2016-02-09,,5900,
2016-02-10,,6000,
2016-02-11,,6100,
2016-02-12,,6400,
2016-02-13,,6900,
2016-02-14,,7200,
2016-02-15,,7400,
2016-02-16,,7700,
2016-02-17,,7800,
2016-02-18,,7900,
2016-02-19,,8000,
2016-02-20,,8200,
2016-02-21,,8500,
2016-02-22,,8700,
2016-02-23,,8900,
2016-02-24,,9000,
2016-02-25,,9100,
2016-02-26,,9300,
2016-02-27,,9500,
2016-02-28,,9600,
2016-02-29,,9700,
2016-03-01,,9800,
2016-03-02,,9900,
2016-03-03,,10100,
2016-03-04,,10200,
2016-03-05,,10400,
2016-03-06,,10600,
2016-03-07,,10700,
2016-03-08,,10800,
2016-03-09,,10800,
2016-03-10,,10800,
2016-03-11,,11000,
2016-03-12,,11000,
2016-03-13,,11400,
2016-03-14,,11500,
2016-03-15,,11500,
2016-03-16,,11600,
2016-03-17,,11700,
2016-03-18,,11800,
2016-03-19,,11900,
2016-03-20,,12200,
2016-03-21,,12400,
2016-03-22,,12400,
2016-03-23,,12600,
2016-03-24,,12700,
2016-03-25,,12800,
2016-03-26,,12800,
2016-03-27,,12900,
2016-03-28,,13100,
2016-03-29,,13100,
2016-03-30,,13200,
2016-03-31,,13200,
2016-04-01,,13300,
2016-04-02,,13400,
2016-04-03,,13500,
2016-04-04,,13500,
2016-04-05,,13600,
2016-04-06,,13600,
2016-04-07,,13700,
2016-04-08,,13800,
2016-04-09,,13800,
2016-04-10,,13900,
2016-04-11,,13900,
2016-04-12,,13900,
2016-04-13,,13900,
2016-04-14,,14000,
2016-04-15,,14000,
2016-04-16,,14100,
2016-04-17,,14200,
2016-04-18,,14200,
2016-04-19,,14300,
2016-04-20,,14300,
2016-04-21,,14400,
2016-04-22,,14500,
2016-04-23,,14600,
2016-04-24,,14700,
2016-04-25,,14800,
2016-04-26,,14800,
2016-04-27,,14900,
2016-04-28,,14900,
2016-04-29,,14900,
2016-04-30,,15000,
2016-05-01,,15000,
2016-05-02,,15000,
2016-05-03,,15000,
2016-05-04,,15100,
2016-05-05,,15100,
2016-05-06,,15200,
2016-05-07,,15300,
2016-05-08,,15300,
2016-05-09,,15300,
2016-05-10,,15400,
2016-05-11,,15400,
2016-05-12,,15400,
2016-05-13,,15500,
2016-05-14,,15600,
