Date,'',PS4 player count,
2019-09-03,,0,
2019-09-04,,0,
2019-09-05,,100,
2019-09-06,,400,
2019-09-07,,1400,
2019-09-08,,1500,
2019-09-09,,3600,
2019-09-10,,24400,
2019-09-11,,38600,
2019-09-12,,47000,
2019-09-13,,54800,
2019-09-14,,62500,
2019-09-15,,68200,
2019-09-16,,71600,
2019-09-17,,75200,
2019-09-18,,78100,
2019-09-19,,80800,
2019-09-20,,83600,
2019-09-21,,87600,
2019-09-22,,92200,
2019-09-23,,95400,
2019-09-24,,97700,
2019-09-25,,99700,
2019-09-26,,102000,
2019-09-27,,103700,
2019-09-28,,107000,
2019-09-29,,109800,
2019-09-30,,112300,
2019-10-01,,114300,
2019-10-02,,115700,
2019-10-03,,117100,
2019-10-04,,118200,
2019-10-05,,119900,
2019-10-06,,121700,
2019-10-07,,123200,
2019-10-08,,124200,
2019-10-09,,124900,
2019-10-10,,125700,
2019-10-11,,127100,
2019-10-12,,128600,
2019-10-13,,130300,
2019-10-14,,131100,
2019-10-15,,132200,
2019-10-16,,133500,
2019-10-17,,134500,
2019-10-18,,135800,
2019-10-19,,136900,
2019-10-20,,138300,
2019-10-21,,139000,
2019-10-22,,140100,
2019-10-23,,140600,
2019-10-24,,141300,
2019-10-25,,141800,
2019-10-26,,142600,
2019-10-27,,143700,
2019-10-28,,144300,
2019-10-29,,144900,
2019-10-30,,145600,
2019-10-31,,146400,
2019-11-01,,147400,
2019-11-02,,149400,
2019-11-03,,150900,
2019-11-04,,152200,
2019-11-05,,153400,
2019-11-06,,154200,
2019-11-07,,155500,
2019-11-08,,156700,
2019-11-09,,158400,
2019-11-10,,159600,
2019-11-11,,161300,
2019-11-12,,162400,
2019-11-13,,163300,
2019-11-14,,164200,
2019-11-15,,165000,
2019-11-16,,166100,
2019-11-17,,167000,
2019-11-18,,167700,
2019-11-19,,168300,
2019-11-20,,169000,
2019-11-21,,169600,
2019-11-22,,170500,
2019-11-23,,171200,
2019-11-24,,171900,
2019-11-25,,172300,
2019-11-26,,173100,
2019-11-27,,173800,
2019-11-28,,174400,
2019-11-29,,174900,
2019-11-30,,176300,
2019-12-01,,177100,
2019-12-02,,177600,
2019-12-03,,178100,
2019-12-04,,178900,
2019-12-05,,179500,
2019-12-06,,180000,
2019-12-07,,180700,
2019-12-08,,181500,
2019-12-09,,182200,
2019-12-10,,182800,
2019-12-11,,183500,
2019-12-12,,184300,
2019-12-13,,184700,
2019-12-14,,185600,
2019-12-15,,186200,
2019-12-16,,186600,
2019-12-17,,186900,
2019-12-18,,187200,
2019-12-19,,187700,
2019-12-20,,188100,
2019-12-21,,188800,
2019-12-22,,190100,
2019-12-23,,190800,
2019-12-24,,192100,
2019-12-25,,194300,
2019-12-26,,196100,
2019-12-27,,197600,
2019-12-28,,199500,
2019-12-29,,201400,
2019-12-30,,202700,
2019-12-31,,204200,
2020-01-01,,205600,
2020-01-02,,206900,
2020-01-03,,207800,
2020-01-04,,209000,
2020-01-05,,210000,
2020-01-06,,210800,
2020-01-07,,211600,
2020-01-08,,212400,
2020-01-09,,213200,
2020-01-10,,214000,
2020-01-11,,215000,
2020-01-12,,215900,
2020-01-13,,216800,
2020-01-14,,217300,
2020-01-15,,218000,
2020-01-16,,218600,
2020-01-17,,219200,
2020-01-18,,220200,
2020-01-19,,220800,
2020-01-20,,221400,
2020-01-21,,222000,
2020-01-22,,222400,
2020-01-23,,222700,
2020-01-24,,223100,
2020-01-25,,224000,
2020-01-26,,224800,
2020-01-27,,225200,
2020-01-28,,225500,
2020-01-29,,225900,
2020-01-30,,226400,
2020-01-31,,227000,
2020-02-01,,227700,
2020-02-02,,228600,
2020-02-03,,228900,
2020-02-04,,229100,
2020-02-05,,229500,
2020-02-06,,229900,
2020-02-07,,230400,
2020-02-08,,231200,
2020-02-09,,231900,
2020-02-10,,232300,
2020-02-11,,232900,
2020-02-12,,233200,
2020-02-13,,233600,
2020-02-14,,233900,
2020-02-15,,234700,
2020-02-16,,235200,
2020-02-17,,235900,
2020-02-18,,236300,
2020-02-19,,236800,
2020-02-20,,238500,
2020-02-21,,240100,
2020-02-22,,241400,
2020-02-23,,243100,
2020-02-24,,244200,
2020-02-25,,244900,
2020-02-26,,245800,
2020-02-27,,247100,
2020-02-28,,248300,
2020-02-29,,249400,
2020-03-01,,250600,
2020-03-02,,251600,
2020-03-03,,252700,
2020-03-04,,253400,
2020-03-05,,254100,
2020-03-06,,254300,
2020-03-07,,254900,
2020-03-08,,255600,
2020-03-09,,256400,
2020-03-10,,256800,
2020-03-11,,257500,
2020-03-12,,258100,
2020-03-13,,258500,
2020-03-14,,259200,
2020-03-15,,259800,
2020-03-16,,260700,
2020-03-17,,261200,
2020-03-18,,261500,
2020-03-19,,261900,
2020-03-20,,262500,
2020-03-21,,263200,
2020-03-22,,264000,
2020-03-23,,264400,
2020-03-24,,264900,
2020-03-25,,265300,
2020-03-26,,266000,
2020-03-27,,266600,
2020-03-28,,267000,
2020-03-29,,267700,
2020-03-30,,268400,
2020-03-31,,268800,
2020-04-01,,269900,
2020-04-02,,273300,
2020-04-03,,275300,
2020-04-04,,278000,
2020-04-05,,280200,
2020-04-06,,281700,
2020-04-07,,283600,
2020-04-08,,284800,
2020-04-09,,286200,
2020-04-10,,287800,
2020-04-11,,290100,
2020-04-12,,291200,
2020-04-13,,292300,
2020-04-14,,293800,
2020-04-15,,294800,
2020-04-16,,296700,
2020-04-17,,297900,
2020-04-18,,299900,
2020-04-19,,301500,
2020-04-20,,302900,
2020-04-21,,304700,
2020-04-22,,306100,
2020-04-23,,307400,
2020-04-24,,308400,
2020-04-25,,310000,
2020-04-26,,311900,
2020-04-27,,312900,
2020-04-28,,313900,
2020-04-29,,314900,
2020-04-30,,315400,
2020-05-01,,316000,
2020-05-02,,316800,
2020-05-03,,317300,
2020-05-04,,317700,
2020-05-05,,318500,
2020-05-06,,318800,
2020-05-07,,319000,
2020-05-08,,319400,
2020-05-09,,320100,
2020-05-10,,320700,
2020-05-11,,321100,
2020-05-12,,321400,
2020-05-13,,321700,
2020-05-14,,322200,
2020-05-15,,322500,
2020-05-16,,323200,
2020-05-17,,323700,
2020-05-18,,324100,
2020-05-19,,324400,
2020-05-20,,324700,
2020-05-21,,325000,
2020-05-22,,325400,
2020-05-23,,325900,
2020-05-24,,326300,
2020-05-25,,326500,
2020-05-26,,326800,
2020-05-27,,327000,
2020-05-28,,327300,
2020-05-29,,327700,
2020-05-30,,327900,
2020-05-31,,328200,
2020-06-01,,328400,
2020-06-02,,328800,
2020-06-03,,329300,
2020-06-04,,329700,
2020-06-05,,330100,
2020-06-06,,330500,
2020-06-07,,331100,
2020-06-08,,331600,
2020-06-09,,331900,
2020-06-10,,332500,
2020-06-11,,334200,
2020-06-12,,336200,
2020-06-13,,339700,
2020-06-14,,343100,
2020-06-15,,345300,
2020-06-16,,347500,
2020-06-17,,349400,
2020-06-18,,351900,
2020-06-19,,354800,
2020-06-20,,357400,
2020-06-21,,360300,
2020-06-22,,362600,
2020-06-23,,364300,
2020-06-24,,366700,
2020-06-25,,367800,
2020-06-26,,368800,
2020-06-27,,369600,
2020-06-28,,370700,
2020-06-29,,371300,
2020-06-30,,371800,
2020-07-01,,372200,
2020-07-02,,372800,
2020-07-03,,373300,
2020-07-04,,373800,
2020-07-05,,374400,
2020-07-06,,374900,
2020-07-07,,375300,
2020-07-08,,375600,
2020-07-09,,375900,
2020-07-10,,376400,
2020-07-11,,376800,
2020-07-12,,377300,
2020-07-13,,377500,
2020-07-14,,377900,
2020-07-15,,378200,
2020-07-16,,378400,
2020-07-17,,378800,
2020-07-18,,379300,
2020-07-19,,379600,
2020-07-20,,379800,
2020-07-21,,380200,
2020-07-22,,380600,
2020-07-23,,382700,
2020-07-24,,384100,
2020-07-25,,386100,
2020-07-26,,388300,
2020-07-27,,390000,
2020-07-28,,391700,
2020-07-29,,393100,
2020-07-30,,394300,
2020-07-31,,395500,
2020-08-01,,396800,
2020-08-02,,398400,
2020-08-03,,399600,
2020-08-04,,402200,
2020-08-05,,412800,
2020-08-06,,423700,
2020-08-07,,431800,
2020-08-08,,441300,
2020-08-09,,449800,
2020-08-10,,457300,
2020-08-11,,464200,
2020-08-12,,470300,
2020-08-13,,475900,
2020-08-14,,480900,
2020-08-15,,486200,
2020-08-16,,491900,
2020-08-17,,496200,
2020-08-18,,500300,
2020-08-19,,504500,
2020-08-20,,508900,
2020-08-21,,512900,
2020-08-22,,517500,
2020-08-23,,522300,
2020-08-24,,526400,
2020-08-25,,529300,
2020-08-26,,533500,
2020-08-27,,537200,
2020-08-28,,540300,
2020-08-29,,544200,
2020-08-30,,548500,
