Date,'',PS4 player count,PS Vita player count
2015-01-27,,300,100
2015-01-28,,2400,200
2015-01-29,,4300,300
2015-01-30,,5800,500
2015-01-31,,7600,600
2015-02-01,,9100,700
2015-02-02,,10300,900
2015-02-03,,11300,1000
2015-02-04,,12000,1100
2015-02-05,,12900,1200
2015-02-06,,13600,1300
2015-02-07,,14800,1400
2015-02-08,,15600,1400
2015-02-09,,16100,1400
2015-02-10,,17000,1400
2015-02-11,,17500,1400
2015-02-12,,18100,1400
2015-02-13,,18700,1500
2015-02-14,,19600,1600
2015-02-15,,20500,1600
2015-02-16,,21100,1700
2015-02-17,,21600,1700
2015-02-18,,22000,1700
2015-02-19,,22500,1700
2015-02-20,,22900,1800
2015-02-21,,23700,1800
2015-02-22,,24200,1900
2015-02-23,,24800,2000
2015-02-24,,24900,2100
2015-02-25,,25200,2200
2015-02-26,,25700,2300
2015-02-27,,26000,2300
2015-02-28,,26800,2300
2015-03-01,,27400,2300
2015-03-02,,27700,2300
2015-03-03,,27900,2300
2015-03-04,,28200,2300
2015-03-05,,28500,2400
2015-03-06,,28900,2400
2015-03-07,,29500,2400
2015-03-08,,30400,2400
2015-03-09,,30700,2500
2015-03-10,,31000,2500
2015-03-11,,31200,2500
2015-03-12,,31300,2600
2015-03-13,,31700,2600
2015-03-14,,32200,2600
2015-03-15,,32700,2700
2015-03-16,,33000,2700
2015-03-17,,33300,2700
2015-03-18,,33600,2700
2015-03-19,,33700,2700
2015-03-20,,33800,2700
2015-03-21,,33900,2700
2015-03-22,,34500,2800
2015-03-23,,34700,2800
2015-03-24,,35000,2900
2015-03-25,,35200,2900
2015-03-26,,35700,2900
2015-03-27,,36000,3000
2015-03-28,,36400,3000
2015-03-29,,36500,3000
2015-03-30,,36600,3000
2015-03-31,,37000,3000
2015-04-01,,37100,3000
2015-04-02,,37300,3100
2015-04-03,,37400,3100
2015-04-04,,37800,3100
2015-04-05,,37800,3100
2015-04-06,,37900,3100
2015-04-07,,38000,3100
2015-04-08,,38200,3100
2015-04-09,,38500,3100
2015-04-10,,38600,3100
2015-04-11,,38900,3100
2015-04-12,,39000,3200
2015-04-13,,39300,3200
2015-04-14,,39400,3200
2015-04-15,,39400,3300
2015-04-16,,39500,3300
2015-04-17,,39800,3300
2015-04-18,,39900,3300
2015-04-19,,40000,3300
2015-04-20,,40100,3400
2015-04-21,,40600,3400
2015-04-22,,40900,3400
2015-04-23,,41000,3500
2015-04-24,,41300,3500
2015-04-25,,41500,3500
2015-04-26,,41700,3500
2015-04-27,,41800,3500
2015-04-28,,42000,3600
2015-04-29,,42100,3600
2015-04-30,,42100,3600
2015-05-01,,42300,3600
2015-05-02,,42500,3600
2015-05-03,,42600,3600
2015-05-04,,42600,3600
2015-05-05,,42700,3600
2015-05-06,,42800,3700
2015-05-07,,43000,3700
2015-05-08,,43100,3700
2015-05-09,,43500,3700
2015-05-10,,43600,3800
2015-05-11,,43700,3800
2015-05-12,,44000,3800
2015-05-13,,44300,3800
2015-05-14,,44400,3800
2015-05-15,,44800,3800
2015-05-16,,44900,3800
2015-05-17,,45000,3800
2015-05-18,,45100,3800
2015-05-19,,45500,3800
2015-05-20,,45600,3800
2015-05-21,,45600,3800
2015-05-22,,45700,3800
2015-05-23,,46000,3800
2015-05-24,,46300,3800
2015-05-25,,46500,3800
2015-05-26,,46600,3900
2015-05-27,,46600,3900
2015-05-28,,46700,3900
2015-05-29,,46700,3900
2015-05-30,,46800,3900
2015-05-31,,46800,3900
2015-06-01,,47000,3900
2015-06-02,,47100,3900
2015-06-03,,47100,4000
2015-06-04,,47100,4000
2015-06-05,,47300,4000
2015-06-06,,47400,4000
2015-06-07,,47400,4000
2015-06-08,,47600,4100
2015-06-09,,47700,4100
2015-06-10,,48000,4200
2015-06-11,,48100,4200
2015-06-12,,48100,4200
2015-06-13,,48500,4200
2015-06-14,,48800,4200
2015-06-15,,48800,4200
2015-06-16,,48800,4200
2015-06-17,,48800,4200
2015-06-18,,48900,4200
2015-06-19,,49100,4200
2015-06-20,,49100,4200
2015-06-21,,49200,4200
2015-06-22,,49200,4200
2015-06-23,,49300,4200
2015-06-24,,49400,4200
2015-06-25,,49400,4200
2015-06-26,,49500,4300
2015-06-27,,49500,4300
2015-06-28,,49600,4300
2015-06-29,,49800,4300
2015-06-30,,49900,4300
2015-07-01,,49900,4300
2015-07-02,,50000,4300
2015-07-03,,50200,4300
2015-07-04,,50300,4300
2015-07-05,,50500,4300
2015-07-06,,50700,4400
2015-07-07,,50900,4400
2015-07-08,,51200,4400
2015-07-09,,51400,4500
2015-07-10,,51600,4500
2015-07-11,,51600,4500
2015-07-12,,51800,4500
2015-07-13,,52000,4500
2015-07-14,,52200,4500
2015-07-15,,52300,4500
2015-07-16,,52400,4500
2015-07-17,,52600,4500
2015-07-18,,52700,4500
2015-07-19,,52900,4600
2015-07-20,,53000,4600
2015-07-21,,53100,4600
2015-07-22,,53300,4700
2015-07-23,,53400,4700
2015-07-24,,53600,4800
2015-07-25,,53700,4800
2015-07-26,,54000,4800
2015-07-27,,54000,4800
2015-07-28,,54100,4800
2015-07-29,,54200,4800
2015-07-30,,54400,4900
2015-07-31,,54400,4900
2015-08-01,,54600,4900
2015-08-02,,54700,4900
2015-08-03,,54900,4900
2015-08-04,,55000,4900
2015-08-05,,55000,4900
2015-08-06,,55100,4900
2015-08-07,,55100,4900
2015-08-08,,55300,4900
2015-08-09,,55300,4900
2015-08-10,,55500,4900
2015-08-11,,55500,5000
2015-08-12,,55600,5000
2015-08-13,,55700,5000
2015-08-14,,55800,5000
2015-08-15,,55800,5000
2015-08-16,,55900,5000
2015-08-17,,56000,5100
2015-08-18,,56100,5100
2015-08-19,,56200,5100
2015-08-20,,56300,5100
2015-08-21,,56300,5200
2015-08-22,,56500,5200
2015-08-23,,56700,5200
2015-08-24,,56800,5200
2015-08-25,,56900,5200
2015-08-26,,57000,5200
2015-08-27,,57400,5200
2015-08-28,,57500,5300
2015-08-29,,58500,5500
2015-08-30,,59100,5500
2015-08-31,,59200,5600
2015-09-01,,59600,5600
2015-09-02,,59700,5600
2015-09-03,,60000,5600
2015-09-04,,60100,5600
2015-09-05,,60200,5600
2015-09-06,,60400,5700
2015-09-07,,60600,5800
2015-09-08,,60800,5800
2015-09-09,,60800,5800
2015-09-10,,61000,5800
2015-09-11,,61300,5800
2015-09-12,,61400,5800
2015-09-13,,61800,5800
2015-09-14,,62000,5800
2015-09-15,,62200,5800
2015-09-16,,62300,5800
2015-09-17,,62400,5800
2015-09-18,,62400,5800
2015-09-19,,62400,5800
2015-09-20,,62700,5800
2015-09-21,,62700,5800
2015-09-22,,62900,5900
2015-09-23,,63000,5900
2015-09-24,,63100,5900
2015-09-25,,63400,5900
2015-09-26,,63800,5900
2015-09-27,,64000,5900
2015-09-28,,64200,5900
2015-09-29,,64200,5900
2015-09-30,,64500,5900
2015-10-01,,64500,5900
2015-10-02,,64500,5900
2015-10-03,,64600,5900
2015-10-04,,64700,5900
2015-10-05,,64700,5900
2015-10-06,,64900,5900
2015-10-07,,65000,5900
2015-10-08,,65000,5900
2015-10-09,,65100,5900
2015-10-10,,65300,5900
2015-10-11,,65400,5900
2015-10-12,,65500,5900
2015-10-13,,65600,5900
2015-10-14,,65800,5900
2015-10-15,,65900,5900
2015-10-16,,66100,5900
2015-10-17,,66100,6000
2015-10-18,,66100,6000
2015-10-19,,66200,6000
2015-10-20,,66200,6000
2015-10-21,,66600,6000
2015-10-22,,66700,6000
2015-10-23,,66900,6000
2015-10-24,,67200,6000
2015-10-25,,67500,6000
2015-10-26,,67800,6000
2015-10-27,,68200,6100
2015-10-28,,68300,6200
2015-10-29,,68400,6200
2015-10-30,,68500,6200
2015-10-31,,68900,6200
2015-11-01,,69200,6200
2015-11-02,,69200,6200
2015-11-03,,69300,6200
2015-11-04,,69400,6200
2015-11-05,,69400,6200
2015-11-06,,69500,6200
2015-11-07,,69700,6300
2015-11-08,,69800,6300
2015-11-09,,69900,6300
2015-11-10,,70100,6300
2015-11-11,,70100,6300
2015-11-12,,70400,6300
2015-11-13,,70600,6300
2015-11-14,,70800,6300
2015-11-15,,70800,6300
2015-11-16,,70800,6300
2015-11-17,,70900,6300
2015-11-18,,71100,6400
2015-11-19,,71300,6400
2015-11-20,,71400,6400
2015-11-21,,71500,6400
2015-11-22,,71600,6400
2015-11-23,,71700,6400
2015-11-24,,71900,6500
2015-11-25,,72000,6500
2015-11-26,,72200,6600
2015-11-27,,72300,6600
2015-11-28,,72300,6600
2015-11-29,,72500,6700
2015-11-30,,72600,6700
2015-12-01,,72700,6700
2015-12-02,,73000,6700
2015-12-03,,73100,6700
2015-12-04,,73200,6700
2015-12-05,,73400,6700
2015-12-06,,73500,6700
2015-12-07,,73700,6700
2015-12-08,,73800,6700
2015-12-09,,73900,6700
2015-12-10,,73900,6700
2015-12-11,,74000,6700
2015-12-12,,74200,6700
2015-12-13,,74200,6700
2015-12-14,,74300,6800
2015-12-15,,74400,6800
2015-12-16,,74600,6800
2015-12-17,,74800,6800
2015-12-18,,74800,6800
2015-12-19,,74800,6800
2015-12-20,,75000,6900
2015-12-21,,75100,6900
2015-12-22,,75300,6900
2015-12-23,,75500,6900
2015-12-24,,75500,6900
2015-12-25,,75700,6900
2015-12-26,,75800,7000
2015-12-27,,76000,7000
2015-12-28,,76100,7000
2015-12-29,,76200,7000
2015-12-30,,76200,7000
2015-12-31,,76300,7000
2016-01-01,,76400,7000
2016-01-02,,76400,7000
2016-01-03,,76500,7000
2016-01-04,,76700,7000
2016-01-05,,83100,7100
2016-01-06,,101400,7200
2016-01-07,,121000,7600
2016-01-08,,143900,8300
2016-01-09,,170400,8700
2016-01-10,,196600,9300
2016-01-11,,216900,9400
2016-01-12,,233500,9800
2016-01-13,,249800,10200
2016-01-14,,265300,10700
2016-01-15,,283600,10900
2016-01-16,,305900,11300
2016-01-17,,326500,11700
2016-01-18,,342800,11900
2016-01-19,,356000,12000
2016-01-20,,368800,12300
2016-01-21,,381400,12500
2016-01-22,,394000,12600
2016-01-23,,415000,12900
2016-01-24,,432300,13000
2016-01-25,,442100,13300
2016-01-26,,453400,13500
2016-01-27,,463900,13600
2016-01-28,,475400,13700
2016-01-29,,488300,13900
2016-01-30,,504000,14000
2016-01-31,,519700,14300
2016-02-01,,531500,14400
2016-02-02,,543800,14700
2016-02-03,,554400,14900
2016-02-04,,563000,15000
2016-02-05,,572400,15100
2016-02-06,,584200,15300
2016-02-07,,595900,15400
2016-02-08,,602800,15500
2016-02-09,,610000,15600
2016-02-10,,617100,15600
2016-02-11,,623600,15700
2016-02-12,,629600,15700
2016-02-13,,636700,15900
2016-02-14,,645300,16000
2016-02-15,,650600,16300
2016-02-16,,656400,16300
2016-02-17,,661600,16300
2016-02-18,,665600,16400
2016-02-19,,669800,16400
2016-02-20,,676800,16400
2016-02-21,,682000,16500
2016-02-22,,685900,16600
2016-02-23,,689800,16600
2016-02-24,,692800,16600
2016-02-25,,695600,16700
2016-02-26,,699000,16700
2016-02-27,,703900,16700
2016-02-28,,708400,16700
2016-02-29,,711800,16700
2016-03-01,,715900,16700
2016-03-02,,718900,16700
2016-03-03,,721800,16800
2016-03-04,,725200,16900
2016-03-05,,729800,16900
2016-03-06,,733900,16900
2016-03-07,,736800,16900
2016-03-08,,739900,16900
2016-03-09,,742500,16900
2016-03-10,,745500,17000
2016-03-11,,747700,17100
2016-03-12,,751900,17200
2016-03-13,,755300,17200
2016-03-14,,757800,17200
2016-03-15,,760400,17200
2016-03-16,,762500,17300
2016-03-17,,764400,17400
2016-03-18,,767400,17400
2016-03-19,,771300,17400
2016-03-20,,775000,17500
2016-03-21,,777600,17600
2016-03-22,,779900,17600
2016-03-23,,782300,17600
2016-03-24,,784700,17600
2016-03-25,,788100,17700
2016-03-26,,791400,17700
2016-03-27,,794500,17700
2016-03-28,,797000,17800
2016-03-29,,798900,17800
2016-03-30,,800600,17800
2016-03-31,,802300,17800
2016-04-01,,803900,17800
2016-04-02,,806100,17900
2016-04-03,,808400,17900
2016-04-04,,809800,17900
2016-04-05,,811500,17900
2016-04-06,,813500,17900
2016-04-07,,815800,17900
2016-04-08,,818400,17900
2016-04-09,,821400,18000
2016-04-10,,823800,18000
2016-04-11,,825300,18000
2016-04-12,,827600,18000
2016-04-13,,828800,18000
2016-04-14,,830200,18100
2016-04-15,,831800,18100
2016-04-16,,834000,18100
2016-04-17,,836400,18100
2016-04-18,,838000,18100
2016-04-19,,839700,18200
2016-04-20,,840800,18200
2016-04-21,,841900,18200
2016-04-22,,843000,18200
2016-04-23,,845000,18200
2016-04-24,,846700,18200
2016-04-25,,848200,18300
2016-04-26,,849200,18300
2016-04-27,,850700,18400
2016-04-28,,852100,18400
2016-04-29,,853500,18400
2016-04-30,,855000,18400
2016-05-01,,856900,18400
2016-05-02,,858800,18500
2016-05-03,,859900,18500
2016-05-04,,860900,18500
2016-05-05,,862100,18500
2016-05-06,,863300,18600
2016-05-07,,864900,18600
2016-05-08,,866200,18600
2016-05-09,,867100,18600
2016-05-10,,868200,18600
2016-05-11,,869400,18600
2016-05-12,,870700,18600
2016-05-13,,871700,18600
2016-05-14,,873700,18600
2016-05-15,,875500,18700
2016-05-16,,876400,18700
2016-05-17,,877300,18700
2016-05-18,,878300,18700
2016-05-19,,879000,18700
2016-05-20,,880400,18700
2016-05-21,,881900,18700
2016-05-22,,883800,18700
2016-05-23,,885100,18700
2016-05-24,,886400,18900
2016-05-25,,887700,18900
2016-05-26,,889000,18900
2016-05-27,,890500,18900
2016-05-28,,892000,18900
2016-05-29,,893900,18900
2016-05-30,,895100,19000
2016-05-31,,896300,19000
2016-06-01,,897100,19100
2016-06-02,,898100,19100
2016-06-03,,899500,19100
2016-06-04,,900600,19100
2016-06-05,,902000,19100
2016-06-06,,903200,19100
2016-06-07,,904200,19100
2016-06-08,,905300,19100
2016-06-09,,906200,19100
2016-06-10,,907400,19100
2016-06-11,,908700,19100
2016-06-12,,910200,19100
2016-06-13,,911300,19100
2016-06-14,,912600,19100
2016-06-15,,914300,19100
2016-06-16,,915200,19100
2016-06-17,,916200,19100
2016-06-18,,917500,19200
2016-06-19,,918800,19200
2016-06-20,,919700,19200
2016-06-21,,920600,19300
2016-06-22,,921400,19300
2016-06-23,,922500,19300
2016-06-24,,923500,19300
2016-06-25,,924500,19300
2016-06-26,,925300,19300
2016-06-27,,926400,19300
2016-06-28,,927000,19400
2016-06-29,,928200,19400
2016-06-30,,929200,19400
2016-07-01,,930300,19500
