Date,'',PS4 player count,
2015-09-01,,12600,
2015-09-02,,57300,
2015-09-03,,105500,
2015-09-04,,156800,
2015-09-05,,219300,
2015-09-06,,277200,
2015-09-07,,323900,
2015-09-08,,364500,
2015-09-09,,394500,
2015-09-10,,421300,
2015-09-11,,448900,
2015-09-12,,487700,
2015-09-13,,524100,
2015-09-14,,546800,
2015-09-15,,569300,
2015-09-16,,589200,
2015-09-17,,606600,
2015-09-18,,626100,
2015-09-19,,654800,
2015-09-20,,679400,
2015-09-21,,696200,
2015-09-22,,711900,
2015-09-23,,728600,
2015-09-24,,744200,
2015-09-25,,761400,
2015-09-26,,785500,
2015-09-27,,807500,
2015-09-28,,820500,
2015-09-29,,833600,
2015-09-30,,847600,
2015-10-01,,862000,
2015-10-02,,879000,
2015-10-03,,902600,
2015-10-04,,924300,
2015-10-05,,938700,
2015-10-06,,950600,
2015-10-07,,962200,
2015-10-08,,974000,
2015-10-09,,985100,
2015-10-10,,1000900,
2015-10-11,,1012500,
2015-10-12,,1020000,
2015-10-13,,1029800,
2015-10-14,,1037000,
2015-10-15,,1043700,
2015-10-16,,1050300,
2015-10-17,,1059400,
2015-10-18,,1067800,
2015-10-19,,1073100,
2015-10-20,,1078800,
2015-10-21,,1083600,
2015-10-22,,1087900,
2015-10-23,,1093000,
2015-10-24,,1099700,
2015-10-25,,1106600,
2015-10-26,,1111200,
2015-10-27,,1115300,
2015-10-28,,1120600,
2015-10-29,,1124700,
2015-10-30,,1130500,
2015-10-31,,1135600,
2015-11-01,,1142100,
2015-11-02,,1146900,
2015-11-03,,1151900,
2015-11-04,,1156400,
2015-11-05,,1160600,
2015-11-06,,1165800,
2015-11-07,,1172600,
2015-11-08,,1178600,
2015-11-09,,1182100,
2015-11-10,,1187000,
2015-11-11,,1191400,
2015-11-12,,1194700,
2015-11-13,,1198400,
2015-11-14,,1204100,
2015-11-15,,1208800,
2015-11-16,,1211400,
2015-11-17,,1214600,
2015-11-18,,1217600,
2015-11-19,,1221200,
2015-11-20,,1225100,
2015-11-21,,1228900,
2015-11-22,,1233400,
2015-11-23,,1236100,
2015-11-24,,1238300,
2015-11-25,,1241900,
2015-11-26,,1245600,
2015-11-27,,1249200,
2015-11-28,,1253500,
2015-11-29,,1256400,
2015-11-30,,1258900,
2015-12-01,,1261400,
2015-12-02,,1263400,
2015-12-03,,1265600,
2015-12-04,,1268700,
2015-12-05,,1271700,
2015-12-06,,1274800,
2015-12-07,,1277200,
2015-12-08,,1279800,
2015-12-09,,1282300,
2015-12-10,,1284700,
2015-12-11,,1287000,
2015-12-12,,1290100,
2015-12-13,,1293300,
2015-12-14,,1295200,
2015-12-15,,1297600,
2015-12-16,,1300000,
2015-12-17,,1301800,
2015-12-18,,1303500,
2015-12-19,,1307100,
2015-12-20,,1309700,
2015-12-21,,1312100,
2015-12-22,,1315800,
2015-12-23,,1318200,
2015-12-24,,1321000,
2015-12-25,,1324000,
2015-12-26,,1327000,
2015-12-27,,1330000,
2015-12-28,,1332400,
2015-12-29,,1335600,
2015-12-30,,1338500,
2015-12-31,,1340800,
2016-01-01,,1343100,
2016-01-02,,1345800,
2016-01-03,,1348800,
2016-01-04,,1350900,
2016-01-05,,1352900,
2016-01-06,,1355500,
2016-01-07,,1357000,
2016-01-08,,1358800,
2016-01-09,,1360900,
2016-01-10,,1363300,
2016-01-11,,1364700,
2016-01-12,,1366200,
2016-01-13,,1367800,
2016-01-14,,1369600,
2016-01-15,,1371700,
2016-01-16,,1373800,
2016-01-17,,1375500,
2016-01-18,,1376800,
2016-01-19,,1377600,
2016-01-20,,1379000,
2016-01-21,,1380300,
2016-01-22,,1382300,
2016-01-23,,1384200,
2016-01-24,,1386200,
2016-01-25,,1387200,
2016-01-26,,1388700,
2016-01-27,,1389700,
2016-01-28,,1390900,
2016-01-29,,1392400,
2016-01-30,,1393900,
2016-01-31,,1395500,
2016-02-01,,1396900,
2016-02-02,,1398000,
2016-02-03,,1399200,
2016-02-04,,1400700,
2016-02-05,,1402000,
2016-02-06,,1403600,
2016-02-07,,1405100,
2016-02-08,,1406600,
2016-02-09,,1408100,
2016-02-10,,1409600,
2016-02-11,,1410800,
2016-02-12,,1411700,
2016-02-13,,1413400,
2016-02-14,,1414500,
2016-02-15,,1415900,
2016-02-16,,1416800,
2016-02-17,,1417800,
2016-02-18,,1418800,
2016-02-19,,1420100,
2016-02-20,,1421500,
2016-02-21,,1423100,
2016-02-22,,1423800,
2016-02-23,,1424900,
2016-02-24,,1425700,
2016-02-25,,1426300,
2016-02-26,,1427500,
2016-02-27,,1428500,
2016-02-28,,1429700,
2016-02-29,,1430500,
2016-03-01,,1431600,
2016-03-02,,1432600,
2016-03-03,,1433800,
2016-03-04,,1434800,
2016-03-05,,1436200,
2016-03-06,,1437800,
2016-03-07,,1438700,
2016-03-08,,1439700,
2016-03-09,,1440900,
2016-03-10,,1441300,
2016-03-11,,1442200,
2016-03-12,,1443500,
2016-03-13,,1444800,
2016-03-14,,1445600,
2016-03-15,,1446400,
2016-03-16,,1447300,
2016-03-17,,1448200,
2016-03-18,,1449400,
2016-03-19,,1450400,
2016-03-20,,1451800,
2016-03-21,,1452500,
2016-03-22,,1453400,
2016-03-23,,1454600,
2016-03-24,,1455600,
2016-03-25,,1456500,
2016-03-26,,1457700,
2016-03-27,,1458800,
2016-03-28,,1459700,
2016-03-29,,1460300,
2016-03-30,,1461500,
2016-03-31,,1462500,
2016-04-01,,1462900,
2016-04-02,,1463900,
2016-04-03,,1465000,
2016-04-04,,1465800,
2016-04-05,,1466800,
2016-04-06,,1467700,
2016-04-07,,1468700,
2016-04-08,,1470300,
2016-04-09,,1471600,
2016-04-10,,1472600,
2016-04-11,,1473400,
2016-04-12,,1474100,
2016-04-13,,1474600,
2016-04-14,,1475500,
2016-04-15,,1476300,
2016-04-16,,1477100,
2016-04-17,,1478000,
2016-04-18,,1478600,
2016-04-19,,1479300,
2016-04-20,,1479700,
2016-04-21,,1480200,
2016-04-22,,1481100,
2016-04-23,,1481900,
2016-04-24,,1482900,
2016-04-25,,1483900,
2016-04-26,,1484300,
2016-04-27,,1485100,
2016-04-28,,1485800,
2016-04-29,,1486500,
2016-04-30,,1487600,
2016-05-01,,1488500,
2016-05-02,,1489100,
2016-05-03,,1489800,
2016-05-04,,1490400,
2016-05-05,,1490900,
2016-05-06,,1491600,
2016-05-07,,1492400,
