Date,PS3 player count,PS4 player count,PS Vita player count
2013-04-09,0,0,0
2013-04-10,200,0,100
2013-04-11,900,0,200
2013-04-12,1100,0,300
2013-04-13,1700,0,400
2013-04-14,2400,0,600
2013-04-15,3300,0,600
2013-04-16,3900,0,600
2013-04-17,4500,0,800
2013-04-18,4900,0,800
2013-04-19,5700,0,800
2013-04-20,6300,0,1000
2013-04-21,6800,0,1000
2013-04-22,7600,0,1100
2013-04-23,8100,0,1400
2013-04-24,8400,0,1500
2013-04-25,9000,0,1800
2013-04-26,9400,0,1900
2013-04-27,9600,0,2100
2013-04-28,9900,0,2200
2013-04-29,10400,0,2300
2013-04-30,10900,0,2500
2013-05-01,11300,0,2700
2013-05-02,11700,0,2700
2013-05-03,12300,0,2700
2013-05-04,12500,0,2800
2013-05-05,12800,0,3100
2013-05-06,13000,0,3100
2013-05-07,13200,0,3200
2013-05-08,13400,0,3200
2013-05-09,13700,0,3200
2013-05-10,13900,0,3200
2013-05-11,14500,0,3300
2013-05-12,15000,0,3400
2013-05-13,15200,0,3400
2013-05-14,15300,0,3400
2013-05-15,15500,0,3500
2013-05-16,15800,0,3500
2013-05-17,16000,0,3500
2013-05-18,16200,0,3500
2013-05-19,16500,0,3500
2013-05-20,16700,0,3600
2013-05-21,16700,0,3600
2013-05-22,16800,0,3600
2013-05-23,16900,0,3600
2013-05-24,17200,0,3700
2013-05-25,17500,0,3900
2013-05-26,18000,0,4000
2013-05-27,18200,0,4000
2013-05-28,18400,0,4000
2013-05-29,18600,0,4200
2013-05-30,18800,0,4300
2013-05-31,18900,0,4300
2013-06-01,19300,0,4400
2013-06-02,19700,0,4400
2013-06-03,19900,0,4600
2013-06-04,20100,0,4700
2013-06-05,20100,0,4700
2013-06-06,20300,0,4800
2013-06-07,20600,0,4800
2013-06-08,20900,0,4800
2013-06-09,21100,0,4800
2013-06-10,21200,0,4900
2013-06-11,21300,0,5000
2013-06-12,21500,0,5200
2013-06-13,21500,0,5200
2013-06-14,22000,0,5200
2013-06-15,22200,0,5300
2013-06-16,22500,0,5300
2013-06-17,22800,0,5500
2013-06-18,23200,0,5500
2013-06-19,23500,0,5500
2013-06-20,23900,0,5500
2013-06-21,24200,0,5600
2013-06-22,24500,0,5700
2013-06-23,24700,0,5700
2013-06-24,24800,0,5900
2013-06-25,24800,0,6000
2013-06-26,25000,0,6200
2013-06-27,25100,0,6200
2013-06-28,25200,0,6300
2013-06-29,25300,0,6500
2013-06-30,25400,0,6600
2013-07-01,25500,0,6700
2013-07-02,25700,0,6700
2013-07-03,25800,0,6700
2013-07-04,26000,0,6800
2013-07-05,26300,0,6800
2013-07-06,26300,0,7000
2013-07-07,26500,0,7000
2013-07-08,26500,0,7000
2013-07-09,26700,0,7100
2013-07-10,26800,0,7200
2013-07-11,26900,0,7400
2013-07-12,27200,0,7600
2013-07-13,27300,0,7800
2013-07-14,27500,0,7900
2013-07-15,27500,0,8000
2013-07-16,27600,0,8000
2013-07-17,27800,0,8200
2013-07-18,27900,0,8200
2013-07-19,28300,0,8200
2013-07-20,28400,0,8300
2013-07-21,28400,0,8400
2013-07-22,28500,0,8600
2013-07-23,28600,0,8600
2013-07-24,28800,0,8600
2013-07-25,28800,0,8700
2013-07-26,29200,0,8800
2013-07-27,29400,0,8900
2013-07-28,29600,0,9000
2013-07-29,29900,0,9000
2013-07-30,30000,0,9100
2013-07-31,30200,0,9300
2013-08-01,30300,0,9300
2013-08-02,30400,0,9500
2013-08-03,30500,0,9500
2013-08-04,30700,0,9500
2013-08-05,30900,0,9500
2013-08-06,31100,0,9500
2013-08-07,31400,0,9500
2013-08-08,31600,0,9500
2013-08-09,31600,0,9500
2013-08-10,31800,0,9500
2013-08-11,32000,0,9500
2013-08-12,32100,0,9500
2013-08-13,32100,0,9500
2013-08-14,32100,0,9500
2013-08-15,32600,0,9500
2013-08-16,32700,0,9600
2013-08-17,33000,0,9600
2013-08-18,33200,0,9800
2013-08-19,33200,0,9900
2013-08-20,33600,0,9900
2013-08-21,33800,0,10100
2013-08-22,33900,0,10100
2013-08-23,34200,0,10100
2013-08-24,34500,0,10200
2013-08-25,34700,0,10200
2013-08-26,34700,0,10200
2013-08-27,35100,0,10600
2013-08-28,35100,0,10600
2013-08-29,35100,0,10600
2013-08-30,35500,0,10600
2013-08-31,35500,0,10700
2013-09-01,35700,0,10800
2013-09-02,35800,0,10900
2013-09-03,36200,0,10900
2013-09-04,36400,0,10900
2013-09-05,36400,0,11000
2013-09-06,36400,0,11000
2013-09-07,36600,0,11000
2013-09-08,36900,0,11000
