Date,'',PS4 player count,
2016-01-05,,9100,
2016-01-06,,40300,
2016-01-07,,74200,
2016-01-08,,103100,
2016-01-09,,149400,
2016-01-10,,198100,
2016-01-11,,233700,
2016-01-12,,264400,
2016-01-13,,296000,
2016-01-14,,324200,
2016-01-15,,357000,
2016-01-16,,400100,
2016-01-17,,438100,
2016-01-18,,467600,
2016-01-19,,491500,
2016-01-20,,514700,
2016-01-21,,537000,
2016-01-22,,563000,
2016-01-23,,599100,
2016-01-24,,634200,
2016-01-25,,658400,
2016-01-26,,680200,
2016-01-27,,702500,
2016-01-28,,725700,
2016-01-29,,748100,
2016-01-30,,781300,
2016-01-31,,809700,
2016-02-01,,834000,
2016-02-02,,857700,
2016-02-03,,877500,
2016-02-04,,892500,
2016-02-05,,910300,
2016-02-06,,934100,
2016-02-07,,954400,
2016-02-08,,969800,
2016-02-09,,984200,
2016-02-10,,995700,
2016-02-11,,1006800,
2016-02-12,,1018900,
2016-02-13,,1033500,
2016-02-14,,1046900,
2016-02-15,,1056800,
2016-02-16,,1066700,
2016-02-17,,1075000,
2016-02-18,,1083400,
2016-02-19,,1091600,
2016-02-20,,1102500,
2016-02-21,,1111100,
2016-02-22,,1117900,
2016-02-23,,1123800,
2016-02-24,,1130200,
2016-02-25,,1136400,
2016-02-26,,1144300,
2016-02-27,,1152700,
2016-02-28,,1162100,
2016-02-29,,1167700,
2016-03-01,,1173600,
2016-03-02,,1179400,
2016-03-03,,1185100,
2016-03-04,,1192400,
2016-03-05,,1200300,
2016-03-06,,1207500,
2016-03-07,,1211900,
2016-03-08,,1216200,
2016-03-09,,1220700,
2016-03-10,,1225100,
2016-03-11,,1230700,
2016-03-12,,1238400,
2016-03-13,,1245100,
2016-03-14,,1248400,
2016-03-15,,1252100,
2016-03-16,,1256100,
2016-03-17,,1259900,
2016-03-18,,1265300,
2016-03-19,,1270700,
2016-03-20,,1276600,
2016-03-21,,1281800,
2016-03-22,,1286700,
2016-03-23,,1291500,
2016-03-24,,1297000,
2016-03-25,,1302400,
2016-03-26,,1308400,
2016-03-27,,1313500,
2016-03-28,,1317500,
2016-03-29,,1320300,
2016-03-30,,1323400,
2016-03-31,,1327100,
2016-04-01,,1331000,
2016-04-02,,1335400,
2016-04-03,,1339700,
2016-04-04,,1343400,
2016-04-05,,1346100,
2016-04-06,,1350600,
2016-04-07,,1354500,
2016-04-08,,1358200,
2016-04-09,,1363400,
2016-04-10,,1368000,
2016-04-11,,1370800,
2016-04-12,,1373600,
2016-04-13,,1376200,
2016-04-14,,1378700,
2016-04-15,,1381400,
2016-04-16,,1385200,
2016-04-17,,1389000,
2016-04-18,,1391900,
2016-04-19,,1394400,
2016-04-20,,1396900,
2016-04-21,,1398500,
2016-04-22,,1401100,
2016-04-23,,1404400,
2016-04-24,,1408100,
2016-04-25,,1410200,
2016-04-26,,1412200,
2016-04-27,,1414300,
2016-04-28,,1416500,
2016-04-29,,1418700,
2016-04-30,,1422000,
2016-05-01,,1424200,
2016-05-02,,1426300,
2016-05-03,,1428200,
2016-05-04,,1429800,
2016-05-05,,1431700,
2016-05-06,,1433500,
2016-05-07,,1436300,
2016-05-08,,1438700,
2016-05-09,,1439900,
2016-05-10,,1441200,
2016-05-11,,1442900,
2016-05-12,,1445000,
2016-05-13,,1447000,
2016-05-14,,1449700,
2016-05-15,,1452400,
2016-05-16,,1454900,
2016-05-17,,1456600,
2016-05-18,,1458600,
2016-05-19,,1459900,
2016-05-20,,1461700,
2016-05-21,,1463700,
2016-05-22,,1466900,
2016-05-23,,1468400,
2016-05-24,,1470300,
2016-05-25,,1472100,
2016-05-26,,1473700,
2016-05-27,,1475400,
2016-05-28,,1478200,
2016-05-29,,1480500,
2016-05-30,,1482100,
2016-05-31,,1483300,
2016-06-01,,1484500,
2016-06-02,,1485800,
2016-06-03,,1487800,
2016-06-04,,1489800,
2016-06-05,,1491700,
2016-06-06,,1493300,
2016-06-07,,1495100,
2016-06-08,,1496600,
2016-06-09,,1498400,
2016-06-10,,1500000,
2016-06-11,,1502300,
2016-06-12,,1504000,
2016-06-13,,1505700,
2016-06-14,,1507700,
2016-06-15,,1509400,
2016-06-16,,1510500,
2016-06-17,,1512000,
2016-06-18,,1514200,
2016-06-19,,1516200,
2016-06-20,,1517400,
2016-06-21,,1519000,
2016-06-22,,1520600,
2016-06-23,,1522000,
2016-06-24,,1523200,
2016-06-25,,1524700,
2016-06-26,,1526300,
2016-06-27,,1527600,
2016-06-28,,1528900,
2016-06-29,,1530200,
2016-06-30,,1531800,
2016-07-01,,1533200,
2016-07-02,,1534500,
2016-07-03,,1536500,
2016-07-04,,1538000,
2016-07-05,,1539300,
2016-07-06,,1540700,
2016-07-07,,1541900,
2016-07-08,,1543500,
2016-07-09,,1544500,
2016-07-10,,1545800,
2016-07-11,,1547400,
2016-07-12,,1548700,
2016-07-13,,1550000,
2016-07-14,,1551300,
2016-07-15,,1552300,
2016-07-16,,1553400,
2016-07-17,,1554400,
2016-07-18,,1555300,
2016-07-19,,1556000,
2016-07-20,,1557100,
2016-07-21,,1557900,
2016-07-22,,1559000,
2016-07-23,,1559900,
2016-07-24,,1560800,
2016-07-25,,1561800,
2016-07-26,,1563000,
2016-07-27,,1564100,
2016-07-28,,1564900,
2016-07-29,,1565800,
2016-07-30,,1566600,
2016-07-31,,1567800,
2016-08-01,,1568900,
2016-08-02,,1569500,
2016-08-03,,1570500,
2016-08-04,,1571000,
2016-08-05,,1571800,
2016-08-06,,1572700,
2016-08-07,,1573600,
2016-08-08,,1574300,
2016-08-09,,1575000,
2016-08-10,,1575800,
2016-08-11,,1576800,
2016-08-12,,1577900,
2016-08-13,,1578500,
2016-08-14,,1579400,
2016-08-15,,1580300,
2016-08-16,,1581600,
2016-08-17,,1582700,
2016-08-18,,1583500,
2016-08-19,,1584200,
2016-08-20,,1584900,
2016-08-21,,1585700,
2016-08-22,,1586200,
2016-08-23,,1586700,
2016-08-24,,1587300,
2016-08-25,,1588000,
2016-08-26,,1588800,
2016-08-27,,1589900,
2016-08-28,,1591000,
2016-08-29,,1591400,
2016-08-30,,1592400,
2016-08-31,,1593200,
2016-09-01,,1593600,
2016-09-02,,1594400,
2016-09-03,,1595300,
2016-09-04,,1596600,
2016-09-05,,1597100,
2016-09-06,,1597700,
2016-09-07,,1598600,
2016-09-08,,1599000,
2016-09-09,,1599600,
2016-09-10,,1600600,
2016-09-11,,1601600,
2016-09-12,,1602400,
2016-09-13,,1603800,
2016-09-14,,1605200,
2016-09-15,,1606400,
2016-09-16,,1607500,
2016-09-17,,1609700,
2016-09-18,,1611200,
2016-09-19,,1612100,
2016-09-20,,1613500,
2016-09-21,,1614600,
2016-09-22,,1615300,
2016-09-23,,1616300,
2016-09-24,,1617300,
2016-09-25,,1618400,
2016-09-26,,1619100,
2016-09-27,,1620100,
2016-09-28,,1621100,
2016-09-29,,1622000,
2016-09-30,,1622800,
2016-10-01,,1624300,
2016-10-02,,1625200,
2016-10-03,,1626100,
2016-10-04,,1626900,
2016-10-05,,1627300,
2016-10-06,,1628100,
2016-10-07,,1629200,
2016-10-08,,1630300,
2016-10-09,,1631700,
2016-10-10,,1632700,
2016-10-11,,1633700,
2016-10-12,,1634300,
2016-10-13,,1635200,
2016-10-14,,1635900,
2016-10-15,,1637000,
2016-10-16,,1637900,
2016-10-17,,1638800,
2016-10-18,,1639800,
2016-10-19,,1640400,
2016-10-20,,1641000,
2016-10-21,,1641500,
2016-10-22,,1642500,
2016-10-23,,1643200,
2016-10-24,,1643800,
2016-10-25,,1644500,
2016-10-26,,1645300,
2016-10-27,,1646100,
2016-10-28,,1646900,
2016-10-29,,1647800,
2016-10-30,,1648800,
2016-10-31,,1649500,
2016-11-01,,1650000,
2016-11-02,,1650600,
2016-11-03,,1650900,
