Date,PS3 player count,PS4 player count,
2010-02-02,0,0,
2010-02-03,0,0,
2010-02-04,0,0,
2010-02-05,0,0,
2010-02-06,0,0,
2010-02-07,0,0,
2010-02-08,0,0,
2010-02-09,100,0,
2010-02-10,200,0,
2010-02-11,200,0,
2010-02-12,300,0,
2010-02-13,400,0,
2010-02-14,400,0,
2010-02-15,500,0,
2010-02-16,500,0,
2010-02-17,700,0,
2010-02-18,1300,0,
2010-02-19,1700,0,
2010-02-20,2600,0,
2010-02-21,3300,0,
2010-02-22,3900,0,
2010-02-23,10100,0,
2010-02-24,21900,0,
2010-02-25,32500,0,
2010-02-26,47600,0,
2010-02-27,64300,0,
2010-02-28,81700,0,
2010-03-01,88200,0,
2010-03-02,105900,0,
2010-03-03,117300,0,
2010-03-04,129600,0,
2010-03-05,140900,0,
2010-03-06,155700,0,
2010-03-07,171700,0,
2010-03-08,184500,0,
2010-03-09,196400,0,
2010-03-10,206900,0,
2010-03-11,216900,0,
2010-03-12,227800,0,
2010-03-13,239500,0,
2010-03-14,251900,0,
2010-03-15,261400,0,
2010-03-16,271900,0,
2010-03-17,281800,0,
2010-03-18,289900,0,
2010-03-19,299400,0,
2010-03-20,312600,0,
2010-03-21,323300,0,
2010-03-22,332200,0,
2010-03-23,339000,0,
2010-03-24,345900,0,
2010-03-25,353300,0,
2010-03-26,360800,0,
2010-03-27,370500,0,
2010-03-28,381000,0,
2010-03-29,389700,0,
2010-03-30,398100,0,
2010-03-31,405400,0,
2010-04-01,411000,0,
2010-04-02,419000,0,
2010-04-03,427900,0,
2010-04-04,436900,0,
2010-04-05,444900,0,
2010-04-06,452100,0,
2010-04-07,458100,0,
2010-04-08,463400,0,
2010-04-09,469900,0,
2010-04-10,477400,0,
2010-04-11,484700,0,
2010-04-12,490200,0,
2010-04-13,496000,0,
2010-04-14,501200,0,
2010-04-15,505700,0,
2010-04-16,511400,0,
2010-04-17,517800,0,
2010-04-18,524500,0,
2010-04-19,529500,0,
2010-04-20,535100,0,
2010-04-21,540500,0,
2010-04-22,544600,0,
2010-04-23,550100,0,
2010-04-24,555400,0,
2010-04-25,561800,0,
2010-04-26,566600,0,
2010-04-27,570700,0,
2010-04-28,575500,0,
2010-04-29,579000,0,
2010-04-30,583700,0,
2010-05-01,590100,0,
2010-05-02,596400,0,
2010-05-03,601700,0,
2010-05-04,605800,0,
2010-05-05,610700,0,
2010-05-06,614800,0,
2010-05-07,620000,0,
2010-05-08,625600,0,
2010-05-09,630600,0,
2010-05-10,635000,0,
2010-05-11,639100,0,
2010-05-12,643200,0,
2010-05-13,647600,0,
2010-05-14,651900,0,
2010-05-15,657700,0,
2010-05-16,664000,0,
2010-05-17,668700,0,
2010-05-18,672500,0,
2010-05-19,677100,0,
2010-05-20,682000,0,
2010-05-21,686100,0,
2010-05-22,691700,0,
2010-05-23,695700,0,
2010-05-24,700400,0,
2010-05-25,705500,0,
2010-05-26,709900,0,
2010-05-27,713300,0,
2010-05-28,717100,0,
2010-05-29,722500,0,
2010-05-30,727100,0,
2010-05-31,731800,0,
2010-06-01,735600,0,
2010-06-02,739700,0,
2010-06-03,743400,0,
2010-06-04,746800,0,
2010-06-05,752000,0,
2010-06-06,756900,0,
2010-06-07,760700,0,
2010-06-08,764700,0,
2010-06-09,768100,0,
2010-06-10,772400,0,
2010-06-11,776000,0,
2010-06-12,780800,0,
2010-06-13,785800,0,
2010-06-14,789600,0,
2010-06-15,793200,0,
2010-06-16,796600,0,
2010-06-17,799900,0,
2010-06-18,803200,0,
2010-06-19,807900,0,
2010-06-20,812800,0,
2010-06-21,817100,0,
2010-06-22,820200,0,
2010-06-23,824000,0,
2010-06-24,827700,0,
2010-06-25,831400,0,
2010-06-26,834800,0,
2010-06-27,838700,0,
2010-06-28,842900,0,
2010-06-29,847800,0,
2010-06-30,852100,0,
2010-07-01,855500,0,
2010-07-02,859800,0,
2010-07-03,864200,0,
2010-07-04,869100,0,
2010-07-05,872900,0,
2010-07-06,876100,0,
2010-07-07,879700,0,
2010-07-08,883600,0,
2010-07-09,888100,0,
2010-07-10,892500,0,
2010-07-11,896300,0,
2010-07-12,899600,0,
2010-07-13,903500,0,
2010-07-14,907500,0,
2010-07-15,910900,0,
2010-07-16,915100,0,
2010-07-17,919000,0,
2010-07-18,923900,0,
2010-07-19,928500,0,
2010-07-20,931500,0,
2010-07-21,935700,0,
2010-07-22,938900,0,
2010-07-23,943000,0,
2010-07-24,947600,0,
2010-07-25,952300,0,
2010-07-26,955900,0,
2010-07-27,958800,0,
2010-07-28,961500,0,
2010-07-29,965100,0,
2010-07-30,968400,0,
2010-07-31,972500,0,
2010-08-01,976800,0,
2010-08-02,980000,0,
2010-08-03,983200,0,
2010-08-04,986800,0,
2010-08-05,989900,0,
2010-08-06,993200,0,
2010-08-07,996600,0,
2010-08-08,1000500,0,
2010-08-09,1004200,0,
2010-08-10,1007200,0,
2010-08-11,1010100,0,
2010-08-12,1013900,0,
2010-08-13,1017300,0,
2010-08-14,1021200,0,
2010-08-15,1025300,0,
2010-08-16,1029300,0,
2010-08-17,1032700,0,
2010-08-18,1036800,0,
2010-08-19,1039800,0,
2010-08-20,1043400,0,
2010-08-21,1048000,0,
2010-08-22,1052200,0,
2010-08-23,1055900,0,
2010-08-24,1059400,0,
2010-08-25,1063500,0,
2010-08-26,1067100,0,
2010-08-27,1070500,0,
2010-08-28,1073900,0,
2010-08-29,1078600,0,
2010-08-30,1081900,0,
2010-08-31,1085200,0,
2010-09-01,1088400,0,
2010-09-02,1091600,0,
2010-09-03,1095100,0,
2010-09-04,1099100,0,
2010-09-05,1102700,0,
2010-09-06,1105900,0,
2010-09-07,1108100,0,
2010-09-08,1110700,0,
2010-09-09,1113800,0,
2010-09-10,1116600,0,
2010-09-11,1120900,0,
2010-09-12,1124200,0,
2010-09-13,1127000,0,
2010-09-14,1130200,0,
2010-09-15,1132800,0,
2010-09-16,1136400,0,
