Date,PS3 player count,PS4 player count,PS Vita player count
2015-03-02,0,100,0
2015-03-03,0,100,100
2015-03-04,100,1100,100
2015-03-05,200,3200,300
2015-03-06,200,4900,700
2015-03-07,300,8400,1300
2015-03-08,500,11800,1600
2015-03-09,800,13600,1900
2015-03-10,900,16200,2100
2015-03-11,1000,18300,2300
2015-03-12,1100,20600,2700
2015-03-13,1100,22300,3000
2015-03-14,1300,24700,3600
2015-03-15,1500,28500,3700
2015-03-16,1600,30200,4000
2015-03-17,2000,31900,4300
2015-03-18,2100,33800,4700
2015-03-19,2100,34900,4800
2015-03-20,2300,37200,4800
2015-03-21,2300,39200,4900
2015-03-22,2800,41500,5000
2015-03-23,3000,43700,5100
2015-03-24,3500,45000,5300
2015-03-25,4000,46300,5500
2015-03-26,4100,47200,5500
2015-03-27,4200,48300,5600
2015-03-28,4200,50200,5600
2015-03-29,4200,52100,5700
2015-03-30,4500,53100,5900
2015-03-31,4500,54200,5900
2015-04-01,4500,55600,6000
2015-04-02,4700,56900,6000
2015-04-03,4700,57700,6100
2015-04-04,4900,58900,6300
2015-04-05,5300,60500,6300
2015-04-06,5400,62200,6500
2015-04-07,5400,63100,6700
2015-04-08,5400,63800,6700
2015-04-09,5500,64300,6900
2015-04-10,5600,65100,6900
2015-04-11,5700,66300,7100
2015-04-12,5900,67100,7100
2015-04-13,5900,67900,7100
2015-04-14,6000,68800,7100
2015-04-15,6000,70000,7100
2015-04-16,6200,70300,7100
2015-04-17,6300,70900,7100
2015-04-18,6500,72100,7100
2015-04-19,6700,73000,7300
2015-04-20,6800,73300,7500
2015-04-21,7000,73500,7800
2015-04-22,7100,73800,8100
2015-04-23,7100,74300,8100
2015-04-24,7400,75200,8100
2015-04-25,7500,76000,8300
2015-04-26,7500,77200,8300
2015-04-27,7700,77600,8300
2015-04-28,7900,78400,8500
2015-04-29,8000,78800,8600
2015-04-30,8000,79200,8600
2015-05-01,8000,80000,8700
2015-05-02,8000,80700,8700
2015-05-03,8100,81300,8900
2015-05-04,8100,81800,8900
2015-05-05,8100,82300,9000
2015-05-06,8100,82600,9100
2015-05-07,8100,83200,9200
2015-05-08,8100,84000,9200
2015-05-09,8300,84900,9200
2015-05-10,8400,85500,9200
2015-05-11,8600,85900,9300
2015-05-12,8600,86000,9400
2015-05-13,8600,86600,9400
2015-05-14,8600,87000,9500
2015-05-15,8700,87500,9600
2015-05-16,9000,88200,9900
2015-05-17,9000,89000,9900
2015-05-18,9000,89800,9900
2015-05-19,9100,90300,10000
2015-05-20,9200,90800,10100
2015-05-21,9300,91700,10100
2015-05-22,9500,92200,10100
2015-05-23,9700,93000,10100
2015-05-24,9800,93500,10200
2015-05-25,9800,93900,10300
2015-05-26,9800,94400,10300
2015-05-27,9900,94900,10500
2015-05-28,9900,95100,10500
2015-05-29,10000,95700,10500
2015-05-30,10200,96200,10700
2015-05-31,10300,96900,10700
2015-06-01,10400,97800,10700
2015-06-02,10400,98100,10900
2015-06-03,10600,98600,11000
2015-06-04,10800,99100,11000
2015-06-05,11000,99400,11000
