Date,'',PS4 player count,
2016-10-13,,200,
2016-10-14,,700,
2016-10-15,,1100,
2016-10-16,,1600,
2016-10-17,,1900,
2016-10-18,,2500,
2016-10-19,,2900,
2016-10-20,,3100,
2016-10-21,,3200,
2016-10-22,,3900,
2016-10-23,,4400,
2016-10-24,,4600,
2016-10-25,,4900,
2016-10-26,,5400,
2016-10-27,,5800,
2016-10-28,,6100,
2016-10-29,,6500,
2016-10-30,,7000,
2016-10-31,,7300,
2016-11-01,,7400,
2016-11-02,,7500,
2016-11-03,,7600,
2016-11-04,,8000,
2016-11-05,,8300,
2016-11-06,,8700,
2016-11-07,,9100,
2016-11-08,,9400,
2016-11-09,,9600,
2016-11-10,,9800,
2016-11-11,,10200,
2016-11-12,,10500,
2016-11-13,,10900,
2016-11-14,,11000,
2016-11-15,,11100,
2016-11-16,,11500,
2016-11-17,,11700,
2016-11-18,,11900,
2016-11-19,,12300,
2016-11-20,,12800,
2016-11-21,,12900,
2016-11-22,,13100,
2016-11-23,,13200,
2016-11-24,,13500,
2016-11-25,,13600,
2016-11-26,,13900,
2016-11-27,,14500,
2016-11-28,,14500,
2016-11-29,,14900,
2016-11-30,,15200,
2016-12-01,,15500,
2016-12-02,,15900,
2016-12-03,,16200,
2016-12-04,,16400,
2016-12-05,,16700,
2016-12-06,,17000,
2016-12-07,,17100,
2016-12-08,,17200,
2016-12-09,,17300,
2016-12-10,,17600,
2016-12-11,,18100,
2016-12-12,,18400,
2016-12-13,,18700,
2016-12-14,,18800,
2016-12-15,,19200,
2016-12-16,,19500,
2016-12-17,,19900,
2016-12-18,,20600,
2016-12-19,,20800,
2016-12-20,,21100,
2016-12-21,,21200,
2016-12-22,,21700,
2016-12-23,,22200,
2016-12-24,,22400,
2016-12-25,,22900,
2016-12-26,,23300,
2016-12-27,,23700,
2016-12-28,,24100,
2016-12-29,,24600,
2016-12-30,,25200,
2016-12-31,,25700,
2017-01-01,,26200,
2017-01-02,,26800,
2017-01-03,,27200,
2017-01-04,,27600,
2017-01-05,,28100,
2017-01-06,,28500,
2017-01-07,,29000,
2017-01-08,,29400,
2017-01-09,,29600,
2017-01-10,,30000,
2017-01-11,,30300,
2017-01-12,,30500,
2017-01-13,,31000,
2017-01-14,,31300,
2017-01-15,,31500,
2017-01-16,,31700,
2017-01-17,,32200,
2017-01-18,,32400,
2017-01-19,,32500,
2017-01-20,,32800,
2017-01-21,,32900,
2017-01-22,,33300,
2017-01-23,,33500,
2017-01-24,,33700,
2017-01-25,,34200,
2017-01-26,,34400,
2017-01-27,,34900,
2017-01-28,,35100,
2017-01-29,,35500,
2017-01-30,,35700,
2017-01-31,,35900,
2017-02-01,,36000,
2017-02-02,,36100,
2017-02-03,,36500,
2017-02-04,,36600,
2017-02-05,,36900,
2017-02-06,,37000,
2017-02-07,,37200,
2017-02-08,,37300,
2017-02-09,,37600,
2017-02-10,,37700,
2017-02-11,,38000,
2017-02-12,,38100,
2017-02-13,,38100,
2017-02-14,,38300,
2017-02-15,,38500,
2017-02-16,,38500,
2017-02-17,,38700,
2017-02-18,,38800,
2017-02-19,,38800,
2017-02-20,,38900,
2017-02-21,,39100,
2017-02-22,,39500,
2017-02-23,,39500,
2017-02-24,,39600,
2017-02-25,,39900,
2017-02-26,,40100,
2017-02-27,,40100,
2017-02-28,,40300,
2017-03-01,,40500,
2017-03-02,,40600,
2017-03-03,,40900,
2017-03-04,,41000,
2017-03-05,,41200,
2017-03-06,,41200,
2017-03-07,,41300,
2017-03-08,,41500,
2017-03-09,,41700,
2017-03-10,,42000,
2017-03-11,,42200,
2017-03-12,,42500,
2017-03-13,,42600,
2017-03-14,,42700,
2017-03-15,,42800,
2017-03-16,,42900,
2017-03-17,,42900,
2017-03-18,,43000,
2017-03-19,,43200,
2017-03-20,,43300,
2017-03-21,,43400,
2017-03-22,,43600,
2017-03-23,,43700,
2017-03-24,,43800,
2017-03-25,,44100,
2017-03-26,,44500,
2017-03-27,,44700,
2017-03-28,,44900,
2017-03-29,,44900,
2017-03-30,,45000,
2017-03-31,,45200,
2017-04-01,,45400,
2017-04-02,,45800,
2017-04-03,,46000,
2017-04-04,,46100,
2017-04-05,,46200,
2017-04-06,,46400,
2017-04-07,,46500,
2017-04-08,,46600,
2017-04-09,,46700,
2017-04-10,,46900,
2017-04-11,,47100,
2017-04-12,,47100,
2017-04-13,,47400,
2017-04-14,,47600,
2017-04-15,,47800,
2017-04-16,,48000,
2017-04-17,,48100,
2017-04-18,,48200,
2017-04-19,,48200,
2017-04-20,,48300,
2017-04-21,,48500,
2017-04-22,,48700,
2017-04-23,,48800,
2017-04-24,,49000,
2017-04-25,,49100,
2017-04-26,,49400,
2017-04-27,,49500,
2017-04-28,,49500,
2017-04-29,,49900,
2017-04-30,,50000,
2017-05-01,,50200,
2017-05-02,,50200,
2017-05-03,,50400,
2017-05-04,,50600,
2017-05-05,,50700,
2017-05-06,,51100,
2017-05-07,,51200,
2017-05-08,,51500,
2017-05-09,,51600,
2017-05-10,,51700,
2017-05-11,,51800,
2017-05-12,,51800,
2017-05-13,,51900,
