Date,PS3 player count,PS4 player count,PS Vita player count
2014-08-12,0,0,0
2014-08-13,200,100,100
2014-08-14,200,400,200
2014-08-15,200,700,200
2014-08-16,200,900,500
2014-08-17,400,1200,600
2014-08-18,400,1600,600
2014-08-19,400,1900,700
2014-08-20,400,2200,700
2014-08-21,400,2300,800
2014-08-22,500,2500,900
2014-08-23,500,3000,900
2014-08-24,500,3100,900
2014-08-25,600,3100,1000
2014-08-26,600,3300,1000
2014-08-27,700,3300,1000
2014-08-28,700,3400,1100
2014-08-29,700,3400,1100
2014-08-30,800,3600,1100
2014-08-31,800,3700,1200
2014-09-01,800,3900,1300
2014-09-02,800,4400,1300
2014-09-03,800,4400,1300
2014-09-04,800,4500,1300
2014-09-05,800,4500,1300
2014-09-06,1000,4500,1300
2014-09-07,1200,4500,1300
2014-09-08,1200,4600,1300
2014-09-09,1200,4700,1300
2014-09-10,1200,4700,1300
2014-09-11,1200,4800,1600
2014-09-12,1200,5100,1600
2014-09-13,1200,5100,1700
2014-09-14,1400,5100,1700
2014-09-15,1500,5100,1700
2014-09-16,1600,5300,1700
2014-09-17,1600,5400,1700
2014-09-18,1600,5500,1700
2014-09-19,1600,5500,1700
2014-09-20,1800,5600,1700
2014-09-21,1900,5600,1700
2014-09-22,1900,5600,1700
2014-09-23,1900,5600,1700
2014-09-24,2000,5700,1700
2014-09-25,2100,5700,1700
2014-09-26,2100,5800,1700
2014-09-27,2100,5800,1700
2014-09-28,2100,5800,1700
2014-09-29,2100,5900,1700
2014-09-30,2100,5900,1800
2014-10-01,2100,5900,1800
2014-10-02,2100,5900,1800
2014-10-03,2100,5900,1800
2014-10-04,2100,5900,1800
2014-10-05,2100,6000,1800
2014-10-06,2100,6000,1800
2014-10-07,2100,6000,1800
2014-10-08,2100,6000,1800
2014-10-09,2100,6000,1800
2014-10-10,2100,6100,1800
2014-10-11,2100,6100,1800
2014-10-12,2100,6100,1800
2014-10-13,2100,6100,1900
2014-10-14,2100,6200,1900
2014-10-15,2200,6400,1900
2014-10-16,2200,6400,1900
2014-10-17,2200,6400,1900
2014-10-18,2300,6400,1900
2014-10-19,2300,6400,1900
2014-10-20,2300,6400,1900
2014-10-21,2300,6400,1900
2014-10-22,2300,6500,1900
2014-10-23,2300,6600,1900
2014-10-24,2300,6600,1900
2014-10-25,2400,6600,1900
2014-10-26,2500,6600,1900
2014-10-27,2500,6600,1900
2014-10-28,2500,6700,1900
2014-10-29,2500,6700,2000
2014-10-30,2500,6700,2000
2014-10-31,2500,6800,2000
2014-11-01,2500,6800,2000
2014-11-02,2500,6800,2200
2014-11-03,2500,6900,2300
2014-11-04,2500,6900,2300
2014-11-05,2500,7000,2300
2014-11-06,2500,7000,2300
2014-11-07,2500,7000,2300
2014-11-08,2500,7100,2300
2014-11-09,2500,7100,2300
2014-11-10,2500,7100,2300
2014-11-11,2500,7100,2300
2014-11-12,2500,7100,2300
2014-11-13,2500,7200,2300
2014-11-14,2600,7200,2300
2014-11-15,2700,7200,2300
2014-11-16,2700,7300,2400
2014-11-17,2700,7300,2400
2014-11-18,2700,7300,2500
2014-11-19,2700,7300,2500
2014-11-20,2700,7300,2500
2014-11-21,2700,7300,2500
2014-11-22,2700,7300,2500
2014-11-23,2700,7300,2500
2014-11-24,2700,7300,2500
2014-11-25,2700,7300,2500
2014-11-26,2700,7300,2500
2014-11-27,2700,7300,2500
2014-11-28,2700,7300,2500
2014-11-29,2700,7300,2500
2014-11-30,2700,7400,2500
2014-12-01,2700,7400,2500
2014-12-02,2700,7600,2500
2014-12-03,2800,7600,2500
2014-12-04,2800,7600,2500
2014-12-05,2800,7600,2500
2014-12-06,2800,7700,2500
2014-12-07,2800,7800,2500
2014-12-08,2800,7900,2500
2014-12-09,2800,8000,2500
2014-12-10,2800,8000,2500
2014-12-11,2800,8000,2500
2014-12-12,2800,8100,2500
2014-12-13,2800,8100,2500
2014-12-14,2800,8100,2500
2014-12-15,2900,8100,2500
2014-12-16,2900,8100,2500
2014-12-17,2900,8100,2500
2014-12-18,2900,8100,2500
2014-12-19,3000,8100,2500
2014-12-20,3000,8300,2500
2014-12-21,3000,8500,2500
2014-12-22,3100,8600,2600
2014-12-23,3200,8700,2600
2014-12-24,3200,8800,2600
2014-12-25,3200,8800,2600
2014-12-26,3200,8800,2600
2014-12-27,3300,8800,2600
2014-12-28,3300,9000,2600
2014-12-29,3400,9000,2600
2014-12-30,3400,9100,2600
2014-12-31,3400,9200,2600
2015-01-01,3400,9600,2600
2015-01-02,3400,9700,2600
2015-01-03,3500,9800,2600
2015-01-04,3500,9800,2600
2015-01-05,3500,9900,2600
2015-01-06,3500,9900,2700
2015-01-07,3500,10200,2900
2015-01-08,3500,10200,3000
2015-01-09,3500,10200,3000
2015-01-10,3700,10400,3100
2015-01-11,3700,10500,3100
2015-01-12,3700,10500,3100
2015-01-13,3700,10500,3100
2015-01-14,3700,10500,3100
2015-01-15,3700,10500,3100
2015-01-16,3700,10600,3100
2015-01-17,3800,10700,3100
2015-01-18,3900,10800,3100
2015-01-19,3900,10900,3100
2015-01-20,3900,10900,3100
2015-01-21,3900,10900,3200
2015-01-22,3900,10900,3200
2015-01-23,3900,10900,3200
2015-01-24,3900,11000,3200
2015-01-25,3900,11000,3200
2015-01-26,4000,11000,3200
2015-01-27,4000,11300,3300
2015-01-28,4000,11400,3400
2015-01-29,4100,11400,3400
2015-01-30,4100,11500,3400
2015-01-31,4200,11800,3400
2015-02-01,4200,11900,3400
2015-02-02,4200,12000,3400
2015-02-03,4200,12100,3400
2015-02-04,4200,12100,3400
2015-02-05,4200,12100,3400
2015-02-06,4200,12100,3400
2015-02-07,4200,12100,3400
2015-02-08,4400,12100,3500
2015-02-09,4400,12100,3500
2015-02-10,4400,12200,3500
2015-02-11,4500,12300,3500
2015-02-12,4500,12300,3500
2015-02-13,4500,12300,3600
2015-02-14,4600,12500,3600
2015-02-15,4600,12500,3600
2015-02-16,4600,12500,3600
2015-02-17,4600,12600,3600
2015-02-18,4600,12600,3600
2015-02-19,4600,12700,3600
2015-02-20,4600,12800,3600
2015-02-21,4600,13100,3600
2015-02-22,4800,13100,3600
2015-02-23,4900,13300,3600
2015-02-24,4900,13300,3600
2015-02-25,4900,13300,3600
2015-02-26,4900,13300,3600
2015-02-27,4900,13400,3600
2015-02-28,5000,13500,3600
2015-03-01,5000,13700,3600
2015-03-02,5000,13800,3600
2015-03-03,5000,13800,3600
2015-03-04,5000,13800,3600
2015-03-05,5000,13900,3600
2015-03-06,5000,14000,3600
2015-03-07,5000,14100,3600
2015-03-08,5000,14200,3600
2015-03-09,5000,14200,3600
2015-03-10,5000,14200,3600
2015-03-11,5000,14300,3600
2015-03-12,5000,14300,3600
2015-03-13,5000,14300,3600
2015-03-14,5000,14400,3600
2015-03-15,5000,14400,3600
2015-03-16,5100,14600,3600
2015-03-17,5100,14600,3600
2015-03-18,5100,14800,3700
2015-03-19,5100,14800,3700
2015-03-20,5200,14800,3700
2015-03-21,5300,14800,3800
2015-03-22,5300,14800,3900
2015-03-23,5300,14800,3900
2015-03-24,5400,14800,3900
2015-03-25,5400,14800,3900
2015-03-26,5400,14800,3900
2015-03-27,5400,14800,3900
2015-03-28,5400,14900,3900
2015-03-29,5400,14900,3900
2015-03-30,5400,14900,3900
2015-03-31,5400,15000,3900
2015-04-01,5400,15100,3900
2015-04-02,5400,15100,3900
2015-04-03,5400,15200,3900
2015-04-04,5500,15400,3900
2015-04-05,5500,15400,3900
2015-04-06,5500,15500,3900
2015-04-07,5500,15500,3900
2015-04-08,5500,15500,3900
2015-04-09,5500,15500,3900
2015-04-10,5500,15500,3900
2015-04-11,5500,15600,3900
2015-04-12,5600,15800,3900
2015-04-13,5700,15900,3900
2015-04-14,5700,15900,3900
2015-04-15,5700,15900,3900
2015-04-16,5700,16000,3900
2015-04-17,5700,16100,3900
2015-04-18,5700,16100,4000
2015-04-19,5700,16100,4000
2015-04-20,5700,16100,4000
2015-04-21,5700,16100,4000
2015-04-22,5800,16300,4000
2015-04-23,5800,16300,4000
2015-04-24,5800,16500,4000
2015-04-25,5800,16500,4000
2015-04-26,5800,16600,4000
2015-04-27,5800,16700,4000
2015-04-28,5900,16800,4000
2015-04-29,5900,16800,4000
2015-04-30,5900,16800,4000
2015-05-01,5900,16900,4000
2015-05-02,5900,16900,4000
2015-05-03,5900,16900,4000
2015-05-04,5900,16900,4000
2015-05-05,6200,16900,4100
2015-05-06,6900,20000,4700
2015-05-07,9400,26800,5600
2015-05-08,12200,35400,7100
2015-05-09,15100,45800,7600
2015-05-10,17100,55100,8700
2015-05-11,19000,60400,9000
2015-05-12,20300,65400,10000
2015-05-13,22000,70900,10400
2015-05-14,22800,77000,10500
2015-05-15,24000,83200,11200
2015-05-16,25300,89600,11800
2015-05-17,26600,96600,11900
2015-05-18,27500,100300,12400
2015-05-19,28100,104400,12700
2015-05-20,29100,108200,13300
2015-05-21,29400,111400,13600
2015-05-22,30300,115200,13800
2015-05-23,31300,120200,14100
2015-05-24,32500,125300,14300
2015-05-25,33500,129100,14400
2015-05-26,33900,132400,14500
2015-05-27,34900,136300,14500
2015-05-28,35500,139600,14700
2015-05-29,36200,143000,15000
2015-05-30,37000,147400,15600
2015-05-31,37700,153000,16000
2015-06-01,38600,156100,16400
2015-06-02,38900,159200,16500
2015-06-03,39600,163000,16500
2015-06-04,40300,165500,16800
2015-06-05,40900,168400,17000
2015-06-06,41800,172600,17000
2015-06-07,42000,175600,17200
2015-06-08,42200,177700,17500
2015-06-09,42500,180200,17500
2015-06-10,43100,182400,17500
2015-06-11,43300,183900,17600
2015-06-12,43700,185700,17600
2015-06-13,44000,188100,17600
2015-06-14,44100,190300,17700
2015-06-15,44400,191700,17700
2015-06-16,44600,192700,17700
2015-06-17,44700,194400,17800
2015-06-18,44700,195600,17900
2015-06-19,44700,197000,18100
2015-06-20,44900,198000,18100
2015-06-21,44900,199900,18200
2015-06-22,45000,201000,18200
2015-06-23,45200,202800,18300
2015-06-24,45200,203500,18300
2015-06-25,45300,204500,18300
2015-06-26,45400,205700,18300
2015-06-27,45400,207100,18300
2015-06-28,45700,208200,18300
2015-06-29,46000,209900,18400
2015-06-30,46000,210800,18500
2015-07-01,46100,211600,18500
2015-07-02,46100,212300,18500
2015-07-03,46200,213100,18500
2015-07-04,46500,214400,18500
2015-07-05,46600,215700,18600
2015-07-06,46800,216500,18600
2015-07-07,47000,217800,18800
2015-07-08,47000,219200,18800
2015-07-09,47300,219900,18800
2015-07-10,47500,220500,18800
2015-07-11,47600,221800,18800
2015-07-12,47700,222800,18800
2015-07-13,47900,223400,18800
2015-07-14,47900,224300,18800
2015-07-15,47900,224800,18900
2015-07-16,47900,225300,18900
2015-07-17,47900,225900,18900
2015-07-18,47900,226800,18900
2015-07-19,47900,227700,18900
2015-07-20,47900,228400,18900
2015-07-21,48000,229100,18900
2015-07-22,48100,229400,18900
2015-07-23,48100,230500,19200
2015-07-24,48200,231300,19200
2015-07-25,48200,231900,19300
2015-07-26,48200,232500,19300
2015-07-27,48400,233300,19300
2015-07-28,48400,233900,19300
2015-07-29,48400,234400,19400
2015-07-30,48500,235000,19400
2015-07-31,48600,235600,19400
2015-08-01,48600,235800,19400
2015-08-02,48600,236700,19400
2015-08-03,48800,237100,19400
2015-08-04,49100,237800,19400
2015-08-05,49300,238200,19400
2015-08-06,49400,238700,19400
2015-08-07,49400,239000,19500
2015-08-08,49500,239900,19500
2015-08-09,49700,240800,19500
2015-08-10,49700,241400,19500
2015-08-11,50000,241500,19600
2015-08-12,50200,242000,19600
2015-08-13,50200,242400,19600
2015-08-14,50200,242900,19700
2015-08-15,50300,243700,19800
2015-08-16,50400,244300,19800
2015-08-17,50400,244500,19800
2015-08-18,50400,244900,19900
2015-08-19,50500,245800,19900
2015-08-20,50600,246200,19900
2015-08-21,50600,246700,19900
2015-08-22,50600,247100,19900
2015-08-23,50700,247300,19900
2015-08-24,50700,247500,19900
2015-08-25,50800,247800,19900
2015-08-26,50800,248000,19900
2015-08-27,50900,248000,19900
2015-08-28,50900,248500,19900
2015-08-29,51000,249100,19900
2015-08-30,51000,249400,19900
2015-08-31,51000,249800,19900
2015-09-01,51200,250100,20000
2015-09-02,51300,250500,20000
2015-09-03,51300,250700,20000
2015-09-04,51500,251100,20000
2015-09-05,51600,251500,20100
2015-09-06,51600,252300,20100
2015-09-07,51800,252500,20100
2015-09-08,51800,253200,20100
2015-09-09,51800,253900,20100
2015-09-10,51800,254300,20100
2015-09-11,51800,254600,20100
2015-09-12,51800,254900,20100
2015-09-13,51800,255200,20100
2015-09-14,51800,255200,20100
2015-09-15,51800,255500,20100
2015-09-16,51800,255800,20100
2015-09-17,51900,256200,20100
