Date,'',PS4 player count,
2018-05-10,,0,
2018-05-11,,100,
2018-05-12,,100,
2018-05-13,,100,
2018-05-14,,100,
2018-05-15,,400,
2018-05-16,,1000,
2018-05-17,,1700,
2018-05-18,,2300,
2018-05-19,,3100,
2018-05-20,,4100,
2018-05-21,,4300,
2018-05-22,,4900,
2018-05-23,,5200,
2018-05-24,,5600,
2018-05-25,,5900,
2018-05-26,,6600,
2018-05-27,,7200,
2018-05-28,,7500,
2018-05-29,,7800,
2018-05-30,,8000,
2018-05-31,,8500,
2018-06-01,,8900,
2018-06-02,,9300,
2018-06-03,,9600,
2018-06-04,,9700,
2018-06-05,,10000,
2018-06-06,,10200,
2018-06-07,,10700,
2018-06-08,,10900,
2018-06-09,,11500,
2018-06-10,,11900,
2018-06-11,,12000,
2018-06-12,,12300,
2018-06-13,,12500,
2018-06-14,,12800,
2018-06-15,,13000,
2018-06-16,,13400,
2018-06-17,,13700,
2018-06-18,,13800,
2018-06-19,,14100,
2018-06-20,,14300,
2018-06-21,,14400,
2018-06-22,,14600,
2018-06-23,,14600,
2018-06-24,,15200,
2018-06-25,,15600,
2018-06-26,,16000,
2018-06-27,,16300,
2018-06-28,,16400,
2018-06-29,,16700,
2018-06-30,,16900,
2018-07-01,,17200,
2018-07-02,,17400,
2018-07-03,,17500,
2018-07-04,,17700,
2018-07-05,,17900,
2018-07-06,,18000,
2018-07-07,,18300,
2018-07-08,,18600,
2018-07-09,,18800,
2018-07-10,,19100,
2018-07-11,,19300,
2018-07-12,,19500,
2018-07-13,,19800,
2018-07-14,,20100,
2018-07-15,,20500,
2018-07-16,,20700,
2018-07-17,,20900,
2018-07-18,,20900,
2018-07-19,,21100,
2018-07-20,,21200,
2018-07-21,,21700,
2018-07-22,,22100,
2018-07-23,,22300,
2018-07-24,,22600,
2018-07-25,,22800,
2018-07-26,,22900,
2018-07-27,,23100,
2018-07-28,,23200,
2018-07-29,,23400,
2018-07-30,,23600,
2018-07-31,,23700,
2018-08-01,,23800,
2018-08-02,,24000,
2018-08-03,,24100,
2018-08-04,,24200,
2018-08-05,,24600,
2018-08-06,,24700,
2018-08-07,,24900,
2018-08-08,,25000,
2018-08-09,,25000,
2018-08-10,,25100,
2018-08-11,,25400,
2018-08-12,,25700,
2018-08-13,,26000,
2018-08-14,,26200,
2018-08-15,,26300,
2018-08-16,,26500,
2018-08-17,,26700,
2018-08-18,,27200,
2018-08-19,,27600,
2018-08-20,,27700,
2018-08-21,,27800,
2018-08-22,,28300,
2018-08-23,,28500,
2018-08-24,,28900,
2018-08-25,,29500,
2018-08-26,,29900,
2018-08-27,,30100,
2018-08-28,,30200,
2018-08-29,,30400,
2018-08-30,,30600,
2018-08-31,,30800,
2018-09-01,,31100,
