Date,PS3 player count,PS4 player count,PS Vita player count
2013-06-25,300,0,0
2013-06-26,700,0,100
2013-06-27,1200,0,100
2013-06-28,1700,0,300
2013-06-29,2000,0,600
2013-06-30,3000,0,700
2013-07-01,3100,0,700
2013-07-02,3700,0,1000
2013-07-03,4000,0,1400
2013-07-04,4600,0,1500
2013-07-05,4900,0,1700
2013-07-06,5400,0,1900
2013-07-07,5800,0,2000
2013-07-08,6000,0,2000
2013-07-09,6100,0,2100
2013-07-10,6700,0,2200
2013-07-11,6900,0,2300
2013-07-12,7400,0,2300
2013-07-13,8000,0,2400
2013-07-14,8300,0,2400
2013-07-15,8800,0,2600
2013-07-16,8900,0,2600
2013-07-17,9100,0,2600
2013-07-18,9200,0,2600
2013-07-19,9300,0,2600
2013-07-20,9400,0,2600
2013-07-21,9900,0,2600
2013-07-22,10100,0,2600
2013-07-23,10400,0,2600
2013-07-24,10500,0,2700
2013-07-25,10700,0,3000
2013-07-26,10900,0,3100
2013-07-27,11100,0,3100
2013-07-28,11400,0,3100
2013-07-29,11700,0,3200
2013-07-30,11900,0,3400
2013-07-31,12100,0,3500
2013-08-01,12300,0,3500
2013-08-02,12500,0,3500
2013-08-03,13000,0,3500
2013-08-04,13400,0,3700
2013-08-05,13500,0,3800
2013-08-06,14000,0,3800
2013-08-07,14300,0,3900
2013-08-08,14500,0,4000
2013-08-09,14900,0,4000
2013-08-10,15100,0,4100
2013-08-11,15300,0,4100
2013-08-12,15600,0,4100
2013-08-13,15900,0,4300
2013-08-14,16100,0,4500
2013-08-15,16300,0,4600
2013-08-16,16600,0,4600
2013-08-17,16900,0,4600
2013-08-18,17100,0,4700
2013-08-19,17300,0,4800
2013-08-20,17500,0,4900
2013-08-21,17500,0,5000
2013-08-22,17600,0,5200
2013-08-23,17900,0,5300
2013-08-24,18200,0,5400
2013-08-25,18500,0,5500
2013-08-26,18600,0,5500
2013-08-27,18700,0,5700
2013-08-28,19200,0,5700
2013-08-29,19200,0,5800
2013-08-30,19400,0,5800
2013-08-31,19600,0,6000
2013-09-01,19800,0,6000
2013-09-02,20000,0,6200
2013-09-03,20200,0,6200
2013-09-04,20300,0,6200
2013-09-05,20500,0,6200
2013-09-06,20800,0,6300
2013-09-07,20900,0,6300
2013-09-08,21100,0,6300
2013-09-09,21200,0,6400
2013-09-10,21500,0,6400
2013-09-11,21600,0,6500
2013-09-12,21600,0,6500
2013-09-13,21800,0,6500
2013-09-14,21900,0,6500
2013-09-15,22100,0,6600
2013-09-16,22500,0,6900
2013-09-17,22700,0,6900
2013-09-18,22700,0,6900
2013-09-19,22700,0,6900
2013-09-20,22800,0,7100
2013-09-21,23000,0,7100
2013-09-22,23200,0,7100
2013-09-23,23200,0,7100
2013-09-24,23200,0,7100
2013-09-25,23300,0,7100
2013-09-26,23400,0,7200
2013-09-27,23500,0,7200
2013-09-28,23500,0,7200
2013-09-29,23600,0,7200
2013-09-30,23700,0,7300
2013-10-01,23700,0,7300
2013-10-02,23900,0,7400
2013-10-03,24100,0,7400
2013-10-04,24200,0,7400
2013-10-05,24300,0,7500
2013-10-06,24600,0,7500
2013-10-07,24800,0,7600
2013-10-08,24800,0,7600
2013-10-09,24900,0,7600
2013-10-10,25000,0,7600
2013-10-11,25100,0,7600
2013-10-12,25300,0,7900
2013-10-13,25300,0,8100
2013-10-14,25400,0,8100
2013-10-15,25400,0,8100
2013-10-16,25400,0,8300
2013-10-17,25800,0,8400
2013-10-18,26100,0,8400
2013-10-19,26300,0,8500
2013-10-20,26600,0,8500
2013-10-21,26900,0,8600
2013-10-22,27600,0,8900
2013-10-23,31800,0,9500
2013-10-24,35100,0,9800
2013-10-25,39200,0,10200
2013-10-26,44600,0,10600
2013-10-27,47900,0,11200
2013-10-28,50900,0,11400
2013-10-29,53400,0,11700
2013-10-30,55500,0,12200
2013-10-31,57800,0,12500
2013-11-01,59700,0,12800
2013-11-02,61600,0,13300
2013-11-03,65500,0,13800
2013-11-04,67800,0,14000
2013-11-05,70500,0,14400
2013-11-06,71900,0,14700
2013-11-07,73600,0,15300
2013-11-08,75900,0,15600
2013-11-09,77500,0,15800
2013-11-10,79200,0,16200
2013-11-11,80500,0,16400
2013-11-12,81800,0,16700
2013-11-13,84000,0,16900
2013-11-14,84900,0,17000
2013-11-15,86800,0,17400
2013-11-16,88100,100,17600
2013-11-17,89400,100,17900
2013-11-18,90400,200,18200
2013-11-19,91400,200,18600
2013-11-20,92500,200,19000
2013-11-21,93200,200,19100
2013-11-22,94800,200,19700
2013-11-23,96400,200,20100
2013-11-24,98400,200,20300
2013-11-25,100100,200,20500
2013-11-26,101100,200,20600
2013-11-27,102700,200,21000
2013-11-28,104200,200,21300
2013-11-29,104900,300,21400
2013-11-30,106200,400,21500
2013-12-01,108200,400,22000
2013-12-02,109500,400,22100
2013-12-03,110400,400,22300
2013-12-04,111600,400,22500
2013-12-05,112700,400,22700
2013-12-06,114000,500,22900
2013-12-07,115700,500,23100
2013-12-08,117800,600,23600
2013-12-09,119200,600,23600
2013-12-10,120400,600,23700
2013-12-11,121200,600,23700
2013-12-12,121900,700,24000
2013-12-13,123100,700,24100
2013-12-14,124200,800,24200
2013-12-15,125200,800,24300
2013-12-16,126800,800,24500
2013-12-17,127700,900,24700
2013-12-18,128700,900,25200
2013-12-19,129200,900,25300
2013-12-20,130300,900,25400
2013-12-21,131800,1000,25700
2013-12-22,133200,1000,25700
2013-12-23,134400,1000,25700
2013-12-24,135200,1100,25900
2013-12-25,136600,1100,26100
2013-12-26,137500,1100,26100
2013-12-27,138400,1100,26200
2013-12-28,139100,1100,26300
2013-12-29,140300,1200,26600
2013-12-30,140800,1200,26600
2013-12-31,141900,1200,27000
2014-01-01,142200,1200,27400
2014-01-02,143000,1300,27400
2014-01-03,143900,1400,27400
2014-01-04,144500,1400,27400
2014-01-05,145000,1400,27600
2014-01-06,145700,1400,27700
2014-01-07,146000,1400,27800
2014-01-08,146800,1400,28300
2014-01-09,147500,1400,28700
2014-01-10,147800,1400,28700
2014-01-11,148200,1400,28700
2014-01-12,148700,1400,28800
2014-01-13,149300,1400,28800
2014-01-14,149400,1400,29000
2014-01-15,149900,1400,29000
2014-01-16,150000,1400,29000
2014-01-17,150600,1400,29000
2014-01-18,150700,1400,29100
2014-01-19,151300,1400,29200
2014-01-20,151500,1400,29200
2014-01-21,151800,1400,29300
2014-01-22,152500,1500,29600
2014-01-23,152800,1500,29800
2014-01-24,153500,1500,29900
2014-01-25,154100,1500,29900
2014-01-26,154400,1500,30000
2014-01-27,154700,1500,30100
2014-01-28,154900,1500,30100
2014-01-29,155500,1500,30200
2014-01-30,155900,1500,30200
2014-01-31,156100,1600,30300
2014-02-01,157100,1600,30400
2014-02-02,157600,1600,30600
2014-02-03,157700,1600,30700
2014-02-04,158000,1600,30700
2014-02-05,158300,1600,30800
2014-02-06,158600,1600,30900
2014-02-07,158800,1600,31000
2014-02-08,159100,1600,31300
2014-02-09,159500,1600,31300
2014-02-10,160100,1600,31500
2014-02-11,160800,1600,31600
2014-02-12,161300,1600,31800
2014-02-13,161900,1600,32200
2014-02-14,162200,1600,32300
2014-02-15,162800,1600,32600
2014-02-16,163200,1600,32800
2014-02-17,163600,1600,32800
2014-02-18,164000,1600,33000
2014-02-19,164200,1600,33300
2014-02-20,164700,1600,33600
2014-02-21,164900,1600,33600
2014-02-22,165400,1600,33600
2014-02-23,166100,1600,33600
2014-02-24,166500,1600,33600
2014-02-25,167100,1600,33700
2014-02-26,167500,1700,33900
2014-02-27,167900,1700,34000
2014-02-28,168300,1800,34200
2014-03-01,169300,1800,34200
2014-03-02,169600,1900,34600
2014-03-03,170000,2000,34700
2014-03-04,170200,2000,34700
2014-03-05,170600,2000,34800
2014-03-06,171100,2000,34900
2014-03-07,171500,2000,35000
2014-03-08,171700,2000,35000
2014-03-09,172100,2000,35000
2014-03-10,172700,2000,35100
2014-03-11,173000,2000,35200
2014-03-12,173400,2000,35300
2014-03-13,173600,2000,35400
2014-03-14,173900,2000,35500
2014-03-15,174500,2000,35700
2014-03-16,174600,2000,35900
2014-03-17,174800,2000,36000
2014-03-18,175000,2000,36000
2014-03-19,175200,2000,36100
2014-03-20,175400,2000,36300
2014-03-21,175500,2000,36300
2014-03-22,176100,2000,36400
2014-03-23,176600,2000,36500
2014-03-24,176700,2000,36500
2014-03-25,176800,2100,36500
2014-03-26,176900,2100,36600
2014-03-27,177100,2100,36700
2014-03-28,177300,2100,36900
2014-03-29,177800,2100,36900
2014-03-30,178000,2100,37100
2014-03-31,178000,2100,37200
2014-04-01,178200,2100,37200
2014-04-02,179400,2200,37300
2014-04-03,181900,2300,37400
2014-04-04,185500,2400,38000
2014-04-05,189100,2400,38400
2014-04-06,191100,2600,39200
2014-04-07,193300,2600,39700
2014-04-08,195400,2600,40200
2014-04-09,197700,2700,40700
2014-04-10,199400,2900,40900
2014-04-11,202000,2900,41100
2014-04-12,203800,2900,41400
2014-04-13,205900,3200,41800
2014-04-14,208100,3200,42300
2014-04-15,210700,3200,42500
2014-04-16,211900,3200,42700
2014-04-17,213100,3200,43200
2014-04-18,214900,3200,43300
2014-04-19,216500,3300,43300
2014-04-20,218200,3300,43900
2014-04-21,219300,3300,44000
2014-04-22,220300,3300,44400
2014-04-23,221300,3300,44500
2014-04-24,222100,3300,44800
2014-04-25,222900,3500,45100
2014-04-26,224300,3600,45100
2014-04-27,225800,3600,45400
2014-04-28,227500,3600,45900
2014-04-29,228500,3700,46000
2014-04-30,229600,3700,46400
2014-05-01,231600,3800,46700
2014-05-02,232600,3800,47000
2014-05-03,233900,3900,47400
2014-05-04,235000,4000,47400
2014-05-05,236000,4000,47500
2014-05-06,236900,4000,47600
2014-05-07,237700,4000,47600
2014-05-08,238100,4000,47700
2014-05-09,238400,4000,47900
2014-05-10,239500,4000,48200
2014-05-11,240400,4000,48500
2014-05-12,241200,4100,48700
2014-05-13,241400,4100,48900
2014-05-14,242000,4100,49000
2014-05-15,242500,4100,49100
2014-05-16,243000,4100,49300
2014-05-17,243400,4100,49400
2014-05-18,244300,4200,49700
2014-05-19,244700,4200,49800
2014-05-20,245000,4200,49800
2014-05-21,245200,4200,49900
2014-05-22,245400,4200,49900
2014-05-23,246000,4200,50000
2014-05-24,246900,4200,50000
2014-05-25,247900,4200,50100
2014-05-26,248500,4200,50300
2014-05-27,248800,4200,50300
2014-05-28,249200,4200,50300
2014-05-29,249600,4200,50500
2014-05-30,249900,4200,50600
2014-05-31,250100,4200,50600
2014-06-01,250900,4200,50800
2014-06-02,251200,4200,50800
2014-06-03,251600,4200,51000
2014-06-04,252200,4200,51000
2014-06-05,252200,4200,51000
2014-06-06,252700,4200,51100
2014-06-07,253200,4200,51200
2014-06-08,253700,4200,51400
2014-06-09,254000,4200,51600
2014-06-10,254400,4400,51600
2014-06-11,254800,4400,51700
2014-06-12,255200,4500,51700
2014-06-13,255700,4500,51900
2014-06-14,256000,4500,52200
2014-06-15,256700,4500,52200
2014-06-16,257000,4600,52200
2014-06-17,257000,4600,52300
2014-06-18,257400,4600,52400
2014-06-19,257900,4600,52700
2014-06-20,258000,4600,52800
2014-06-21,258200,4700,52900
2014-06-22,258800,4700,53000
2014-06-23,259200,4800,53000
2014-06-24,259300,4900,53200
2014-06-25,260000,4900,53300
2014-06-26,260000,4900,53600
2014-06-27,260100,4900,53700
2014-06-28,260700,4900,54000
2014-06-29,260800,4900,54000
2014-06-30,261200,4900,54200
2014-07-01,261500,4900,54300
2014-07-02,261800,4900,54800
