Date,'',PS4 player count,
2014-08-26,,3000,
2014-08-27,,8500,
2014-08-28,,13900,
2014-08-29,,18200,
2014-08-30,,24100,
2014-08-31,,29100,
2014-09-01,,33900,
2014-09-02,,38200,
2014-09-03,,41700,
2014-09-04,,45000,
2014-09-05,,48000,
2014-09-06,,52600,
2014-09-07,,56500,
2014-09-08,,59100,
2014-09-09,,62800,
2014-09-10,,65600,
2014-09-11,,68600,
2014-09-12,,71400,
2014-09-13,,74600,
2014-09-14,,78800,
2014-09-15,,81900,
2014-09-16,,83900,
2014-09-17,,85800,
2014-09-18,,88100,
2014-09-19,,89800,
2014-09-20,,92900,
2014-09-21,,95500,
2014-09-22,,97000,
2014-09-23,,99200,
2014-09-24,,100900,
2014-09-25,,102700,
2014-09-26,,104600,
2014-09-27,,106600,
2014-09-28,,108700,
2014-09-29,,110200,
2014-09-30,,111500,
2014-10-01,,113100,
2014-10-02,,115100,
2014-10-03,,116700,
2014-10-04,,118900,
2014-10-05,,121100,
2014-10-06,,122700,
2014-10-07,,124300,
2014-10-08,,126100,
2014-10-09,,127500,
2014-10-10,,129000,
2014-10-11,,131300,
2014-10-12,,133100,
2014-10-13,,134600,
2014-10-14,,135700,
2014-10-15,,137000,
2014-10-16,,138200,
2014-10-17,,140100,
2014-10-18,,142400,
2014-10-19,,143500,
2014-10-20,,144500,
2014-10-21,,145600,
2014-10-22,,146400,
2014-10-23,,147600,
2014-10-24,,148900,
2014-10-25,,150300,
2014-10-26,,151900,
2014-10-27,,153100,
2014-10-28,,155600,
2014-10-29,,157000,
2014-10-30,,158100,
2014-10-31,,159200,
2014-11-01,,160800,
2014-11-02,,162900,
2014-11-03,,163800,
2014-11-04,,165300,
2014-11-05,,166400,
2014-11-06,,167900,
2014-11-07,,169300,
2014-11-08,,170800,
2014-11-09,,172300,
2014-11-10,,173500,
2014-11-11,,174600,
2014-11-12,,175600,
2014-11-13,,177100,
2014-11-14,,178700,
2014-11-15,,180100,
2014-11-16,,182000,
2014-11-17,,183200,
2014-11-18,,184500,
2014-11-19,,185800,
2014-11-20,,186300,
2014-11-21,,187100,
2014-11-22,,188800,
2014-11-23,,190600,
2014-11-24,,191000,
2014-11-25,,191600,
2014-11-26,,192500,
2014-11-27,,193300,
2014-11-28,,194200,
2014-11-29,,195200,
2014-11-30,,196000,
2014-12-01,,196800,
2014-12-02,,197600,
2014-12-03,,198400,
2014-12-04,,199600,
2014-12-05,,200200,
2014-12-06,,201400,
2014-12-07,,202500,
2014-12-08,,203000,
2014-12-09,,203600,
2014-12-10,,204100,
2014-12-11,,204700,
2014-12-12,,205500,
2014-12-13,,206300,
2014-12-14,,207300,
2014-12-15,,207900,
2014-12-16,,208900,
2014-12-17,,209600,
2014-12-18,,210500,
2014-12-19,,211100,
2014-12-20,,212200,
2014-12-21,,213300,
2014-12-22,,214400,
2014-12-23,,215300,
2014-12-24,,216400,
2014-12-25,,217200,
2014-12-26,,217700,
2014-12-27,,218800,
2014-12-28,,219900,
2014-12-29,,221400,
2014-12-30,,223300,
2014-12-31,,224700,
2015-01-01,,226400,
2015-01-02,,227500,
2015-01-03,,229300,
2015-01-04,,230600,
2015-01-05,,231300,
2015-01-06,,233200,
2015-01-07,,255000,
2015-01-08,,305600,
2015-01-09,,366400,
2015-01-10,,446600,
2015-01-11,,532000,
2015-01-12,,588400,
2015-01-13,,638400,
2015-01-14,,689100,
2015-01-15,,740500,
2015-01-16,,789800,
2015-01-17,,856000,
2015-01-18,,919800,
2015-01-19,,970400,
2015-01-20,,1013100,
2015-01-21,,1052000,
2015-01-22,,1085700,
2015-01-23,,1125500,
2015-01-24,,1177600,
2015-01-25,,1230600,
2015-01-26,,1265600,
2015-01-27,,1300700,
2015-01-28,,1333100,
2015-01-29,,1364600,
2015-01-30,,1400200,
2015-01-31,,1449600,
2015-02-01,,1497100,
2015-02-02,,1527400,
2015-02-03,,1560500,
2015-02-04,,1592300,
2015-02-05,,1618600,
2015-02-06,,1644000,
2015-02-07,,1679400,
2015-02-08,,1710700,
2015-02-09,,1730100,
2015-02-10,,1747400,
2015-02-11,,1764500,
2015-02-12,,1779200,
2015-02-13,,1797700,
2015-02-14,,1820600,
2015-02-15,,1842200,
2015-02-16,,1859800,
2015-02-17,,1877100,
2015-02-18,,1890200,
2015-02-19,,1903700,
2015-02-20,,1919000,
2015-02-21,,1939100,
2015-02-22,,1959500,
2015-02-23,,1972000,
2015-02-24,,1984700,
2015-02-25,,1996300,
2015-02-26,,2008900,
2015-02-27,,2020400,
2015-02-28,,2036100,
2015-03-01,,2053000,
2015-03-02,,2063700,
2015-03-03,,2073700,
2015-03-04,,2083700,
2015-03-05,,2093500,
2015-03-06,,2105000,
2015-03-07,,2117300,
2015-03-08,,2130500,
2015-03-09,,2140200,
2015-03-10,,2151800,
2015-03-11,,2160500,
2015-03-12,,2168500,
2015-03-13,,2177900,
2015-03-14,,2189900,
2015-03-15,,2201100,
2015-03-16,,2208300,
2015-03-17,,2216000,
2015-03-18,,2222900,
2015-03-19,,2230100,
2015-03-20,,2238400,
2015-03-21,,2247000,
2015-03-22,,2256900,
2015-03-23,,2262600,
2015-03-24,,2268800,
2015-03-25,,2275800,
2015-03-26,,2284200,
2015-03-27,,2292100,
2015-03-28,,2302800,
2015-03-29,,2312600,
2015-03-30,,2319600,
2015-03-31,,2325800,
2015-04-01,,2332400,
2015-04-02,,2340100,
2015-04-03,,2347800,
2015-04-04,,2356100,
2015-04-05,,2363800,
2015-04-06,,2369600,
2015-04-07,,2375500,
2015-04-08,,2380400,
2015-04-09,,2384800,
2015-04-10,,2389800,
2015-04-11,,2395600,
2015-04-12,,2401200,
2015-04-13,,2405700,
2015-04-14,,2410300,
2015-04-15,,2414400,
2015-04-16,,2418800,
2015-04-17,,2423500,
2015-04-18,,2428800,
2015-04-19,,2435000,
