Date,'',PS4 player count,
2014-03-10,,0,
2014-03-11,,0,
2014-03-12,,0,
2014-03-13,,0,
2014-03-14,,400,
2014-03-15,,600,
2014-03-16,,1000,
2014-03-17,,2100,
2014-03-18,,4400,
2014-03-19,,10600,
2014-03-20,,39700,
2014-03-21,,302100,
2014-03-22,,493600,
2014-03-23,,580900,
2014-03-24,,637300,
2014-03-25,,686400,
2014-03-26,,725000,
2014-03-27,,759000,
2014-03-28,,799900,
2014-03-29,,849300,
2014-03-30,,885900,
2014-03-31,,910200,
2014-04-01,,935400,
2014-04-02,,959000,
2014-04-03,,978500,
2014-04-04,,1000700,
2014-04-05,,1035300,
2014-04-06,,1061300,
2014-04-07,,1079300,
2014-04-08,,1096000,
2014-04-09,,1111300,
2014-04-10,,1127000,
2014-04-11,,1147700,
2014-04-12,,1174100,
2014-04-13,,1193800,
2014-04-14,,1210100,
2014-04-15,,1225300,
2014-04-16,,1240300,
2014-04-17,,1254700,
2014-04-18,,1273300,
2014-04-19,,1294700,
2014-04-20,,1312300,
2014-04-21,,1325100,
2014-04-22,,1337600,
2014-04-23,,1351700,
2014-04-24,,1363100,
2014-04-25,,1375100,
2014-04-26,,1394100,
2014-04-27,,1408300,
2014-04-28,,1418200,
2014-04-29,,1428000,
2014-04-30,,1437200,
2014-05-01,,1447500,
2014-05-02,,1460300,
2014-05-03,,1476800,
2014-05-04,,1488200,
2014-05-05,,1497400,
2014-05-06,,1507100,
2014-05-07,,1516600,
2014-05-08,,1526800,
2014-05-09,,1537600,
2014-05-10,,1552900,
2014-05-11,,1565200,
2014-05-12,,1572900,
2014-05-13,,1581400,
2014-05-14,,1589200,
2014-05-15,,1598200,
2014-05-16,,1607100,
2014-05-17,,1620400,
2014-05-18,,1631300,
2014-05-19,,1639800,
2014-05-20,,1647200,
2014-05-21,,1655000,
2014-05-22,,1673100,
2014-05-23,,1686400,
2014-05-24,,1702300,
2014-05-25,,1713600,
2014-05-26,,1723800,
2014-05-27,,1731800,
2014-05-28,,1740200,
2014-05-29,,1749900,
2014-05-30,,1758700,
2014-05-31,,1769200,
2014-06-01,,1778500,
2014-06-02,,1786300,
2014-06-03,,1793300,
2014-06-04,,1800300,
2014-06-05,,1805900,
2014-06-06,,1814100,
2014-06-07,,1824700,
2014-06-08,,1833900,
2014-06-09,,1840100,
2014-06-10,,1847900,
2014-06-11,,1855700,
2014-06-12,,1862800,
2014-06-13,,1871700,
2014-06-14,,1882000,
2014-06-15,,1892700,
2014-06-16,,1900800,
2014-06-17,,1908900,
2014-06-18,,1916700,
2014-06-19,,1924900,
2014-06-20,,1933300,
2014-06-21,,1943400,
2014-06-22,,1952000,
2014-06-23,,1959700,
2014-06-24,,1965600,
2014-06-25,,1972500,
2014-06-26,,1979400,
2014-06-27,,1986100,
2014-06-28,,1996100,
2014-06-29,,2005300,
2014-06-30,,2013900,
2014-07-01,,2022400,
2014-07-02,,2029900,
2014-07-03,,2037900,
2014-07-04,,2044700,
2014-07-05,,2052800,
2014-07-06,,2060300,
2014-07-07,,2067700,
2014-07-08,,2075800,
2014-07-09,,2082700,
2014-07-10,,2089200,
2014-07-11,,2097600,
2014-07-12,,2106700,
2014-07-13,,2113300,
2014-07-14,,2120300,
2014-07-15,,2126900,
2014-07-16,,2134400,
2014-07-17,,2140700,
2014-07-18,,2148100,
2014-07-19,,2157600,
2014-07-20,,2165300,
2014-07-21,,2172300,
2014-07-22,,2179000,
2014-07-23,,2185200,
2014-07-24,,2191000,
2014-07-25,,2198000,
2014-07-26,,2205900,
2014-07-27,,2213400,
2014-07-28,,2219700,
2014-07-29,,2226700,
2014-07-30,,2234000,
2014-07-31,,2240800,
2014-08-01,,2248100,
2014-08-02,,2256900,
2014-08-03,,2264400,
2014-08-04,,2271500,
2014-08-05,,2277900,
2014-08-06,,2283300,
2014-08-07,,2289900,
2014-08-08,,2295600,
2014-08-09,,2304400,
2014-08-10,,2311600,
2014-08-11,,2318200,
2014-08-12,,2325600,
2014-08-13,,2332300,
2014-08-14,,2339600,
2014-08-15,,2346200,
2014-08-16,,2355200,
2014-08-17,,2363900,
2014-08-18,,2370700,
2014-08-19,,2377800,
2014-08-20,,2384600,
2014-08-21,,2391000,
2014-08-22,,2397800,
2014-08-23,,2408300,
2014-08-24,,2417100,
2014-08-25,,2424800,
2014-08-26,,2431100,
2014-08-27,,2437300,
2014-08-28,,2443800,
2014-08-29,,2449500,
2014-08-30,,2458300,
2014-08-31,,2466000,
2014-09-01,,2472900,
2014-09-02,,2478600,
2014-09-03,,2484700,
2014-09-04,,2491100,
2014-09-05,,2497100,
2014-09-06,,2505000,
2014-09-07,,2512500,
2014-09-08,,2518100,
2014-09-09,,2524000,
2014-09-10,,2530100,
2014-09-11,,2536200,
2014-09-12,,2543500,
2014-09-13,,2552400,
2014-09-14,,2560300,
2014-09-15,,2566400,
2014-09-16,,2571800,
2014-09-17,,2577200,
2014-09-18,,2582200,
2014-09-19,,2588800,
2014-09-20,,2598300,
2014-09-21,,2605600,
2014-09-22,,2610400,
2014-09-23,,2615200,
2014-09-24,,2620200,
2014-09-25,,2625200,
2014-09-26,,2631000,
2014-09-27,,2638500,
2014-09-28,,2645500,
2014-09-29,,2650000,
2014-09-30,,2654400,
2014-10-01,,2659000,
2014-10-02,,2664500,
2014-10-03,,2669700,
2014-10-04,,2677600,
2014-10-05,,2685300,
2014-10-06,,2690100,
2014-10-07,,2695000,
2014-10-08,,2699700,
2014-10-09,,2703900,
2014-10-10,,2710000,
2014-10-11,,2717700,
2014-10-12,,2723600,
2014-10-13,,2729400,
2014-10-14,,2733700,
2014-10-15,,2737800,
2014-10-16,,2742400,
2014-10-17,,2748000,
2014-10-18,,2753700,
2014-10-19,,2760200,
2014-10-20,,2764800,
2014-10-21,,2768600,
2014-10-22,,2772500,
2014-10-23,,2776400,
2014-10-24,,2782300,
2014-10-25,,2789700,
2014-10-26,,2796000,
2014-10-27,,2800400,
2014-10-28,,2804500,
2014-10-29,,2808800,
2014-10-30,,2813200,
2014-10-31,,2818300,
2014-11-01,,2824700,
2014-11-02,,2830300,
2014-11-03,,2834900,
2014-11-04,,2839100,
2014-11-05,,2842800,
2014-11-06,,2846000,
2014-11-07,,2850900,
2014-11-08,,2857000,
2014-11-09,,2862700,
2014-11-10,,2867100,
2014-11-11,,2870900,
2014-11-12,,2875400,
2014-11-13,,2880600,
2014-11-14,,2885900,
2014-11-15,,2893300,
2014-11-16,,2899400,
2014-11-17,,2904100,
2014-11-18,,2908500,
2014-11-19,,2911400,
2014-11-20,,2915000,
2014-11-21,,2919200,
2014-11-22,,2924800,
2014-11-23,,2929500,
2014-11-24,,2932300,
2014-11-25,,2935100,
2014-11-26,,2939400,
2014-11-27,,2941800,
2014-11-28,,2952900,
2014-11-29,,2964500,
2014-11-30,,2974100,
2014-12-01,,2981200,
2014-12-02,,2986600,
2014-12-03,,2991500,
2014-12-04,,2996400,
2014-12-05,,3001100,
2014-12-06,,3007700,
2014-12-07,,3013500,
2014-12-08,,3018300,
2014-12-09,,3023100,
2014-12-10,,3026200,
2014-12-11,,3030600,
2014-12-12,,3035400,
2014-12-13,,3042400,
2014-12-14,,3049100,
2014-12-15,,3053700,
2014-12-16,,3058400,
2014-12-17,,3062900,
2014-12-18,,3067100,
2014-12-19,,3073200,
2014-12-20,,3081400,
2014-12-21,,3087800,
2014-12-22,,3094600,
2014-12-23,,3101400,
2014-12-24,,3114600,
2014-12-25,,3154800,
2014-12-26,,3180300,
2014-12-27,,3204200,
2014-12-28,,3220000,
2014-12-29,,3234500,
2014-12-30,,3246900,
2014-12-31,,3257800,
2015-01-01,,3266400,
2015-01-02,,3276700,
2015-01-03,,3286800,
2015-01-04,,3295900,
2015-01-05,,3303300,
2015-01-06,,3311900,
2015-01-07,,3318700,
2015-01-08,,3325200,
2015-01-09,,3331900,
2015-01-10,,3342300,
2015-01-11,,3350900,
2015-01-12,,3356300,
2015-01-13,,3362100,
2015-01-14,,3369400,
2015-01-15,,3373700,
2015-01-16,,3380400,
2015-01-17,,3388700,
2015-01-18,,3395700,
2015-01-19,,3401500,
2015-01-20,,3405900,
2015-01-21,,3411500,
2015-01-22,,3417100,
2015-01-23,,3422200,
2015-01-24,,3429800,
2015-01-25,,3437000,
2015-01-26,,3441400,
2015-01-27,,3445900,
2015-01-28,,3450300,
2015-01-29,,3456100,
2015-01-30,,3461600,
2015-01-31,,3471800,
2015-02-01,,3480000,
2015-02-02,,3485500,
2015-02-03,,3490800,
2015-02-04,,3495900,
2015-02-05,,3500700,
2015-02-06,,3505300,
2015-02-07,,3513200,
2015-02-08,,3520600,
2015-02-09,,3524300,
2015-02-10,,3528000,
2015-02-11,,3532200,
2015-02-12,,3537200,
2015-02-13,,3542100,
2015-02-14,,3548900,
2015-02-15,,3555200,
2015-02-16,,3560400,
2015-02-17,,3564300,
2015-02-18,,3569200,
2015-02-19,,3574100,
2015-02-20,,3579500,
2015-02-21,,3585800,
2015-02-22,,3591100,
2015-02-23,,3595400,
2015-02-24,,3598400,
2015-02-25,,3602300,
2015-02-26,,3605800,
2015-02-27,,3609800,
