Date,PS3 player count,PS4 player count,
2012-03-07,400,0,
2012-03-08,1400,0,
2012-03-09,2500,0,
2012-03-10,3300,0,
2012-03-11,4300,0,
2012-03-12,4800,0,
2012-03-13,5700,0,
2012-03-14,8500,0,
2012-03-15,11000,0,
2012-03-16,14100,0,
2012-03-17,17500,0,
2012-03-18,21100,0,
2012-03-19,24200,0,
2012-03-20,27400,0,
2012-03-21,29700,0,
2012-03-22,32100,0,
2012-03-23,34000,0,
2012-03-24,36500,0,
2012-03-25,39600,0,
2012-03-26,41600,0,
2012-03-27,43900,0,
2012-03-28,45900,0,
2012-03-29,47800,0,
2012-03-30,50700,0,
2012-03-31,53700,0,
2012-04-01,57000,0,
2012-04-02,59500,0,
2012-04-03,61900,0,
2012-04-04,63900,0,
2012-04-05,65700,0,
2012-04-06,67900,0,
2012-04-07,70800,0,
2012-04-08,73200,0,
2012-04-09,75300,0,
2012-04-10,77000,0,
2012-04-11,78700,0,
2012-04-12,80500,0,
2012-04-13,82400,0,
2012-04-14,85300,0,
2012-04-15,88100,0,
2012-04-16,89800,0,
2012-04-17,91100,0,
2012-04-18,92500,0,
2012-04-19,93900,0,
2012-04-20,94900,0,
2012-04-21,96700,0,
2012-04-22,98000,0,
2012-04-23,99700,0,
2012-04-24,101200,0,
2012-04-25,102800,0,
2012-04-26,103800,0,
2012-04-27,105200,0,
2012-04-28,107000,0,
2012-04-29,108900,0,
2012-04-30,110200,0,
2012-05-01,111400,0,
2012-05-02,112800,0,
2012-05-03,114200,0,
2012-05-04,115900,0,
2012-05-05,117900,0,
2012-05-06,119500,0,
2012-05-07,121000,0,
2012-05-08,122500,0,
2012-05-09,124000,0,
2012-05-10,125200,0,
2012-05-11,126500,0,
2012-05-12,127900,0,
2012-05-13,129400,0,
2012-05-14,130300,0,
2012-05-15,131300,0,
2012-05-16,132300,0,
2012-05-17,133100,0,
2012-05-18,133900,0,
2012-05-19,135200,0,
2012-05-20,136500,0,
2012-05-21,137500,0,
2012-05-22,138500,0,
2012-05-23,139500,0,
2012-05-24,140400,0,
2012-05-25,141300,0,
2012-05-26,142100,0,
2012-05-27,143500,0,
2012-05-28,144700,0,
2012-05-29,145600,0,
2012-05-30,146600,0,
2012-05-31,147700,0,
2012-06-01,148400,0,
2012-06-02,149400,0,
2012-06-03,150700,0,
2012-06-04,151600,0,
2012-06-05,152700,0,
2012-06-06,153900,0,
2012-06-07,155000,0,
2012-06-08,156200,0,
2012-06-09,157500,0,
2012-06-10,158900,0,
2012-06-11,159700,0,
2012-06-12,160600,0,
2012-06-13,161300,0,
2012-06-14,162100,0,
2012-06-15,163200,0,
2012-06-16,164100,0,
2012-06-17,165500,0,
2012-06-18,166400,0,
2012-06-19,167400,0,
2012-06-20,168200,0,
2012-06-21,169100,0,
2012-06-22,170000,0,
2012-06-23,171500,0,
2012-06-24,172600,0,
2012-06-25,173200,0,
2012-06-26,173600,0,
2012-06-27,174400,0,
2012-06-28,175400,0,
2012-06-29,176600,0,
2012-06-30,177800,0,
2012-07-01,179500,0,
2012-07-02,180400,0,
2012-07-03,181100,0,
2012-07-04,182200,0,
2012-07-05,182900,0,
2012-07-06,183900,0,
2012-07-07,185100,0,
2012-07-08,186500,0,
2012-07-09,187500,0,
2012-07-10,188300,0,
2012-07-11,189200,0,
2012-07-12,189600,0,
2012-07-13,190500,0,
2012-07-14,191700,0,
2012-07-15,192400,0,
2012-07-16,193300,0,
2012-07-17,193800,0,
2012-07-18,194700,0,
2012-07-19,195500,0,
2012-07-20,196000,0,
2012-07-21,196700,0,
2012-07-22,197500,0,
2012-07-23,198600,0,
2012-07-24,199400,0,
2012-07-25,200300,0,
2012-07-26,201200,0,
2012-07-27,201800,0,
2012-07-28,202600,0,
2012-07-29,203500,0,
2012-07-30,203900,0,
2012-07-31,204200,0,
2012-08-01,205100,0,
2012-08-02,205500,0,
2012-08-03,205800,0,
2012-08-04,206900,0,
2012-08-05,207900,0,
2012-08-06,208600,0,
2012-08-07,209400,0,
2012-08-08,210600,0,
2012-08-09,211400,0,
2012-08-10,212300,0,
2012-08-11,213800,0,
2012-08-12,214900,0,
2012-08-13,215700,0,
2012-08-14,216500,0,
2012-08-15,217700,0,
2012-08-16,218600,0,
2012-08-17,219600,0,
2012-08-18,220700,0,
2012-08-19,221900,0,
2012-08-20,222500,0,
2012-08-21,223300,0,
2012-08-22,224000,0,
2012-08-23,224900,0,
2012-08-24,225400,0,
2012-08-25,226300,0,
2012-08-26,227300,0,
2012-08-27,227800,0,
2012-08-28,228800,0,
2012-08-29,229800,0,
2012-08-30,230500,0,
2012-08-31,231300,0,
2012-09-01,232000,0,
2012-09-02,233100,0,
2012-09-03,233800,0,
2012-09-04,234900,0,
2012-09-05,235600,0,
2012-09-06,236100,0,
2012-09-07,236800,0,
2012-09-08,237800,0,
2012-09-09,238700,0,
2012-09-10,239400,0,
2012-09-11,240600,0,
2012-09-12,241200,0,
2012-09-13,241800,0,
2012-09-14,242400,0,
2012-09-15,243100,0,
2012-09-16,244200,0,
2012-09-17,244900,0,
2012-09-18,245800,0,
2012-09-19,246600,0,
2012-09-20,247200,0,
2012-09-21,247900,0,
2012-09-22,248800,0,
2012-09-23,249600,0,
2012-09-24,250200,0,
2012-09-25,250800,0,
2012-09-26,251300,0,
2012-09-27,251600,0,
2012-09-28,252300,0,
2012-09-29,252900,0,
